Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
1337coin,"Jul 02, 2018",0.000062,0.000067,0.000056,0.000066,"10,084","1,621,660"
1337coin,"Jul 01, 2018",0.000061,0.000064,0.000059,0.000062,769,"1,611,080"
1337coin,"Jun 30, 2018",0.000062,0.000124,0.000061,0.000061,508,"1,620,060"
1337coin,"Jun 29, 2018",0.000058,0.000106,0.000056,0.000062,"4,477","1,520,370"
1337coin,"Jun 28, 2018",0.000111,0.000112,0.000057,0.000058,764,"2,916,670"
1337coin,"Jun 27, 2018",0.000087,0.000116,0.000060,0.000111,"3,683","2,281,500"
1337coin,"Jun 26, 2018",0.000063,0.000089,0.000062,0.000087,"2,487","1,644,440"
1337coin,"Jun 25, 2018",0.000063,0.000064,0.000061,0.000063,219,"1,663,720"
1337coin,"Jun 24, 2018",0.000066,0.000073,0.000059,0.000064,"1,694","1,735,850"
1337coin,"Jun 23, 2018",0.000069,0.000092,0.000061,0.000072,"6,582","1,798,000"
1337coin,"Jun 22, 2018",0.000079,0.000085,0.000067,0.000068,"2,180","2,062,350"
1337coin,"Jun 21, 2018",0.000078,0.000080,0.000073,0.000078,"2,179","2,051,480"
1337coin,"Jun 20, 2018",0.000075,0.000079,0.000070,0.000078,"1,778","1,963,560"
1337coin,"Jun 19, 2018",0.000076,0.000078,0.000073,0.000075,688,"1,989,090"
1337coin,"Jun 18, 2018",0.000076,0.000079,0.000071,0.000076,253,"1,981,330"
1337coin,"Jun 17, 2018",0.000093,0.000098,0.000075,0.000076,"1,564","2,445,030"
1337coin,"Jun 16, 2018",0.000067,0.000094,0.000066,0.000093,463,"1,766,820"
1337coin,"Jun 15, 2018",0.000075,0.000108,0.000067,0.000068,"2,266","1,977,340"
1337coin,"Jun 14, 2018",0.000069,0.000081,0.000069,0.000075,"1,257","1,809,740"
1337coin,"Jun 13, 2018",0.000079,0.000081,0.000068,0.000069,"2,327","2,075,370"
1337coin,"Jun 12, 2018",0.000075,0.000095,0.000072,0.000079,716,"1,954,180"
1337coin,"Jun 11, 2018",0.000081,0.000087,0.000074,0.000075,639,"2,116,890"
1337coin,"Jun 10, 2018",0.000083,0.000091,0.000077,0.000081,"2,824","2,166,030"
