Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
1world,"Jul 02, 2018",0.145840,0.151435,0.142622,0.146582,"134,583","3,003,020"
1world,"Jul 01, 2018",0.142731,0.151589,0.138477,0.146027,"194,180","2,939,000"
1world,"Jun 30, 2018",0.105980,0.152659,0.104216,0.142862,"119,919","2,182,260"
1world,"Jun 29, 2018",0.105104,0.107717,0.100271,0.105837,"63,132","2,164,220"
1world,"Jun 28, 2018",0.143860,0.146176,0.104443,0.105051,"144,152","2,962,250"
1world,"Jun 27, 2018",0.125276,0.150753,0.089105,0.143601,"61,946","2,579,590"
1world,"Jun 26, 2018",0.150541,0.170934,0.113137,0.125508,"95,837","3,099,830"
1world,"Jun 25, 2018",0.185875,0.193204,0.143744,0.150693,"233,202","3,827,400"
1world,"Jun 24, 2018",0.197080,0.197781,0.170008,0.186403,"225,200","4,058,110"
1world,"Jun 23, 2018",0.190775,0.199615,0.189373,0.197017,"53,948","3,928,290"
1world,"Jun 22, 2018",0.177482,0.191447,0.153279,0.190689,"165,423","3,654,560"
1world,"Jun 21, 2018",0.135737,0.192009,0.135737,0.177623,"118,055","2,794,990"
1world,"Jun 20, 2018",0.084093,0.127030,0.081324,0.127030,"111,788","1,731,570"
1world,"Jun 19, 2018",0.083035,0.085791,0.058667,0.084039,"86,189","1,709,800"
1world,"Jun 18, 2018",0.065688,0.120437,0.064684,0.083095,"78,529","1,352,590"
1world,"Jun 17, 2018",0.077339,0.077908,0.064837,0.065770,"144,887","1,592,510"
1world,"Jun 16, 2018",0.078543,0.083520,0.075435,0.077228,"83,641","1,617,290"
1world,"Jun 15, 2018",0.084865,0.085032,0.072527,0.078811,"59,901","1,747,480"
1world,"Jun 14, 2018",0.074277,0.085622,0.073838,0.084963,"134,513","1,529,450"
1world,"Jun 13, 2018",0.086811,0.088832,0.072439,0.074081,"158,694","1,787,540"
1world,"Jun 12, 2018",0.095346,0.100610,0.085861,0.086500,"204,051","1,960,900"
1world,"Jun 11, 2018",0.099566,0.103783,0.090557,0.095632,"207,638","2,047,700"
1world,"Jun 10, 2018",0.110326,0.110326,0.097372,0.099397,"205,805","2,269,000"
1world,"Jun 09, 2018",0.103190,0.112420,0.103190,0.110072,"176,038","2,122,240"
1world,"Jun 08, 2018",0.098607,0.106998,0.098579,0.103203,"167,641","2,027,970"
1world,"Jun 07, 2018",0.149066,0.150334,0.097587,0.098447,"105,905","3,052,770"
1world,"Jun 06, 2018",0.109864,0.189954,0.099696,0.149006,"285,123","2,249,940"
1world,"Jun 05, 2018",0.171106,0.209742,0.098017,0.109993,"121,456","3,504,130"
1world,"Jun 04, 2018",0.209673,0.211365,0.168977,0.171052,"121,406","4,293,980"
1world,"Jun 03, 2018",0.227013,0.227033,0.144083,0.209801,"190,148","4,649,090"
1world,"Jun 02, 2018",0.224188,0.255076,0.204745,0.227053,"238,719","4,591,230"
1world,"Jun 01, 2018",0.219210,0.257721,0.133341,0.224269,"167,078","4,489,270"
1world,"May 31, 2018",0.099689,0.223508,0.099087,0.219328,"361,124","2,041,560"
1world,"May 30, 2018",0.096811,0.147018,0.096373,0.099404,"212,722","1,982,640"
1world,"May 29, 2018",0.107523,0.122131,0.096187,0.096719,"128,121","2,202,000"
1world,"May 28, 2018",0.096613,0.118175,0.091955,0.107654,"210,086","1,978,580"
1world,"May 27, 2018",0.124335,0.129583,0.081712,0.096617,"240,973","2,546,300"
1world,"May 26, 2018",0.103310,0.132952,0.090089,0.124092,"224,344","2,113,650"
1world,"May 25, 2018",0.139216,0.141884,0.107047,0.107047,"138,329","2,848,270"
1world,"May 24, 2018",0.155684,0.161349,0.121936,0.139212,"198,372","3,185,200"
1world,"May 23, 2018",0.189081,0.189842,0.153895,0.156255,"219,585","3,868,480"
1world,"May 22, 2018",0.200909,0.201815,0.187767,0.189246,"202,477","4,110,460"
1world,"May 21, 2018",0.204135,0.213450,0.173873,0.201252,"191,545","4,176,470"
1world,"May 20, 2018",0.233500,0.238897,0.199346,0.203621,"155,946","4,777,270"
1world,"May 19, 2018",0.242431,0.243446,0.230252,0.233011,"274,095","4,959,980"
1world,"May 18, 2018",0.239679,0.242803,0.235489,0.242351,"159,421","4,903,690"
1world,"May 17, 2018",0.259782,0.261589,0.238139,0.239529,"131,793","5,314,970"
1world,"May 16, 2018",0.231447,0.267219,0.207758,0.259650,"217,701","4,735,270"
1world,"May 15, 2018",0.328464,0.330330,0.231415,0.231415,"134,168","6,720,170"
1world,"May 14, 2018",0.363443,0.448015,0.326704,0.328967,"144,325","7,435,820"
1world,"May 13, 2018",0.399791,0.452027,0.362509,0.363517,"110,449","8,179,460"
1world,"May 12, 2018",0.442324,0.622365,0.289534,0.400275,"84,684","9,049,680"
1world,"May 11, 2018",0.277560,0.456344,0.243863,0.443498,"190,928","5,678,700"
1world,"May 10, 2018",0.220736,0.288378,0.216232,0.276710,"149,079","4,516,110"
1world,"May 09, 2018",0.213759,0.249964,0.202865,0.220527,"175,900","4,368,020"
1world,"May 08, 2018",0.217985,0.221373,0.206317,0.214009,"112,597","4,454,380"
1world,"May 07, 2018",0.229778,0.230126,0.214329,0.217279,"135,681","4,695,370"
1world,"May 06, 2018",0.251895,0.255859,0.215879,0.229863,"132,734","5,147,320"
1world,"May 05, 2018",0.218057,0.252983,0.217509,0.251937,"490,348","4,455,850"
1world,"May 04, 2018",0.271238,0.284663,0.218032,0.218032,"167,952","5,515,450"
1world,"May 03, 2018",0.249086,0.273014,0.244241,0.271767,"463,206","5,065,000"
1world,"May 02, 2018",0.245429,0.250019,0.211448,0.249133,"427,588","4,990,630"
1world,"May 01, 2018",0.250122,0.250122,0.238395,0.246044,"450,816","5,086,080"
1world,"Apr 30, 2018",0.281466,0.282552,0.233813,0.249412,"480,975","5,718,870"
1world,"Apr 29, 2018",0.279782,0.289176,0.275420,0.281487,"481,551","5,684,670"
1world,"Apr 28, 2018",0.263189,0.282970,0.263000,0.279752,"555,115","5,347,520"
1world,"Apr 27, 2018",0.272552,0.277805,0.257629,0.264941,"406,949","5,537,750"
1world,"Apr 26, 2018",0.245852,0.273303,0.216980,0.272138,"284,005","4,995,270"
1world,"Apr 25, 2018",0.266344,0.268206,0.218351,0.243673,"207,974","5,411,620"
1world,"Apr 24, 2018",0.251049,0.267697,0.238318,0.267697,"239,172","5,100,860"
1world,"Apr 23, 2018",0.247753,0.252946,0.241713,0.250826,"325,072","5,033,880"
1world,"Apr 22, 2018",0.250575,0.254992,0.242648,0.248305,"330,073","5,091,220"
1world,"Apr 21, 2018",0.250925,0.254200,0.226849,0.250641,"326,292","5,098,350"
1world,"Apr 20, 2018",0.227760,0.252739,0.227760,0.250968,"499,320","2,854,710"
1world,"Apr 19, 2018",0.229245,0.235609,0.222395,0.227773,"255,190","2,873,310"
1world,"Apr 18, 2018",0.215676,0.231410,0.215108,0.229149,"365,042","2,703,250"
1world,"Apr 17, 2018",0.226967,0.228788,0.211105,0.215196,"225,640","2,844,770"
1world,"Apr 16, 2018",0.219359,0.237356,0.215176,0.227092,"488,747","2,749,400"
1world,"Apr 15, 2018",0.229531,0.245454,0.212022,0.219612,"365,279","2,876,900"
1world,"Apr 14, 2018",0.230470,0.238529,0.227063,0.229404,"372,422","2,888,670"
1world,"Apr 13, 2018",0.234872,0.246709,0.228759,0.230502,"519,196","2,943,850"
1world,"Apr 12, 2018",0.216527,0.237215,0.206853,0.233445,"528,509","2,713,910"
1world,"Apr 11, 2018",0.203639,0.217333,0.203170,0.217333,"421,487","2,552,370"
1world,"Apr 10, 2018",0.208197,0.208886,0.184113,0.203421,"354,470","2,609,500"
1world,"Apr 09, 2018",0.211939,0.220465,0.204123,0.207795,"492,240","2,656,410"
1world,"Apr 08, 2018",0.185458,0.213935,0.185458,0.211535,"393,959","2,324,500"
1world,"Apr 07, 2018",0.194873,0.208626,0.184778,0.184878,"415,659","2,442,510"
1world,"Apr 06, 2018",0.201307,0.205435,0.192393,0.194783,"351,751","2,523,150"
1world,"Apr 05, 2018",0.219800,0.223711,0.187237,0.202400,"286,689","2,754,940"
1world,"Apr 04, 2018",0.223260,0.245074,0.218012,0.219808,"344,422","2,798,300"
1world,"Apr 03, 2018",0.231216,0.242227,0.213230,0.223719,"511,474","2,898,020"
1world,"Apr 02, 2018",0.225531,0.232034,0.224209,0.231047,"375,069","2,826,770"
1world,"Apr 01, 2018",0.233431,0.236525,0.215779,0.224558,"1,083,770","2,925,780"
1world,"Mar 31, 2018",0.225932,0.256093,0.225932,0.233040,"1,093,390","2,831,570"
1world,"Mar 30, 2018",0.238949,0.265709,0.217435,0.226098,"312,165","2,994,700"
1world,"Mar 29, 2018",0.257571,0.288763,0.233865,0.239430,"369,900","3,226,160"
1world,"Mar 28, 2018",0.285402,0.341710,0.254055,0.257182,"290,016","3,574,750"
1world,"Mar 27, 2018",0.257500,0.293419,0.248197,0.285395,"129,045","3,225,270"
1world,"Mar 26, 2018",0.427517,0.430687,0.247733,0.257788,"257,242","5,354,800"
1world,"Mar 25, 2018",0.272870,0.438692,0.253801,0.428221,"535,796","3,417,780"
1world,"Mar 24, 2018",0.329511,0.405115,0.268988,0.275804,"510,911",-
1world,"Mar 23, 2018",0.284216,0.394408,0.255983,0.325484,"359,632",-
1world,"Mar 22, 2018",0.411705,0.424090,0.278836,0.284121,"280,734",-
1world,"Mar 21, 2018",0.383860,0.411474,0.377158,0.411474,"357,311",-
