Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
300-token,"Jul 02, 2018",465.16,485.68,460.33,482.30,231,"139,547"
300-token,"Jul 01, 2018",481.90,484.61,458.81,465.11,695,"144,569"
300-token,"Jun 30, 2018",463.10,484.51,463.07,481.79,246,"138,929"
300-token,"Jun 29, 2018",440.14,470.42,435.13,462.47,413,"132,041"
300-token,"Jun 28, 2018",460.04,461.39,437.37,439.86,22,"138,013"
300-token,"Jun 27, 2018",461.49,464.18,451.14,459.88,4,"138,447"
300-token,"Jun 26, 2018",469.53,472.88,461.24,461.68,3,"140,858"
300-token,"Jun 25, 2018",461.30,473.69,457.28,473.69,4,"138,389"
300-token,"Jun 24, 2018",438.37,469.26,438.37,462.19,4,"131,510"
300-token,"Jun 23, 2018",453.90,462.11,453.11,460.42,48,"136,169"
300-token,"Jun 22, 2018",487.49,488.62,445.87,453.84,92,"146,248"
300-token,"Jun 21, 2018",506.36,508.63,502.51,504.76,312,"151,908"
300-token,"Jun 20, 2018",496.58,509.27,495.31,506.25,725,"148,974"
300-token,"Jun 19, 2018",506.11,511.31,503.48,507.27,5,"151,834"
300-token,"Jun 18, 2018",493.59,514.75,487.56,506.38,68,"148,076"
300-token,"Jun 17, 2018",517.92,521.79,493.64,495.28,558,"155,377"
300-token,"Jun 16, 2018",520.71,529.52,504.86,516.55,78,"156,212"
300-token,"Jun 15, 2018",532.18,533.40,501.36,522.61,"3,390","159,655"
300-token,"Jun 14, 2018",505.69,535.15,504.66,533.06,52,"151,708"
300-token,"Jun 13, 2018",533.76,536.98,500.16,505.92,117,"160,127"
300-token,"Jun 12, 2018",557.89,557.89,527.00,532.38,189,"167,367"
300-token,"Jun 11, 2018",413.81,596.04,410.58,558.19,"1,625","124,144"
300-token,"Jun 10, 2018",457.94,457.94,407.18,413.22,25,"137,382"
300-token,"Jun 09, 2018",465.25,478.99,457.36,457.36,28,"139,576"
300-token,"Jun 08, 2018",500.86,501.90,462.07,465.45,155,"150,259"
300-token,"Jun 07, 2018",499.18,505.14,468.06,500.48,637,"149,755"
300-token,"Jun 06, 2018",498.28,527.98,476.72,498.73,89,"149,484"
300-token,"Jun 05, 2018",472.65,572.98,465.91,498.41,530,"141,794"
300-token,"Jun 04, 2018",486.63,521.77,470.67,472.42,105,"145,990"
300-token,"Jun 03, 2018",525.86,532.04,484.31,486.41,40,"157,759"
300-token,"Jun 02, 2018",516.60,536.17,513.70,525.72,9,"154,980"
300-token,"Jun 01, 2018",554.90,562.31,506.17,516.82,290,"166,471"
300-token,"May 31, 2018",545.23,562.12,544.16,554.50,44,"163,570"
300-token,"May 30, 2018",552.90,559.24,541.09,542.27,92,"165,870"
300-token,"May 29, 2018",526.55,557.90,444.16,552.53,471,"157,967"
300-token,"May 28, 2018",433.16,539.47,432.22,526.73,762,"129,947"
300-token,"May 27, 2018",447.44,450.08,441.27,447.26,5,"134,232"
300-token,"May 26, 2018",474.69,485.94,444.83,447.24,91,"142,407"
300-token,"May 25, 2018",453.87,459.22,441.75,449.19,7,"136,162"
300-token,"May 24, 2018",451.17,517.25,436.58,453.02,14,"135,352"
300-token,"May 23, 2018",552.79,554.39,448.29,452.31,487,"165,837"
300-token,"May 22, 2018",583.62,584.07,550.25,553.36,8,"175,086"
300-token,"May 21, 2018",612.86,613.29,581.51,583.72,12,"183,857"
300-token,"May 20, 2018",573.50,616.83,569.78,612.09,69,"172,051"
300-token,"May 19, 2018",577.30,602.55,565.52,573.07,33,"173,191"
300-token,"May 18, 2018",582.31,582.31,559.50,577.39,244,"174,692"
300-token,"May 17, 2018",601.19,606.75,542.39,581.80,279,"180,357"
300-token,"May 16, 2018",611.11,611.62,585.79,600.82,631,"183,334"
300-token,"May 15, 2018",624.67,635.10,607.94,611.47,625,"187,402"
300-token,"May 14, 2018",665.68,672.68,622.40,625.75,403,"199,703"
300-token,"May 13, 2018",649.57,670.72,641.98,665.80,318,"194,871"
300-token,"May 12, 2018",671.65,731.65,636.46,649.79,206,"201,496"
300-token,"May 11, 2018",784.46,784.46,669.20,673.63,84,"235,337"
300-token,"May 10, 2018",808.92,814.90,782.76,783.52,143,"242,675"
300-token,"May 09, 2018",735.99,743.85,719.47,742.04,13,"220,797"
300-token,"May 08, 2018",749.42,800.67,729.53,737.12,201,"224,827"
300-token,"May 07, 2018",769.94,770.34,736.77,747.84,363,"230,982"
300-token,"May 06, 2018",787.16,794.53,756.39,769.39,10,"236,147"
300-token,"May 05, 2018",775.48,840.80,774.26,786.63,78,"232,644"
300-token,"May 04, 2018",751.54,847.94,737.27,775.85,"4,052","225,464"
300-token,"May 03, 2018",800.17,821.18,726.88,751.84,250,"240,051"
300-token,"May 02, 2018",788.38,803.24,780.00,800.14,16,"236,513"
300-token,"May 01, 2018",813.19,813.19,687.26,789.57,285,"243,956"
300-token,"Apr 30, 2018",836.73,840.06,704.98,812.48,785,"251,018"
300-token,"Apr 29, 2018",846.45,862.74,695.92,837.00,"1,951","253,935"
300-token,"Apr 28, 2018",757.83,912.99,755.88,846.78,34,"227,348"
300-token,"Apr 27, 2018",929.61,937.02,760.44,760.44,580,"278,884"
300-token,"Apr 26, 2018",771.08,930.40,752.25,928.33,83,"231,324"
300-token,"Apr 25, 2018",1089.09,1094.36,763.67,764.74,"1,105","326,726"
300-token,"Apr 24, 2018",739.88,1169.17,739.54,1096.54,"5,904","221,963"
300-token,"Apr 23, 2018",789.89,794.92,715.08,739.25,38,"236,966"
300-token,"Apr 22, 2018",803.53,808.04,715.43,791.48,39,"241,058"
300-token,"Apr 21, 2018",663.15,807.48,658.08,803.53,8,"198,946"
300-token,"Apr 20, 2018",911.75,940.63,658.89,662.93,"1,906","273,526"
300-token,"Apr 19, 2018",634.12,911.80,601.09,911.15,"2,450","190,235"
300-token,"Apr 18, 2018",580.36,777.55,578.85,633.64,"1,044","174,109"
300-token,"Apr 17, 2018",587.61,639.32,579.63,579.83,20,"176,284"
300-token,"Apr 16, 2018",609.21,691.90,578.01,587.32,23,"182,762"
300-token,"Apr 15, 2018",584.09,611.07,584.09,609.46,65,"175,227"
300-token,"Apr 14, 2018",660.82,686.44,581.87,583.47,17,"198,247"
300-token,"Apr 13, 2018",552.25,681.48,525.20,660.82,"2,529","165,675"
300-token,"Apr 12, 2018",569.60,651.85,554.51,631.67,208,"170,881"
300-token,"Apr 11, 2018",445.38,579.20,444.87,570.98,192,"133,614"
300-token,"Apr 10, 2018",567.88,576.70,441.78,444.95,266,"170,362"
300-token,"Apr 09, 2018",576.78,588.65,434.78,567.41,607,"173,033"
300-token,"Apr 08, 2018",674.27,693.01,571.96,575.84,70,"202,282"
300-token,"Apr 07, 2018",646.51,687.56,645.55,673.66,54,"193,952"
300-token,"Apr 06, 2018",661.73,668.63,528.51,645.74,42,"198,520"
300-token,"Apr 05, 2018",645.22,666.86,530.47,665.12,184,"193,566"
300-token,"Apr 04, 2018",724.13,724.13,639.08,644.95,"3,316","217,240"
300-token,"Apr 03, 2018",437.05,731.57,435.64,724.63,"2,673","131,115"
300-token,"Apr 02, 2018",540.73,563.91,431.07,436.74,611,"162,220"
300-token,"Apr 01, 2018",669.42,678.83,529.91,538.09,"1,796","200,825"
300-token,"Mar 31, 2018",534.68,669.65,415.85,669.44,"1,209","160,404"
300-token,"Mar 30, 2018",420.93,540.88,392.38,534.60,206,"126,277"
300-token,"Mar 29, 2018",630.93,631.97,409.70,421.97,17,"189,280"
300-token,"Mar 28, 2018",619.56,644.34,616.12,630.19,360,"185,869"
300-token,"Mar 27, 2018",548.14,638.48,457.80,619.70,"1,368","164,443"
300-token,"Mar 26, 2018",557.03,658.44,526.88,548.98,881,"167,110"
