Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
abjcoin,"Jul 02, 2018",0.051090,0.166201,0.050560,0.165171,"47,255",-
abjcoin,"Jul 01, 2018",0.063873,0.171102,0.051084,0.051084,40,-
abjcoin,"Jun 30, 2018",0.124036,0.171112,0.063432,0.063859,318,-
abjcoin,"Jun 29, 2018",0.117487,0.160705,0.116152,0.123868,815,-
abjcoin,"Jun 28, 2018",0.137951,0.146301,0.116749,0.117412,"9,115",-
abjcoin,"Jun 27, 2018",0.164170,0.164170,0.117370,0.137903,916,-
abjcoin,"Jun 26, 2018",0.112716,0.463022,0.112716,0.164236,"51,531",-
abjcoin,"Jun 25, 2018",0.007242,0.595478,0.007170,0.112716,"149,377","59,856"
abjcoin,"Jun 24, 2018",0.006845,0.014071,0.006213,0.007262,338,"56,576"
abjcoin,"Jun 23, 2018",0.006718,0.006924,0.006706,0.006846,0,"55,523"
abjcoin,"Jun 22, 2018",0.007386,0.008769,0.006599,0.006717,31,"61,046"
abjcoin,"Jun 21, 2018",0.007427,0.007460,0.007320,0.007394,51,"61,382"
abjcoin,"Jun 20, 2018",0.008444,0.008802,0.007383,0.007425,115,"69,789"
abjcoin,"Jun 19, 2018",0.011441,0.011489,0.008379,0.008439,142,"94,565"
abjcoin,"Jun 18, 2018",0.007837,0.011523,0.007773,0.011447,44,"64,777"
abjcoin,"Jun 17, 2018",0.007635,0.011653,0.007620,0.007864,0,"63,105"
abjcoin,"Jun 16, 2018",0.011496,0.011629,0.007297,0.007615,10,"95,012"
abjcoin,"Jun 15, 2018",0.013143,0.013296,0.011474,0.011538,0,"108,632"
abjcoin,"Jun 14, 2018",0.011781,0.013392,0.006883,0.013165,379,"97,375"
abjcoin,"Jun 13, 2018",0.012174,0.016937,0.005032,0.011755,429,"100,617"
abjcoin,"Jun 12, 2018",0.013374,0.013378,0.005067,0.012142,401,"110,541"
abjcoin,"Jun 11, 2018",0.018403,0.019447,0.009959,0.013381,19,"152,101"
abjcoin,"Jun 10, 2018",0.018180,0.019670,0.005844,0.018376,723,"150,261"
abjcoin,"Jun 09, 2018",0.018458,0.018600,0.015994,0.018157,21,"152,556"
abjcoin,"Jun 08, 2018",0.018609,0.018648,0.017836,0.018465,60,"153,805"
abjcoin,"Jun 07, 2018",0.021259,0.021512,0.012612,0.018595,5,"175,708"
abjcoin,"Jun 06, 2018",0.013061,0.021349,0.012630,0.021239,14,"107,949"
abjcoin,"Jun 05, 2018",0.022396,0.022423,0.021627,0.022342,39,"185,110"
abjcoin,"Jun 04, 2018",0.021706,0.034116,0.017567,0.022386,676,"179,403"
abjcoin,"Jun 03, 2018",0.017424,0.021714,0.017347,0.021696,39,"144,013"
abjcoin,"Jun 02, 2018",0.017363,0.017705,0.000939,0.017419,17,"143,512"
abjcoin,"Jun 01, 2018",0.017306,0.017537,0.017013,0.017371,2,"143,035"
abjcoin,"May 31, 2018",0.025248,0.031803,0.017187,0.017293,1,"208,678"
abjcoin,"May 30, 2018",0.016870,0.025277,0.016711,0.025261,99,"139,434"
abjcoin,"May 29, 2018",0.016086,0.024404,0.015789,0.016859,6,"132,956"
abjcoin,"May 28, 2018",0.015058,0.024724,0.015038,0.016092,715,"124,458"
abjcoin,"May 27, 2018",0.019752,0.019922,0.014976,0.015055,55,"163,252"
abjcoin,"May 26, 2018",0.017026,0.020409,0.014547,0.019743,165,"140,720"
abjcoin,"May 25, 2018",0.020852,0.021101,0.016111,0.017031,2,"172,349"
abjcoin,"May 24, 2018",0.015338,0.021782,0.015338,0.020813,297,"126,771"
abjcoin,"May 23, 2018",0.024407,0.024478,0.015240,0.015377,167,"201,731"
abjcoin,"May 22, 2018",0.018665,0.025321,0.014174,0.024433,9,"154,270"
abjcoin,"May 21, 2018",0.021489,0.021504,0.018507,0.018668,194,"177,611"
abjcoin,"May 20, 2018",0.028859,0.029030,0.021014,0.021462,27,"238,525"
abjcoin,"May 19, 2018",0.019311,0.033450,0.018756,0.028837,166,"159,606"
abjcoin,"May 18, 2018",0.019953,0.047029,0.017500,0.019314,"1,641","164,913"
abjcoin,"May 17, 2018",0.009070,0.016436,0.003038,0.016142,"90,739","74,964"
abjcoin,"May 16, 2018",0.008715,0.010165,0.008154,0.009065,1,"72,032"
abjcoin,"May 15, 2018",0.014556,0.016871,0.004771,0.008720,49,"120,306"
abjcoin,"May 14, 2018",0.016647,0.020412,0.014453,0.014581,384,"137,586"
abjcoin,"May 13, 2018",0.023052,0.023207,0.016505,0.016652,170,"190,528"
abjcoin,"May 12, 2018",0.018979,0.023503,0.016119,0.023061,1,"156,868"
abjcoin,"May 11, 2018",0.015491,0.019429,0.014976,0.019013,4,"128,037"
abjcoin,"May 10, 2018",0.017324,0.017487,0.015458,0.015473,187,"143,184"
abjcoin,"May 09, 2018",0.017111,0.017387,0.016726,0.017329,106,"141,421"
