Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ac3,"Jul 02, 2018",0.143907,0.163032,0.138847,0.153709,"49,871",-
ac3,"Jul 01, 2018",0.142286,0.146846,0.137962,0.142046,"45,818",-
ac3,"Jun 30, 2018",0.133540,0.143160,0.132430,0.142251,"37,645",-
ac3,"Jun 29, 2018",0.120658,0.136036,0.111048,0.133695,"51,515",-
ac3,"Jun 28, 2018",0.162487,0.162963,0.110607,0.121027,"31,347",-
ac3,"Jun 27, 2018",0.133919,0.173158,0.128505,0.162366,"14,284",-
ac3,"Jun 26, 2018",0.160035,0.160640,0.133874,0.133998,"10,740",-
ac3,"Jun 25, 2018",0.126821,0.161870,0.125372,0.160035,"10,991",-
ac3,"Jun 24, 2018",0.161033,0.188149,0.126044,0.127146,"3,959",-
ac3,"Jun 23, 2018",0.143438,0.162381,0.128938,0.162381,"13,091",-
ac3,"Jun 22, 2018",0.170180,0.171387,0.123916,0.144317,"15,906",-
ac3,"Jun 21, 2018",0.183408,0.197205,0.169810,0.172055,"19,345",-
ac3,"Jun 20, 2018",0.245732,0.246016,0.180581,0.188089,"34,442",-
ac3,"Jun 19, 2018",0.242191,0.250775,0.231016,0.245885,"19,998",-
ac3,"Jun 18, 2018",0.237474,0.254327,0.232861,0.242318,"21,212",-
ac3,"Jun 17, 2018",0.241001,0.248772,0.237487,0.238196,"17,477",-
ac3,"Jun 16, 2018",0.236374,0.243734,0.235297,0.240431,"19,228",-
ac3,"Jun 15, 2018",0.238409,0.249333,0.231278,0.237180,"16,716",-
ac3,"Jun 14, 2018",0.225367,0.239991,0.225367,0.239126,"18,014",-
ac3,"Jun 13, 2018",0.229234,0.250880,0.212457,0.225591,"16,237",-
ac3,"Jun 12, 2018",0.258563,0.258563,0.226488,0.228683,"20,293",-
ac3,"Jun 11, 2018",0.249292,0.264982,0.235970,0.255338,"18,120",-
ac3,"Jun 10, 2018",0.280635,0.280635,0.237533,0.248990,"17,873",-
ac3,"Jun 09, 2018",0.282988,0.295014,0.275652,0.280322,"21,958",-
ac3,"Jun 08, 2018",0.270425,0.285419,0.260158,0.283081,"18,352",-
ac3,"Jun 07, 2018",0.281833,0.288182,0.267598,0.270496,"18,437",-
ac3,"Jun 06, 2018",0.271714,0.284466,0.262344,0.280258,"26,937",-
ac3,"Jun 05, 2018",0.258499,0.276785,0.250949,0.271725,"23,360",-
ac3,"Jun 04, 2018",0.277790,0.290923,0.254570,0.256531,"27,368",-
ac3,"Jun 03, 2018",0.260786,0.282115,0.260631,0.277404,"22,130",-
ac3,"Jun 02, 2018",0.267174,0.282260,0.259060,0.261800,"24,219",-
ac3,"Jun 01, 2018",0.264835,0.276484,0.243618,0.264161,"25,259",-
ac3,"May 31, 2018",0.248138,0.272994,0.240156,0.262121,"28,836",-
ac3,"May 30, 2018",0.233363,0.290374,0.230249,0.249438,"30,541",-
ac3,"May 29, 2018",0.253940,0.297029,0.230095,0.233228,"21,663",-
ac3,"May 28, 2018",0.275145,0.278563,0.232235,0.252884,"22,789",-
ac3,"May 27, 2018",0.294382,0.305574,0.281151,0.282101,"33,775",-
ac3,"May 26, 2018",0.299314,0.310254,0.287104,0.293525,"27,974",-
ac3,"May 25, 2018",0.301084,0.309096,0.291431,0.299688,"20,944",-
ac3,"May 24, 2018",0.285278,0.304830,0.263459,0.300548,"57,921",-
ac3,"May 23, 2018",0.320394,0.321378,0.280099,0.285971,"37,860",-
ac3,"May 22, 2018",0.344886,0.353475,0.318746,0.320572,"45,061",-
ac3,"May 21, 2018",0.358067,0.361337,0.343177,0.345893,"37,665",-
ac3,"May 20, 2018",0.347491,0.378289,0.347491,0.357655,"49,806",-
ac3,"May 19, 2018",0.350118,0.357432,0.345457,0.347103,"38,264",-
ac3,"May 18, 2018",0.339529,0.354837,0.332865,0.351032,"43,818",-
ac3,"May 17, 2018",0.352059,0.362527,0.338132,0.338468,"29,421",-
ac3,"May 16, 2018",0.364448,0.364466,0.347859,0.351809,"32,945",-
ac3,"May 15, 2018",0.380149,0.385518,0.358474,0.361700,"46,169",-
ac3,"May 14, 2018",0.369401,0.392730,0.354366,0.378633,"36,575",-
ac3,"May 13, 2018",0.363763,0.381642,0.360517,0.369981,"49,859",-
ac3,"May 12, 2018",0.381025,0.395308,0.355017,0.363896,"65,847",-
ac3,"May 11, 2018",0.401422,0.405950,0.380986,0.382048,"56,578",-
ac3,"May 10, 2018",0.411975,0.418776,0.396594,0.400879,"45,090",-
