Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
acchain,"Jul 01, 2018",0.121998,0.122684,0.121998,0.122421,127,-
acchain,"Jun 30, 2018",0.118878,0.123501,0.118878,0.121971,127,-
acchain,"Jun 24, 2018",0.185001,0.185301,0.174838,0.177555,184,-
acchain,"Jun 23, 2018",0.116826,0.187148,0.116324,0.185026,"2,369",-
acchain,"Jun 22, 2018",0.258445,0.258888,0.254967,0.256321,77,-
acchain,"Jun 21, 2018",0.128278,0.260470,0.128001,0.258732,78,-
acchain,"Jun 20, 2018",0.255648,0.255892,0.125479,0.128251,"1,518",-
acchain,"Jun 17, 2018",0.123052,0.123885,0.122816,0.123608,3,-
acchain,"Jun 16, 2018",0.122254,0.123901,0.119948,0.122726,3,-
acchain,"Jun 14, 2018",0.245002,0.259229,0.244503,0.257912,7,-
acchain,"Jun 13, 2018",0.123036,0.256066,0.122453,0.245112,37,-
acchain,"Jun 12, 2018",0.265251,0.267022,0.121599,0.122719,"1,668",-
acchain,"Jun 10, 2018",0.290083,0.290083,0.282434,0.283776,22,-
acchain,"Jun 09, 2018",0.294788,0.296964,0.289718,0.289718,23,-
acchain,"Jun 08, 2018",0.143049,0.296242,0.140843,0.294915,51,-
acchain,"Jun 07, 2018",0.146321,0.146596,0.142458,0.142940,261,-
acchain,"Jun 06, 2018",0.143024,0.146942,0.142469,0.146186,"1,465",-
acchain,"Jun 05, 2018",0.139626,0.143321,0.138473,0.143063,"4,061",-
acchain,"Jun 04, 2018",0.299568,0.300370,0.295195,0.295682,"3,123",-
acchain,"Jun 03, 2018",0.142772,0.300235,0.142138,0.299428,"3,162",-
acchain,"Jun 02, 2018",0.269370,0.276152,0.142335,0.142733,469,-
acchain,"May 31, 2018",0.265776,0.273111,0.264479,0.271888,"1,095",-
acchain,"May 30, 2018",0.275145,0.278299,0.262987,0.265826,"1,121",-
acchain,"May 29, 2018",0.133058,0.276431,0.132977,0.274960,"2,685",-
acchain,"May 27, 2018",0.270298,0.271893,0.266571,0.270022,36,-
acchain,"May 26, 2018",0.133902,0.279292,0.133775,0.270178,"6,975",-
acchain,"May 25, 2018",0.278688,0.281971,0.271244,0.273917,1,-
acchain,"May 24, 2018",0.169791,0.280089,0.164300,0.278165,1,-
acchain,"May 23, 2018",0.151867,0.180365,0.119488,0.170221,"2,272",-
acchain,"May 22, 2018",0.192817,0.197607,0.139563,0.152025,"1,947",-
acchain,"May 21, 2018",0.233425,0.233589,0.140337,0.192852,"16,724",-
acchain,"May 20, 2018",0.186347,0.233788,0.185136,0.233133,"2,114",-
acchain,"May 19, 2018",0.194553,0.209819,0.185550,0.186208,167,-
acchain,"May 18, 2018",0.200803,0.223871,0.194042,0.194582,"2,989",-
acchain,"May 17, 2018",0.225380,0.227941,0.193310,0.200627,"4,874",-
acchain,"May 16, 2018",0.237520,0.237715,0.220235,0.225243,"1,746",-
acchain,"May 15, 2018",0.207008,0.250933,0.199623,0.237657,"1,929",-
acchain,"May 14, 2018",0.245289,0.250092,0.206763,0.207364,"8,858",-
acchain,"May 13, 2018",0.253185,0.254879,0.211821,0.245333,"4,520",-
acchain,"May 12, 2018",0.230339,0.257719,0.225973,0.253273,6,-
acchain,"May 11, 2018",0.265826,0.265826,0.231018,0.231018,"2,160",-
acchain,"May 10, 2018",0.273579,0.288117,0.186523,0.265508,"2,237",-
acchain,"May 09, 2018",0.266312,0.282187,0.159360,0.273656,"5,687",-
acchain,"May 08, 2018",0.211598,0.287096,0.206890,0.266719,"1,430",-
acchain,"May 07, 2018",0.282935,0.283080,0.209821,0.211150,"2,188",-
acchain,"May 06, 2018",0.233641,0.348837,0.229670,0.282732,"8,752",-
acchain,"May 05, 2018",0.307018,0.364041,0.229694,0.233484,"17,021",-
acchain,"May 04, 2018",0.221168,0.348427,0.133168,0.307164,"18,059",-
acchain,"May 03, 2018",0.216573,0.254232,0.201335,0.221255,"5,208",-
acchain,"May 02, 2018",0.149462,0.246471,0.147873,0.216565,"2,760",-
acchain,"May 01, 2018",0.251181,0.524060,0.061578,0.149687,"9,122",-
acchain,"Apr 30, 2018",0.187936,0.253569,0.187430,0.250961,"2,719",-
acchain,"Apr 29, 2018",0.187246,0.194709,0.118092,0.187999,"1,638",-
acchain,"Apr 28, 2018",0.116955,0.279556,0.085355,0.187319,"20,895",-
acchain,"Apr 27, 2018",0.579582,0.579582,0.084512,0.117358,"13,034",-
acchain,"Apr 26, 2018",0.535944,0.580071,0.214155,0.578781,"14,955",-
acchain,"Apr 25, 2018",0.484902,0.568216,0.418889,0.531539,430,-
acchain,"Apr 24, 2018",0.553346,0.574345,0.455604,0.488219,361,-
acchain,"Apr 23, 2018",0.544432,0.554497,0.407483,0.552875,"5,601",-
acchain,"Apr 22, 2018",0.410701,0.547903,0.394754,0.545533,"1,323",-
acchain,"Apr 21, 2018",0.480999,0.480999,0.363793,0.410701,"2,148",-
acchain,"Apr 20, 2018",0.512666,0.518481,0.455397,0.480834,"5,209",-
acchain,"Apr 19, 2018",0.423999,0.512330,0.421232,0.512330,532,-
acchain,"Apr 18, 2018",0.505053,0.518823,0.423272,0.423685,"1,785",-
acchain,"Apr 17, 2018",0.502858,0.515291,0.323094,0.504585,839,-
acchain,"Apr 16, 2018",0.542360,0.545411,0.312176,0.502605,"2,246",-
acchain,"Apr 15, 2018",0.509952,0.584698,0.509952,0.542589,19,-
acchain,"Apr 14, 2018",0.510465,0.522085,0.281613,0.509405,"4,200",-
acchain,"Apr 13, 2018",0.540188,0.544179,0.445413,0.510466,"22,393",-
acchain,"Apr 12, 2018",0.541231,0.548260,0.444216,0.539507,"1,395",-
acchain,"Apr 11, 2018",0.511848,0.542540,0.437732,0.542540,"2,547",-
acchain,"Apr 10, 2018",0.444268,0.514448,0.429791,0.511355,"1,235",-
acchain,"Apr 09, 2018",0.411817,0.443906,0.275688,0.443906,"2,770",-
acchain,"Apr 08, 2018",0.476350,0.481240,0.404061,0.411150,8,-
acchain,"Apr 07, 2018",0.456698,0.485783,0.456020,0.475919,"1,181",-
acchain,"Apr 06, 2018",0.431551,0.456767,0.407864,0.456153,"2,094",-
acchain,"Apr 05, 2018",0.442869,0.445652,0.293526,0.433762,"5,708",-
acchain,"Apr 04, 2018",0.511580,0.511580,0.407471,0.442683,133,-
acchain,"Apr 03, 2018",0.486252,0.516842,0.442294,0.511933,"3,191",-
acchain,"Apr 02, 2018",0.436743,0.486342,0.433904,0.485906,194,-
acchain,"Apr 01, 2018",0.467378,0.479851,0.432937,0.434604,18,-
acchain,"Mar 31, 2018",0.471765,0.488912,0.435652,0.467392,"7,015",-
acchain,"Mar 30, 2018",0.481615,0.489281,0.436937,0.471693,"1,204",-
acchain,"Mar 29, 2018",0.558929,0.592393,0.468772,0.482815,577,-
acchain,"Mar 28, 2018",0.531439,0.568876,0.519365,0.558275,"3,432",-
acchain,"Mar 27, 2018",0.686201,0.688401,0.530881,0.531561,"3,612",-
acchain,"Mar 26, 2018",0.725419,0.729395,0.513817,0.687241,"1,187",-
acchain,"Mar 25, 2018",0.574088,0.746471,0.554205,0.725975,"4,635",-
acchain,"Mar 24, 2018",0.622579,0.734975,0.573444,0.582100,625,-
acchain,"Mar 23, 2018",0.712202,0.723623,0.517417,0.613644,"6,659",-
acchain,"Mar 22, 2018",0.714311,0.752597,0.569368,0.712220,"4,016",-
acchain,"Mar 21, 2018",0.645176,0.911146,0.644240,0.715615,"1,884",-
acchain,"Mar 20, 2018",0.770494,0.770494,0.534165,0.644010,"10,974",-
acchain,"Mar 19, 2018",0.569769,0.767914,0.566271,0.761993,"4,032",-
acchain,"Mar 18, 2018",0.704798,0.734297,0.495519,0.572179,"3,289",-
acchain,"Mar 17, 2018",0.746153,0.746153,0.605253,0.706516,"3,554",-
acchain,"Mar 16, 2018",0.867363,0.872686,0.653610,0.744925,"2,196",-
acchain,"Mar 15, 2018",0.841102,0.892000,0.745839,0.867852,17,-
acchain,"Mar 14, 2018",0.731900,0.844132,0.687808,0.841480,"4,428",-
acchain,"Mar 13, 2018",0.776381,0.950017,0.655280,0.731799,"9,880",-
acchain,"Mar 12, 2018",0.640951,0.783024,0.497263,0.780906,"10,648",-
acchain,"Mar 11, 2018",0.595919,0.683433,0.530134,0.630068,"5,876",-
acchain,"Mar 10, 2018",0.826466,0.836956,0.526612,0.597982,"10,114",-
acchain,"Mar 09, 2018",0.877865,0.932782,0.611830,0.826111,"6,703",-
acchain,"Mar 08, 2018",0.699527,0.892806,0.685400,0.883459,"2,081",-
acchain,"Mar 07, 2018",0.757025,0.873238,0.634885,0.700519,"13,071",-
acchain,"Mar 06, 2018",1.01,1.31,0.750435,0.758009,"17,028",-
acchain,"Mar 05, 2018",0.738701,1.03,0.734109,1.02,"20,221",-
acchain,"Mar 04, 2018",1.06,1.06,0.530142,0.739242,"30,799",-
acchain,"Mar 03, 2018",0.921671,1.25,0.921671,1.06,"9,130",-
acchain,"Mar 02, 2018",0.981067,1.17,0.917312,0.922800,"13,687",-
acchain,"Mar 01, 2018",1.03,1.47,0.976019,0.983595,"11,956",-
acchain,"Feb 28, 2018",1.14,1.33,0.901726,1.03,"25,438",-
acchain,"Feb 27, 2018",1.53,1.54,0.730832,1.14,"27,212",-
acchain,"Feb 26, 2018",1.39,1.57,1.04,1.53,"55,851",-
acchain,"Feb 25, 2018",1.87,1.89,1.34,1.38,"208,557",-
acchain,"Feb 24, 2018",2.00,2.08,1.49,1.88,"1,031,490",-
acchain,"Feb 23, 2018",1.94,2.05,1.74,2.00,"1,189,610",-
acchain,"Feb 22, 2018",2.11,2.27,1.87,1.94,"950,583",-
acchain,"Feb 21, 2018",2.55,2.56,2.04,2.11,"1,172,820",-
acchain,"Feb 20, 2018",2.73,2.78,2.52,2.56,"1,216,660",-
acchain,"Feb 19, 2018",2.39,2.73,2.22,2.73,"1,258,690",-
acchain,"Feb 18, 2018",2.57,2.60,2.23,2.40,"965,757",-
acchain,"Feb 17, 2018",2.55,2.67,2.04,2.56,"1,253,970",-
acchain,"Feb 16, 2018",2.59,2.74,2.24,2.55,"1,206,090",-
acchain,"Feb 15, 2018",2.70,2.74,2.20,2.60,"1,276,540",-
acchain,"Feb 14, 2018",1.73,2.70,1.71,2.69,"1,212,350",-
acchain,"Feb 13, 2018",1.45,1.74,1.45,1.74,"3,103,520",-
acchain,"Feb 12, 2018",1.44,1.53,1.26,1.52,"481,146",-
acchain,"Feb 11, 2018",1.09,1.47,0.925540,1.42,"555,023",-
acchain,"Feb 10, 2018",1.06,1.09,1.04,1.09,"421,183",-
