Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
aerium,"Jul 02, 2018",0.001587,0.002792,0.001570,0.002775,17,"178,030"
aerium,"Jul 01, 2018",0.001725,0.001845,0.001585,0.001586,6,"193,506"
aerium,"Jun 30, 2018",0.002978,0.003104,0.001707,0.001724,0,"334,184"
aerium,"Jun 29, 2018",0.001174,0.003025,0.001160,0.002974,19,"131,695"
aerium,"Jun 28, 2018",0.001963,0.003183,0.000670,0.001173,11,"220,241"
aerium,"Jun 27, 2018",0.003283,0.003308,0.001956,0.001962,11,"368,413"
aerium,"Jun 26, 2018",0.002812,0.003505,0.002793,0.003285,12,"315,480"
aerium,"Jun 25, 2018",0.003321,0.003511,0.002317,0.002812,8,"372,669"
aerium,"Jun 24, 2018",0.001973,0.003328,0.001849,0.003328,27,"221,416"
aerium,"Jun 23, 2018",0.003026,0.004193,0.001961,0.001974,111,"339,522"
aerium,"Jun 22, 2018",0.005170,0.005179,0.002910,0.003026,93,"580,112"
aerium,"Jun 21, 2018",0.005266,0.005290,0.003147,0.005176,1,"590,863"
aerium,"Jun 20, 2018",0.005674,0.005680,0.003632,0.005265,68,"636,643"
aerium,"Jun 19, 2018",0.003971,0.006014,0.003358,0.005671,108,"445,189"
aerium,"Jun 18, 2018",0.002979,0.004001,0.002955,0.003973,554,"334,044"
aerium,"Jun 17, 2018",0.004243,0.004403,0.002980,0.002990,148,"475,715"
aerium,"Jun 16, 2018",0.003211,0.004248,0.003182,0.004232,313,"359,987"
aerium,"Jun 15, 2018",0.004318,0.004322,0.003177,0.003223,146,"484,129"
aerium,"Jun 14, 2018",0.004297,0.004511,0.004288,0.004326,129,"481,738"
aerium,"Jun 13, 2018",0.005925,0.005960,0.004262,0.004299,211,"664,183"
aerium,"Jun 12, 2018",0.005166,0.006532,0.004962,0.005909,874,"579,078"
aerium,"Jun 11, 2018",0.006572,0.006614,0.002224,0.005168,691,"736,722"
aerium,"Jun 10, 2018",0.006229,0.007332,0.004867,0.006563,279,"698,274"
aerium,"Jun 09, 2018",0.007627,0.007683,0.006071,0.006222,338,"854,844"
aerium,"Jun 08, 2018",0.006761,0.009121,0.005585,0.007630,"1,446","757,658"
aerium,"Jun 07, 2018",0.005053,0.006943,0.004924,0.006755,845,"566,242"
aerium,"Jun 06, 2018",0.006469,0.006469,0.004805,0.005049,79,"724,757"
aerium,"Jun 05, 2018",0.005680,0.006471,0.004336,0.006471,"1,192","636,162"
aerium,"Jun 04, 2018",0.002941,0.006686,0.002941,0.005774,"6,940","329,297"
aerium,"Jun 03, 2018",0.004617,0.005129,0.002933,0.002934,"5,068","516,699"
aerium,"Jun 02, 2018",0.005300,0.005304,0.003759,0.004616,"4,705","592,960"
aerium,"Jun 01, 2018",0.005816,0.005868,0.004857,0.005302,"1,667","650,537"
aerium,"May 31, 2018",0.005898,0.005898,0.004863,0.005812,"2,918","659,544"
aerium,"May 30, 2018",0.005105,0.005902,0.003671,0.005899,"3,220","570,644"
aerium,"May 29, 2018",0.005550,0.006227,0.005057,0.005101,"4,474","620,209"
aerium,"May 28, 2018",0.006466,0.006849,0.005535,0.005552,"7,446","722,383"
aerium,"May 27, 2018",0.006785,0.007002,0.005640,0.006464,"9,638","757,811"
aerium,"May 26, 2018",0.007489,0.007876,0.006572,0.006782,"12,740","836,173"
aerium,"May 25, 2018",0.006882,0.008803,0.006641,0.007499,"51,504","768,187"
aerium,"May 24, 2018",0.010086,0.010228,0.006388,0.006869,"69,431","1,125,150"
aerium,"May 23, 2018",0.006705,0.010120,0.005391,0.010112,"55,196","747,885"
aerium,"May 22, 2018",0.006017,0.007076,0.005383,0.006712,"69,752","670,758"
aerium,"May 21, 2018",0.006133,0.006712,0.005947,0.006014,"1,490","683,508"
aerium,"May 20, 2018",0.006376,0.007176,0.004437,0.006125,"21,886","710,345"
aerium,"May 19, 2018",0.006301,0.006310,0.005574,0.006129,"1,652","701,753"
aerium,"May 18, 2018",0.007061,0.007061,0.004943,0.006302,"7,573","786,142"
aerium,"May 17, 2018",0.006997,0.007357,0.006227,0.007055,"9,356","778,788"
aerium,"May 16, 2018",0.005290,0.006993,0.004654,0.006993,"7,788","588,578"
aerium,"May 15, 2018",0.006365,0.006422,0.005269,0.005293,419,"707,994"
aerium,"May 14, 2018",0.006125,0.006457,0.005652,0.006376,"1,203","681,097"
aerium,"May 13, 2018",0.005351,0.006471,0.005045,0.006126,"2,481","594,785"
aerium,"May 12, 2018",0.005037,0.005921,0.005037,0.005353,"2,422","559,722"
aerium,"May 11, 2018",0.006681,0.006681,0.005019,0.005052,"1,177","741,972"
aerium,"May 10, 2018",0.005049,0.006621,0.005049,0.006294,"1,131","560,613"
aerium,"May 09, 2018",0.007231,0.007320,0.004801,0.005051,"5,581","802,614"
aerium,"May 08, 2018",0.006818,0.007800,0.006179,0.007242,"11,710","756,470"
aerium,"May 07, 2018",0.006130,0.008660,0.005725,0.006804,"4,067","679,898"
aerium,"May 06, 2018",0.005175,0.008213,0.005174,0.006126,"5,097","573,716"
aerium,"May 05, 2018",0.004953,0.005266,0.004627,0.005171,"3,447","548,935"
aerium,"May 04, 2018",0.006591,0.006717,0.004753,0.004955,"2,243","730,271"
aerium,"May 03, 2018",0.005293,0.008017,0.004198,0.006593,"3,754","586,226"
aerium,"May 02, 2018",0.004147,0.005851,0.003873,0.005292,"1,507","459,156"
