Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
aeron,"Jul 02, 2018",0.703666,0.756518,0.690915,0.751696,"5,493,030","9,147,660"
aeron,"Jul 01, 2018",0.682425,0.749523,0.682425,0.705659,"14,505,800","8,871,520"
aeron,"Jun 30, 2018",0.635892,0.690610,0.631589,0.682430,"6,802,340","8,266,600"
aeron,"Jun 29, 2018",0.566350,0.662904,0.566350,0.634167,"9,682,870","7,362,550"
aeron,"Jun 28, 2018",0.567354,0.623833,0.553590,0.564503,"7,267,670","7,375,600"
aeron,"Jun 27, 2018",0.543299,0.574216,0.537595,0.566143,"3,606,730","7,062,880"
aeron,"Jun 26, 2018",0.609603,0.612949,0.542654,0.544641,"5,777,820","7,924,840"
aeron,"Jun 25, 2018",0.596396,0.612987,0.583229,0.609191,"6,597,490","7,753,150"
aeron,"Jun 24, 2018",0.644073,0.644931,0.534796,0.600391,"5,061,100","8,372,940"
aeron,"Jun 23, 2018",0.644200,0.671873,0.612965,0.643258,"7,875,960","8,374,600"
aeron,"Jun 22, 2018",0.783883,0.784599,0.626672,0.642537,"10,565,400","10,190,500"
aeron,"Jun 21, 2018",0.796043,0.821766,0.780442,0.783070,"12,851,000","10,348,600"
aeron,"Jun 20, 2018",0.808343,0.809336,0.766950,0.794161,"11,994,000","10,508,500"
aeron,"Jun 19, 2018",0.804193,0.818304,0.790717,0.807469,"5,541,510","10,454,500"
aeron,"Jun 18, 2018",0.799538,0.824802,0.761427,0.801969,"5,153,620","10,394,000"
aeron,"Jun 17, 2018",0.802935,0.812431,0.787967,0.799232,"4,563,140","10,438,200"
aeron,"Jun 16, 2018",0.801296,0.811268,0.771777,0.802265,"4,926,250","10,416,800"
aeron,"Jun 15, 2018",0.881467,0.887239,0.796160,0.803555,"9,402,570","11,459,100"
aeron,"Jun 14, 2018",0.808283,0.904075,0.808283,0.883816,"17,087,000","10,507,700"
aeron,"Jun 13, 2018",0.885787,0.885787,0.753953,0.809533,"14,410,900","11,515,200"
aeron,"Jun 12, 2018",0.944590,0.984636,0.871621,0.887752,"17,165,700","12,279,700"
aeron,"Jun 11, 2018",0.939317,0.946987,0.894260,0.944788,"15,852,000","12,211,100"
aeron,"Jun 10, 2018",1.10,1.10,0.923417,0.945000,"18,221,400","14,286,600"
aeron,"Jun 09, 2018",1.12,1.17,1.10,1.10,"17,818,700","14,570,700"
aeron,"Jun 08, 2018",1.19,1.22,1.12,1.12,"16,117,100","15,433,600"
aeron,"Jun 07, 2018",1.21,1.24,1.18,1.18,"20,275,200","15,764,200"
aeron,"Jun 06, 2018",1.25,1.25,1.17,1.21,"23,350,500","16,209,300"
aeron,"Jun 05, 2018",1.29,1.30,1.18,1.25,"25,499,300","16,715,200"
aeron,"Jun 04, 2018",1.30,1.35,1.22,1.29,"31,691,600","16,944,200"
aeron,"Jun 03, 2018",1.28,1.39,1.28,1.31,"32,268,600","16,700,500"
aeron,"Jun 02, 2018",1.22,1.34,1.19,1.28,"33,392,900","15,864,000"
aeron,"Jun 01, 2018",1.25,1.26,1.15,1.22,"27,675,200","16,225,400"
aeron,"May 31, 2018",1.11,1.28,1.10,1.24,"32,235,200","14,399,700"
aeron,"May 30, 2018",1.18,1.20,1.08,1.12,"30,368,100","15,276,200"
aeron,"May 29, 2018",1.04,1.17,1.01,1.16,"27,227,000","13,562,800"
aeron,"May 28, 2018",1.25,1.28,1.04,1.04,"19,681,200","16,199,600"
aeron,"May 27, 2018",1.20,1.29,1.18,1.25,"21,242,900","15,640,300"
aeron,"May 26, 2018",1.34,1.39,1.19,1.21,"9,589,340","17,393,300"
aeron,"May 25, 2018",1.44,1.65,1.31,1.34,"16,410,500","18,771,500"
aeron,"May 24, 2018",1.33,1.47,1.29,1.44,"12,253,400","17,312,600"
aeron,"May 23, 2018",1.29,1.38,1.24,1.34,"8,800,190","16,824,800"
aeron,"May 22, 2018",1.31,1.41,1.29,1.30,"10,119,000","17,056,700"
aeron,"May 21, 2018",1.28,1.34,1.25,1.31,"7,264,790","16,652,500"
aeron,"May 20, 2018",1.21,1.30,1.20,1.27,"704,481","15,734,600"
aeron,"May 19, 2018",1.26,1.32,1.15,1.21,"5,123,990","16,390,000"
aeron,"May 18, 2018",1.16,1.26,1.12,1.26,"6,799,850","15,030,500"
aeron,"May 17, 2018",1.24,1.25,1.15,1.15,"2,949,570","16,104,700"
aeron,"May 16, 2018",1.33,1.35,1.20,1.24,"8,101,850","17,322,000"
