Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
aidcoin,"Jul 02, 2018",0.106275,0.108830,0.099198,0.104647,"264,281","4,237,980"
aidcoin,"Jul 01, 2018",0.104293,0.108305,0.100802,0.105644,"160,279","4,158,940"
aidcoin,"Jun 30, 2018",0.099279,0.103948,0.097173,0.102356,"234,885","3,959,000"
aidcoin,"Jun 29, 2018",0.099178,0.100476,0.096881,0.099364,"349,762","3,954,960"
aidcoin,"Jun 28, 2018",0.100533,0.102272,0.096966,0.098638,"295,668","4,062,500"
aidcoin,"Jun 27, 2018",0.098246,0.102571,0.092676,0.099606,"719,279","3,970,060"
aidcoin,"Jun 26, 2018",0.102065,0.102065,0.093517,0.096110,"377,337","4,124,410"
aidcoin,"Jun 25, 2018",0.106240,0.110354,0.097651,0.102002,"825,000","4,293,120"
aidcoin,"Jun 24, 2018",0.120192,0.120192,0.092355,0.105944,"1,418,250","4,856,890"
aidcoin,"Jun 23, 2018",0.107449,0.146782,0.107449,0.124528,"3,437,130","4,341,970"
aidcoin,"Jun 22, 2018",0.111730,0.113334,0.091598,0.094070,"381,411","4,514,940"
aidcoin,"Jun 21, 2018",0.115933,0.118297,0.111598,0.112984,"294,120","4,675,530"
aidcoin,"Jun 20, 2018",0.114085,0.119414,0.113005,0.115478,"677,708","4,601,000"
aidcoin,"Jun 19, 2018",0.116413,0.116858,0.111668,0.114530,"814,210","4,694,890"
aidcoin,"Jun 18, 2018",0.112722,0.116431,0.106028,0.116431,"587,682","4,546,000"
aidcoin,"Jun 17, 2018",0.117624,0.117793,0.110331,0.112764,"420,406","4,743,700"
aidcoin,"Jun 16, 2018",0.114044,0.117744,0.110423,0.116862,"520,578","4,599,320"
aidcoin,"Jun 15, 2018",0.115734,0.116302,0.107209,0.114060,"1,022,290","4,667,510"
aidcoin,"Jun 14, 2018",0.111176,0.118303,0.107309,0.116205,"67,873","4,483,680"
aidcoin,"Jun 13, 2018",0.109849,0.112612,0.101944,0.111208,"122,994","4,430,170"
aidcoin,"Jun 12, 2018",0.119482,0.119482,0.105681,0.109568,"51,034","4,818,660"
aidcoin,"Jun 11, 2018",0.117309,0.121488,0.115449,0.119519,"70,389","4,986,000"
aidcoin,"Jun 10, 2018",0.140164,0.143569,0.114316,0.116890,"110,482","5,957,380"
aidcoin,"Jun 09, 2018",0.149318,0.151486,0.141574,0.141574,"22,323","6,346,450"
aidcoin,"Jun 08, 2018",0.152570,0.154734,0.144365,0.149364,"55,233","6,484,670"
aidcoin,"Jun 07, 2018",0.155870,0.157411,0.149348,0.152453,"90,303","6,624,960"
aidcoin,"Jun 06, 2018",0.162900,0.166297,0.148982,0.155747,"121,417","6,923,750"
aidcoin,"Jun 05, 2018",0.166756,0.166756,0.151361,0.162925,"256,107","7,087,620"
aidcoin,"Jun 04, 2018",0.177421,0.178387,0.163484,0.165534,"101,733","6,650,350"
