Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
airswap,"Jul 02, 2018",0.149698,0.176393,0.141765,0.160147,"2,726,010","22,454,700"
airswap,"Jul 01, 2018",0.130449,0.161836,0.129424,0.151383,"2,083,460","19,567,400"
airswap,"Jun 30, 2018",0.123042,0.138204,0.123042,0.129947,"962,964","18,456,300"
airswap,"Jun 29, 2018",0.117179,0.124003,0.112751,0.123171,"539,456","17,576,800"
airswap,"Jun 28, 2018",0.129116,0.138991,0.116587,0.117353,"1,125,390","19,367,400"
airswap,"Jun 27, 2018",0.123619,0.129538,0.122344,0.128500,"574,959","18,542,900"
airswap,"Jun 26, 2018",0.138631,0.139783,0.122823,0.122823,"718,951","20,794,600"
airswap,"Jun 25, 2018",0.131581,0.147415,0.129610,0.138939,"946,119","19,737,200"
airswap,"Jun 24, 2018",0.146817,0.147418,0.119670,0.132476,"716,389","22,022,600"
airswap,"Jun 23, 2018",0.150823,0.153197,0.142765,0.146865,"855,603","22,623,500"
airswap,"Jun 22, 2018",0.176633,0.177387,0.148982,0.150461,"1,099,300","26,495,000"
airswap,"Jun 21, 2018",0.188359,0.188701,0.176135,0.176513,"1,492,960","28,253,900"
airswap,"Jun 20, 2018",0.194968,0.195047,0.184476,0.188576,"647,110","29,245,200"
airswap,"Jun 19, 2018",0.192975,0.196702,0.190102,0.194927,"455,458","28,946,200"
airswap,"Jun 18, 2018",0.188149,0.194118,0.180306,0.192773,"425,092","28,222,300"
airswap,"Jun 17, 2018",0.189247,0.192082,0.187150,0.188619,"230,637","28,387,000"
airswap,"Jun 16, 2018",0.189196,0.197356,0.184630,0.188828,"564,886","28,379,400"
airswap,"Jun 15, 2018",0.189438,0.200393,0.186379,0.190462,"730,714","28,415,600"
airswap,"Jun 14, 2018",0.167891,0.198928,0.166257,0.189740,"1,410,670","25,183,700"
airswap,"Jun 13, 2018",0.183036,0.183081,0.159513,0.167988,"1,091,000","27,455,400"
airswap,"Jun 12, 2018",0.202590,0.205180,0.182173,0.182173,"720,608","30,388,400"
airswap,"Jun 11, 2018",0.199130,0.202725,0.195606,0.202205,"564,321","29,869,500"
airswap,"Jun 10, 2018",0.235787,0.235787,0.195893,0.198055,"1,604,170","35,368,100"
airswap,"Jun 09, 2018",0.249112,0.249669,0.235924,0.235924,"995,602","37,366,900"
airswap,"Jun 08, 2018",0.269408,0.270395,0.247234,0.249627,"1,193,850","40,411,200"
airswap,"Jun 07, 2018",0.269716,0.273511,0.268842,0.268842,"757,172","40,457,500"
airswap,"Jun 06, 2018",0.276077,0.280036,0.263292,0.269946,"1,433,380","41,411,600"
airswap,"Jun 05, 2018",0.279042,0.283402,0.263789,0.276400,"1,497,040","41,856,300"
airswap,"Jun 04, 2018",0.313126,0.321341,0.274581,0.279321,"2,511,340","46,968,900"
airswap,"Jun 03, 2018",0.284159,0.322772,0.281394,0.306522,"3,232,090","42,623,800"
airswap,"Jun 02, 2018",0.282943,0.287833,0.280267,0.284000,"1,840,560","42,441,500"
airswap,"Jun 01, 2018",0.275959,0.284906,0.271213,0.283507,"1,695,060","41,393,900"
airswap,"May 31, 2018",0.267696,0.280752,0.265344,0.275059,"1,900,380","40,154,500"
airswap,"May 30, 2018",0.274225,0.282174,0.263149,0.268397,"1,622,480","41,133,700"
airswap,"May 29, 2018",0.243520,0.277034,0.241508,0.273864,"1,894,330","36,528,000"
airswap,"May 28, 2018",0.272315,0.273262,0.243685,0.244748,"1,873,570","40,847,300"
airswap,"May 27, 2018",0.283794,0.285114,0.270115,0.272436,"1,926,590","42,569,000"
airswap,"May 26, 2018",0.284751,0.293958,0.281086,0.282228,"1,428,770","42,712,700"
airswap,"May 25, 2018",0.295335,0.298985,0.277487,0.283720,"897,855","44,300,200"
airswap,"May 24, 2018",0.304644,0.313683,0.276070,0.294989,"1,552,270","45,696,600"
airswap,"May 23, 2018",0.333182,0.336899,0.287706,0.305430,"1,821,140","49,977,300"
airswap,"May 22, 2018",0.398199,0.402362,0.326743,0.333333,"2,370,060","59,729,900"
airswap,"May 21, 2018",0.419986,0.440776,0.386213,0.398658,"4,866,480","62,997,800"
airswap,"May 20, 2018",0.354482,0.421594,0.351884,0.421594,"2,940,840","53,172,200"
airswap,"May 19, 2018",0.347586,0.359743,0.342314,0.354102,"1,428,050","52,137,900"
airswap,"May 18, 2018",0.328673,0.356700,0.322592,0.348556,"2,324,790","49,301,000"
airswap,"May 17, 2018",0.338094,0.364964,0.326311,0.329547,"2,609,300","50,714,100"
airswap,"May 16, 2018",0.343888,0.349294,0.328754,0.337603,"1,346,100","51,583,300"
airswap,"May 15, 2018",0.365361,0.376702,0.341103,0.343739,"1,633,410","54,804,200"
airswap,"May 14, 2018",0.391053,0.391053,0.345218,0.366137,"1,896,180","58,657,900"
airswap,"May 13, 2018",0.360520,0.397175,0.351535,0.390902,"2,339,990","54,078,000"
airswap,"May 12, 2018",0.371624,0.380028,0.338262,0.361415,"1,588,140","55,743,600"
airswap,"May 11, 2018",0.416536,0.416536,0.353982,0.373864,"2,425,900","62,480,400"
airswap,"May 10, 2018",0.443439,0.476197,0.419584,0.419584,"2,755,520","66,515,800"
airswap,"May 09, 2018",0.460496,0.466546,0.428624,0.442709,"2,679,940","69,074,400"
airswap,"May 08, 2018",0.458402,0.491244,0.440891,0.462611,"3,595,880","68,760,300"
airswap,"May 07, 2018",0.488030,0.489342,0.423445,0.457132,"3,690,480","73,204,500"
airswap,"May 06, 2018",0.515224,0.522021,0.448765,0.489300,"3,557,960","77,283,600"
airswap,"May 05, 2018",0.515787,0.525114,0.502053,0.514854,"3,268,290","77,368,100"
airswap,"May 04, 2018",0.578790,0.578790,0.491054,0.516580,"6,879,890","86,818,500"
airswap,"May 03, 2018",0.571257,0.589989,0.568357,0.578144,"4,512,180","85,688,500"
airswap,"May 02, 2018",0.547650,0.572262,0.536975,0.571506,"3,937,750","82,147,500"
airswap,"May 01, 2018",0.540570,0.551462,0.502053,0.549165,"3,645,500","81,085,500"
airswap,"Apr 30, 2018",0.553562,0.583162,0.538773,0.538773,"6,294,710","83,034,300"
airswap,"Apr 29, 2018",0.546449,0.557679,0.523569,0.553435,"3,847,940","81,967,400"
airswap,"Apr 28, 2018",0.505363,0.557124,0.503578,0.543830,"4,570,300","75,804,500"
airswap,"Apr 27, 2018",0.552729,0.553247,0.505781,0.507701,"4,871,930","82,909,400"
airswap,"Apr 26, 2018",0.516153,0.553281,0.498126,0.552843,"4,553,450","77,422,900"
airswap,"Apr 25, 2018",0.616312,0.616312,0.484508,0.511612,"9,256,110","92,446,800"
airswap,"Apr 24, 2018",0.575225,0.649162,0.572950,0.617434,"14,141,000","86,283,700"
airswap,"Apr 23, 2018",0.499125,0.588180,0.498772,0.572745,"10,160,700","74,868,800"
airswap,"Apr 22, 2018",0.483198,0.517949,0.470143,0.500703,"7,209,160","72,479,800"
airswap,"Apr 21, 2018",0.507661,0.526951,0.471045,0.489242,"7,461,530","76,149,100"
airswap,"Apr 20, 2018",0.505653,0.525684,0.494075,0.508027,"5,940,610","75,848,000"
airswap,"Apr 19, 2018",0.475678,0.506591,0.462772,0.506510,"5,772,470","71,351,800"
airswap,"Apr 18, 2018",0.437591,0.477860,0.437377,0.474250,"5,291,410","65,638,700"
airswap,"Apr 17, 2018",0.417942,0.466081,0.409836,0.438185,"6,413,980","62,691,200"
airswap,"Apr 16, 2018",0.478570,0.482317,0.409971,0.417448,"10,475,100","71,785,400"
airswap,"Apr 15, 2018",0.346464,0.481236,0.346464,0.476456,"9,673,660","51,969,600"
airswap,"Apr 14, 2018",0.343259,0.374320,0.340043,0.346579,"4,197,860","51,488,900"
airswap,"Apr 13, 2018",0.337922,0.378358,0.330738,0.345228,"6,475,240","50,688,200"
airswap,"Apr 12, 2018",0.293056,0.340505,0.275371,0.337022,"5,506,160","43,958,400"
airswap,"Apr 11, 2018",0.267671,0.301464,0.257373,0.295521,"4,848,730","40,150,600"
airswap,"Apr 10, 2018",0.243607,0.269361,0.240244,0.268392,"5,193,840","36,541,000"
airswap,"Apr 09, 2018",0.251266,0.264300,0.239105,0.243824,"1,725,250","37,689,900"
airswap,"Apr 08, 2018",0.249454,0.261467,0.242468,0.250828,"2,563,860","37,418,100"
airswap,"Apr 07, 2018",0.225844,0.266560,0.225126,0.250373,"2,567,040","33,876,700"
airswap,"Apr 06, 2018",0.238578,0.241657,0.220172,0.225727,"1,375,900","35,786,800"
airswap,"Apr 05, 2018",0.236840,0.241340,0.223389,0.239628,"2,663,150","35,526,100"
airswap,"Apr 04, 2018",0.279992,0.284333,0.229771,0.236886,"3,234,940","41,998,800"
airswap,"Apr 03, 2018",0.243843,0.286135,0.241208,0.280142,"3,999,240","36,576,400"
airswap,"Apr 02, 2018",0.238021,0.256164,0.231863,0.243717,"3,147,390","35,703,200"
airswap,"Apr 01, 2018",0.229464,0.246121,0.215301,0.236876,"3,712,980","34,419,500"
airswap,"Mar 31, 2018",0.230094,0.246004,0.226496,0.230149,"2,647,570","34,514,100"
airswap,"Mar 30, 2018",0.240476,0.240652,0.214423,0.229306,"2,914,190","36,071,300"
airswap,"Mar 29, 2018",0.281170,0.281503,0.234653,0.241846,"3,219,480","42,175,500"
airswap,"Mar 28, 2018",0.279417,0.288209,0.275444,0.280119,"3,303,690","41,912,500"
airswap,"Mar 27, 2018",0.300651,0.301325,0.274330,0.279675,"2,962,820","45,097,600"
airswap,"Mar 26, 2018",0.312502,0.349134,0.281850,0.300394,"7,761,210","46,875,300"
airswap,"Mar 25, 2018",0.308181,0.336473,0.288052,0.313089,"4,433,460","46,227,100"
airswap,"Mar 24, 2018",0.286911,0.328201,0.283885,0.313315,"4,980,950","43,036,700"
airswap,"Mar 23, 2018",0.297260,0.298954,0.262147,0.282176,"4,083,630","44,589,100"
airswap,"Mar 22, 2018",0.320884,0.346438,0.273961,0.297315,"4,666,440","48,132,600"
airswap,"Mar 21, 2018",0.330321,0.344193,0.296780,0.319510,"6,833,320","49,548,100"
airswap,"Mar 20, 2018",0.255917,0.345978,0.251449,0.328619,"6,727,910","38,387,600"
airswap,"Mar 19, 2018",0.226521,0.259770,0.223648,0.252367,"3,570,030","33,978,100"
airswap,"Mar 18, 2018",0.221413,0.234310,0.199358,0.229455,"3,875,720","33,212,000"
airswap,"Mar 17, 2018",0.267447,0.268597,0.217907,0.221701,"3,918,510","40,117,000"
airswap,"Mar 16, 2018",0.295154,0.296338,0.264040,0.268841,"4,393,160","44,273,100"
airswap,"Mar 15, 2018",0.333548,0.335900,0.259718,0.295500,"12,594,200","50,032,200"
airswap,"Mar 14, 2018",0.277781,0.384917,0.266217,0.341319,"20,093,500","41,667,100"
airswap,"Mar 13, 2018",0.243838,0.307222,0.243838,0.277908,"11,545,800","36,575,700"
airswap,"Mar 12, 2018",0.238187,0.261689,0.220145,0.248792,"2,328,930","35,728,000"
