Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
airtoken,"Jul 02, 2018",0.005406,0.005745,0.005321,0.005603,"105,811","5,676,690"
airtoken,"Jul 01, 2018",0.005529,0.005568,0.005285,0.005406,"197,924","5,805,640"
airtoken,"Jun 30, 2018",0.005403,0.005636,0.005389,0.005535,"169,691","5,673,520"
airtoken,"Jun 29, 2018",0.005318,0.005544,0.005006,0.005424,"179,210","5,584,170"
airtoken,"Jun 28, 2018",0.005646,0.005662,0.005311,0.005314,"198,913","5,928,510"
airtoken,"Jun 27, 2018",0.005294,0.005690,0.005088,0.005664,"103,375","5,558,590"
airtoken,"Jun 26, 2018",0.005138,0.005693,0.005138,0.005299,"150,799","5,395,030"
airtoken,"Jun 25, 2018",0.004914,0.005197,0.004863,0.005117,"123,629","5,160,110"
airtoken,"Jun 24, 2018",0.005115,0.005121,0.004633,0.004904,"149,120","5,371,100"
airtoken,"Jun 23, 2018",0.005328,0.005578,0.005028,0.005118,"115,739","5,594,760"
airtoken,"Jun 22, 2018",0.006045,0.006158,0.005189,0.005294,"164,334","6,347,650"
airtoken,"Jun 21, 2018",0.006401,0.006424,0.005990,0.006150,"227,131","6,720,880"
airtoken,"Jun 20, 2018",0.006540,0.006689,0.006241,0.006394,"258,849","6,866,620"
airtoken,"Jun 19, 2018",0.006602,0.006915,0.006347,0.006590,"226,402","6,932,550"
airtoken,"Jun 18, 2018",0.006685,0.007028,0.006034,0.006620,"262,151","7,019,090"
airtoken,"Jun 17, 2018",0.006643,0.006804,0.006315,0.006668,"217,508","6,975,120"
airtoken,"Jun 16, 2018",0.006589,0.006692,0.006334,0.006642,"203,524","6,918,250"
airtoken,"Jun 15, 2018",0.007171,0.007254,0.006299,0.006597,"231,566","7,529,500"
airtoken,"Jun 14, 2018",0.007621,0.007804,0.006546,0.007179,"332,212","8,002,250"
airtoken,"Jun 13, 2018",0.006809,0.008279,0.006342,0.007583,"348,011","7,149,280"
airtoken,"Jun 12, 2018",0.007904,0.007916,0.006610,0.006799,"286,052","8,299,040"
airtoken,"Jun 11, 2018",0.007528,0.008718,0.007444,0.007934,"293,255","7,904,760"
airtoken,"Jun 10, 2018",0.011035,0.011035,0.007455,0.007588,"309,945","11,586,600"
airtoken,"Jun 09, 2018",0.011265,0.012402,0.010399,0.011132,"406,393","11,828,500"
airtoken,"Jun 08, 2018",0.012102,0.013319,0.009599,0.010549,"765,205","12,706,900"
airtoken,"Jun 07, 2018",0.010188,0.014722,0.010146,0.012156,"1,288,340","10,697,600"
airtoken,"Jun 06, 2018",0.008717,0.011004,0.008454,0.010250,"755,274","9,152,820"
airtoken,"Jun 05, 2018",0.005689,0.009719,0.005599,0.008397,"897,081","5,973,420"
airtoken,"Jun 04, 2018",0.005536,0.005713,0.005073,0.005613,"296,132","5,812,500"
airtoken,"Jun 03, 2018",0.005544,0.005583,0.005133,0.005544,"87,559","5,820,720"
airtoken,"Jun 02, 2018",0.005682,0.005732,0.005484,0.005574,"80,411","5,966,520"
airtoken,"Jun 01, 2018",0.005130,0.005735,0.004992,0.005721,"115,429","5,386,400"
airtoken,"May 31, 2018",0.005472,0.005536,0.004823,0.005118,"127,247","5,746,090"
airtoken,"May 30, 2018",0.005292,0.005584,0.005213,0.005515,"26,451","5,556,230"
airtoken,"May 29, 2018",0.005481,0.005718,0.005152,0.005245,"149,910","5,754,710"
airtoken,"May 28, 2018",0.005759,0.005821,0.005379,0.005525,"93,629","6,047,450"
airtoken,"May 27, 2018",0.006203,0.006203,0.005655,0.005680,"71,002","6,513,150"
airtoken,"May 26, 2018",0.005929,0.006400,0.005775,0.006120,"114,196","6,225,120"
airtoken,"May 25, 2018",0.005863,0.006616,0.005597,0.005909,"110,061","6,156,360"
