Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
allion,"Jul 02, 2018",0.012122,0.012130,0.010064,0.011069,203,"75,149"
allion,"Jul 01, 2018",0.010263,0.012210,0.010150,0.012121,1,"63,622"
allion,"Jun 30, 2018",0.009579,0.010297,0.009334,0.010260,121,"59,382"
allion,"Jun 29, 2018",0.008509,0.009730,0.008413,0.009566,298,"52,752"
allion,"Jun 28, 2018",0.009264,0.009276,0.008456,0.008504,20,"57,434"
allion,"Jun 27, 2018",0.009557,0.009630,0.008514,0.009261,218,"59,249"
allion,"Jun 26, 2018",0.009310,0.010035,0.009090,0.009561,165,"57,714"
allion,"Jun 25, 2018",0.009310,0.009342,0.008841,0.009310,305,"57,719"
allion,"Jun 24, 2018",0.011230,0.011248,0.009277,0.009328,106,"69,620"
allion,"Jun 23, 2018",0.009078,0.011361,0.009030,0.011232,104,"56,277"
allion,"Jun 22, 2018",0.010306,0.010477,0.008917,0.009077,18,"63,891"
allion,"Jun 21, 2018",0.010146,0.010319,0.010096,0.010317,11,"62,898"
allion,"Jun 20, 2018",0.009811,0.010148,0.009566,0.010144,83,"60,824"
allion,"Jun 19, 2018",0.009422,0.009875,0.009419,0.009805,127,"58,412"
allion,"Jun 18, 2018",0.010299,0.010410,0.009404,0.009427,50,"63,845"
allion,"Jun 17, 2018",0.009661,0.010396,0.009174,0.010334,35,"59,894"
allion,"Jun 16, 2018",0.011444,0.011577,0.009536,0.009636,43,"70,946"
allion,"Jun 15, 2018",0.010506,0.011588,0.009817,0.011486,42,"65,129"
allion,"Jun 14, 2018",0.010329,0.010648,0.009081,0.010523,736,"64,031"
allion,"Jun 13, 2018",0.010658,0.010670,0.010071,0.010333,177,"66,071"
allion,"Jun 12, 2018",0.011098,0.011583,0.010226,0.010630,183,"68,801"
allion,"Jun 11, 2018",0.011495,0.012148,0.009039,0.011104,658,"71,262"
allion,"Jun 10, 2018",0.011190,0.028646,0.010887,0.011479,"6,549","69,369"
allion,"Jun 09, 2018",0.016322,0.016442,0.011043,0.011176,234,"101,186"
allion,"Jun 08, 2018",0.013183,0.016371,0.012755,0.016329,192,"81,728"
allion,"Jun 07, 2018",0.014778,0.014954,0.009609,0.013173,904,"91,611"
allion,"Jun 06, 2018",0.013987,0.015324,0.013957,0.014764,42,"86,711"
allion,"Jun 05, 2018",0.013385,0.014000,0.012912,0.013991,76,"82,976"
allion,"Jun 04, 2018",0.014416,0.014416,0.013333,0.013375,76,"89,368"
allion,"Jun 03, 2018",0.014430,0.014471,0.014307,0.014409,27,"89,456"
allion,"Jun 02, 2018",0.014392,0.014683,0.014311,0.014426,5,"89,222"
allion,"Jun 01, 2018",0.013064,0.016208,0.012669,0.014398,82,"80,990"
allion,"May 31, 2018",0.012762,0.014993,0.012705,0.013055,22,"79,116"
allion,"May 30, 2018",0.014328,0.014984,0.010056,0.012764,358,"88,827"
allion,"May 29, 2018",0.014872,0.016544,0.014066,0.014319,289,"92,199"
allion,"May 28, 2018",0.014461,0.020292,0.012008,0.014877,"1,941","89,650"
allion,"May 27, 2018",0.016383,0.016481,0.013752,0.014458,40,"101,561"
allion,"May 26, 2018",0.014208,0.014503,0.013710,0.013792,14,"88,079"
allion,"May 25, 2018",0.014313,0.015597,0.013514,0.014226,124,"88,733"
allion,"May 24, 2018",0.014147,0.015472,0.014049,0.014286,43,"87,701"
allion,"May 23, 2018",0.014226,0.016937,0.014002,0.014183,56,"88,195"
allion,"May 22, 2018",0.017408,0.017422,0.012455,0.014241,345,"107,920"
allion,"May 21, 2018",0.018305,0.018417,0.016305,0.017411,41,"113,478"
allion,"May 20, 2018",0.016662,0.020072,0.013787,0.018282,438,"103,292"
allion,"May 19, 2018",0.016489,0.016800,0.016430,0.016649,76,"102,219"
allion,"May 18, 2018",0.016396,0.016551,0.015291,0.016491,85,"101,645"
allion,"May 17, 2018",0.020173,0.020285,0.016288,0.016382,44,"125,058"
allion,"May 16, 2018",0.014999,0.020267,0.014983,0.020161,292,"92,986"
allion,"May 15, 2018",0.019058,0.019290,0.014921,0.015008,59,"118,144"
allion,"May 14, 2018",0.016657,0.019527,0.014779,0.019090,394,"103,266"
allion,"May 13, 2018",0.012894,0.016685,0.012796,0.016661,166,"79,934"
allion,"May 12, 2018",0.012121,0.013162,0.011695,0.012898,174,"75,144"
allion,"May 11, 2018",0.021961,0.021961,0.012076,0.012157,169,"136,147"
allion,"May 10, 2018",0.013920,0.023860,0.012228,0.021935,255,"86,296"
allion,"May 09, 2018",0.015263,0.017543,0.012078,0.013924,932,"94,623"
allion,"May 08, 2018",0.017085,0.017152,0.015180,0.015287,139,"105,918"
allion,"May 07, 2018",0.019525,0.027962,0.015917,0.017049,"1,734","121,040"
allion,"May 06, 2018",0.018478,0.118406,0.013219,0.019511,"33,688","114,551"
allion,"May 05, 2018",0.015799,0.018723,0.015774,0.018465,223,"97,944"
allion,"May 04, 2018",0.017993,0.017993,0.015414,0.015807,65,"111,548"
allion,"May 03, 2018",0.015046,0.018272,0.014998,0.018000,260,"93,276"
allion,"May 02, 2018",0.012415,0.015104,0.011963,0.015045,13,"76,964"
allion,"May 01, 2018",0.016264,0.016264,0.012278,0.012434,80,"100,825"
allion,"Apr 30, 2018",0.019179,0.019255,0.016235,0.016250,5,"118,898"
allion,"Apr 29, 2018",0.015700,0.019200,0.015700,0.019186,22,"97,332"
allion,"Apr 28, 2018",0.013388,0.015852,0.013354,0.015707,149,"82,997"
allion,"Apr 27, 2018",0.015991,0.015991,0.013434,0.013434,199,"99,134"
allion,"Apr 26, 2018",0.013867,0.016005,0.013268,0.015969,553,"85,965"
allion,"Apr 25, 2018",0.015323,0.015512,0.013898,0.014883,112,"94,992"
allion,"Apr 24, 2018",0.015793,0.018389,0.015786,0.017576,5,"97,904"
allion,"Apr 23, 2018",0.017383,0.017401,0.015318,0.015779,132,"107,766"
allion,"Apr 22, 2018",0.017931,0.022046,0.015657,0.017418,774,"111,162"
allion,"Apr 21, 2018",0.017868,0.020096,0.017723,0.017931,236,"110,770"
