Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
amlt,"Jul 02, 2018",0.020063,0.020785,0.019832,0.020231,"178,360","1,695,670"
amlt,"Jul 01, 2018",0.020840,0.020945,0.019408,0.020054,"129,634","1,761,390"
amlt,"Jun 30, 2018",0.020001,0.022091,0.019978,0.020781,"120,012","1,690,500"
amlt,"Jun 29, 2018",0.021535,0.022427,0.018781,0.019975,"107,462","1,820,080"
amlt,"Jun 28, 2018",0.025937,0.025990,0.020185,0.021523,"95,941","2,192,140"
amlt,"Jun 27, 2018",0.025234,0.026167,0.025081,0.025908,"133,469","2,132,770"
amlt,"Jun 26, 2018",0.026234,0.026447,0.025215,0.025244,"142,207","2,217,300"
amlt,"Jun 25, 2018",0.026915,0.027150,0.026154,0.026227,"159,973","2,252,270"
amlt,"Jun 24, 2018",0.028165,0.028229,0.025329,0.026982,"170,787","2,356,890"
amlt,"Jun 23, 2018",0.028850,0.029367,0.028057,0.028181,"116,206","2,414,130"
amlt,"Jun 22, 2018",0.034491,0.034509,0.028342,0.028885,"100,595","2,886,190"
amlt,"Jun 21, 2018",0.036322,0.036584,0.033892,0.034521,"128,694","3,039,420"
amlt,"Jun 20, 2018",0.038553,0.038564,0.036278,0.036324,"125,879","3,226,140"
amlt,"Jun 19, 2018",0.038830,0.039057,0.038016,0.038529,"148,902","3,249,280"
amlt,"Jun 18, 2018",0.038119,0.039181,0.037009,0.039001,"118,316","3,189,760"
amlt,"Jun 17, 2018",0.030647,0.039720,0.023141,0.038175,"158,929","2,564,560"
amlt,"Jun 16, 2018",0.039746,0.040632,0.030495,0.030626,"49,929","3,325,970"
amlt,"Jun 15, 2018",0.037623,0.046056,0.035215,0.039876,"170,489","3,148,250"
amlt,"Jun 14, 2018",0.034009,0.037613,0.033982,0.037613,"194,860","2,845,900"
amlt,"Jun 13, 2018",0.033258,0.033983,0.031137,0.033954,"145,606","2,783,000"
amlt,"Jun 12, 2018",0.041781,0.041823,0.032959,0.033115,"106,791","3,496,250"
amlt,"Jun 11, 2018",0.043597,0.043605,0.040776,0.041734,"146,843","3,648,180"
amlt,"Jun 10, 2018",0.046329,0.046329,0.040959,0.043530,"112,872","3,876,810"
amlt,"Jun 09, 2018",0.047523,0.048032,0.044971,0.046151,"172,593","3,976,730"
amlt,"Jun 08, 2018",0.046282,0.047594,0.032603,0.047531,"122,715","3,872,880"
amlt,"Jun 07, 2018",0.046189,0.046885,0.041848,0.046224,"69,947","3,865,090"
amlt,"Jun 06, 2018",0.046111,0.046642,0.045334,0.046165,"126,501","3,858,590"
amlt,"Jun 05, 2018",0.047412,0.047434,0.045466,0.046147,"159,790","3,967,470"
amlt,"Jun 04, 2018",0.056267,0.056908,0.042023,0.047551,"105,683","4,708,420"
amlt,"Jun 03, 2018",0.047123,0.058716,0.046956,0.056326,"153,854","3,943,220"
amlt,"Jun 02, 2018",0.046508,0.047496,0.044224,0.047129,"133,547","3,891,820"
amlt,"Jun 01, 2018",0.052040,0.052379,0.045703,0.046525,"77,198","4,354,700"
amlt,"May 31, 2018",0.052654,0.053408,0.051420,0.052025,"158,928","4,406,050"
amlt,"May 30, 2018",0.054178,0.055444,0.051907,0.052633,"129,393","4,533,590"
amlt,"May 29, 2018",0.048115,0.055073,0.047939,0.054142,"152,663","4,026,260"
amlt,"May 28, 2018",0.055720,0.055829,0.040575,0.048207,"104,421","4,662,680"
amlt,"May 27, 2018",0.054834,0.060602,0.052085,0.055702,"157,092","4,588,530"
amlt,"May 26, 2018",0.061403,0.061403,0.054041,0.054735,"127,739","5,138,180"
amlt,"May 25, 2018",0.049447,0.061446,0.047841,0.061446,"162,361","4,137,750"
amlt,"May 24, 2018",0.047974,0.050657,0.046889,0.049275,"140,614","4,014,450"
amlt,"May 23, 2018",0.056572,0.056831,0.047687,0.047935,"111,298","4,733,900"
amlt,"May 22, 2018",0.060491,0.060755,0.056298,0.056552,"88,551","5,061,920"
amlt,"May 21, 2018",0.063912,0.063955,0.059989,0.060689,"142,103","5,348,160"
amlt,"May 20, 2018",0.065412,0.073596,0.053449,0.063762,"98,497","5,473,700"
amlt,"May 19, 2018",0.052995,0.067080,0.049292,0.065315,"172,916","4,434,590"
amlt,"May 18, 2018",0.043907,0.053922,0.042978,0.053050,"146,991","3,674,130"
amlt,"May 17, 2018",0.056511,0.057163,0.033280,0.043892,"110,190","4,716,420"
amlt,"May 16, 2018",0.059653,0.059752,0.056091,0.056496,"148,716","4,978,660"
amlt,"May 15, 2018",0.050998,0.065535,0.048931,0.059670,"148,121","4,256,310"
amlt,"May 14, 2018",0.042579,0.052988,0.040502,0.051052,"148,309","3,553,660"
amlt,"May 13, 2018",0.041603,0.043058,0.040974,0.042653,"137,376","3,472,220"
amlt,"May 12, 2018",0.042076,0.043205,0.039460,0.041570,"145,116","3,511,660"
amlt,"May 11, 2018",0.037023,0.044141,0.025626,0.042181,"130,400","3,089,950"
amlt,"May 10, 2018",0.045546,0.046183,0.036244,0.036282,"120,318","3,801,260"
amlt,"May 09, 2018",0.046118,0.046157,0.043607,0.045540,"122,526","3,849,050"
amlt,"May 08, 2018",0.047776,0.048429,0.044447,0.046185,"186,511","3,987,420"
amlt,"May 07, 2018",0.055154,0.055183,0.047308,0.047687,"120,830","4,587,140"
amlt,"May 06, 2018",0.055600,0.057044,0.051463,0.054985,"145,623","4,624,260"
amlt,"May 05, 2018",0.054500,0.057194,0.052253,0.055576,"169,620","4,532,800"
amlt,"May 04, 2018",0.052894,0.055817,0.050882,0.054498,"308,035","4,399,200"
amlt,"May 03, 2018",0.052866,0.057904,0.044740,0.049101,"297,028",-
amlt,"May 02, 2018",0.047017,0.059436,0.046596,0.054027,"500,296",-
amlt,"May 01, 2018",0.056180,0.056180,0.046505,0.047119,"4,736",-
amlt,"Apr 30, 2018",0.051359,0.059057,0.049048,0.056064,"14,918",-
amlt,"Apr 29, 2018",0.047988,0.053574,0.046533,0.051411,"19,504",-
amlt,"Apr 28, 2018",0.055200,0.057112,0.044917,0.047998,"502,041",-
amlt,"Apr 27, 2018",0.046522,0.056795,0.043911,0.055530,"644,145",-
amlt,"Apr 26, 2018",0.051932,0.054137,0.043056,0.046450,"395,019",-
amlt,"Apr 25, 2018",0.058688,0.061891,0.050536,0.051459,"249,349",-
amlt,"Apr 24, 2018",0.054368,0.061522,0.052372,0.058874,"385,222",-
amlt,"Apr 23, 2018",0.047074,0.057101,0.043317,0.054331,"841,541",-
amlt,"Apr 22, 2018",0.041485,0.049558,0.033986,0.047217,"1,047,740",-
amlt,"Apr 21, 2018",0.048822,0.049168,0.041401,0.041628,"1,006,340",-
amlt,"Apr 20, 2018",0.053660,0.054497,0.043173,0.048299,"675,104",-
amlt,"Apr 19, 2018",0.056350,0.057966,0.051482,0.053655,"767,291",-
amlt,"Apr 18, 2018",0.055720,0.059077,0.055720,0.056177,"776,203",-
amlt,"Apr 17, 2018",0.056923,0.058052,0.055431,0.055625,"1,073,860",-
amlt,"Apr 16, 2018",0.057351,0.058324,0.055479,0.056903,"1,417,920",-
amlt,"Apr 15, 2018",0.053081,0.057469,0.052787,0.057333,"1,397,830",-
amlt,"Apr 14, 2018",0.054142,0.055804,0.050554,0.053072,"876,615",-
amlt,"Apr 13, 2018",0.055455,0.059555,0.053133,0.054056,"1,293,130",-
amlt,"Apr 12, 2018",0.054237,0.058193,0.046483,0.055269,"1,145,610",-
amlt,"Apr 11, 2018",0.051818,0.056378,0.051373,0.054409,"2,020,320",-
amlt,"Apr 10, 2018",0.049243,0.051944,0.047407,0.051729,"1,572,400",-
amlt,"Apr 09, 2018",0.054798,0.057119,0.048798,0.049123,"801,542",-
amlt,"Apr 08, 2018",0.052743,0.055787,0.052690,0.054691,"655,382",-
amlt,"Apr 07, 2018",0.050943,0.053813,0.050835,0.052712,"1,397,420",-
amlt,"Apr 06, 2018",0.054651,0.055155,0.050471,0.050946,"1,604,470",-
amlt,"Apr 05, 2018",0.057276,0.057333,0.052816,0.054846,"1,285,580",-
amlt,"Apr 04, 2018",0.065383,0.065451,0.056778,0.057217,"1,862,050",-
amlt,"Apr 03, 2018",0.060261,0.066033,0.059969,0.065307,"1,089,020",-
amlt,"Apr 02, 2018",0.060698,0.062324,0.056384,0.060210,"759,234",-
amlt,"Apr 01, 2018",0.062362,0.063162,0.058305,0.060527,"1,072,610",-
amlt,"Mar 31, 2018",0.063801,0.066224,0.059836,0.062303,"965,616",-
amlt,"Mar 30, 2018",0.060439,0.063678,0.057073,0.063678,"778,767",-
amlt,"Mar 29, 2018",0.069086,0.069396,0.059482,0.060587,"510,741",-
amlt,"Mar 28, 2018",0.061368,0.069621,0.061025,0.068987,"377,573",-
amlt,"Mar 27, 2018",0.072454,0.072481,0.060018,0.061369,"172,875",-
amlt,"Mar 26, 2018",0.072857,0.075097,0.066189,0.072550,"659,665",-
amlt,"Mar 25, 2018",0.075997,0.081655,0.068942,0.073003,"787,782",-
amlt,"Mar 24, 2018",0.079535,0.083625,0.075067,0.076871,"316,646",-
amlt,"Mar 23, 2018",0.074371,0.079419,0.074371,0.078829,"263,017",-
