Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
anoncoin,"Jul 02, 2018",1.59,1.59,1.52,1.55,281,"3,348,330"
anoncoin,"Jul 01, 2018",1.08,1.60,1.06,1.59,"2,850","2,278,950"
anoncoin,"Jun 30, 2018",1.04,1.15,1.04,1.08,230,"2,203,380"
anoncoin,"Jun 29, 2018",0.979332,1.22,0.968200,1.04,555,"2,066,700"
anoncoin,"Jun 28, 2018",1.53,1.53,0.973184,0.979712,"2,087","3,229,640"
anoncoin,"Jun 27, 2018",0.878918,1.54,0.873180,1.53,"5,538","1,854,790"
anoncoin,"Jun 26, 2018",1.05,1.05,0.878444,0.879271,135,"2,214,900"
anoncoin,"Jun 25, 2018",1.11,1.11,0.864072,1.05,542,"2,334,800"
anoncoin,"Jun 24, 2018",1.02,1.12,0.717184,1.11,645,"2,144,000"
anoncoin,"Jun 23, 2018",0.745963,1.03,0.744669,1.02,993,"1,574,220"
anoncoin,"Jun 22, 2018",1.11,1.11,0.731995,0.745865,154,"2,334,500"
anoncoin,"Jun 21, 2018",1.11,1.12,0.821328,1.11,398,"2,347,170"
anoncoin,"Jun 20, 2018",1.12,1.12,0.768109,1.11,552,"2,366,350"
anoncoin,"Jun 19, 2018",1.14,1.15,0.964184,1.12,316,"2,400,290"
anoncoin,"Jun 18, 2018",1.13,1.18,1.06,1.14,645,"2,391,240"
anoncoin,"Jun 17, 2018",1.07,1.15,0.326202,1.14,"9,304","2,256,240"
anoncoin,"Jun 16, 2018",1.05,1.27,1.05,1.07,849,"2,216,660"
anoncoin,"Jun 15, 2018",1.06,1.30,1.05,1.05,678,"2,243,970"
anoncoin,"Jun 14, 2018",1.08,1.30,1.06,1.07,"1,375","2,269,100"
anoncoin,"Jun 13, 2018",1.12,1.13,1.06,1.08,"1,016","2,363,630"
anoncoin,"Jun 12, 2018",1.17,1.31,1.11,1.12,217,"2,471,800"
anoncoin,"Jun 11, 2018",1.63,1.64,1.14,1.17,2,"3,429,550"
anoncoin,"Jun 10, 2018",1.28,1.76,1.23,1.62,196,"2,692,900"
anoncoin,"Jun 09, 2018",1.53,1.91,1.18,1.27,398,"3,219,130"
anoncoin,"Jun 08, 2018",1.46,2.29,1.07,1.53,"9,506","3,080,380"
anoncoin,"Jun 07, 2018",1.57,1.59,1.07,1.46,"4,977","3,312,430"
anoncoin,"Jun 06, 2018",1.57,1.58,1.54,1.57,919,"3,314,300"
anoncoin,"Jun 05, 2018",1.54,1.98,1.52,1.57,"1,154","3,245,610"
anoncoin,"Jun 04, 2018",1.62,1.70,1.53,1.54,960,"3,416,330"
anoncoin,"Jun 03, 2018",1.60,1.77,1.60,1.62,"1,023","3,383,510"
anoncoin,"Jun 02, 2018",1.58,1.61,1.57,1.60,"2,509","3,339,050"
anoncoin,"Jun 01, 2018",1.75,2.05,1.56,1.58,"1,270","3,683,670"
anoncoin,"May 31, 2018",1.99,2.09,1.70,1.74,726,"4,206,380"
anoncoin,"May 30, 2018",2.02,2.04,1.68,1.99,"1,289","4,253,220"
anoncoin,"May 29, 2018",1.45,2.25,1.21,2.01,"2,854","3,057,190"
anoncoin,"May 28, 2018",1.55,1.56,1.44,1.45,"2,434","3,270,740"
anoncoin,"May 27, 2018",1.83,1.83,1.54,1.55,335,"3,866,280"
anoncoin,"May 26, 2018",2.13,2.17,1.83,1.83,"8,482","4,492,310"
anoncoin,"May 25, 2018",2.65,2.67,2.10,2.13,"8,555","5,585,940"
anoncoin,"May 24, 2018",1.92,2.66,1.92,2.64,"1,024","4,054,430"
anoncoin,"May 23, 2018",2.24,3.18,1.91,1.93,"2,859","4,729,140"
anoncoin,"May 22, 2018",3.19,3.29,2.24,2.24,"15,554","6,738,730"
anoncoin,"May 21, 2018",2.90,3.20,2.49,3.19,"1,366","6,118,480"
anoncoin,"May 20, 2018",2.43,2.93,2.42,2.90,421,"5,135,050"
anoncoin,"May 19, 2018",2.88,3.34,2.28,2.43,"4,689","6,085,380"
anoncoin,"May 18, 2018",2.50,3.04,1.60,2.88,"17,742","5,284,640"
anoncoin,"May 17, 2018",1.61,2.78,1.59,2.50,"10,755","3,395,800"
anoncoin,"May 16, 2018",2.03,2.06,1.57,1.61,"1,687","4,293,920"
anoncoin,"May 15, 2018",1.73,2.05,1.40,2.04,"3,536","3,661,170"
anoncoin,"May 14, 2018",1.89,2.23,1.26,2.21,"4,778","3,986,960"
anoncoin,"May 13, 2018",2.20,2.22,1.11,1.89,"3,589","4,643,590"
anoncoin,"May 12, 2018",0.839493,2.22,0.823581,2.20,"7,239","1,771,600"
anoncoin,"May 11, 2018",2.02,2.02,0.841968,0.841968,"12,143","4,253,260"
anoncoin,"May 10, 2018",1.72,2.64,1.59,2.01,"11,427","3,637,580"
anoncoin,"May 09, 2018",0.921000,1.96,0.900329,1.72,"3,349","1,943,600"
anoncoin,"May 08, 2018",1.26,1.79,0.889092,0.922410,"3,763","2,667,570"
anoncoin,"May 07, 2018",0.942141,1.26,0.901051,1.26,"2,082","1,988,220"
anoncoin,"May 06, 2018",0.982867,1.03,0.925561,0.941466,154,"2,074,160"
anoncoin,"May 05, 2018",0.930588,0.995890,0.929127,0.982202,"1,489","1,963,840"
anoncoin,"May 04, 2018",0.935774,1.02,0.918003,0.931030,"1,391","1,974,780"
anoncoin,"May 03, 2018",0.921920,1.02,0.867655,0.936140,"1,062","1,945,540"
anoncoin,"May 02, 2018",0.853830,0.970219,0.844753,0.921887,206,"1,801,850"
anoncoin,"May 01, 2018",0.887119,0.887119,0.833391,0.855118,459,"1,872,100"
anoncoin,"Apr 30, 2018",0.940152,0.943895,0.881829,0.886344,249,"1,984,020"
anoncoin,"Apr 29, 2018",0.934546,0.952532,0.919878,0.940466,194,"1,972,190"
anoncoin,"Apr 28, 2018",0.891562,1.02,0.875654,0.934910,194,"1,881,480"
anoncoin,"Apr 27, 2018",0.929711,0.937117,0.881772,0.894630,664,"1,961,980"
anoncoin,"Apr 26, 2018",0.886298,0.930496,0.827056,0.928426,148,"1,870,370"
anoncoin,"Apr 25, 2018",0.882521,1.01,0.792251,0.879012,397,"1,862,400"
anoncoin,"Apr 24, 2018",0.803691,1.03,0.803329,0.888558,306,"1,696,040"
anoncoin,"Apr 23, 2018",0.878029,0.982346,0.795527,0.803007,593,"1,852,920"
anoncoin,"Apr 22, 2018",0.803724,0.895528,0.788721,0.879804,124,"1,696,110"
anoncoin,"Apr 21, 2018",0.795948,0.897219,0.786983,0.892828,520,"1,679,700"
anoncoin,"Apr 20, 2018",0.744276,0.934721,0.741245,0.795675,496,"1,570,660"
anoncoin,"Apr 19, 2018",0.698050,0.939927,0.697380,0.743788,"6,826","1,473,110"
anoncoin,"Apr 18, 2018",0.761974,0.776586,0.678913,0.697533,"1,027","1,608,010"
anoncoin,"Apr 17, 2018",0.776776,0.789899,0.758788,0.761268,175,"1,639,240"
anoncoin,"Apr 16, 2018",0.797392,0.955028,0.756555,0.776384,168,"1,682,750"
anoncoin,"Apr 15, 2018",0.800123,0.915395,0.767502,0.797728,388,"1,688,510"
anoncoin,"Apr 14, 2018",0.708026,1.14,0.705597,0.799266,159,"1,494,160"
anoncoin,"Apr 13, 2018",0.950117,1.17,0.686376,0.708027,"3,258","2,005,050"
