Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
artbyte,"Jul 02, 2018",0.003631,0.004024,0.003595,0.003830,"12,888","2,877,530"
artbyte,"Jul 01, 2018",0.003755,0.003775,0.003596,0.003626,"5,605","2,976,100"
artbyte,"Jun 30, 2018",0.003522,0.003811,0.003505,0.003754,"5,298","2,790,940"
artbyte,"Jun 29, 2018",0.003430,0.003671,0.003301,0.003648,"3,776","2,718,400"
artbyte,"Jun 28, 2018",0.003496,0.003704,0.003407,0.003425,"4,606","2,771,070"
artbyte,"Jun 27, 2018",0.003541,0.003730,0.003428,0.003496,"3,389","2,806,070"
artbyte,"Jun 26, 2018",0.003965,0.003973,0.003538,0.003542,"4,055","3,142,410"
artbyte,"Jun 25, 2018",0.003966,0.004144,0.003900,0.003963,"4,711","3,143,220"
artbyte,"Jun 24, 2018",0.004201,0.004211,0.003605,0.003971,"8,925","3,329,730"
artbyte,"Jun 23, 2018",0.004085,0.004300,0.004020,0.004201,"3,220","3,237,480"
artbyte,"Jun 22, 2018",0.004646,0.004654,0.004022,0.004083,"11,879","3,682,160"
artbyte,"Jun 21, 2018",0.004727,0.004802,0.004635,0.004650,"2,516","3,746,530"
artbyte,"Jun 20, 2018",0.004861,0.004866,0.004501,0.004727,"7,666","3,852,680"
artbyte,"Jun 19, 2018",0.004715,0.004993,0.004686,0.004858,"9,431","3,736,980"
artbyte,"Jun 18, 2018",0.004477,0.004825,0.004441,0.004717,"10,481","3,548,470"
artbyte,"Jun 17, 2018",0.004570,0.004729,0.004493,0.004493,"4,121","3,622,040"
artbyte,"Jun 16, 2018",0.004627,0.004744,0.004421,0.004558,"11,082","3,667,400"
artbyte,"Jun 15, 2018",0.004958,0.005013,0.004608,0.004643,"17,642","3,929,750"
artbyte,"Jun 14, 2018",0.004370,0.004987,0.004296,0.004968,"13,023","3,463,300"
artbyte,"Jun 13, 2018",0.004927,0.004927,0.004268,0.004371,"32,032","3,904,890"
artbyte,"Jun 12, 2018",0.005240,0.005353,0.004805,0.004920,"21,379","4,152,600"
artbyte,"Jun 11, 2018",0.005274,0.005409,0.005029,0.005244,"17,776","4,180,210"
artbyte,"Jun 10, 2018",0.005705,0.005705,0.004987,0.005355,"18,168","4,521,600"
artbyte,"Jun 09, 2018",0.005817,0.005949,0.005601,0.005697,"8,777","4,610,250"
artbyte,"Jun 08, 2018",0.005782,0.006103,0.005750,0.005818,"11,020","4,582,070"
artbyte,"Jun 07, 2018",0.005988,0.006052,0.005745,0.005777,"8,060","4,746,000"
artbyte,"Jun 06, 2018",0.005881,0.006078,0.005731,0.005983,"13,275","4,660,820"
artbyte,"Jun 05, 2018",0.005929,0.005946,0.005695,0.005881,"7,524","4,699,190"
artbyte,"Jun 04, 2018",0.006329,0.006392,0.005847,0.005926,"10,960","5,016,080"
artbyte,"Jun 03, 2018",0.006259,0.006637,0.006187,0.006395,"21,236","4,960,730"
artbyte,"Jun 02, 2018",0.006238,0.006423,0.006136,0.006258,"6,597","4,944,230"
artbyte,"Jun 01, 2018",0.006308,0.006432,0.006068,0.006241,"16,168","4,999,670"
artbyte,"May 31, 2018",0.006200,0.006510,0.006037,0.006300,"12,154","4,914,020"
artbyte,"May 30, 2018",0.006199,0.006480,0.006072,0.006203,"5,044","4,913,250"
artbyte,"May 29, 2018",0.005835,0.006350,0.005744,0.006195,"16,375","4,624,520"
artbyte,"May 28, 2018",0.006084,0.006242,0.005824,0.005838,"5,306","4,822,070"
artbyte,"May 27, 2018",0.006268,0.006438,0.006028,0.006083,"9,063","4,967,440"
artbyte,"May 26, 2018",0.006431,0.006644,0.006226,0.006256,"8,412","5,096,920"
artbyte,"May 25, 2018",0.006729,0.006862,0.006359,0.006439,"11,797","5,333,160"
artbyte,"May 24, 2018",0.006395,0.006747,0.006261,0.006715,"18,821","5,068,100"
artbyte,"May 23, 2018",0.007198,0.007205,0.006359,0.006411,"19,045","5,704,400"
artbyte,"May 22, 2018",0.007579,0.007839,0.007017,0.007205,"34,231","6,006,710"
artbyte,"May 21, 2018",0.007885,0.007975,0.007434,0.007580,"21,188","6,249,490"
artbyte,"May 20, 2018",0.007697,0.008065,0.007543,0.007876,"16,317","6,099,910"
artbyte,"May 19, 2018",0.007892,0.007919,0.007597,0.007692,"7,454","6,254,880"
artbyte,"May 18, 2018",0.007455,0.007896,0.007091,0.007893,"22,185","5,908,190"
artbyte,"May 17, 2018",0.007851,0.008042,0.007410,0.007456,"18,995","6,222,070"
artbyte,"May 16, 2018",0.007981,0.008125,0.007611,0.007847,"14,867","6,325,400"
artbyte,"May 15, 2018",0.008177,0.008553,0.007940,0.008061,"26,651","6,480,860"
artbyte,"May 14, 2018",0.008481,0.008504,0.007752,0.008197,"23,037","6,721,390"
artbyte,"May 13, 2018",0.008044,0.008548,0.007818,0.008480,"16,318","6,375,350"
artbyte,"May 12, 2018",0.007960,0.008379,0.007668,0.008045,"28,380","6,308,710"
artbyte,"May 11, 2018",0.008963,0.009016,0.007853,0.007981,"36,875","7,103,820"
artbyte,"May 10, 2018",0.009427,0.009880,0.008949,0.008953,"53,077","7,471,310"
artbyte,"May 09, 2018",0.009477,0.009665,0.009173,0.009430,"19,471","7,510,840"
artbyte,"May 08, 2018",0.010226,0.010333,0.009326,0.009493,"84,438","8,104,540"
artbyte,"May 07, 2018",0.010577,0.011034,0.010160,0.010383,"156,982","8,382,460"
artbyte,"May 06, 2018",0.009820,0.010913,0.009317,0.010570,"148,377","7,782,820"
artbyte,"May 05, 2018",0.009884,0.010248,0.009515,0.009643,"22,969","7,833,600"
artbyte,"May 04, 2018",0.009937,0.010170,0.009607,0.009889,"42,615","7,875,830"
artbyte,"May 03, 2018",0.009672,0.010044,0.009604,0.009942,"43,160","7,665,330"
artbyte,"May 02, 2018",0.009154,0.009854,0.008929,0.009672,"42,896","7,254,800"
artbyte,"May 01, 2018",0.009068,0.009247,0.008656,0.009088,"39,959","7,186,670"
artbyte,"Apr 30, 2018",0.009415,0.009679,0.008998,0.009061,"42,123","7,461,600"
artbyte,"Apr 29, 2018",0.009801,0.009978,0.009215,0.009669,"38,619","7,767,620"
artbyte,"Apr 28, 2018",0.009463,0.010095,0.009436,0.009542,"40,606","7,499,540"
