Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
asiadigicoin,"Jul 02, 2018",0.001714,0.001795,0.001696,0.001784,10,"42,722"
asiadigicoin,"Jul 01, 2018",0.001725,0.001734,0.001699,0.001713,295,"42,996"
asiadigicoin,"Jun 30, 2018",0.001485,0.001787,0.001406,0.001724,"35,189","37,016"
asiadigicoin,"Jun 29, 2018",0.001351,0.001486,0.001335,0.001485,8,"33,681"
asiadigicoin,"Jun 28, 2018",0.001227,0.001382,0.001209,0.001350,"6,497","30,585"
asiadigicoin,"Jun 27, 2018",0.001216,0.001244,0.001208,0.001226,10,"30,322"
asiadigicoin,"Jun 26, 2018",0.001062,0.001361,0.001051,0.001217,"6,951","26,481"
asiadigicoin,"Jun 25, 2018",0.000986,0.001074,0.000986,0.001062,"6,403","24,588"
asiadigicoin,"Jun 23, 2018",0.001207,0.001328,0.001101,0.001101,1,"30,103"
asiadigicoin,"Jun 22, 2018",0.001361,0.001363,0.001113,0.001207,10,"33,935"
asiadigicoin,"Jun 21, 2018",0.001350,0.001476,0.001148,0.001362,46,"33,664"
asiadigicoin,"Jun 20, 2018",0.001148,0.001358,0.001120,0.001350,21,"28,630"
asiadigicoin,"Jun 19, 2018",0.001144,0.001156,0.001071,0.001148,"6,622","28,525"
asiadigicoin,"Jun 18, 2018",0.001166,0.001183,0.001080,0.001145,"10,010","29,067"
asiadigicoin,"Jun 17, 2018",0.001264,0.001269,0.001158,0.001170,10,"31,508"
asiadigicoin,"Jun 16, 2018",0.001028,0.001269,0.000817,0.001262,64,"25,617"
asiadigicoin,"Jun 15, 2018",0.001395,0.001448,0.000464,0.001031,"3,316","34,787"
asiadigicoin,"Jun 14, 2018",0.001264,0.001400,0.001261,0.001398,"7,719","31,510"
asiadigicoin,"Jun 13, 2018",0.001316,0.001316,0.001241,0.001264,23,"32,818"
asiadigicoin,"Jun 12, 2018",0.001171,0.001171,0.001144,0.001147,0,"29,191"
asiadigicoin,"Jun 11, 2018",0.001221,0.001225,0.001138,0.001172,"8,724","30,447"
asiadigicoin,"Jun 10, 2018",0.001598,0.001598,0.001598,0.001598,0,"39,830"
asiadigicoin,"Jun 09, 2018",0.001373,0.010980,0.001373,0.001598,1,"34,230"
asiadigicoin,"Jun 08, 2018",0.001363,0.001380,0.001362,0.001374,"3,360","33,991"
asiadigicoin,"Jun 05, 2018",0.001301,0.001360,0.001287,0.001289,3,"32,438"
asiadigicoin,"Jun 04, 2018",0.001590,0.001590,0.001293,0.001301,19,"39,640"
asiadigicoin,"Jun 03, 2018",0.001527,0.001670,0.001520,0.001590,1,"38,069"
asiadigicoin,"Jun 02, 2018",0.001353,0.001532,0.001345,0.001527,29,"33,732"
asiadigicoin,"Jun 01, 2018",0.001423,0.001442,0.001326,0.001354,"3,942","35,487"
asiadigicoin,"May 31, 2018",0.001624,0.001669,0.001354,0.001422,"10,679","40,500"
asiadigicoin,"May 30, 2018",0.001344,0.001625,0.001317,0.001625,"7,804","33,498"
asiadigicoin,"May 29, 2018",0.001139,0.001643,0.001133,0.001343,"8,717","28,396"
asiadigicoin,"May 28, 2018",0.001616,0.001779,0.001136,0.001139,"4,372","40,288"
asiadigicoin,"May 27, 2018",0.000954,0.001765,0.000940,0.001542,13,"23,773"
asiadigicoin,"May 26, 2018",0.001942,0.001982,0.000948,0.000953,519,"48,408"
asiadigicoin,"May 25, 2018",0.002118,0.002143,0.001861,0.001944,"13,470","52,793"
asiadigicoin,"May 24, 2018",0.002076,0.002128,0.001892,0.002114,"2,681","51,756"
asiadigicoin,"May 23, 2018",0.002241,0.002247,0.002092,0.002109,2,"55,870"
asiadigicoin,"May 22, 2018",0.002522,0.002524,0.002207,0.002243,30,"62,884"
asiadigicoin,"May 21, 2018",0.002388,0.002532,0.002352,0.002523,"5,471","59,527"
asiadigicoin,"May 20, 2018",0.002474,0.002553,0.002373,0.002385,14,"61,670"
asiadigicoin,"May 19, 2018",0.002472,0.002588,0.002221,0.002472,"16,552","61,622"
asiadigicoin,"May 18, 2018",0.004700,0.012078,0.002179,0.002472,"1,550","117,175"
asiadigicoin,"May 17, 2018",0.002505,0.004703,0.002325,0.004700,"9,050","62,440"
asiadigicoin,"May 16, 2018",0.002546,0.002548,0.002440,0.002503,"8,267","63,471"
asiadigicoin,"May 15, 2018",0.002949,0.002984,0.002533,0.002547,"4,833","73,530"
asiadigicoin,"May 14, 2018",0.002346,0.003011,0.002264,0.002954,"6,691","58,498"
asiadigicoin,"May 13, 2018",0.002710,0.002777,0.002334,0.002347,20,"67,563"
asiadigicoin,"May 12, 2018",0.002015,0.003402,0.001977,0.002711,352,"50,231"
asiadigicoin,"May 11, 2018",0.002440,0.002440,0.002007,0.002021,"10,142","60,838"
asiadigicoin,"May 10, 2018",0.002608,0.002915,0.002435,0.002437,84,"65,020"
asiadigicoin,"May 09, 2018",0.002422,0.002617,0.002383,0.002609,"14,032","60,391"
asiadigicoin,"May 08, 2018",0.002716,0.002741,0.002407,0.002425,86,"67,723"
asiadigicoin,"May 07, 2018",0.002784,0.002819,0.002616,0.002711,31,"69,417"
asiadigicoin,"May 06, 2018",0.003047,0.003075,0.002737,0.002782,109,"75,964"
asiadigicoin,"May 05, 2018",0.002811,0.003074,0.002806,0.003045,23,"70,078"
asiadigicoin,"May 04, 2018",0.002729,0.002826,0.002678,0.002812,"5,412","68,045"
asiadigicoin,"May 03, 2018",0.002950,0.002966,0.002668,0.002730,"4,745","73,551"
asiadigicoin,"May 02, 2018",0.002634,0.002961,0.002556,0.002950,"3,795","65,672"
asiadigicoin,"May 01, 2018",0.002587,0.002785,0.002529,0.002638,"4,026","64,507"
asiadigicoin,"Apr 30, 2018",0.002538,0.002777,0.002489,0.002585,"11,468","63,285"
asiadigicoin,"Apr 29, 2018",0.002657,0.002659,0.002498,0.002539,52,"66,247"
asiadigicoin,"Apr 28, 2018",0.002853,0.003017,0.002846,0.002989,74,"71,128"
asiadigicoin,"Apr 27, 2018",0.002603,0.003051,0.002580,0.002863,"4,318","64,900"
asiadigicoin,"Apr 26, 2018",0.002925,0.002925,0.002455,0.002600,"7,923","72,918"
asiadigicoin,"Apr 25, 2018",0.002812,0.003216,0.002808,0.002901,11,"70,117"
asiadigicoin,"Apr 24, 2018",0.003034,0.003125,0.002683,0.002832,"4,356","75,653"
asiadigicoin,"Apr 23, 2018",0.002459,0.003041,0.002457,0.003032,"9,429","61,299"
asiadigicoin,"Apr 22, 2018",0.002589,0.002762,0.002451,0.002464,9,"64,552"
asiadigicoin,"Apr 21, 2018",0.002564,0.002808,0.002518,0.002589,"4,365","63,927"
asiadigicoin,"Apr 20, 2018",0.002315,0.002722,0.002306,0.002563,"5,886","57,722"
asiadigicoin,"Apr 19, 2018",0.002694,0.002859,0.002290,0.002314,"5,134","67,170"
asiadigicoin,"Apr 18, 2018",0.002211,0.003252,0.002209,0.002692,"4,770","55,120"
asiadigicoin,"Apr 17, 2018",0.002737,0.002847,0.002202,0.002209,"3,714","68,232"
asiadigicoin,"Apr 16, 2018",0.003004,0.003077,0.002534,0.002735,"3,690","74,900"
asiadigicoin,"Apr 15, 2018",0.002480,0.003162,0.002480,0.003006,"4,468","61,839"
asiadigicoin,"Apr 14, 2018",0.003068,0.003141,0.002472,0.002478,"3,640","76,495"
asiadigicoin,"Apr 13, 2018",0.002613,0.003179,0.002489,0.003068,"4,453","65,146"
asiadigicoin,"Apr 12, 2018",0.002640,0.003180,0.002232,0.002610,"7,982","65,816"
asiadigicoin,"Apr 11, 2018",0.002732,0.002759,0.002077,0.002577,"35,599","68,120"
asiadigicoin,"Apr 10, 2018",0.003206,0.011909,0.002160,0.002730,"46,733","79,921"
asiadigicoin,"Apr 09, 2018",0.002389,0.003205,0.002212,0.003205,12,"59,549"
asiadigicoin,"Apr 08, 2018",0.002900,0.003051,0.002369,0.002385,29,"72,295"
asiadigicoin,"Apr 07, 2018",0.001920,0.002897,0.001917,0.002897,88,"47,872"
asiadigicoin,"Apr 06, 2018",0.001697,0.002039,0.001695,0.001918,120,"42,301"
asiadigicoin,"Apr 05, 2018",0.002581,0.002618,0.001625,0.001705,340,"64,344"
asiadigicoin,"Apr 04, 2018",0.003041,0.003691,0.002482,0.002580,256,"75,808"
asiadigicoin,"Apr 03, 2018",0.003877,0.004088,0.002652,0.003043,236,"96,659"
