Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
atomic-coin,"Jul 02, 2018",0.012244,0.013021,0.012076,0.012487,10,"203,391"
atomic-coin,"Jul 01, 2018",0.011872,0.012559,0.011771,0.012242,92,"197,050"
atomic-coin,"Jun 30, 2018",0.011480,0.011965,0.011480,0.011869,414,"190,373"
atomic-coin,"Jun 29, 2018",0.010798,0.011662,0.010559,0.011465,251,"178,887"
atomic-coin,"Jun 28, 2018",0.011295,0.012082,0.010730,0.010791,125,"186,916"
atomic-coin,"Jun 27, 2018",0.011317,0.011383,0.011088,0.011291,30,"187,013"
atomic-coin,"Jun 26, 2018",0.011783,0.011808,0.011267,0.011321,241,"194,503"
atomic-coin,"Jun 25, 2018",0.011339,0.012168,0.011283,0.011783,107,"187,008"
atomic-coin,"Jun 24, 2018",0.011778,0.011870,0.010667,0.011361,320,"194,050"
atomic-coin,"Jun 23, 2018",0.012164,0.012362,0.011487,0.011780,65,"200,205"
atomic-coin,"Jun 22, 2018",0.013299,0.013380,0.011948,0.012162,211,"218,682"
atomic-coin,"Jun 21, 2018",0.012738,0.013566,0.012726,0.013314,99,"209,252"
atomic-coin,"Jun 20, 2018",0.012965,0.013304,0.012521,0.012735,100,"212,774"
atomic-coin,"Jun 19, 2018",0.012582,0.012972,0.012535,0.012958,108,"206,234"
atomic-coin,"Jun 18, 2018",0.011983,0.012720,0.011884,0.012589,142,"196,203"
atomic-coin,"Jun 17, 2018",0.011982,0.012167,0.011891,0.012024,126,"196,009"
atomic-coin,"Jun 16, 2018",0.011699,0.012119,0.011670,0.011951,129,"191,191"
atomic-coin,"Jun 15, 2018",0.012521,0.012622,0.011678,0.011742,176,"204,440"
atomic-coin,"Jun 14, 2018",0.011545,0.012610,0.011522,0.012541,230,"188,377"
atomic-coin,"Jun 13, 2018",0.012508,0.012583,0.011415,0.011551,277,"203,943"
atomic-coin,"Jun 12, 2018",0.013500,0.013872,0.012376,0.012475,133,"219,865"
atomic-coin,"Jun 11, 2018",0.015436,0.015548,0.012223,0.013507,"1,566","251,080"
atomic-coin,"Jun 10, 2018",0.015215,0.016195,0.012985,0.015414,"1,796","247,219"
atomic-coin,"Jun 09, 2018",0.015213,0.017725,0.014303,0.016465,945,"246,966"
atomic-coin,"Jun 08, 2018",0.015870,0.015977,0.015220,0.015220,16,"257,388"
atomic-coin,"Jun 07, 2018",0.016235,0.016426,0.015462,0.015858,143,"263,042"
atomic-coin,"Jun 06, 2018",0.016867,0.016987,0.014884,0.016220,631,"273,022"
atomic-coin,"Jun 05, 2018",0.016237,0.016902,0.016003,0.016872,133,"262,517"
atomic-coin,"Jun 04, 2018",0.017194,0.018254,0.016178,0.016229,161,"277,724"
atomic-coin,"Jun 03, 2018",0.018679,0.018720,0.017026,0.017186,"4,849","301,442"
atomic-coin,"Jun 02, 2018",0.019052,0.019588,0.017253,0.018674,42,"307,164"
atomic-coin,"Jun 01, 2018",0.018948,0.019564,0.018267,0.019061,132,"305,197"
atomic-coin,"May 31, 2018",0.017392,0.019157,0.017307,0.018934,888,"279,675"
atomic-coin,"May 30, 2018",0.019169,0.019389,0.017343,0.017395,482,"307,971"
atomic-coin,"May 29, 2018",0.016879,0.019413,0.016786,0.019157,641,"270,912"
atomic-coin,"May 28, 2018",0.017571,0.017674,0.016835,0.016884,98,"281,799"
atomic-coin,"May 27, 2018",0.017751,0.017751,0.017154,0.017567,224,"284,433"
atomic-coin,"May 26, 2018",0.017658,0.018256,0.017530,0.017743,46,"282,435"
atomic-coin,"May 25, 2018",0.017857,0.017877,0.016401,0.017681,332,"284,801"
atomic-coin,"May 24, 2018",0.016310,0.017990,0.015879,0.017823,129,"259,869"
atomic-coin,"May 23, 2018",0.019203,0.019417,0.016124,0.016351,999,"305,864"
atomic-coin,"May 22, 2018",0.018621,0.020162,0.017605,0.019223,281,"296,533"
atomic-coin,"May 21, 2018",0.020078,0.020544,0.018559,0.018625,297,"319,668"
atomic-coin,"May 20, 2018",0.019373,0.021143,0.019247,0.020053,79,"308,256"
atomic-coin,"May 19, 2018",0.020125,0.021539,0.019310,0.019358,19,"319,925"
atomic-coin,"May 18, 2018",0.018365,0.021000,0.018093,0.020128,176,"291,695"
atomic-coin,"May 17, 2018",0.021262,0.022254,0.018243,0.018349,"1,026","337,398"
atomic-coin,"May 16, 2018",0.021876,0.021969,0.020264,0.021249,566,"346,826"
atomic-coin,"May 15, 2018",0.020176,0.023240,0.020078,0.021889,131,"319,557"
atomic-coin,"May 14, 2018",0.022919,0.023679,0.019836,0.020211,768,"362,641"
atomic-coin,"May 13, 2018",0.020878,0.023349,0.018746,0.022923,290,"330,022"
atomic-coin,"May 12, 2018",0.023432,0.023744,0.020617,0.020885,387,"370,050"
atomic-coin,"May 11, 2018",0.027094,0.027094,0.021841,0.023501,"1,009","427,480"
atomic-coin,"May 10, 2018",0.027704,0.028377,0.027035,0.027061,"4,620","436,724"
atomic-coin,"May 09, 2018",0.022511,0.028192,0.022062,0.027712,"4,501","354,520"
atomic-coin,"May 08, 2018",0.020885,0.023294,0.018575,0.022547,"2,333","328,606"
atomic-coin,"May 07, 2018",0.020473,0.021081,0.019681,0.020788,54,"321,781"
atomic-coin,"May 06, 2018",0.023100,0.023304,0.019659,0.020458,"1,669","362,747"
atomic-coin,"May 05, 2018",0.021995,0.023519,0.021804,0.023085,736,"345,071"
atomic-coin,"May 04, 2018",0.022160,0.023015,0.021384,0.022006,65,"347,323"
atomic-coin,"May 03, 2018",0.022572,0.023544,0.021297,0.022169,"1,113","353,394"
atomic-coin,"May 02, 2018",0.021879,0.026698,0.021294,0.022571,"4,150","342,275"
atomic-coin,"May 01, 2018",0.025076,0.026804,0.020586,0.021912,"4,234","391,912"
atomic-coin,"Apr 30, 2018",0.020555,0.025260,0.020203,0.025054,"2,845","320,963"
atomic-coin,"Apr 29, 2018",0.019093,0.020926,0.018471,0.020562,"2,591","297,843"
atomic-coin,"Apr 28, 2018",0.016699,0.020487,0.016575,0.019101,"4,889","260,208"
atomic-coin,"Apr 27, 2018",0.017681,0.018045,0.016562,0.016756,"1,257","275,259"
atomic-coin,"Apr 26, 2018",0.015923,0.017696,0.015534,0.017657,173,"247,661"
atomic-coin,"Apr 25, 2018",0.018208,0.018208,0.015292,0.015792,183,"282,935"
atomic-coin,"Apr 24, 2018",0.015452,0.018332,0.015445,0.018332,506,"239,894"
atomic-coin,"Apr 23, 2018",0.015618,0.015778,0.014677,0.015417,863,"242,244"
atomic-coin,"Apr 22, 2018",0.017410,0.017509,0.013897,0.015567,407,"269,794"
atomic-coin,"Apr 21, 2018",0.016464,0.017521,0.016287,0.017410,206,"254,896"
atomic-coin,"Apr 20, 2018",0.015557,0.016612,0.014851,0.016459,662,"240,590"
atomic-coin,"Apr 19, 2018",0.014298,0.015980,0.014182,0.015774,305,"220,923"
atomic-coin,"Apr 18, 2018",0.014481,0.014768,0.013756,0.014362,283,"223,560"
atomic-coin,"Apr 17, 2018",0.014496,0.015277,0.013521,0.014467,537,"223,598"
atomic-coin,"Apr 16, 2018",0.015733,0.015821,0.014341,0.014489,250,"242,455"
