Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
aurora-dao,"Jul 02, 2018",0.091198,0.103639,0.087689,0.102700,"25,848","12,168,100"
aurora-dao,"Jul 01, 2018",0.091687,0.094087,0.087637,0.091130,"50,616","12,233,300"
aurora-dao,"Jun 30, 2018",0.093445,0.098057,0.088899,0.091596,"31,533","12,467,900"
aurora-dao,"Jun 29, 2018",0.087471,0.094731,0.083544,0.093385,"43,020","11,669,400"
aurora-dao,"Jun 28, 2018",0.096403,0.098724,0.083916,0.087440,"42,483","12,861,000"
aurora-dao,"Jun 27, 2018",0.095303,0.105148,0.085775,0.096225,"87,900","12,714,200"
aurora-dao,"Jun 26, 2018",0.111230,0.112345,0.082431,0.095628,"89,993","14,838,900"
aurora-dao,"Jun 25, 2018",0.098189,0.112772,0.094145,0.111230,"35,442","13,099,200"
aurora-dao,"Jun 24, 2018",0.113911,0.115097,0.091461,0.098591,"103,802","15,196,700"
aurora-dao,"Jun 23, 2018",0.114188,0.119741,0.107380,0.113944,"99,849","15,233,700"
aurora-dao,"Jun 22, 2018",0.128469,0.142793,0.112423,0.114114,"86,264","17,138,800"
aurora-dao,"Jun 21, 2018",0.140575,0.148214,0.128217,0.129553,"91,324","14,325,700"
aurora-dao,"Jun 20, 2018",0.116755,0.141933,0.114738,0.140652,"98,986","11,898,200"
aurora-dao,"Jun 19, 2018",0.117417,0.123268,0.108046,0.116680,"136,265","11,965,700"
aurora-dao,"Jun 18, 2018",0.113108,0.131879,0.111846,0.119838,"142,877","11,526,500"
aurora-dao,"Jun 17, 2018",0.120355,0.120593,0.112802,0.113127,"50,195","12,265,100"
aurora-dao,"Jun 16, 2018",0.132927,0.136350,0.104155,0.120369,"170,002","13,546,300"
aurora-dao,"Jun 15, 2018",0.150805,0.151348,0.129471,0.133291,"43,081","15,368,100"
aurora-dao,"Jun 14, 2018",0.127630,0.152978,0.127194,0.150834,"87,102","13,006,400"
aurora-dao,"Jun 13, 2018",0.133895,0.154353,0.124806,0.127327,"127,702","13,644,900"
aurora-dao,"Jun 12, 2018",0.171760,0.191148,0.130969,0.134602,"147,741","17,503,600"
aurora-dao,"Jun 11, 2018",0.170844,0.182028,0.161944,0.171673,"36,509","17,410,300"
aurora-dao,"Jun 10, 2018",0.194126,0.194126,0.154053,0.170547,"68,302","19,782,800"
aurora-dao,"Jun 09, 2018",0.198046,0.206644,0.188974,0.193745,"33,960","20,182,400"
aurora-dao,"Jun 08, 2018",0.195629,0.201113,0.186375,0.197993,"24,242","19,936,100"
aurora-dao,"Jun 07, 2018",0.198969,0.203845,0.190837,0.195295,"21,316","20,276,500"
aurora-dao,"Jun 06, 2018",0.221664,0.223106,0.187869,0.199029,"210,544","22,589,300"
aurora-dao,"Jun 05, 2018",0.212018,0.226302,0.203370,0.222111,"32,738","21,606,300"
aurora-dao,"Jun 04, 2018",0.228299,0.230948,0.208083,0.212034,"86,423","23,265,400"
aurora-dao,"Jun 03, 2018",0.230562,0.242959,0.224743,0.228643,"54,663","23,496,000"
aurora-dao,"Jun 02, 2018",0.212136,0.233325,0.210369,0.230859,"33,354","21,618,300"
aurora-dao,"Jun 01, 2018",0.220483,0.224937,0.207328,0.212182,"49,452","22,468,900"
aurora-dao,"May 31, 2018",0.197510,0.220130,0.192954,0.220009,"51,404","20,127,800"
aurora-dao,"May 30, 2018",0.192420,0.223339,0.186762,0.197700,"88,859","19,609,000"
aurora-dao,"May 29, 2018",0.197173,0.206181,0.169641,0.192302,"159,935","20,093,400"
aurora-dao,"May 28, 2018",0.206692,0.217110,0.188268,0.197889,"156,943","21,063,400"
aurora-dao,"May 27, 2018",0.222574,0.222574,0.206591,0.206704,"29,227","22,682,000"
aurora-dao,"May 26, 2018",0.227524,0.236312,0.206543,0.222146,"166,510","23,186,400"
aurora-dao,"May 25, 2018",0.206217,0.230306,0.196461,0.227491,"194,758","21,015,100"
aurora-dao,"May 24, 2018",0.201070,0.250164,0.174814,0.195587,"852,100","20,490,500"
