Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
aurumcoin,"Jul 02, 2018",19.66,20.51,19.34,20.36,820,"5,857,140"
aurumcoin,"Jul 01, 2018",20.05,20.24,19.30,19.66,141,"5,973,730"
aurumcoin,"Jun 30, 2018",19.01,20.12,18.99,20.05,692,"5,663,150"
aurumcoin,"Jun 29, 2018",18.04,19.31,17.86,18.98,240,"5,374,140"
aurumcoin,"Jun 28, 2018",18.78,19.03,17.92,18.03,592,"5,594,020"
aurumcoin,"Jun 27, 2018",18.09,19.01,17.92,18.77,"1,163","5,391,380"
aurumcoin,"Jun 26, 2018",19.13,19.22,18.09,18.10,"1,040","5,699,340"
aurumcoin,"Jun 25, 2018",18.20,19.20,18.01,19.13,708,"5,424,110"
aurumcoin,"Jun 24, 2018",17.95,18.41,16.87,18.24,914,"5,346,730"
aurumcoin,"Jun 23, 2018",17.52,18.47,17.49,17.95,"1,880","5,218,780"
aurumcoin,"Jun 22, 2018",19.34,20.01,17.33,17.51,"1,016","5,761,640"
aurumcoin,"Jun 21, 2018",19.31,21.20,19.29,19.36,"1,223","5,753,650"
aurumcoin,"Jun 20, 2018",18.64,20.97,18.19,19.31,"1,805","5,553,510"
aurumcoin,"Jun 19, 2018",17.97,21.31,17.80,18.63,"6,471","5,354,860"
aurumcoin,"Jun 18, 2018",13.18,18.39,13.08,17.98,"2,862","3,926,030"
aurumcoin,"Jun 17, 2018",13.15,14.05,12.68,13.22,"1,294","3,919,110"
aurumcoin,"Jun 16, 2018",11.80,13.74,11.78,13.12,640,"3,514,450"
aurumcoin,"Jun 15, 2018",11.92,13.60,11.63,11.84,"1,651","3,551,140"
aurumcoin,"Jun 14, 2018",9.96,12.06,9.94,11.94,"1,684","2,967,550"
aurumcoin,"Jun 13, 2018",9.99,11.44,9.79,9.96,483,"2,976,700"
aurumcoin,"Jun 12, 2018",11.18,11.77,9.91,9.97,456,"3,330,720"
aurumcoin,"Jun 11, 2018",10.55,11.24,10.19,11.19,79,"3,142,100"
aurumcoin,"Jun 10, 2018",12.59,12.71,10.42,10.53,646,"3,750,270"
aurumcoin,"Jun 09, 2018",12.28,13.05,11.59,12.57,779,"3,659,040"
