Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
avatarcoin,"Jul 02, 2018",0.034779,0.046471,0.033036,0.037064,434,-
avatarcoin,"Jul 01, 2018",0.033342,0.034912,0.032808,0.034775,63,-
avatarcoin,"Jun 30, 2018",0.033072,0.034464,0.032994,0.033334,46,-
avatarcoin,"Jun 29, 2018",0.030810,0.033595,0.030459,0.033027,6,-
avatarcoin,"Jun 28, 2018",0.032203,0.032298,0.030616,0.030790,4,-
avatarcoin,"Jun 27, 2018",0.031739,0.032346,0.031532,0.032192,6,-
avatarcoin,"Jun 26, 2018",0.033365,0.033558,0.031722,0.031752,3,-
avatarcoin,"Jun 25, 2018",0.033037,0.033727,0.032558,0.033365,1,-
avatarcoin,"Jun 24, 2018",0.039775,0.039840,0.039504,0.039504,1,-
avatarcoin,"Jun 23, 2018",0.039588,0.040237,0.038994,0.039781,1,-
avatarcoin,"Jun 20, 2018",0.035531,0.035566,0.034645,0.035504,13,-
avatarcoin,"Jun 19, 2018",0.036545,0.036640,0.035258,0.035509,13,-
avatarcoin,"Jun 18, 2018",0.036798,0.036894,0.036474,0.036565,3,-
avatarcoin,"Jun 16, 2018",0.033074,0.033797,0.032771,0.033684,1,-
avatarcoin,"Jun 15, 2018",0.035943,0.035986,0.033012,0.033195,6,-
avatarcoin,"Jun 14, 2018",0.036652,0.038112,0.032914,0.036002,48,-
avatarcoin,"Jun 13, 2018",0.036733,0.037243,0.031823,0.036669,50,-
avatarcoin,"Jun 12, 2018",0.044264,0.044264,0.036418,0.036638,83,-
avatarcoin,"Jun 09, 2018",0.049881,0.050250,0.049696,0.049741,4,-
avatarcoin,"Jun 08, 2018",0.046172,0.050127,0.045436,0.049903,4,-
avatarcoin,"Jun 07, 2018",0.045098,0.052922,0.044834,0.046137,69,-
avatarcoin,"Jun 06, 2018",0.035756,0.064058,0.035617,0.045057,597,-
avatarcoin,"Jun 05, 2018",0.037512,0.039022,0.035618,0.035766,16,-
avatarcoin,"Jun 04, 2018",0.038545,0.038648,0.037354,0.037493,29,-
avatarcoin,"Jun 03, 2018",0.038632,0.039090,0.038360,0.038527,26,-
avatarcoin,"Jun 02, 2018",0.038410,0.038815,0.037833,0.038622,57,-
avatarcoin,"Jun 01, 2018",0.038132,0.039338,0.037387,0.038427,61,-
avatarcoin,"May 31, 2018",0.040088,0.040094,0.037871,0.038105,32,-
