Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
b2bx,"Jul 02, 2018",0.251174,0.271208,0.232192,0.260080,"99,122","4,106,860"
b2bx,"Jul 01, 2018",0.247593,0.257608,0.236020,0.254248,"100,569","4,048,300"
b2bx,"Jun 30, 2018",0.259050,0.263670,0.241496,0.246618,"90,853","4,235,630"
b2bx,"Jun 29, 2018",0.246463,0.271178,0.244025,0.255316,"85,161","4,029,830"
b2bx,"Jun 28, 2018",0.253329,0.256107,0.226723,0.246525,"84,787","4,142,100"
b2bx,"Jun 27, 2018",0.240285,0.256347,0.239053,0.253242,"93,808","3,928,810"
b2bx,"Jun 26, 2018",0.254998,0.256824,0.237055,0.240324,"89,980","4,169,380"
b2bx,"Jun 25, 2018",0.252261,0.257142,0.239018,0.243942,"94,432","4,124,630"
b2bx,"Jun 24, 2018",0.251003,0.254091,0.236255,0.241946,"96,983","4,104,060"
b2bx,"Jun 23, 2018",0.254184,0.265686,0.243891,0.251073,"97,602","4,156,080"
b2bx,"Jun 22, 2018",0.268635,0.272260,0.244528,0.254156,"92,295","4,392,360"
b2bx,"Jun 21, 2018",0.263176,0.278370,0.253241,0.268715,"103,678","4,303,090"
b2bx,"Jun 20, 2018",0.273499,0.285825,0.257946,0.262771,"92,889","4,471,880"
b2bx,"Jun 19, 2018",0.270315,0.279169,0.252204,0.273406,"103,979","4,419,820"
b2bx,"Jun 18, 2018",0.258850,0.276408,0.246081,0.270190,"101,106","4,232,370"
b2bx,"Jun 17, 2018",0.259219,0.273324,0.245771,0.260769,"97,243","4,238,390"
b2bx,"Jun 16, 2018",0.250030,0.267204,0.243165,0.251433,"98,309","4,088,160"
b2bx,"Jun 15, 2018",0.262839,0.274732,0.247272,0.250309,"93,856","4,297,590"
b2bx,"Jun 14, 2018",0.256294,0.275568,0.245903,0.253991,"96,152","4,190,570"
b2bx,"Jun 13, 2018",0.269521,0.273951,0.248289,0.258160,"96,560","4,406,840"
b2bx,"Jun 12, 2018",0.270229,0.280425,0.254494,0.269116,"102,441","4,418,410"
b2bx,"Jun 11, 2018",0.272498,0.281820,0.256080,0.275122,"103,530","4,455,520"
b2bx,"Jun 10, 2018",0.284089,0.356732,0.255490,0.267385,"105,577","4,645,040"
b2bx,"Jun 09, 2018",0.349424,0.366381,0.272353,0.365578,"119,961","5,713,310"
b2bx,"Jun 08, 2018",0.286953,0.361379,0.262370,0.277695,"114,413","4,691,870"
b2bx,"Jun 07, 2018",0.279333,0.360183,0.256499,0.340492,"116,840","4,567,270"
b2bx,"Jun 06, 2018",0.352995,0.359232,0.248895,0.332008,"123,880","5,771,690"
b2bx,"Jun 05, 2018",0.291277,0.358256,0.260158,0.341411,"123,099","4,762,570"
b2bx,"Jun 04, 2018",0.279435,0.364529,0.268261,0.291216,"110,728","4,560,560"
b2bx,"Jun 03, 2018",0.362165,0.382286,0.276996,0.351531,"126,985","5,910,760"
b2bx,"Jun 02, 2018",0.358169,0.367185,0.263730,0.314746,"100,519","5,845,560"
b2bx,"Jun 01, 2018",0.273342,0.366955,0.259475,0.324157,"114,682","4,461,120"
b2bx,"May 31, 2018",0.535903,0.665426,0.258832,0.323771,"150,632","8,746,290"
b2bx,"May 30, 2018",0.523652,0.667654,0.275339,0.638898,"276,044","8,546,340"
b2bx,"May 29, 2018",0.281362,0.659490,0.277806,0.523683,"241,967","4,592,010"
b2bx,"May 28, 2018",0.525364,0.664874,0.278185,0.328468,"160,756","8,574,280"
b2bx,"May 27, 2018",0.520452,0.663098,0.284172,0.524428,"190,057","8,494,110"
b2bx,"May 26, 2018",0.567924,0.687650,0.288541,0.537685,"261,007","9,268,880"
b2bx,"May 25, 2018",0.663751,0.682550,0.276478,0.296433,"145,629","10,832,800"
b2bx,"May 24, 2018",0.339793,0.682151,0.277378,0.336894,"178,463","5,545,630"
b2bx,"May 23, 2018",0.701133,0.704641,0.283783,0.547056,"253,186","11,442,900"
b2bx,"May 22, 2018",0.736047,0.739201,0.352091,0.691477,"289,877","12,012,800"
b2bx,"May 21, 2018",0.747032,0.747553,0.336322,0.371588,"192,895","12,192,000"
b2bx,"May 20, 2018",0.664680,0.794806,0.367997,0.368185,"165,657","10,848,000"
b2bx,"May 19, 2018",0.561988,0.748458,0.366889,0.739469,"312,217","9,172,000"
b2bx,"May 18, 2018",0.527051,0.735520,0.363418,0.735520,"317,626","8,601,810"
b2bx,"May 17, 2018",0.428843,0.758317,0.366682,0.549796,"268,804","6,998,990"
b2bx,"May 16, 2018",0.859590,0.880099,0.384928,0.678560,"257,157","14,029,100"
b2bx,"May 15, 2018",0.681488,0.882104,0.399210,0.443248,"227,540","11,126,000"
b2bx,"May 14, 2018",0.683045,0.881127,0.394270,0.728152,"311,795","11,151,400"
b2bx,"May 13, 2018",0.663443,0.891030,0.403761,0.683223,"252,915","10,831,400"
b2bx,"May 12, 2018",0.722264,0.872192,0.645203,0.679430,"298,598","11,791,700"
b2bx,"May 11, 2018",0.826013,0.889769,0.642756,0.648880,"290,091","13,485,500"
b2bx,"May 10, 2018",0.890075,0.910818,0.653766,0.826094,"340,629","14,514,100"
b2bx,"May 09, 2018",0.688942,0.890405,0.336631,0.742893,"343,061","11,234,300"
b2bx,"May 08, 2018",0.797297,0.815292,0.335249,0.715496,"251,244","13,011,400"
b2bx,"May 07, 2018",0.734609,0.816064,0.333792,0.708621,"248,164","11,988,400"
b2bx,"May 06, 2018",0.516996,0.829795,0.347529,0.627879,"310,136","8,437,050"
b2bx,"May 05, 2018",0.388665,0.585706,0.379371,0.446687,"228,921","6,342,780"
b2bx,"May 04, 2018",0.441576,0.443063,0.377094,0.388752,"58,573","7,213,100"
b2bx,"May 03, 2018",0.419831,0.447367,0.419473,0.442000,"209,253","6,857,910"
b2bx,"May 02, 2018",0.474272,0.576649,0.416617,0.419884,"192,387","7,747,200"
b2bx,"May 01, 2018",0.613902,0.613902,0.417360,0.550230,"269,376","10,028,000"
b2bx,"Apr 30, 2018",0.545673,0.621100,0.439109,0.508578,"373,255","8,897,150"
b2bx,"Apr 29, 2018",0.636713,0.676746,0.412701,0.591461,"299,695","10,381,600"
b2bx,"Apr 28, 2018",0.431732,0.669923,0.401352,0.612888,"1,137,040","7,039,350"
b2bx,"Apr 27, 2018",0.469968,0.537514,0.434317,0.502006,"268,807","7,662,800"
b2bx,"Apr 26, 2018",0.417411,0.537040,0.383433,0.528579,"350,513","6,805,850"
