Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bastonet,"Jul 02, 2018",0.000063,0.000066,0.000063,0.000066,"1,619",-
bastonet,"Jul 01, 2018",0.000064,0.000064,0.000063,0.000063,"1,947",-
bastonet,"Jun 30, 2018",0.000062,0.000064,0.000062,0.000064,58,-
bastonet,"Jun 29, 2018",0.000059,0.000063,0.000058,0.000062,24,-
bastonet,"Jun 28, 2018",0.000061,0.000062,0.000058,0.000059,10,-
bastonet,"Jun 27, 2018",0.000061,0.000062,0.000060,0.000061,917,-
bastonet,"Jun 26, 2018",0.000062,0.000063,0.000061,0.000061,23,-
bastonet,"Jun 25, 2018",0.000062,0.000063,0.000061,0.000062,252,-
bastonet,"Jun 24, 2018",0.000062,0.000063,0.000058,0.000062,4,-
bastonet,"Jun 23, 2018",0.000061,0.000062,0.000060,0.000062,135,-
bastonet,"Jun 22, 2018",0.000067,0.000067,0.000059,0.000061,144,-
bastonet,"Jun 21, 2018",0.000068,0.000068,0.000067,0.000067,104,-
bastonet,"Jun 20, 2018",0.000068,0.000068,0.000066,0.000068,24,-
bastonet,"Jun 19, 2018",0.000067,0.000068,0.000067,0.000068,117,-
bastonet,"Jun 18, 2018",0.000065,0.000068,0.000064,0.000067,357,-
bastonet,"Jun 17, 2018",0.000065,0.000066,0.000065,0.000065,409,-
bastonet,"Jun 16, 2018",0.000064,0.000066,0.000064,0.000065,86,-
bastonet,"Jun 15, 2018",0.000066,0.000067,0.000064,0.000064,349,-
bastonet,"Jun 14, 2018",0.000063,0.000067,0.000063,0.000067,60,-
bastonet,"Jun 13, 2018",0.000066,0.000066,0.000062,0.000063,13,-
bastonet,"Jun 12, 2018",0.000069,0.000069,0.000065,0.000066,580,-
bastonet,"Jun 11, 2018",0.000068,0.000069,0.000067,0.000069,262,-
bastonet,"Jun 10, 2018",0.000075,0.000075,0.000067,0.000068,379,-
bastonet,"Jun 09, 2018",0.000076,0.000077,0.000075,0.000075,400,-
bastonet,"Jun 08, 2018",0.000077,0.000077,0.000076,0.000076,"1,167",-
bastonet,"Jun 07, 2018",0.000077,0.000077,0.000077,0.000077,"2,429",-
bastonet,"Jun 06, 2018",0.000076,0.000077,0.000075,0.000076,"7,872",-
bastonet,"Jun 05, 2018",0.000075,0.000149,0.000074,0.000076,"139,763",-
bastonet,"Jun 04, 2018",0.000077,0.000150,0.000075,0.000075,"168,097",-
bastonet,"Jun 03, 2018",0.000076,0.000155,0.000076,0.000077,"286,977",-
bastonet,"Jun 02, 2018",0.000075,0.000150,0.000075,0.000076,"25,291",-
bastonet,"Jun 01, 2018",0.000075,0.000150,0.000074,0.000075,"61,437",-
bastonet,"May 31, 2018",0.000148,0.000152,0.000073,0.000075,"66,057",-
bastonet,"May 30, 2018",0.002314,0.002341,0.000073,0.000148,"97,661",-
bastonet,"May 29, 2018",0.001708,0.002897,0.001699,0.002312,"3,441",-
bastonet,"May 28, 2018",0.001910,0.002534,0.001704,0.001709,"2,047",-
bastonet,"May 27, 2018",0.001834,0.001992,0.001808,0.001909,10,-
bastonet,"May 26, 2018",0.001718,0.002058,0.001712,0.001833,133,-
bastonet,"May 25, 2018",0.001815,0.001836,0.001698,0.001720,16,-
bastonet,"May 24, 2018",0.002030,0.002137,0.001799,0.001812,853,-
bastonet,"May 23, 2018",0.002241,0.002247,0.002019,0.002035,693,-
bastonet,"May 22, 2018",0.002270,0.002272,0.001992,0.002243,460,-
bastonet,"May 21, 2018",0.002302,0.002472,0.002262,0.002270,271,-
bastonet,"May 20, 2018",0.002144,0.002558,0.002130,0.002300,283,-
bastonet,"May 19, 2018",0.001813,0.002658,0.001798,0.002142,"2,286",-
bastonet,"May 18, 2018",0.001777,0.002035,0.001751,0.001813,119,-
bastonet,"May 17, 2018",0.002338,0.002364,0.001765,0.001776,567,-
bastonet,"May 16, 2018",0.001952,0.001953,0.001734,0.001752,288,-
bastonet,"May 15, 2018",0.002342,0.002542,0.001942,0.001953,"1,177",-
bastonet,"May 14, 2018",0.002520,0.002526,0.001416,0.002346,"1,630",-
bastonet,"May 13, 2018",0.002202,0.002539,0.002019,0.002521,731,-
bastonet,"May 12, 2018",0.002770,0.002793,0.002129,0.002202,"1,190",-
bastonet,"May 11, 2018",0.003073,0.003073,0.002166,0.002778,"7,803",-
bastonet,"May 10, 2018",0.002794,0.003271,0.002603,0.003069,"5,876",-
bastonet,"May 09, 2018",0.002668,0.002804,0.002535,0.002795,429,-
