Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bee-token,"Jul 02, 2018",0.030695,0.030722,0.026640,0.026701,"11,132","5,203,930"
bee-token,"Jul 01, 2018",0.033588,0.033588,0.026917,0.030672,"8,057","5,694,340"
bee-token,"Jun 30, 2018",0.024795,0.033083,0.024795,0.033083,"21,964","4,203,580"
bee-token,"Jun 29, 2018",0.024015,0.025940,0.021856,0.024779,"21,762","4,071,410"
bee-token,"Jun 28, 2018",0.020317,0.027888,0.019491,0.024007,"11,635","3,444,400"
bee-token,"Jun 27, 2018",0.020657,0.020810,0.016239,0.020279,"8,977","3,502,040"
bee-token,"Jun 26, 2018",0.017709,0.021395,0.017546,0.020727,"3,905","3,002,240"
bee-token,"Jun 25, 2018",0.019807,0.021989,0.017513,0.017709,"2,156","3,357,900"
bee-token,"Jun 24, 2018",0.022986,0.024322,0.015484,0.019888,"13,516","3,896,910"
bee-token,"Jun 23, 2018",0.021328,0.023305,0.021185,0.022997,"3,868","3,615,870"
bee-token,"Jun 22, 2018",0.019303,0.024660,0.019241,0.021385,"2,901","3,272,570"
bee-token,"Jun 21, 2018",0.030001,0.030302,0.019033,0.019308,"25,489","5,086,210"
bee-token,"Jun 20, 2018",0.028460,0.030017,0.023612,0.030017,"23,855","4,825,030"
bee-token,"Jun 19, 2018",0.023007,0.030509,0.023007,0.028442,"10,575","3,900,450"
bee-token,"Jun 18, 2018",0.025943,0.026607,0.022784,0.023021,"15,588","4,398,260"
bee-token,"Jun 17, 2018",0.023827,0.029815,0.023759,0.025947,"8,906","4,039,480"
bee-token,"Jun 16, 2018",0.029257,0.032001,0.019929,0.023830,"8,956","4,960,160"
bee-token,"Jun 15, 2018",0.033758,0.035751,0.009913,0.029338,"20,451","5,723,160"
bee-token,"Jun 14, 2018",0.033099,0.036228,0.030742,0.033765,"6,909","5,611,490"
bee-token,"Jun 13, 2018",0.034331,0.035100,0.029974,0.033021,"10,299","5,820,250"
bee-token,"Jun 12, 2018",0.038683,0.038683,0.033756,0.034195,"17,085","6,558,140"
bee-token,"Jun 11, 2018",0.035230,0.039274,0.033589,0.038667,"9,996","5,972,710"
bee-token,"Jun 10, 2018",0.039634,0.040275,0.033597,0.035169,"5,648","6,719,330"
bee-token,"Jun 09, 2018",0.041924,0.042500,0.039556,0.039556,"22,678","7,107,620"
bee-token,"Jun 08, 2018",0.039241,0.042727,0.038980,0.041913,"19,428","6,645,670"
bee-token,"Jun 07, 2018",0.046961,0.047745,0.039042,0.039174,"19,539","7,953,170"
bee-token,"Jun 06, 2018",0.045547,0.048289,0.042361,0.046975,"10,237","7,713,760"
bee-token,"Jun 05, 2018",0.045673,0.050573,0.041554,0.045639,"20,396","7,735,000"
bee-token,"Jun 04, 2018",0.049434,0.052290,0.045550,0.045676,"15,270","8,370,940"
bee-token,"Jun 03, 2018",0.049759,0.052505,0.048989,0.049508,"30,021","8,425,950"
bee-token,"Jun 02, 2018",0.051970,0.052140,0.048355,0.049823,"6,983","8,800,420"
bee-token,"Jun 01, 2018",0.048039,0.052159,0.046532,0.051981,"12,753","8,134,690"
bee-token,"May 31, 2018",0.048308,0.053517,0.047074,0.047935,"23,997","8,180,310"
bee-token,"May 30, 2018",0.049510,0.053412,0.048228,0.048355,"24,017","8,383,770"
bee-token,"May 29, 2018",0.045679,0.052166,0.041184,0.050722,"18,698","7,720,780"
bee-token,"May 28, 2018",0.051338,0.051740,0.041680,0.045811,"26,158","8,677,220"
bee-token,"May 27, 2018",0.058298,0.061255,0.049594,0.051341,"30,043","9,853,690"
bee-token,"May 26, 2018",0.056364,0.072859,0.054134,0.057950,"75,767","9,526,840"
bee-token,"May 25, 2018",0.058940,0.077541,0.055542,0.064985,"113,087","9,962,170"
bee-token,"May 24, 2018",0.049149,0.062576,0.049149,0.058905,"99,421","8,307,270"
bee-token,"May 23, 2018",0.056994,0.057413,0.047056,0.051505,"38,282","9,633,230"
bee-token,"May 22, 2018",0.064222,0.064442,0.053988,0.057107,"22,854","10,757,400"
bee-token,"May 21, 2018",0.063432,0.067816,0.055574,0.064357,"38,496","10,625,100"
bee-token,"May 20, 2018",0.074049,0.074153,0.063189,0.063350,"47,656","12,403,400"
bee-token,"May 19, 2018",0.071509,0.076310,0.067472,0.073987,"37,851","11,978,100"
bee-token,"May 18, 2018",0.067045,0.078500,0.066138,0.071508,"80,363","11,230,300"
bee-token,"May 17, 2018",0.074201,0.077432,0.066459,0.067111,"46,139","12,428,900"
bee-token,"May 16, 2018",0.071371,0.076325,0.068615,0.074113,"14,738","11,954,800"
bee-token,"May 15, 2018",0.081781,0.082656,0.071337,0.071337,"21,878","13,698,500"
bee-token,"May 14, 2018",0.082525,0.083354,0.072469,0.081894,"21,880","13,823,300"
bee-token,"May 13, 2018",0.075373,0.084300,0.074654,0.082559,"37,586","12,625,200"
bee-token,"May 12, 2018",0.081352,0.083130,0.073101,0.075524,"24,131","13,626,800"
bee-token,"May 11, 2018",0.084952,0.088970,0.073821,0.081498,"51,505","14,229,800"
bee-token,"May 10, 2018",0.086370,0.096706,0.084796,0.084891,"67,730","14,467,300"
bee-token,"May 09, 2018",0.112434,0.115483,0.085922,0.086288,"5,402","18,833,100"
bee-token,"May 08, 2018",0.075524,0.113157,0.075483,0.112574,"5,632","12,666,700"
bee-token,"May 07, 2018",0.104426,0.104907,0.073661,0.075035,190,"17,514,000"
bee-token,"May 06, 2018",0.103717,0.104409,0.102331,0.104368,164,"17,395,000"
bee-token,"May 05, 2018",0.104056,0.109904,0.099311,0.100028,89,"17,451,900"
bee-token,"May 04, 2018",0.105674,0.108311,0.093888,0.103942,"4,558","17,723,200"
bee-token,"May 03, 2018",0.095155,0.107271,0.088319,0.106018,"24,819","15,928,200"
bee-token,"May 02, 2018",0.093906,0.098361,0.086543,0.095163,"61,331","15,719,300"
bee-token,"May 01, 2018",0.088532,0.096444,0.083579,0.094178,"31,493","14,819,700"
