Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
belacoin,"Jul 02, 2018",0.040587,0.049019,0.037726,0.048941,"1,333",-
belacoin,"Jul 01, 2018",0.037287,0.040826,0.035434,0.040529,458,-
belacoin,"Jun 30, 2018",0.035988,0.038358,0.035981,0.037279,119,-
belacoin,"Jun 29, 2018",0.033912,0.037754,0.033280,0.035934,834,-
belacoin,"Jun 28, 2018",0.035642,0.035747,0.033179,0.033642,98,-
belacoin,"Jun 27, 2018",0.035261,0.035796,0.034724,0.035621,"1,054",-
belacoin,"Jun 26, 2018",0.036210,0.036381,0.035253,0.035308,501,-
belacoin,"Jun 25, 2018",0.035289,0.036600,0.034761,0.036210,947,-
belacoin,"Jun 24, 2018",0.035805,0.035911,0.032064,0.035506,104,-
belacoin,"Jun 23, 2018",0.037883,0.038563,0.035412,0.035786,176,-
belacoin,"Jun 22, 2018",0.038933,0.039002,0.034597,0.037880,"2,183",-
belacoin,"Jun 21, 2018",0.037782,0.039039,0.036527,0.038973,"1,858",-
belacoin,"Jun 20, 2018",0.038576,0.039075,0.037243,0.037774,79,-
belacoin,"Jun 19, 2018",0.040508,0.040627,0.038220,0.038545,"1,988",-
belacoin,"Jun 18, 2018",0.042229,0.043543,0.040182,0.040530,"2,103",-
belacoin,"Jun 17, 2018",0.039295,0.042838,0.039132,0.042332,274,-
belacoin,"Jun 16, 2018",0.038624,0.041787,0.038238,0.039127,"1,094",-
belacoin,"Jun 15, 2018",0.043546,0.043597,0.038561,0.038765,667,-
belacoin,"Jun 14, 2018",0.032868,0.046185,0.032792,0.043618,474,-
belacoin,"Jun 13, 2018",0.032914,0.039608,0.032257,0.032882,"1,244",-
belacoin,"Jun 12, 2018",0.025277,0.032904,0.023915,0.032829,"3,929",-
belacoin,"Jun 11, 2018",0.040178,0.040178,0.023512,0.025222,696,-
belacoin,"Jun 10, 2018",0.030922,0.050683,0.029544,0.039985,"1,898",-
belacoin,"Jun 09, 2018",0.026695,0.031838,0.026695,0.030808,"1,666",-
belacoin,"Jun 08, 2018",0.029962,0.030793,0.026706,0.026706,"3,380",-
belacoin,"Jun 07, 2018",0.029785,0.031026,0.029645,0.030016,421,-
belacoin,"Jun 06, 2018",0.030191,0.030468,0.028879,0.029987,"3,630",-
belacoin,"Jun 05, 2018",0.030534,0.030747,0.028418,0.030275,851,-
belacoin,"Jun 04, 2018",0.035307,0.035502,0.027289,0.030595,"12,402",-
belacoin,"Jun 03, 2018",0.046573,0.046721,0.035026,0.035367,145,-
belacoin,"Jun 02, 2018",0.053594,0.055955,0.045620,0.046560,"23,693",-
belacoin,"Jun 01, 2018",0.058959,0.060009,0.053247,0.053617,"27,873",-
belacoin,"May 31, 2018",0.036692,0.064097,0.034609,0.058617,"33,688",-
belacoin,"May 30, 2018",0.041951,0.045125,0.036699,0.036699,"38,621",-
belacoin,"May 29, 2018",0.022138,0.051000,0.022017,0.041997,"49,964",-
belacoin,"May 28, 2018",0.022403,0.022832,0.021997,0.022146,"16,966",-
belacoin,"May 27, 2018",0.019658,0.046625,0.019242,0.022398,"16,413",-
belacoin,"May 26, 2018",0.006530,0.020220,0.006490,0.019576,"17,067",-
belacoin,"May 25, 2018",0.055347,0.055667,0.006013,0.006530,"11,706",-
belacoin,"May 24, 2018",0.035041,0.055617,0.035024,0.055255,"41,873",-
belacoin,"May 23, 2018",0.048821,0.048892,0.034843,0.035130,"24,835",-
belacoin,"May 22, 2018",0.061460,0.061507,0.048872,0.048872,"61,024",-
belacoin,"May 21, 2018",0.064552,0.064598,0.061087,0.061219,"51,795",-
belacoin,"May 20, 2018",0.068437,0.074755,0.064472,0.064472,"50,488",-
belacoin,"May 19, 2018",0.090546,0.091956,0.068145,0.068386,"24,691",-
belacoin,"May 18, 2018",0.088697,0.090886,0.066972,0.090560,"92,814",-
belacoin,"May 17, 2018",0.090307,0.090307,0.088111,0.088619,"157,229",-
belacoin,"May 16, 2018",0.069587,0.069644,0.066703,0.068187,"166,545",-
belacoin,"May 15, 2018",0.077203,0.078100,0.069226,0.069627,"173,133",-
belacoin,"May 14, 2018",0.083831,0.084429,0.069397,0.077335,"128,757",-
belacoin,"May 12, 2018",0.121727,0.124241,0.119419,0.123713,"344,555",-
belacoin,"May 11, 2018",0.130327,0.130327,0.087102,0.122085,"698,912",-
belacoin,"May 10, 2018",0.135136,0.135385,0.130046,0.130171,"109,422",-
belacoin,"May 09, 2018",0.224466,0.224882,0.213608,0.216260,"53,507",-
belacoin,"May 08, 2018",0.229593,0.229593,0.216869,0.224745,"57,461",-
belacoin,"May 07, 2018",0.102193,0.102246,0.097888,0.098165,"23,229",-
belacoin,"May 06, 2018",0.111192,0.111192,0.100750,0.102120,"12,236",-
belacoin,"May 05, 2018",0.143935,0.147890,0.143709,0.147636,"58,360",-
belacoin,"May 04, 2018",0.145532,0.145860,0.142423,0.144004,"56,432",-
belacoin,"May 03, 2018",0.127594,0.146287,0.112071,0.145589,"117,346",-
belacoin,"May 02, 2018",0.132162,0.132162,0.124376,0.127589,"98,184",-
belacoin,"May 01, 2018",0.134362,0.134362,0.128998,0.132361,"31,288",-
belacoin,"Apr 30, 2018",0.133502,0.137242,0.133032,0.134244,"40,119",-
belacoin,"Apr 29, 2018",0.177377,0.180790,0.131950,0.133546,"66,713",-
