Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
biblepay,"Jul 02, 2018",0.001780,0.001994,0.001714,0.001980,285,"1,299,380"
biblepay,"Jul 01, 2018",0.001873,0.001883,0.001485,0.001780,106,"1,367,120"
biblepay,"Jun 30, 2018",0.001466,0.001879,0.001385,0.001873,"2,790","1,070,140"
biblepay,"Jun 29, 2018",0.001401,0.001526,0.001338,0.001464,127,"1,022,690"
biblepay,"Jun 28, 2018",0.001605,0.001794,0.001311,0.001400,"2,257","1,171,280"
biblepay,"Jun 27, 2018",0.001624,0.001796,0.001176,0.001604,"3,407","1,127,200"
biblepay,"Jun 26, 2018",0.001311,0.002429,0.001308,0.001645,"3,622","909,658"
biblepay,"Jun 25, 2018",0.001401,0.001593,0.001254,0.001311,"6,917","972,037"
biblepay,"Jun 24, 2018",0.002016,0.002021,0.001397,0.001495,"1,192","1,398,810"
biblepay,"Jun 23, 2018",0.002036,0.002095,0.001700,0.002016,"1,393","1,412,990"
biblepay,"Jun 22, 2018",0.002299,0.002303,0.001796,0.002036,"1,470","1,595,410"
biblepay,"Jun 21, 2018",0.002380,0.002434,0.002009,0.002302,"4,209","1,651,700"
biblepay,"Jun 20, 2018",0.002330,0.002417,0.002216,0.002380,904,"1,616,640"
biblepay,"Jun 19, 2018",0.002500,0.002515,0.002118,0.002328,"1,062","1,734,660"
biblepay,"Jun 18, 2018",0.002404,0.002577,0.002382,0.002501,435,"1,668,330"
biblepay,"Jun 17, 2018",0.002505,0.002624,0.002404,0.002412,"2,126","1,738,250"
biblepay,"Jun 16, 2018",0.002505,0.002535,0.002418,0.002498,600,"1,738,110"
biblepay,"Jun 15, 2018",0.002529,0.002587,0.002459,0.002514,582,"1,754,700"
biblepay,"Jun 14, 2018",0.002403,0.002615,0.002398,0.002533,760,"1,667,660"
biblepay,"Jun 13, 2018",0.002632,0.002648,0.002358,0.002404,"3,655","1,826,210"
biblepay,"Jun 12, 2018",0.002727,0.002727,0.002580,0.002625,"2,726","1,892,440"
biblepay,"Jun 11, 2018",0.002472,0.002728,0.002436,0.002728,"2,170","1,715,590"
biblepay,"Jun 10, 2018",0.003118,0.003118,0.002455,0.002469,672,"2,163,490"
biblepay,"Jun 09, 2018",0.003239,0.003255,0.003096,0.003114,98,"3,263,360"
biblepay,"Jun 08, 2018",0.003300,0.003356,0.003102,0.003241,605,"3,605,740"
biblepay,"Jun 07, 2018",0.003076,0.003389,0.003076,0.003297,"2,538","2,634,130"
biblepay,"Jun 06, 2018",0.003050,0.003134,0.002968,0.003073,"2,103","2,488,260"
biblepay,"Jun 05, 2018",0.003001,0.003055,0.002686,0.003050,"2,192","1,497,030"
biblepay,"Jun 04, 2018",0.003079,0.003087,0.002921,0.002999,450,"2,103,190"
biblepay,"Jun 03, 2018",0.002825,0.003152,0.002823,0.003077,144,"1,929,550"
biblepay,"Jun 02, 2018",0.002939,0.002941,0.002802,0.002824,"3,202","2,007,210"
biblepay,"Jun 01, 2018",0.003063,0.003072,0.002834,0.002940,572,"2,092,260"
biblepay,"May 31, 2018",0.002810,0.003462,0.002800,0.003061,"1,395","1,914,960"
biblepay,"May 30, 2018",0.002777,0.003728,0.001991,0.002811,"13,297","1,896,800"
biblepay,"May 29, 2018",0.003622,0.003635,0.000945,0.002848,"22,578","2,635,580"
biblepay,"May 28, 2018",0.003939,0.003975,0.003295,0.003623,"1,759","2,716,970"
biblepay,"May 27, 2018",0.003599,0.003989,0.003450,0.003938,"2,758","2,474,440"
biblepay,"May 26, 2018",0.003510,0.004770,0.003505,0.003597,"17,967","2,305,160"
biblepay,"May 25, 2018",0.003403,0.004094,0.002645,0.003515,"22,285","2,231,220"
biblepay,"May 24, 2018",0.003607,0.003919,0.002906,0.003397,"14,688","2,357,230"
biblepay,"May 23, 2018",0.003899,0.003910,0.003223,0.003616,"1,795","2,539,620"
biblepay,"May 22, 2018",0.003785,0.004166,0.003496,0.003903,"7,525","2,457,580"
biblepay,"May 21, 2018",0.003410,0.004043,0.003225,0.003786,"15,602","2,206,760"
biblepay,"May 20, 2018",0.002968,0.003930,0.002903,0.003406,"13,077","1,915,160"
biblepay,"May 19, 2018",0.002966,0.003082,0.002861,0.002966,"2,972","1,907,550"
biblepay,"May 18, 2018",0.002747,0.002977,0.002668,0.002966,"2,309","1,760,960"
biblepay,"May 17, 2018",0.002673,0.003039,0.002632,0.002745,429,"1,707,880"
biblepay,"May 16, 2018",0.003050,0.003100,0.002654,0.002671,"2,097","1,942,900"
biblepay,"May 15, 2018",0.003414,0.003445,0.002984,0.003052,331,"2,171,370"
biblepay,"May 14, 2018",0.003215,0.003529,0.002921,0.003419,"1,266","2,038,110"
biblepay,"May 13, 2018",0.003007,0.003239,0.002849,0.003215,"9,261","1,899,930"
biblepay,"May 12, 2018",0.003096,0.003163,0.002792,0.003007,595,"1,949,760"
biblepay,"May 11, 2018",0.003409,0.003409,0.002926,0.003105,"1,180","2,159,530"
biblepay,"May 10, 2018",0.002537,0.003519,0.002537,0.003405,"11,807","1,602,880"
biblepay,"May 09, 2018",0.003291,0.003428,0.002530,0.002538,"2,407","2,029,330"
biblepay,"May 08, 2018",0.003503,0.003580,0.003255,0.003295,"2,986","2,153,090"
biblepay,"May 07, 2018",0.003626,0.003759,0.003512,0.003533,415,"2,221,000"
biblepay,"May 06, 2018",0.003922,0.004055,0.003505,0.003624,564,"2,393,900"
biblepay,"May 05, 2018",0.003964,0.004037,0.003731,0.003919,"1,174","2,411,120"
biblepay,"May 04, 2018",0.003826,0.004014,0.003563,0.003965,"3,226","2,424,200"
biblepay,"May 03, 2018",0.003325,0.003846,0.003213,0.003828,"5,713","2,002,230"
