Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitcoal,"Jul 02, 2018",0.008534,0.010959,0.008353,0.010798,514,"38,402"
bitcoal,"Jul 01, 2018",0.009238,0.009281,0.008472,0.008533,10,"41,572"
bitcoal,"Jun 30, 2018",0.008742,0.009582,0.008741,0.009236,979,"39,338"
bitcoal,"Jun 29, 2018",0.008321,0.008896,0.007762,0.008730,811,"37,443"
bitcoal,"Jun 28, 2018",0.008035,0.009854,0.008033,0.008315,409,"36,159"
bitcoal,"Jun 27, 2018",0.008454,0.008859,0.008013,0.008033,844,"38,042"
bitcoal,"Jun 26, 2018",0.010503,0.010526,0.008260,0.008458,"2,673","47,265"
bitcoal,"Jun 25, 2018",0.007981,0.010625,0.007755,0.009342,578,"35,915"
bitcoal,"Jun 24, 2018",0.008577,0.008591,0.007520,0.007997,"1,046","38,595"
bitcoal,"Jun 23, 2018",0.008858,0.010031,0.008553,0.008578,122,"39,860"
bitcoal,"Jun 22, 2018",0.010519,0.010538,0.008700,0.008857,255,"47,338"
bitcoal,"Jun 21, 2018",0.010219,0.011383,0.009407,0.010531,932,"45,985"
bitcoal,"Jun 20, 2018",0.010751,0.012072,0.009592,0.010217,"1,225","48,380"
bitcoal,"Jun 19, 2018",0.008935,0.011317,0.008908,0.010745,583,"40,208"
bitcoal,"Jun 18, 2018",0.009380,0.009640,0.008070,0.008940,424,"42,211"
bitcoal,"Jun 17, 2018",0.010148,0.010286,0.009343,0.009407,79,"45,664"
bitcoal,"Jun 16, 2018",0.010695,0.011449,0.009746,0.010121,"1,027","48,128"
bitcoal,"Jun 15, 2018",0.010970,0.011308,0.010675,0.010734,114,"49,367"
bitcoal,"Jun 14, 2018",0.010616,0.011156,0.010544,0.010989,40,"47,772"
bitcoal,"Jun 13, 2018",0.011591,0.011980,0.010337,0.010621,572,"52,157"
bitcoal,"Jun 12, 2018",0.011761,0.013084,0.011271,0.011561,283,"52,926"
bitcoal,"Jun 11, 2018",0.011383,0.013264,0.011074,0.011768,78,"51,221"
bitcoal,"Jun 10, 2018",0.013456,0.013456,0.011229,0.011366,115,"60,552"
bitcoal,"Jun 09, 2018",0.014076,0.014699,0.013439,0.013439,406,"63,340"
bitcoal,"Jun 08, 2018",0.014755,0.014804,0.013535,0.014082,387,"66,400"
bitcoal,"Jun 07, 2018",0.014526,0.016588,0.014522,0.014744,422,"65,366"
bitcoal,"Jun 06, 2018",0.015324,0.015637,0.013697,0.014512,544,"68,958"
bitcoal,"Jun 05, 2018",0.014301,0.016077,0.013951,0.015328,186,"64,353"
bitcoal,"Jun 04, 2018",0.015565,0.015983,0.014275,0.014294,831,"70,042"
bitcoal,"Jun 03, 2018",0.017483,0.018276,0.014008,0.015558,"1,111","78,675"
bitcoal,"Jun 02, 2018",0.015887,0.017769,0.015653,0.017754,111,"71,492"
