Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitcoin-cash,"Jul 02, 2018",739.25,798.31,724.32,776.17,"413,922,000","12,725,700,000"
bitcoin-cash,"Jul 01, 2018",749.18,752.91,719.76,739.42,"558,794,000","12,895,100,000"
bitcoin-cash,"Jun 30, 2018",717.04,762.92,717.04,748.71,"576,081,000","12,340,700,000"
bitcoin-cash,"Jun 29, 2018",663.00,729.55,652.81,715.71,"407,536,000","11,409,400,000"
bitcoin-cash,"Jun 28, 2018",714.70,720.24,651.21,660.24,"340,686,000","12,298,100,000"
bitcoin-cash,"Jun 27, 2018",698.28,719.93,691.39,713.77,"333,937,000","12,014,200,000"
bitcoin-cash,"Jun 26, 2018",757.25,757.70,700.26,700.26,"357,418,000","13,027,400,000"
bitcoin-cash,"Jun 25, 2018",748.63,774.65,739.04,756.85,"447,070,000","12,877,700,000"
bitcoin-cash,"Jun 24, 2018",764.62,767.02,676.94,749.37,"642,142,000","13,151,400,000"
bitcoin-cash,"Jun 23, 2018",755.24,776.89,742.33,762.76,"397,206,000","12,988,600,000"
bitcoin-cash,"Jun 22, 2018",874.97,876.38,735.41,755.98,"589,188,000","15,046,300,000"
bitcoin-cash,"Jun 21, 2018",890.64,900.72,869.14,874.09,"361,314,000","15,314,300,000"
bitcoin-cash,"Jun 20, 2018",905.71,906.48,866.06,890.45,"430,131,000","15,571,700,000"
bitcoin-cash,"Jun 19, 2018",885.99,918.20,878.48,904.65,"397,230,000","15,231,100,000"
bitcoin-cash,"Jun 18, 2018",849.81,892.96,830.29,885.64,"381,404,000","14,607,400,000"
bitcoin-cash,"Jun 17, 2018",853.06,865.08,849.22,852.10,"290,561,000","14,661,800,000"
bitcoin-cash,"Jun 16, 2018",847.16,861.46,839.34,852.19,"311,148,000","14,559,000,000"
bitcoin-cash,"Jun 15, 2018",896.43,897.09,843.08,849.32,"371,602,000","15,404,100,000"
bitcoin-cash,"Jun 14, 2018",844.36,898.93,832.88,897.60,"522,806,000","14,507,800,000"
bitcoin-cash,"Jun 13, 2018",876.89,881.13,818.62,844.24,"547,672,000","15,065,200,000"
bitcoin-cash,"Jun 12, 2018",957.14,960.15,862.45,874.43,"523,141,000","16,442,100,000"
bitcoin-cash,"Jun 11, 2018",937.63,975.83,906.01,958.56,"619,151,000","16,105,300,000"
bitcoin-cash,"Jun 10, 2018",1087.46,1087.46,909.61,939.55,"757,266,000","18,677,000,000"
bitcoin-cash,"Jun 09, 2018",1117.35,1137.32,1092.13,1092.13,"407,028,000","19,188,300,000"
bitcoin-cash,"Jun 08, 2018",1145.34,1149.80,1096.91,1118.19,"503,856,000","19,666,800,000"
bitcoin-cash,"Jun 07, 2018",1135.15,1166.25,1133.34,1143.75,"561,721,000","19,489,900,000"
bitcoin-cash,"Jun 06, 2018",1157.33,1157.33,1107.21,1131.17,"608,503,000","19,868,800,000"
bitcoin-cash,"Jun 05, 2018",1110.07,1158.73,1064.72,1152.89,"727,427,000","19,055,400,000"
bitcoin-cash,"Jun 04, 2018",1170.78,1206.53,1086.85,1105.80,"910,656,000","20,095,300,000"
bitcoin-cash,"Jun 03, 2018",1083.13,1190.57,1074.82,1170.40,"842,262,000","18,589,000,000"
bitcoin-cash,"Jun 02, 2018",1003.33,1093.86,996.59,1084.78,"689,121,000","17,217,400,000"
bitcoin-cash,"Jun 01, 2018",995.66,1010.34,979.83,1002.92,"538,528,000","17,084,100,000"
bitcoin-cash,"May 31, 2018",983.57,1027.73,975.40,995.34,"705,260,000","16,874,900,000"
bitcoin-cash,"May 30, 2018",990.07,1025.64,954.89,984.68,"591,775,000","16,984,700,000"
bitcoin-cash,"May 29, 2018",896.85,1003.51,880.88,987.66,"688,334,000","15,383,800,000"
bitcoin-cash,"May 28, 2018",996.65,1005.65,884.05,892.12,"566,168,000","17,093,800,000"
bitcoin-cash,"May 27, 2018",1009.20,1009.79,982.27,996.92,"507,306,000","17,307,300,000"
bitcoin-cash,"May 26, 2018",1015.68,1046.49,1001.18,1012.48,"486,186,000","17,416,700,000"
bitcoin-cash,"May 25, 2018",1072.74,1073.05,998.52,1017.30,"620,340,000","18,393,100,000"
bitcoin-cash,"May 24, 2018",1005.01,1078.36,958.82,1071.36,"785,384,000","17,230,000,000"
bitcoin-cash,"May 23, 2018",1142.25,1153.91,978.26,1005.61,"858,106,000","19,580,700,000"
bitcoin-cash,"May 22, 2018",1233.70,1233.70,1131.93,1141.86,"634,202,000","21,146,400,000"
bitcoin-cash,"May 21, 2018",1296.03,1301.55,1221.57,1233.64,"622,773,000","22,212,300,000"
bitcoin-cash,"May 20, 2018",1183.20,1306.95,1174.97,1291.77,"805,599,000","20,276,500,000"
bitcoin-cash,"May 19, 2018",1206.61,1208.99,1159.66,1184.96,"595,862,000","20,675,400,000"
bitcoin-cash,"May 18, 2018",1202.20,1218.00,1143.12,1207.24,"876,975,000","20,597,700,000"
bitcoin-cash,"May 17, 2018",1290.22,1335.41,1185.99,1206.17,"804,139,000","22,103,600,000"
bitcoin-cash,"May 16, 2018",1341.89,1359.36,1241.99,1280.62,"913,178,000","22,986,200,000"
bitcoin-cash,"May 15, 2018",1430.28,1456.35,1323.31,1343.38,"939,358,000","24,497,900,000"
bitcoin-cash,"May 14, 2018",1489.33,1501.64,1353.79,1431.69,"1,158,710,000","25,506,600,000"
bitcoin-cash,"May 13, 2018",1474.76,1507.88,1427.09,1493.12,"921,628,000","25,254,500,000"
bitcoin-cash,"May 12, 2018",1376.05,1501.65,1284.44,1472.40,"1,461,450,000","23,561,700,000"
bitcoin-cash,"May 11, 2018",1527.49,1556.64,1332.58,1371.74,"1,513,260,000","26,151,900,000"
bitcoin-cash,"May 10, 2018",1646.15,1669.83,1523.56,1528.59,"1,070,040,000","28,180,600,000"
bitcoin-cash,"May 09, 2018",1607.87,1679.03,1484.29,1638.34,"1,273,220,000","27,522,400,000"
bitcoin-cash,"May 08, 2018",1673.07,1693.35,1569.44,1611.94,"1,060,740,000","28,635,500,000"
bitcoin-cash,"May 07, 2018",1766.66,1781.47,1590.30,1655.20,"1,407,630,000","30,234,100,000"
bitcoin-cash,"May 06, 2018",1758.83,1838.49,1670.34,1765.69,"1,946,960,000","30,097,000,000"
bitcoin-cash,"May 05, 2018",1516.74,1753.11,1515.07,1752.10,"1,664,400,000","25,951,400,000"
bitcoin-cash,"May 04, 2018",1501.40,1538.46,1466.21,1517.33,"960,185,000","25,686,300,000"
bitcoin-cash,"May 03, 2018",1459.55,1536.80,1454.97,1511.97,"1,282,660,000","24,967,800,000"
bitcoin-cash,"May 02, 2018",1353.54,1480.58,1326.91,1458.72,"1,165,140,000","23,151,900,000"
bitcoin-cash,"May 01, 2018",1348.64,1351.28,1261.60,1351.28,"774,633,000","23,065,700,000"
bitcoin-cash,"Apr 30, 2018",1440.96,1440.96,1339.36,1350.05,"753,114,000","24,642,000,000"
bitcoin-cash,"Apr 29, 2018",1393.99,1477.31,1378.01,1440.30,"1,049,450,000","23,836,300,000"
bitcoin-cash,"Apr 28, 2018",1337.96,1418.61,1334.27,1396.25,"808,802,000","22,875,800,000"
bitcoin-cash,"Apr 27, 2018",1422.06,1422.06,1337.85,1337.85,"905,273,000","24,311,000,000"
bitcoin-cash,"Apr 26, 2018",1289.54,1420.41,1250.86,1420.41,"1,281,930,000","22,043,200,000"
bitcoin-cash,"Apr 25, 2018",1426.71,1437.18,1246.61,1284.79,"1,830,970,000","24,385,300,000"
bitcoin-cash,"Apr 24, 2018",1434.01,1560.94,1414.11,1426.42,"2,053,920,000","24,507,700,000"
bitcoin-cash,"Apr 23, 2018",1194.71,1443.27,1194.71,1432.26,"1,934,290,000","20,415,700,000"
bitcoin-cash,"Apr 22, 2018",1147.48,1250.51,1116.27,1201.22,"968,409,000","19,606,600,000"
bitcoin-cash,"Apr 21, 2018",1126.86,1172.28,1028.03,1154.69,"1,093,510,000","19,252,100,000"
bitcoin-cash,"Apr 20, 2018",970.15,1142.50,947.88,1128.02,"1,006,640,000","16,572,900,000"
bitcoin-cash,"Apr 19, 2018",890.66,983.58,878.45,968.64,"658,165,000","15,213,400,000"
bitcoin-cash,"Apr 18, 2018",758.25,893.57,757.39,888.91,"634,653,000","12,950,200,000"
bitcoin-cash,"Apr 17, 2018",766.70,784.49,755.38,757.59,"331,701,000","13,093,100,000"
bitcoin-cash,"Apr 16, 2018",781.12,797.88,745.73,766.47,"382,080,000","13,338,000,000"
bitcoin-cash,"Apr 15, 2018",741.91,785.35,741.91,780.83,"327,336,000","12,667,100,000"
bitcoin-cash,"Apr 14, 2018",738.72,760.48,723.22,738.99,"267,415,000","12,611,200,000"
bitcoin-cash,"Apr 13, 2018",735.78,781.13,725.40,738.30,"384,095,000","12,559,600,000"
bitcoin-cash,"Apr 12, 2018",666.39,734.48,658.93,734.48,"417,017,000","11,374,200,000"
bitcoin-cash,"Apr 11, 2018",648.90,666.58,648.90,666.58,"252,158,000","11,074,400,000"
bitcoin-cash,"Apr 10, 2018",637.70,657.01,628.86,649.62,"225,054,000","10,882,100,000"
bitcoin-cash,"Apr 09, 2018",656.09,680.60,627.32,637.03,"254,947,000","11,194,800,000"
bitcoin-cash,"Apr 08, 2018",640.89,659.81,640.89,655.26,"198,906,000","10,934,300,000"
bitcoin-cash,"Apr 07, 2018",611.20,652.59,610.41,640.35,"231,143,000","10,426,600,000"
bitcoin-cash,"Apr 06, 2018",641.86,646.08,603.71,610.43,"225,186,000","10,948,500,000"
bitcoin-cash,"Apr 05, 2018",648.63,655.52,620.10,646.04,"243,989,000","11,062,800,000"
bitcoin-cash,"Apr 04, 2018",710.47,711.27,638.01,649.20,"282,960,000","12,116,300,000"
bitcoin-cash,"Apr 03, 2018",664.15,719.77,660.35,712.88,"303,771,000","11,325,100,000"
bitcoin-cash,"Apr 02, 2018",644.46,686.02,641.43,662.77,"282,036,000","10,988,300,000"
bitcoin-cash,"Apr 01, 2018",688.01,699.05,629.93,643.03,"318,440,000","11,729,600,000"
bitcoin-cash,"Mar 31, 2018",697.62,735.82,683.99,685.25,"306,972,000","11,892,100,000"
bitcoin-cash,"Mar 30, 2018",712.40,766.97,677.53,697.01,"416,567,000","12,142,900,000"
bitcoin-cash,"Mar 29, 2018",861.61,867.31,703.18,714.27,"452,656,000","14,684,500,000"
bitcoin-cash,"Mar 28, 2018",876.36,897.63,852.88,860.52,"337,268,000","14,934,500,000"
