Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitcoindark,"Jul 02, 2018",51.98,52.70,50.75,51.71,"121,103","66,990,800"
bitcoindark,"Jul 01, 2018",51.91,52.20,49.83,51.98,"131,896","66,903,500"
bitcoindark,"Jun 30, 2018",46.72,52.08,46.72,51.90,"38,629","60,218,600"
bitcoindark,"Jun 29, 2018",48.34,50.07,45.70,49.67,901,"62,299,500"
bitcoindark,"Jun 28, 2018",49.77,50.25,48.17,48.33,"198,112","64,143,300"
bitcoindark,"Jun 27, 2018",49.21,49.87,48.53,49.76,"213,616","63,430,200"
bitcoindark,"Jun 26, 2018",49.41,51.53,49.05,49.22,"246,337","63,680,400"
bitcoindark,"Jun 25, 2018",49.39,51.03,49.09,49.41,"251,923","63,651,300"
bitcoindark,"Jun 24, 2018",46.92,50.51,45.67,49.45,716,"60,467,800"
bitcoindark,"Jun 23, 2018",49.32,50.09,46.53,46.93,"200,960","63,560,900"
bitcoindark,"Jun 22, 2018",54.37,55.24,48.80,49.31,"377,349","70,073,800"
bitcoindark,"Jun 21, 2018",54.88,55.87,51.08,54.40,"50,907","70,738,400"
bitcoindark,"Jun 20, 2018",55.17,57.37,54.38,54.88,"251,956","71,105,700"
bitcoindark,"Jun 19, 2018",57.23,58.17,55.08,55.16,"205,311","73,758,200"
bitcoindark,"Jun 18, 2018",48.02,59.35,47.99,57.25,"334,331","61,887,900"
bitcoindark,"Jun 17, 2018",47.24,48.84,47.17,48.09,"213,038","60,889,300"
bitcoindark,"Jun 16, 2018",51.05,51.52,47.15,47.15,"283,745","65,797,400"
bitcoindark,"Jun 15, 2018",51.76,54.03,50.69,51.16,"327,517","66,707,700"
bitcoindark,"Jun 14, 2018",45.74,52.48,45.71,51.80,"274,301","58,948,700"
bitcoindark,"Jun 13, 2018",51.86,51.86,44.67,45.75,"300,153","66,843,200"
bitcoindark,"Jun 12, 2018",55.00,55.60,51.66,51.79,"197,268","70,884,800"
bitcoindark,"Jun 11, 2018",61.49,61.49,54.53,54.97,"373,405","79,252,400"
bitcoindark,"Jun 10, 2018",70.83,70.83,60.44,61.44,"259,392","91,290,700"
bitcoindark,"Jun 09, 2018",71.65,71.94,69.32,70.80,"268,286","92,349,500"
bitcoindark,"Jun 08, 2018",67.32,72.00,66.82,71.66,"284,770","86,760,400"
bitcoindark,"Jun 07, 2018",65.62,67.61,65.62,67.28,"326,641","84,573,600"
bitcoindark,"Jun 06, 2018",67.94,68.25,65.43,65.58,"308,776","87,561,000"
bitcoindark,"Jun 05, 2018",67.30,68.34,66.65,67.95,"283,014","86,739,800"
bitcoindark,"Jun 04, 2018",69.29,69.38,66.76,67.28,"353,688","89,305,100"
bitcoindark,"Jun 03, 2018",69.64,70.08,68.91,69.27,"257,467","89,758,900"
bitcoindark,"Jun 02, 2018",66.97,69.74,66.75,69.63,"257,097","86,314,700"
bitcoindark,"Jun 01, 2018",67.54,68.18,66.53,66.98,"237,086","87,056,100"
bitcoindark,"May 31, 2018",65.02,68.20,64.86,67.51,"204,157","83,807,200"
bitcoindark,"May 30, 2018",65.21,65.70,63.04,65.07,"347,358","84,045,800"
