Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitconnect,"Jul 02, 2018",0.450717,0.472257,0.425673,0.457143,"1,356","4,361,580"
bitconnect,"Jul 01, 2018",0.456801,0.459320,0.419033,0.450693,671,"4,419,240"
bitconnect,"Jun 30, 2018",0.441708,0.460374,0.417363,0.456750,599,"4,272,080"
bitconnect,"Jun 29, 2018",0.421328,0.448665,0.381799,0.441104,"1,431","4,074,110"
bitconnect,"Jun 28, 2018",0.445356,0.446683,0.396658,0.421085,"1,288","4,305,500"
bitconnect,"Jun 27, 2018",0.409655,0.445826,0.393404,0.445200,772,"3,959,380"
bitconnect,"Jun 26, 2018",0.419585,0.457876,0.409452,0.409819,764,"4,054,520"
bitconnect,"Jun 25, 2018",0.410011,0.427582,0.407209,0.419585,339,"3,961,030"
bitconnect,"Jun 24, 2018",0.430453,0.436840,0.381852,0.410761,310,"4,157,330"
bitconnect,"Jun 23, 2018",0.423424,0.483507,0.392754,0.474093,"1,561","4,088,250"
bitconnect,"Jun 22, 2018",0.535611,0.536520,0.395117,0.422998,437,"5,169,270"
bitconnect,"Jun 21, 2018",0.519201,0.550394,0.460556,0.536118,"1,493","5,008,730"
bitconnect,"Jun 20, 2018",0.474341,0.552665,0.423177,0.519080,"1,480","4,574,900"
bitconnect,"Jun 19, 2018",0.511845,0.513180,0.419176,0.474045,237,"4,935,710"
bitconnect,"Jun 18, 2018",0.491618,0.516980,0.401183,0.512098,"1,709","4,739,690"
bitconnect,"Jun 17, 2018",0.502879,0.511840,0.459362,0.493551,498,"4,847,010"
bitconnect,"Jun 16, 2018",0.506729,0.512382,0.455112,0.501637,412,"4,883,010"
bitconnect,"Jun 15, 2018",0.529144,0.529773,0.397412,0.508566,"2,073","5,097,880"
bitconnect,"Jun 14, 2018",0.500364,0.534526,0.469558,0.529983,867,"4,819,390"
bitconnect,"Jun 13, 2018",0.499108,0.525366,0.475584,0.500590,824,"4,805,590"
bitconnect,"Jun 12, 2018",0.520915,0.586737,0.468832,0.497802,518,"5,013,370"
