Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitshares,"Jul 02, 2018",0.139648,0.160413,0.137817,0.159652,"13,370,400","368,352,000"
bitshares,"Jul 01, 2018",0.138956,0.141448,0.136228,0.139446,"5,785,540","366,492,000"
bitshares,"Jun 30, 2018",0.134631,0.140741,0.134631,0.140225,"6,926,630","355,080,000"
bitshares,"Jun 29, 2018",0.125838,0.136855,0.124672,0.134887,"7,972,500","331,871,000"
bitshares,"Jun 28, 2018",0.134349,0.136810,0.124764,0.125819,"3,925,280","354,279,000"
bitshares,"Jun 27, 2018",0.132637,0.135686,0.129368,0.134232,"5,996,170","349,728,000"
bitshares,"Jun 26, 2018",0.139379,0.140424,0.132438,0.132438,"6,054,000","367,464,000"
bitshares,"Jun 25, 2018",0.134831,0.144222,0.133202,0.139187,"8,267,230","355,435,000"
bitshares,"Jun 24, 2018",0.137458,0.143247,0.120799,0.135045,"20,901,500","362,321,000"
bitshares,"Jun 23, 2018",0.139893,0.141151,0.133103,0.137262,"8,031,390","368,701,000"
bitshares,"Jun 22, 2018",0.160205,0.160596,0.134413,0.139444,"16,214,200","422,189,000"
bitshares,"Jun 21, 2018",0.162796,0.163838,0.159001,0.160828,"5,211,220","428,971,000"
bitshares,"Jun 20, 2018",0.162582,0.162720,0.156980,0.162103,"6,391,070","428,361,000"
bitshares,"Jun 19, 2018",0.164245,0.165487,0.160794,0.162187,"5,903,480","432,699,000"
bitshares,"Jun 18, 2018",0.160225,0.167486,0.157060,0.164078,"7,171,240","422,064,000"
bitshares,"Jun 17, 2018",0.161982,0.163517,0.159788,0.160154,"5,366,550","426,646,000"
bitshares,"Jun 16, 2018",0.156739,0.163385,0.156739,0.161766,"6,865,800","412,793,000"
bitshares,"Jun 15, 2018",0.165487,0.165801,0.156239,0.156904,"9,265,140","435,784,000"
bitshares,"Jun 14, 2018",0.156104,0.167787,0.154334,0.165830,"17,262,700","411,031,000"
bitshares,"Jun 13, 2018",0.154972,0.158642,0.149304,0.156063,"18,800,500","408,008,000"
bitshares,"Jun 12, 2018",0.176394,0.178286,0.151853,0.154392,"15,006,000","464,358,000"
bitshares,"Jun 11, 2018",0.172163,0.178481,0.155075,0.177522,"24,427,800","453,170,000"
bitshares,"Jun 10, 2018",0.207767,0.207767,0.160513,0.171785,"33,716,300","546,828,000"
bitshares,"Jun 09, 2018",0.213470,0.216552,0.208212,0.208212,"10,478,000","561,775,000"
bitshares,"Jun 08, 2018",0.219814,0.221301,0.212332,0.213343,"12,110,500","578,407,000"
bitshares,"Jun 07, 2018",0.218996,0.225081,0.215705,0.218986,"12,044,100","576,193,000"
bitshares,"Jun 06, 2018",0.226601,0.228791,0.211922,0.218911,"16,645,000","596,139,000"
bitshares,"Jun 05, 2018",0.221651,0.228564,0.206821,0.226697,"19,174,100","582,994,000"
bitshares,"Jun 04, 2018",0.232590,0.235405,0.218602,0.221645,"20,298,500","611,759,000"
bitshares,"Jun 03, 2018",0.224614,0.245200,0.224614,0.233453,"31,715,700","590,717,000"
bitshares,"Jun 02, 2018",0.207046,0.225325,0.205721,0.224444,"19,604,800","544,456,000"
