Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitsoar,"Jul 02, 2018",0.000317,0.000332,0.000251,0.000330,"3,259",-
bitsoar,"Jul 01, 2018",0.000383,0.000385,0.000251,0.000317,"1,067",-
bitsoar,"Jun 30, 2018",0.000310,0.000385,0.000255,0.000383,"4,823",-
bitsoar,"Jun 29, 2018",0.000235,0.000413,0.000232,0.000310,"269,928",-
bitsoar,"Jun 28, 2018",0.000245,0.000305,0.000233,0.000235,"1,914",-
bitsoar,"Jun 27, 2018",0.000182,0.000246,0.000180,0.000245,"10,598",-
bitsoar,"Jun 26, 2018",0.000250,0.000251,0.000182,0.000182,"3,389",-
bitsoar,"Jun 25, 2018",0.000308,0.000309,0.000184,0.000250,242,-
bitsoar,"Jun 24, 2018",0.000247,0.000309,0.000176,0.000308,722,-
bitsoar,"Jun 23, 2018",0.000242,0.000305,0.000183,0.000247,856,-
bitsoar,"Jun 22, 2018",0.000269,0.000335,0.000238,0.000242,914,-
bitsoar,"Jun 21, 2018",0.000203,0.000337,0.000201,0.000269,"8,262",-
bitsoar,"Jun 20, 2018",0.000270,0.000272,0.000198,0.000203,"1,261",-
bitsoar,"Jun 19, 2018",0.000269,0.000272,0.000201,0.000270,"1,519",-
bitsoar,"Jun 18, 2018",0.000259,0.000271,0.000193,0.000269,"2,084",-
bitsoar,"Jun 17, 2018",0.000326,0.000328,0.000259,0.000260,"2,833",-
bitsoar,"Jun 16, 2018",0.000257,0.000329,0.000255,0.000326,"5,529",-
bitsoar,"Jun 15, 2018",0.000399,0.000399,0.000256,0.000258,"11,820",-
bitsoar,"Jun 14, 2018",0.000190,0.000464,0.000189,0.000399,"213,301",-
bitsoar,"Jun 13, 2018",0.000197,0.000264,0.000186,0.000190,717,-
bitsoar,"Jun 12, 2018",0.000207,0.000275,0.000195,0.000197,"1,618",-
bitsoar,"Jun 11, 2018",0.000203,0.000272,0.000200,0.000207,668,-
bitsoar,"Jun 10, 2018",0.000300,0.000300,0.000200,0.000203,305,-
bitsoar,"Jun 09, 2018",0.000305,0.000383,0.000228,0.000300,"3,878",-
bitsoar,"Jun 08, 2018",0.000384,0.000385,0.000229,0.000305,"5,726",-
bitsoar,"Jun 07, 2018",0.000306,0.000385,0.000230,0.000384,"4,839",-
bitsoar,"Jun 06, 2018",0.000305,0.000382,0.000228,0.000306,"2,438",-
