Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitstation,"Jul 02, 2018",0.000997,0.001320,0.000894,0.001192,"208,411","2,831,140"
bitstation,"Jul 01, 2018",0.000989,0.001025,0.000955,0.001001,"72,417","2,807,470"
bitstation,"Jun 30, 2018",0.000965,0.001052,0.000919,0.000999,"25,553","2,738,000"
bitstation,"Jun 29, 2018",0.000763,0.001005,0.000759,0.000983,"168,173","2,164,520"
bitstation,"Jun 28, 2018",0.000809,0.000906,0.000739,0.000762,"96,432","2,296,900"
bitstation,"Jun 27, 2018",0.000827,0.000827,0.000752,0.000811,"106,766","2,343,150"
bitstation,"Jun 26, 2018",0.000811,0.000874,0.000722,0.000804,"87,135","2,297,320"
bitstation,"Jun 25, 2018",0.000785,0.000876,0.000760,0.000811,"99,995","2,223,870"
bitstation,"Jun 24, 2018",0.000864,0.000872,0.000723,0.000790,"69,269","2,447,500"
bitstation,"Jun 23, 2018",0.000719,0.000894,0.000712,0.000865,"59,779","2,035,160"
bitstation,"Jun 22, 2018",0.000955,0.000963,0.000701,0.000714,"109,775","2,703,680"
bitstation,"Jun 21, 2018",0.001031,0.001092,0.000936,0.000955,"138,944","2,919,830"
bitstation,"Jun 20, 2018",0.001157,0.001171,0.000935,0.001040,"127,634","3,163,620"
bitstation,"Jun 19, 2018",0.001166,0.001180,0.001128,0.001155,"58,674","3,130,660"
bitstation,"Jun 18, 2018",0.001146,0.001174,0.001094,0.001161,"45,939","3,076,020"
bitstation,"Jun 17, 2018",0.001164,0.001180,0.001123,0.001135,"59,731","3,124,900"
bitstation,"Jun 16, 2018",0.001166,0.001260,0.001148,0.001167,"44,219","3,129,040"
bitstation,"Jun 15, 2018",0.001253,0.001259,0.001147,0.001168,"35,633","3,362,020"
bitstation,"Jun 14, 2018",0.001154,0.001283,0.001135,0.001243,"48,325","3,096,730"
bitstation,"Jun 13, 2018",0.001266,0.001274,0.001110,0.001168,"82,783","3,398,450"
bitstation,"Jun 12, 2018",0.001436,0.001436,0.001251,0.001265,"155,533","3,854,090"
bitstation,"Jun 11, 2018",0.001420,0.001452,0.001277,0.001436,"136,168","3,810,120"
bitstation,"Jun 10, 2018",0.001629,0.001629,0.001377,0.001399,"242,150","4,371,070"
bitstation,"Jun 09, 2018",0.001610,0.001679,0.001563,0.001610,"367,263","4,322,240"
bitstation,"Jun 08, 2018",0.001539,0.001687,0.001418,0.001624,"322,944","4,121,580"
bitstation,"Jun 07, 2018",0.001553,0.001620,0.001459,0.001528,"462,711","4,159,260"
bitstation,"Jun 06, 2018",0.001599,0.001620,0.001489,0.001567,"295,143","4,283,110"
bitstation,"Jun 05, 2018",0.001673,0.001684,0.001505,0.001619,"438,242","4,478,780"
bitstation,"Jun 04, 2018",0.001767,0.001956,0.001650,0.001669,"333,877","4,730,680"
bitstation,"Jun 03, 2018",0.001815,0.001860,0.001710,0.001767,"57,382","4,860,140"
bitstation,"Jun 02, 2018",0.001839,0.001889,0.001812,0.001819,"89,267","4,925,820"
bitstation,"Jun 01, 2018",0.001818,0.001911,0.001735,0.001849,"256,514","4,867,300"
bitstation,"May 31, 2018",0.001717,0.002076,0.001641,0.001819,"269,008","4,596,890"
bitstation,"May 30, 2018",0.001716,0.001785,0.001639,0.001718,"105,124","4,593,940"
bitstation,"May 29, 2018",0.001714,0.001779,0.001619,0.001715,"330,035","4,589,680"
bitstation,"May 28, 2018",0.001625,0.002615,0.001622,0.001718,"1,343,350","4,350,720"
bitstation,"May 27, 2018",0.001613,0.001725,0.001560,0.001627,"538,653","4,259,730"
bitstation,"May 26, 2018",0.001748,0.001802,0.001599,0.001609,"174,147","4,615,990"
bitstation,"May 25, 2018",0.001803,0.001962,0.001709,0.001732,"149,309","4,762,350"
bitstation,"May 24, 2018",0.001782,0.001881,0.001703,0.001798,"209,492","4,403,980"
bitstation,"May 23, 2018",0.002110,0.002110,0.001705,0.001783,"565,960","5,214,060"
bitstation,"May 22, 2018",0.002196,0.002482,0.002107,0.002108,"760,396","5,425,910"
bitstation,"May 21, 2018",0.002370,0.002510,0.002165,0.002207,"611,961","5,855,610"
bitstation,"May 20, 2018",0.002200,0.002489,0.002154,0.002353,"974,178","5,434,820"
bitstation,"May 19, 2018",0.002260,0.002456,0.002198,0.002212,"545,357","5,583,000"
bitstation,"May 18, 2018",0.002504,0.002626,0.002257,0.002273,"1,007,040","6,186,640"
bitstation,"May 17, 2018",0.002826,0.002840,0.002437,0.002499,"1,455,020","6,982,230"
bitstation,"May 16, 2018",0.003309,0.003309,0.002699,0.002793,"1,756,400","8,176,400"
bitstation,"May 15, 2018",0.003041,0.003703,0.003008,0.003328,"2,883,950","7,515,010"
bitstation,"May 14, 2018",0.002224,0.003891,0.002075,0.002980,"3,599,690","5,494,870"
bitstation,"May 13, 2018",0.001930,0.002261,0.001846,0.002258,"1,427,860","4,768,240"
bitstation,"May 12, 2018",0.001783,0.002017,0.001715,0.001917,"942,496","4,405,860"
bitstation,"May 11, 2018",0.002060,0.002306,0.001735,0.001788,"1,117,600","5,090,180"
bitstation,"May 10, 2018",0.002085,0.002321,0.001955,0.002030,"1,170,220",-
bitstation,"May 09, 2018",0.001970,0.002235,0.001859,0.002110,"1,201,490",-
bitstation,"May 08, 2018",0.002391,0.002397,0.001788,0.001969,"1,093,300",-
bitstation,"May 07, 2018",0.002615,0.002651,0.002244,0.002379,"937,511",-
bitstation,"May 06, 2018",0.002605,0.002833,0.002490,0.002620,"1,233,450",-
bitstation,"May 05, 2018",0.002833,0.003017,0.002607,0.002618,"1,317,900",-
bitstation,"May 04, 2018",0.003204,0.003204,0.002816,0.002829,"2,516,230",-
bitstation,"May 03, 2018",0.002998,0.003427,0.002868,0.003192,"2,526,150",-
bitstation,"May 02, 2018",0.002657,0.003569,0.002612,0.003017,"2,730,840",-
