Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bitsum,"Jul 02, 2018",0.000317,0.000395,0.000303,0.000393,"11,858","278,649"
bitsum,"Jul 01, 2018",0.000313,0.000374,0.000308,0.000317,364,"274,422"
bitsum,"Jun 30, 2018",0.000305,0.000379,0.000305,0.000313,826,"266,188"
bitsum,"Jun 29, 2018",0.000247,0.000365,0.000239,0.000305,"1,525","215,191"
bitsum,"Jun 28, 2018",0.000307,0.000339,0.000246,0.000247,62,"266,099"
bitsum,"Jun 27, 2018",0.000355,0.000358,0.000289,0.000307,"1,652","307,356"
bitsum,"Jun 26, 2018",0.000367,0.000428,0.000308,0.000355,"2,411","316,578"
bitsum,"Jun 25, 2018",0.000308,0.000368,0.000305,0.000367,"1,924","284,549"
bitsum,"Jun 24, 2018",0.000370,0.000415,0.000307,0.000308,"1,504","342,218"
bitsum,"Jun 23, 2018",0.000303,0.000374,0.000302,0.000370,"1,141","280,112"
bitsum,"Jun 22, 2018",0.000403,0.000465,0.000297,0.000303,"16,485","370,898"
bitsum,"Jun 21, 2018",0.000338,0.000462,0.000335,0.000403,"13,763","309,973"
bitsum,"Jun 20, 2018",0.000405,0.000466,0.000331,0.000395,"4,849","371,186"
bitsum,"Jun 19, 2018",0.000450,0.000451,0.000364,0.000405,"2,284","411,185"
bitsum,"Jun 18, 2018",0.000398,0.000468,0.000388,0.000450,"2,314","362,155"
bitsum,"Jun 17, 2018",0.000504,0.000507,0.000397,0.000399,"4,062","458,183"
bitsum,"Jun 16, 2018",0.000539,0.000585,0.000418,0.000503,"8,207","488,548"
bitsum,"Jun 15, 2018",0.000500,0.000653,0.000341,0.000541,"16,055","451,846"
bitsum,"Jun 14, 2018",0.000369,0.000502,0.000316,0.000502,"3,531","332,047"
bitsum,"Jun 13, 2018",0.000329,0.000390,0.000290,0.000369,"3,268","286,118"
bitsum,"Jun 12, 2018",0.000344,0.000406,0.000284,0.000328,"6,447","298,555"
bitsum,"Jun 11, 2018",0.000355,0.000407,0.000292,0.000345,"2,587","300,838"
bitsum,"Jun 10, 2018",0.000458,0.000458,0.000335,0.000355,"2,183","387,269"
bitsum,"Jun 09, 2018",0.000534,0.000607,0.000319,0.000458,"31,701","449,548"
bitsum,"Jun 08, 2018",0.000615,0.000679,0.000534,0.000534,"4,237","515,873"
bitsum,"Jun 07, 2018",0.000613,0.000667,0.000579,0.000594,"3,866","512,517"
