Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
blazecoin,"Jul 02, 2018",0.000379,0.000460,0.000372,0.000396,303,"230,498"
blazecoin,"Jul 01, 2018",0.000388,0.000390,0.000375,0.000379,47,"235,958"
blazecoin,"Jun 30, 2018",0.000372,0.000508,0.000372,0.000387,"1,470","226,195"
blazecoin,"Jun 29, 2018",0.000304,0.000380,0.000296,0.000371,372,"184,925"
blazecoin,"Jun 28, 2018",0.000367,0.000411,0.000302,0.000303,334,"223,108"
blazecoin,"Jun 27, 2018",0.000363,0.000369,0.000356,0.000366,210,"220,738"
blazecoin,"Jun 26, 2018",0.000376,0.000430,0.000363,0.000363,409,"228,696"
blazecoin,"Jun 25, 2018",0.000374,0.000439,0.000306,0.000376,916,"227,475"
blazecoin,"Jun 24, 2018",0.000488,0.000489,0.000351,0.000374,"1,137","296,977"
blazecoin,"Jun 23, 2018",0.000425,0.000493,0.000424,0.000431,258,"258,515"
blazecoin,"Jun 22, 2018",0.000471,0.000497,0.000418,0.000424,206,"286,560"
blazecoin,"Jun 21, 2018",0.000474,0.000527,0.000465,0.000470,436,"288,607"
blazecoin,"Jun 20, 2018",0.000529,0.000541,0.000465,0.000474,731,"321,781"
blazecoin,"Jun 19, 2018",0.000538,0.000541,0.000478,0.000528,526,"327,666"
blazecoin,"Jun 18, 2018",0.000478,0.000539,0.000454,0.000539,338,"290,950"
blazecoin,"Jun 17, 2018",0.000465,0.000486,0.000454,0.000483,8,"283,183"
blazecoin,"Jun 16, 2018",0.000516,0.000526,0.000456,0.000465,374,"314,063"
blazecoin,"Jun 15, 2018",0.000469,0.000532,0.000462,0.000517,8,"285,502"
blazecoin,"Jun 14, 2018",0.000504,0.000522,0.000448,0.000470,119,"306,980"
blazecoin,"Jun 13, 2018",0.000461,0.000519,0.000447,0.000505,"1,392","280,618"
blazecoin,"Jun 12, 2018",0.000483,0.000544,0.000457,0.000460,218,"294,174"
blazecoin,"Jun 11, 2018",0.000539,0.000542,0.000473,0.000484,350,"327,800"
blazecoin,"Jun 10, 2018",0.000531,0.000580,0.000472,0.000538,420,"323,132"
blazecoin,"Jun 09, 2018",0.000498,0.000541,0.000478,0.000532,172,"303,132"
blazecoin,"Jun 08, 2018",0.000592,0.000605,0.000498,0.000499,42,"360,529"
blazecoin,"Jun 07, 2018",0.000550,0.000612,0.000547,0.000594,110,"334,524"
blazecoin,"Jun 06, 2018",0.000535,0.000608,0.000468,0.000546,565,"325,345"
blazecoin,"Jun 05, 2018",0.000525,0.000611,0.000518,0.000535,414,"319,755"
blazecoin,"Jun 04, 2018",0.000584,0.000603,0.000524,0.000525,291,"355,218"
blazecoin,"Jun 03, 2018",0.000536,0.000593,0.000533,0.000575,31,"325,967"
blazecoin,"Jun 02, 2018",0.000526,0.000540,0.000523,0.000536,155,"320,137"
blazecoin,"Jun 01, 2018",0.000580,0.000602,0.000506,0.000601,132,"352,883"
blazecoin,"May 31, 2018",0.000518,0.000606,0.000517,0.000579,680,"315,271"
blazecoin,"May 30, 2018",0.000525,0.000586,0.000514,0.000518,264,"319,435"
blazecoin,"May 29, 2018",0.000499,0.000527,0.000496,0.000525,375,"303,384"
blazecoin,"May 28, 2018",0.000590,0.000596,0.000498,0.000499,688,"359,223"
blazecoin,"May 27, 2018",0.000590,0.000664,0.000582,0.000590,414,"358,859"
blazecoin,"May 26, 2018",0.000670,0.000679,0.000522,0.000589,"2,588","407,765"
blazecoin,"May 25, 2018",0.000676,0.000908,0.000522,0.000671,"8,428","411,239"
blazecoin,"May 24, 2018",0.000529,0.000682,0.000528,0.000675,277,"321,877"
blazecoin,"May 23, 2018",0.000710,0.000755,0.000526,0.000530,"1,410","431,817"
blazecoin,"May 22, 2018",0.000756,0.000756,0.000666,0.000710,219,"459,981"
blazecoin,"May 21, 2018",0.000703,0.000764,0.000680,0.000756,129,"427,813"
blazecoin,"May 20, 2018",0.000746,0.000770,0.000671,0.000761,305,"454,180"
blazecoin,"May 19, 2018",0.000708,0.000759,0.000567,0.000747,669,"430,910"
blazecoin,"May 18, 2018",0.000647,0.000735,0.000564,0.000718,"1,857","393,696"
blazecoin,"May 17, 2018",0.000668,0.000675,0.000502,0.000647,"2,159","406,406"
blazecoin,"May 16, 2018",0.000771,0.000842,0.000578,0.000667,"1,764","469,029"
blazecoin,"May 15, 2018",0.000866,0.000875,0.000767,0.000771,49,"527,056"
blazecoin,"May 14, 2018",0.000785,0.000955,0.000756,0.000867,87,"477,951"
blazecoin,"May 13, 2018",0.000856,0.000945,0.000773,0.000788,674,"521,011"
blazecoin,"May 12, 2018",0.000759,0.000864,0.000645,0.000847,193,"462,118"
blazecoin,"May 11, 2018",0.000907,0.000911,0.000749,0.000761,71,"552,073"
blazecoin,"May 10, 2018",0.000837,0.000925,0.000812,0.000906,171,"509,350"
blazecoin,"May 09, 2018",0.000810,0.000923,0.000801,0.000837,681,"492,808"
blazecoin,"May 08, 2018",0.000843,0.000933,0.000801,0.000811,131,"513,025"
blazecoin,"May 07, 2018",0.000956,0.000957,0.000829,0.000841,144,"582,015"
blazecoin,"May 06, 2018",0.000885,0.001367,0.000866,0.000956,"4,321","538,662"
blazecoin,"May 05, 2018",0.000690,0.000894,0.000689,0.000885,857,"419,648"
blazecoin,"May 04, 2018",0.000683,0.000866,0.000670,0.000689,82,"415,799"
blazecoin,"May 03, 2018",0.000832,0.000842,0.000672,0.000683,754,"506,053"
blazecoin,"May 02, 2018",0.000851,0.001001,0.000640,0.000831,"2,287","517,853"
blazecoin,"May 01, 2018",0.000909,0.000910,0.000840,0.000853,40,"553,376"
blazecoin,"Apr 30, 2018",0.000939,0.000941,0.000831,0.000910,"1,032","571,501"
blazecoin,"Apr 29, 2018",0.001028,0.001048,0.000924,0.000939,202,"625,597"
blazecoin,"Apr 28, 2018",0.000990,0.001037,0.000927,0.001028,497,"602,538"
blazecoin,"Apr 27, 2018",0.001020,0.001137,0.000973,0.000993,182,"620,891"
blazecoin,"Apr 26, 2018",0.000981,0.001021,0.000948,0.001020,160,"597,240"
blazecoin,"Apr 25, 2018",0.001078,0.001163,0.000961,0.000974,299,"656,266"
blazecoin,"Apr 24, 2018",0.000875,0.001094,0.000875,0.001085,487,"532,624"
blazecoin,"Apr 23, 2018",0.000851,0.000887,0.000849,0.000877,150,"517,777"
blazecoin,"Apr 22, 2018",0.000981,0.001091,0.000849,0.000851,960,"597,196"
blazecoin,"Apr 21, 2018",0.000883,0.000985,0.000876,0.000981,443,"537,594"
blazecoin,"Apr 20, 2018",0.000925,0.000937,0.000782,0.000883,421,"562,946"
blazecoin,"Apr 19, 2018",0.000812,0.000924,0.000809,0.000924,76,"494,439"
blazecoin,"Apr 18, 2018",0.000807,0.000817,0.000713,0.000812,97,"490,909"
blazecoin,"Apr 17, 2018",0.000803,0.000895,0.000715,0.000806,580,"488,446"
