Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
blockcdn,"Jul 02, 2018",0.013129,0.014366,0.012150,0.013485,"131,538",-
blockcdn,"Jul 01, 2018",0.012692,0.014315,0.012147,0.013128,"47,574",-
blockcdn,"Jun 30, 2018",0.012570,0.014342,0.012211,0.012690,"42,977",-
blockcdn,"Jun 29, 2018",0.011535,0.012691,0.011535,0.012566,"14,866",-
blockcdn,"Jun 28, 2018",0.012521,0.015118,0.011540,0.011540,"64,303",-
blockcdn,"Jun 27, 2018",0.012004,0.013100,0.011814,0.012518,"34,437",-
blockcdn,"Jun 26, 2018",0.014328,0.014612,0.012189,0.012189,"25,735",-
blockcdn,"Jun 25, 2018",0.014536,0.014639,0.013603,0.014328,"11,069",-
blockcdn,"Jun 24, 2018",0.014955,0.014974,0.013205,0.014546,"39,966",-
blockcdn,"Jun 23, 2018",0.016763,0.017849,0.013709,0.014958,"65,295",-
blockcdn,"Jun 22, 2018",0.017282,0.021366,0.014290,0.016857,"214,945",-
blockcdn,"Jun 21, 2018",0.019180,0.019812,0.016101,0.016661,"38,006",-
blockcdn,"Jun 20, 2018",0.020422,0.020422,0.019001,0.019183,"14,348",-
blockcdn,"Jun 19, 2018",0.020012,0.020649,0.019499,0.020420,"16,433",-
blockcdn,"Jun 18, 2018",0.019830,0.020030,0.019017,0.020015,"8,098",-
blockcdn,"Jun 17, 2018",0.019915,0.021859,0.019537,0.019830,"7,926",-
blockcdn,"Jun 16, 2018",0.019931,0.020645,0.019796,0.019917,"5,664",-
blockcdn,"Jun 15, 2018",0.020140,0.021490,0.019423,0.019933,"34,035",-
blockcdn,"Jun 14, 2018",0.019570,0.021042,0.019057,0.020140,"50,227",-
blockcdn,"Jun 13, 2018",0.020323,0.020633,0.018603,0.019365,"40,488",-
blockcdn,"Jun 12, 2018",0.022663,0.022996,0.020133,0.020393,"28,923",-
blockcdn,"Jun 11, 2018",0.022030,0.022867,0.021036,0.022638,"51,549",-
blockcdn,"Jun 10, 2018",0.026266,0.026266,0.021790,0.023146,"60,550",-
blockcdn,"Jun 09, 2018",0.026805,0.027551,0.026408,0.026554,"20,884",-
blockcdn,"Jun 08, 2018",0.026679,0.028763,0.026430,0.026802,"29,401",-
blockcdn,"Jun 07, 2018",0.027418,0.029774,0.026524,0.026677,"60,893",-
blockcdn,"Jun 06, 2018",0.026795,0.027526,0.026274,0.027419,"40,473",-
blockcdn,"Jun 05, 2018",0.026850,0.028264,0.025997,0.026795,"92,921",-
blockcdn,"Jun 04, 2018",0.027990,0.029651,0.024713,0.026850,"243,418",-
blockcdn,"Jun 03, 2018",0.028990,0.029479,0.027221,0.027990,"119,285",-
blockcdn,"Jun 02, 2018",0.032934,0.035579,0.027319,0.028513,"398,783",-
blockcdn,"Jun 01, 2018",0.022014,0.041134,0.021696,0.033756,"1,304,660",-
blockcdn,"May 31, 2018",0.021895,0.022811,0.021814,0.022009,"36,032",-
blockcdn,"May 30, 2018",0.022665,0.023877,0.021797,0.021920,"22,511",-
blockcdn,"May 29, 2018",0.021453,0.023805,0.020671,0.022665,"43,693",-
blockcdn,"May 28, 2018",0.024608,0.025590,0.020478,0.021367,"40,570",-
blockcdn,"May 27, 2018",0.025539,0.026365,0.024613,0.024803,"20,787",-
blockcdn,"May 26, 2018",0.025056,0.026073,0.023967,0.025534,"12,415",-
blockcdn,"May 25, 2018",0.024935,0.025626,0.024442,0.025057,"12,212",-
blockcdn,"May 24, 2018",0.024180,0.027540,0.022006,0.024932,"54,485",-
blockcdn,"May 23, 2018",0.027744,0.027811,0.023576,0.024202,"67,473",-
blockcdn,"May 22, 2018",0.029961,0.030369,0.027668,0.027764,"55,735",-
blockcdn,"May 21, 2018",0.030728,0.031302,0.029202,0.029963,"60,722",-
blockcdn,"May 20, 2018",0.028684,0.031987,0.028487,0.030729,"74,942",-
blockcdn,"May 19, 2018",0.028687,0.030167,0.028499,0.028683,"36,985",-
blockcdn,"May 18, 2018",0.029844,0.030222,0.026199,0.028680,"105,305",-
blockcdn,"May 17, 2018",0.032527,0.033945,0.028993,0.029843,"110,827",-
blockcdn,"May 16, 2018",0.034848,0.035500,0.032260,0.032963,"32,611",-
blockcdn,"May 15, 2018",0.034457,0.037681,0.033490,0.034848,"69,243",-
blockcdn,"May 14, 2018",0.036060,0.037727,0.031863,0.034470,"68,866",-
blockcdn,"May 13, 2018",0.034582,0.037337,0.034474,0.036067,"40,207",-
blockcdn,"May 12, 2018",0.036123,0.037927,0.031208,0.034591,"70,564",-
blockcdn,"May 11, 2018",0.040250,0.040250,0.033679,0.036128,"126,006",-
blockcdn,"May 10, 2018",0.039205,0.041983,0.038813,0.040284,"94,599",-
blockcdn,"May 09, 2018",0.041319,0.041609,0.037684,0.039206,"98,246",-
blockcdn,"May 08, 2018",0.040838,0.042952,0.040344,0.041323,"122,385",-
blockcdn,"May 07, 2018",0.042564,0.042707,0.038303,0.040827,"145,395",-
blockcdn,"May 06, 2018",0.044784,0.046061,0.039635,0.041573,"171,223",-
blockcdn,"May 05, 2018",0.045569,0.049135,0.042584,0.044686,"498,528",-
blockcdn,"May 04, 2018",0.045668,0.046894,0.043920,0.045568,"221,838",-
blockcdn,"May 03, 2018",0.045480,0.047869,0.044176,0.045676,"260,774",-
blockcdn,"May 02, 2018",0.043139,0.051899,0.042931,0.046056,"526,276",-
blockcdn,"May 01, 2018",0.045312,0.045389,0.040098,0.043051,"98,746",-
blockcdn,"Apr 30, 2018",0.045208,0.046975,0.042630,0.045309,"190,303",-
blockcdn,"Apr 29, 2018",0.046873,0.049728,0.042250,0.045796,"342,714",-
blockcdn,"Apr 28, 2018",0.046514,0.051263,0.045363,0.046679,"372,199",-
blockcdn,"Apr 27, 2018",0.048417,0.055761,0.045806,0.046537,"891,177",-
blockcdn,"Apr 26, 2018",0.044010,0.049761,0.042331,0.048803,"490,214",-
blockcdn,"Apr 25, 2018",0.055141,0.055141,0.042216,0.043971,"563,622",-
blockcdn,"Apr 24, 2018",0.047099,0.061408,0.046640,0.055148,"827,689",-
blockcdn,"Apr 23, 2018",0.052820,0.052857,0.043769,0.047094,"380,237",-
blockcdn,"Apr 22, 2018",0.051896,0.060554,0.049164,0.052831,"1,165,000",-
blockcdn,"Apr 21, 2018",0.058734,0.065681,0.041543,0.052875,"1,702,800",-
blockcdn,"Apr 20, 2018",0.036820,0.069033,0.036274,0.069033,"762,752",-
blockcdn,"Apr 19, 2018",0.033269,0.042872,0.032409,0.035558,"617,338",-
blockcdn,"Apr 18, 2018",0.032582,0.035385,0.031652,0.032785,"313,999",-
blockcdn,"Apr 17, 2018",0.025274,0.037364,0.024660,0.032892,"646,467",-
blockcdn,"Apr 16, 2018",0.026069,0.027106,0.023379,0.025277,"81,207",-
blockcdn,"Apr 15, 2018",0.026350,0.027322,0.025784,0.026112,"62,073",-
blockcdn,"Apr 14, 2018",0.026509,0.027097,0.025029,0.025851,"72,872",-
blockcdn,"Apr 13, 2018",0.028348,0.030485,0.026505,0.026509,"310,024",-
blockcdn,"Apr 12, 2018",0.028095,0.029645,0.023875,0.028441,"379,093",-
blockcdn,"Apr 11, 2018",0.030359,0.031186,0.027996,0.028195,"328,135",-
blockcdn,"Apr 10, 2018",0.034250,0.036013,0.029032,0.029699,"588,584",-
blockcdn,"Apr 09, 2018",0.029275,0.042174,0.023262,0.031917,"1,009,980",-
blockcdn,"Apr 08, 2018",0.011502,0.048115,0.010271,0.029885,"1,039,790",-
blockcdn,"Apr 07, 2018",0.011618,0.012107,0.011454,0.011501,"5,480",-
blockcdn,"Apr 06, 2018",0.012406,0.012838,0.011406,0.011621,"3,185",-
blockcdn,"Apr 05, 2018",0.013820,0.013838,0.012187,0.012424,"7,252",-
blockcdn,"Apr 04, 2018",0.013771,0.014644,0.013031,0.013822,"15,430",-
blockcdn,"Apr 03, 2018",0.013223,0.014044,0.013101,0.013772,"7,693",-
blockcdn,"Apr 02, 2018",0.014313,0.014568,0.013198,0.013217,"9,791",-
blockcdn,"Apr 01, 2018",0.015261,0.015278,0.013420,0.014305,"10,654",-
blockcdn,"Mar 31, 2018",0.015446,0.015786,0.014103,0.015259,"11,162",-
blockcdn,"Mar 30, 2018",0.014770,0.017219,0.013191,0.015448,"15,839",-
blockcdn,"Mar 29, 2018",0.016394,0.017937,0.014677,0.015037,"12,663",-
blockcdn,"Mar 28, 2018",0.016235,0.017919,0.015871,0.017763,"22,189",-
blockcdn,"Mar 27, 2018",0.017715,0.019104,0.016230,0.016230,"11,792",-
blockcdn,"Mar 26, 2018",0.020006,0.020196,0.017131,0.017716,"16,281",-
blockcdn,"Mar 25, 2018",0.020524,0.020633,0.019379,0.020012,"13,845",-
blockcdn,"Mar 24, 2018",0.021685,0.022072,0.020124,0.020433,"19,876",-
blockcdn,"Mar 23, 2018",0.020807,0.024793,0.018789,0.021669,"26,276",-
blockcdn,"Mar 22, 2018",0.022164,0.024339,0.019064,0.020805,"37,117",-
blockcdn,"Mar 21, 2018",0.019892,0.023479,0.019859,0.022169,"56,049",-
blockcdn,"Mar 20, 2018",0.020403,0.021446,0.018485,0.019879,"41,515",-
blockcdn,"Mar 19, 2018",0.019816,0.021477,0.017711,0.020133,"94,116",-
blockcdn,"Mar 18, 2018",0.020416,0.022522,0.018339,0.019957,"50,633",-
blockcdn,"Mar 17, 2018",0.030343,0.030343,0.020177,0.020336,"54,157",-
blockcdn,"Mar 16, 2018",0.034107,0.034130,0.030100,0.030338,"61,508",-
blockcdn,"Mar 15, 2018",0.038477,0.040612,0.029399,0.034199,"62,078",-
blockcdn,"Mar 14, 2018",0.040054,0.044459,0.038391,0.038488,"52,035",-
blockcdn,"Mar 13, 2018",0.042884,0.043631,0.038556,0.038947,"50,933",-
blockcdn,"Mar 12, 2018",0.047796,0.050078,0.042091,0.042885,"41,234",-
blockcdn,"Mar 11, 2018",0.048823,0.048870,0.039910,0.047479,"45,032",-
blockcdn,"Mar 10, 2018",0.051318,0.055960,0.048810,0.048856,"42,875",-
blockcdn,"Mar 09, 2018",0.062463,0.062594,0.042763,0.051318,"89,269",-
blockcdn,"Mar 08, 2018",0.075969,0.078377,0.062183,0.062453,"139,889",-
blockcdn,"Mar 07, 2018",0.088509,0.089141,0.075937,0.076987,"120,789",-
blockcdn,"Mar 06, 2018",0.093540,0.095015,0.086446,0.087285,"140,873",-
blockcdn,"Mar 05, 2018",0.094368,0.098887,0.090767,0.094208,"108,917",-
blockcdn,"Mar 04, 2018",0.094298,0.095262,0.092580,0.094363,"47,109",-
blockcdn,"Mar 03, 2018",0.089529,0.095368,0.089529,0.094510,"45,812",-
blockcdn,"Mar 02, 2018",0.090482,0.093785,0.086505,0.089503,"79,080",-
blockcdn,"Mar 01, 2018",0.096690,0.101621,0.085331,0.090533,"158,201",-
blockcdn,"Feb 28, 2018",0.102592,0.103762,0.096652,0.096668,"119,081",-
blockcdn,"Feb 27, 2018",0.095914,0.104042,0.094335,0.102592,"145,687",-
blockcdn,"Feb 26, 2018",0.091186,0.096736,0.087913,0.095853,"55,809",-
blockcdn,"Feb 25, 2018",0.092575,0.096284,0.089753,0.091188,"43,413",-
blockcdn,"Feb 24, 2018",0.094528,0.097870,0.091333,0.092630,"16,718",-
blockcdn,"Feb 23, 2018",0.089455,0.097531,0.088627,0.094548,"14,977",-
blockcdn,"Feb 22, 2018",0.090323,0.098163,0.088940,0.089502,"49,233",-
blockcdn,"Feb 21, 2018",0.098958,0.098958,0.090231,0.090367,"44,217",-
blockcdn,"Feb 20, 2018",0.101112,0.104238,0.099108,0.099108,"82,447",-
blockcdn,"Feb 19, 2018",0.103340,0.106145,0.099386,0.101046,"80,443",-
blockcdn,"Feb 18, 2018",0.109234,0.112282,0.101856,0.103635,"118,276",-
blockcdn,"Feb 17, 2018",0.111920,0.115787,0.107319,0.109012,"168,085",-
blockcdn,"Feb 16, 2018",0.110650,0.112583,0.107193,0.111930,"165,505",-
blockcdn,"Feb 15, 2018",0.120872,0.122633,0.108454,0.110750,"258,483",-
blockcdn,"Feb 14, 2018",0.111552,0.121596,0.111329,0.120856,"146,168",-
blockcdn,"Feb 13, 2018",0.113124,0.117731,0.111016,0.111559,"117,925",-
blockcdn,"Feb 12, 2018",0.107088,0.117592,0.107074,0.113075,"64,863",-
blockcdn,"Feb 11, 2018",0.112795,0.114380,0.103167,0.106933,"33,090",-
blockcdn,"Feb 10, 2018",0.116884,0.120806,0.109841,0.112813,"82,214",-
blockcdn,"Feb 09, 2018",0.117988,0.121246,0.108679,0.116890,"134,751",-
blockcdn,"Feb 08, 2018",0.115011,0.124994,0.110546,0.117846,"108,549",-
blockcdn,"Feb 07, 2018",0.107406,0.122558,0.101213,0.115114,"133,298",-
blockcdn,"Feb 06, 2018",0.100691,0.112261,0.086395,0.107691,"137,942",-
blockcdn,"Feb 05, 2018",0.134930,0.139239,0.100483,0.100591,"233,879",-
blockcdn,"Feb 04, 2018",0.133609,0.144061,0.130533,0.135345,"225,898",-
blockcdn,"Feb 03, 2018",0.126227,0.138553,0.122503,0.133656,"113,009",-
blockcdn,"Feb 02, 2018",0.126536,0.132402,0.109859,0.125947,"170,647",-
blockcdn,"Feb 01, 2018",0.131765,0.136786,0.122889,0.126671,"158,631",-
blockcdn,"Jan 31, 2018",0.124335,0.134970,0.119299,0.131593,"55,613",-
blockcdn,"Jan 30, 2018",0.146029,0.149883,0.124197,0.124197,"153,688",-
blockcdn,"Jan 29, 2018",0.147748,0.149390,0.137398,0.146016,"112,745",-
blockcdn,"Jan 28, 2018",0.140205,0.147687,0.138242,0.146626,"44,082",-
blockcdn,"Jan 27, 2018",0.136676,0.147105,0.133017,0.140029,"106,697",-
blockcdn,"Jan 26, 2018",0.152241,0.171404,0.123754,0.136684,"291,659",-
blockcdn,"Jan 25, 2018",0.116547,0.169399,0.115482,0.146837,"342,894",-
blockcdn,"Jan 24, 2018",0.125474,0.130201,0.082382,0.116241,"296,973",-
blockcdn,"Jan 23, 2018",0.133658,0.139253,0.114328,0.125549,"62,912",-
blockcdn,"Jan 22, 2018",0.124697,0.139136,0.118989,0.133671,"65,334",-
blockcdn,"Jan 21, 2018",0.136164,0.136466,0.111349,0.124518,"35,423",-
blockcdn,"Jan 20, 2018",0.115965,0.138820,0.112813,0.136103,"42,127",-
blockcdn,"Jan 19, 2018",0.114591,0.122773,0.098305,0.115797,"41,602",-
blockcdn,"Jan 18, 2018",0.104047,0.121627,0.103169,0.114606,"40,942",-
blockcdn,"Jan 17, 2018",0.102245,0.109663,0.073080,0.103880,"44,863",-
blockcdn,"Jan 16, 2018",0.165693,0.165693,0.098830,0.100801,"76,457",-
blockcdn,"Jan 15, 2018",0.174892,0.182424,0.158089,0.165966,"89,185",-
blockcdn,"Jan 14, 2018",0.171623,0.185248,0.166056,0.175276,"110,435",-
blockcdn,"Jan 13, 2018",0.191125,0.193270,0.171590,0.171590,"180,629",-
blockcdn,"Jan 12, 2018",0.205888,0.218883,0.173446,0.191147,"132,214",-
blockcdn,"Jan 11, 2018",0.220716,0.225990,0.185950,0.205523,"99,461",-
blockcdn,"Jan 10, 2018",0.229399,0.229399,0.198693,0.220794,"98,348",-
blockcdn,"Jan 09, 2018",0.216410,0.245642,0.205180,0.229371,"224,010",-
blockcdn,"Jan 08, 2018",0.271186,0.275351,0.188716,0.218730,"324,217",-
blockcdn,"Jan 07, 2018",0.220301,0.299649,0.217622,0.270550,"337,350",-
blockcdn,"Jan 06, 2018",0.216212,0.243551,0.180184,0.220583,"137,578",-
blockcdn,"Jan 05, 2018",0.212474,0.262034,0.199639,0.216088,"166,467",-
blockcdn,"Jan 04, 2018",0.187232,0.214821,0.179865,0.210558,"121,130",-
blockcdn,"Jan 03, 2018",0.179422,0.212170,0.173821,0.187637,"74,602",-
blockcdn,"Jan 02, 2018",0.189256,0.191461,0.166835,0.179248,"50,868",-
blockcdn,"Jan 01, 2018",0.189120,0.201583,0.175412,0.189748,"49,602",-
