Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
blockmason,"Jul 02, 2018",0.168366,0.191700,0.164701,0.182728,"1,978,650","12,320,900"
blockmason,"Jul 01, 2018",0.156210,0.173152,0.152493,0.169450,"1,431,200","11,457,800"
blockmason,"Jun 30, 2018",0.145596,0.159295,0.145596,0.156294,"761,183","10,679,200"
blockmason,"Jun 29, 2018",0.137501,0.149113,0.130225,0.145539,"791,249","10,085,500"
blockmason,"Jun 28, 2018",0.149112,0.153813,0.135286,0.136369,"787,157","10,937,200"
blockmason,"Jun 27, 2018",0.150891,0.154891,0.144087,0.149691,"813,587","11,067,600"
blockmason,"Jun 26, 2018",0.151670,0.154212,0.146050,0.151539,"552,513","11,108,100"
blockmason,"Jun 25, 2018",0.141997,0.158863,0.139380,0.151780,"1,144,150","10,399,700"
blockmason,"Jun 24, 2018",0.156442,0.157165,0.132126,0.142410,"853,165","11,457,500"
blockmason,"Jun 23, 2018",0.152207,0.159022,0.151764,0.156820,"705,880","11,147,400"
blockmason,"Jun 22, 2018",0.178204,0.178549,0.150667,0.152723,"1,078,310","12,908,900"
blockmason,"Jun 21, 2018",0.179362,0.189954,0.176405,0.178456,"1,141,200","12,992,700"
blockmason,"Jun 20, 2018",0.192904,0.193021,0.177450,0.180006,"996,416","13,973,600"
blockmason,"Jun 19, 2018",0.194384,0.197099,0.189001,0.191901,"937,447","14,080,900"
blockmason,"Jun 18, 2018",0.186081,0.194290,0.177859,0.194141,"1,038,250","13,479,400"
blockmason,"Jun 17, 2018",0.188920,0.192606,0.186307,0.186835,"919,225","13,685,100"
blockmason,"Jun 16, 2018",0.186466,0.192386,0.183882,0.189476,"920,538","13,507,300"
blockmason,"Jun 15, 2018",0.204560,0.205010,0.186247,0.186905,"988,933","14,818,000"
blockmason,"Jun 14, 2018",0.187662,0.207276,0.184656,0.204828,"1,134,540","13,593,900"
blockmason,"Jun 13, 2018",0.198543,0.199505,0.181751,0.187437,"1,128,210","14,382,100"
blockmason,"Jun 12, 2018",0.222792,0.232305,0.196782,0.198556,"1,409,880","16,138,600"
blockmason,"Jun 11, 2018",0.218798,0.224086,0.210330,0.222660,"1,502,060","15,849,400"
blockmason,"Jun 10, 2018",0.262051,0.262051,0.213175,0.219583,"1,822,600","18,982,500"
blockmason,"Jun 09, 2018",0.288117,0.288967,0.261403,0.261403,"2,839,570","20,870,700"
blockmason,"Jun 08, 2018",0.302660,0.304767,0.282864,0.288275,"1,775,350","21,924,200"
blockmason,"Jun 07, 2018",0.304757,0.317681,0.301704,0.302510,"1,770,390","22,076,100"
blockmason,"Jun 06, 2018",0.321376,0.321376,0.296579,0.305098,"1,999,100","23,279,900"
blockmason,"Jun 05, 2018",0.298271,0.327926,0.290135,0.317994,"2,893,550","21,606,300"
blockmason,"Jun 04, 2018",0.320949,0.322238,0.294088,0.298275,"1,992,600","23,249,000"
blockmason,"Jun 03, 2018",0.322803,0.332934,0.320199,0.321619,"2,281,160","23,383,300"
blockmason,"Jun 02, 2018",0.316096,0.327404,0.314512,0.321991,"2,145,390","22,897,500"
blockmason,"Jun 01, 2018",0.317002,0.320405,0.305562,0.316469,"2,050,220","22,963,100"
blockmason,"May 31, 2018",0.296011,0.326313,0.294636,0.317308,"2,307,230","21,442,600"
blockmason,"May 30, 2018",0.302545,0.322904,0.290820,0.296874,"1,993,380","21,900,700"
blockmason,"May 29, 2018",0.275035,0.307648,0.270562,0.301524,"1,728,310","19,909,300"
blockmason,"May 28, 2018",0.309080,0.311440,0.273048,0.274028,"2,014,140","22,373,800"
blockmason,"May 27, 2018",0.311265,0.315071,0.305800,0.308168,"1,584,540","22,531,900"
blockmason,"May 26, 2018",0.327856,0.334516,0.310039,0.311723,"1,637,600","23,732,900"
blockmason,"May 25, 2018",0.337678,0.345486,0.322286,0.329377,"1,957,850","24,444,000"
blockmason,"May 24, 2018",0.329060,0.354257,0.309074,0.336527,"2,391,730","23,820,100"
blockmason,"May 23, 2018",0.373449,0.377091,0.313420,0.327687,"2,394,730","27,033,300"
blockmason,"May 22, 2018",0.420743,0.420750,0.372036,0.375333,"2,521,620","30,456,900"
blockmason,"May 21, 2018",0.438074,0.440042,0.414748,0.420953,"2,558,430","31,711,400"
blockmason,"May 20, 2018",0.430997,0.446025,0.426447,0.437074,"2,871,420","31,199,100"
blockmason,"May 19, 2018",0.435340,0.458094,0.422153,0.428008,"3,086,770","31,513,500"
blockmason,"May 18, 2018",0.416519,0.436581,0.404260,0.434871,"2,885,920","30,151,000"
blockmason,"May 17, 2018",0.425965,0.463963,0.417367,0.418559,"5,407,620","30,834,800"
blockmason,"May 16, 2018",0.442948,0.443594,0.414516,0.426170,"2,409,060","32,064,200"
blockmason,"May 15, 2018",0.460953,0.470746,0.440366,0.441329,"3,124,500","33,367,600"
blockmason,"May 14, 2018",0.468505,0.477236,0.435097,0.460945,"3,197,390","33,914,200"
blockmason,"May 13, 2018",0.430435,0.475753,0.429267,0.468083,"3,576,890","31,158,400"
blockmason,"May 12, 2018",0.415472,0.450585,0.396932,0.429446,"3,063,060","30,075,200"
blockmason,"May 11, 2018",0.480849,0.482035,0.412099,0.420119,"3,842,150","34,803,700"
blockmason,"May 10, 2018",0.525474,0.537364,0.477483,0.478830,"4,626,910","38,023,200"
blockmason,"May 09, 2018",0.541083,0.542824,0.504521,0.523792,"4,134,280","39,152,600"
blockmason,"May 08, 2018",0.565351,0.580903,0.532236,0.542543,"4,115,570","40,908,700"
blockmason,"May 07, 2018",0.574271,0.574775,0.524041,0.563500,"5,115,370","41,554,100"
blockmason,"May 06, 2018",0.613345,0.619385,0.558197,0.572975,"4,297,870","44,381,500"
blockmason,"May 05, 2018",0.630979,0.639406,0.599435,0.612087,"5,202,830","45,652,400"
blockmason,"May 04, 2018",0.628201,0.635161,0.607492,0.631831,"5,562,290","45,451,500"
blockmason,"May 03, 2018",0.633973,0.665022,0.626993,0.628201,"9,082,380","45,869,100"
blockmason,"May 02, 2018",0.612304,0.639264,0.603020,0.633975,"7,051,110","44,301,300"
blockmason,"May 01, 2018",0.613719,0.617601,0.570955,0.612899,"6,661,970","44,403,600"
blockmason,"Apr 30, 2018",0.634632,0.675897,0.604330,0.615993,"12,318,100","45,916,800"
blockmason,"Apr 29, 2018",0.591024,0.636509,0.572239,0.636509,"9,821,810","42,302,300"
blockmason,"Apr 28, 2018",0.538990,0.614584,0.538057,0.592364,"6,153,250","38,578,000"
blockmason,"Apr 27, 2018",0.587301,0.591339,0.542995,0.542995,"5,187,650","42,035,800"
blockmason,"Apr 26, 2018",0.527707,0.588422,0.512420,0.587551,"7,547,950","37,664,900"
blockmason,"Apr 25, 2018",0.638609,0.640153,0.516280,0.523665,"7,443,260","45,620,700"
blockmason,"Apr 24, 2018",0.586875,0.659594,0.586233,0.650389,"9,455,420","41,924,700"
blockmason,"Apr 23, 2018",0.552149,0.600084,0.551080,0.585213,"7,805,960","39,444,000"
blockmason,"Apr 22, 2018",0.553569,0.582508,0.535430,0.554991,"7,131,830","39,545,400"
blockmason,"Apr 21, 2018",0.557038,0.566815,0.494985,0.566815,"6,264,530","39,793,200"
blockmason,"Apr 20, 2018",0.548223,0.562282,0.509513,0.555943,"7,084,780","39,163,400"
blockmason,"Apr 19, 2018",0.514934,0.546968,0.514666,0.546968,"7,326,600","36,785,300"
blockmason,"Apr 18, 2018",0.472575,0.519382,0.472575,0.514506,"6,233,300","33,746,500"
blockmason,"Apr 17, 2018",0.484789,0.493749,0.467307,0.470078,"4,955,140","34,613,900"
blockmason,"Apr 16, 2018",0.520748,0.520748,0.461100,0.487297,"6,490,790","37,098,100"
blockmason,"Apr 15, 2018",0.461593,0.526139,0.459726,0.519466,"11,084,500","32,883,800"
blockmason,"Apr 14, 2018",0.437493,0.473678,0.432397,0.461408,"5,495,390","31,167,000"
blockmason,"Apr 13, 2018",0.433341,0.475765,0.421336,0.438344,"6,313,680","30,870,600"
blockmason,"Apr 12, 2018",0.392451,0.432204,0.368685,0.431893,"5,745,720","27,957,600"
blockmason,"Apr 11, 2018",0.370818,0.403381,0.370212,0.394609,"6,705,290","26,416,500"
blockmason,"Apr 10, 2018",0.357517,0.374846,0.347303,0.371855,"4,614,480","25,465,900"
blockmason,"Apr 09, 2018",0.382531,0.396775,0.346115,0.356485,"3,623,410","27,247,700"
blockmason,"Apr 08, 2018",0.358095,0.418136,0.357325,0.380697,"7,938,340","25,198,000"
blockmason,"Apr 07, 2018",0.343403,0.368309,0.341834,0.357865,"2,501,590","24,164,100"
blockmason,"Apr 06, 2018",0.351199,0.357585,0.334339,0.342702,"2,173,700","24,712,700"
blockmason,"Apr 05, 2018",0.354273,0.359542,0.341715,0.355095,"2,589,730","24,919,100"
blockmason,"Apr 04, 2018",0.411889,0.411889,0.348780,0.355328,"3,067,060","28,971,800"
blockmason,"Apr 03, 2018",0.366171,0.412580,0.363284,0.407982,"4,024,920","25,682,800"
blockmason,"Apr 02, 2018",0.357871,0.373143,0.352892,0.366887,"2,632,250","25,100,600"
blockmason,"Apr 01, 2018",0.369816,0.578299,0.327118,0.355725,"5,267,160","25,938,400"
blockmason,"Mar 31, 2018",0.367865,0.388776,0.360376,0.369301,"2,563,450","25,801,600"
blockmason,"Mar 30, 2018",0.376246,0.391723,0.345798,0.368694,"2,234,310","26,389,400"
blockmason,"Mar 29, 2018",0.451067,0.454363,0.363874,0.378394,"3,315,260","31,637,200"
blockmason,"Mar 28, 2018",0.444113,0.472979,0.438553,0.452954,"3,431,640","31,149,500"
blockmason,"Mar 27, 2018",0.471766,0.479941,0.432406,0.444316,"3,766,320","33,089,100"
blockmason,"Mar 26, 2018",0.512995,0.516653,0.438111,0.471693,"5,891,840","35,980,800"
blockmason,"Mar 25, 2018",0.516299,0.540438,0.494606,0.511085,"7,412,250","36,208,800"
blockmason,"Mar 24, 2018",0.520030,0.610107,0.500664,0.524944,"16,751,800","36,273,900"
blockmason,"Mar 23, 2018",0.504604,0.543465,0.454183,0.501667,"9,064,490","35,197,800"
blockmason,"Mar 22, 2018",0.535946,0.553669,0.474396,0.508408,"5,333,260","37,384,100"
blockmason,"Mar 21, 2018",0.559834,0.574968,0.520346,0.536730,"6,773,080","38,966,400"
blockmason,"Mar 20, 2018",0.536940,0.598889,0.488197,0.558856,"9,301,270","37,384,800"
blockmason,"Mar 19, 2018",0.501625,0.549878,0.474105,0.533820,"10,244,300","34,926,000"
blockmason,"Mar 18, 2018",0.456888,0.521189,0.371372,0.490027,"7,126,300","31,811,100"
blockmason,"Mar 17, 2018",0.531663,0.531663,0.455110,0.457043,"4,160,960","37,017,400"
blockmason,"Mar 16, 2018",0.539683,0.561610,0.505255,0.529662,"6,365,550","37,575,800"
blockmason,"Mar 15, 2018",0.544072,0.618963,0.502394,0.538496,"10,935,300","37,881,400"
blockmason,"Mar 14, 2018",0.686608,0.687534,0.526092,0.544282,"3,795,290","47,799,700"
blockmason,"Mar 13, 2018",0.698785,0.710496,0.648404,0.686146,"5,308,680","48,647,400"
blockmason,"Mar 12, 2018",0.776292,0.783723,0.672370,0.704157,"4,396,610","35,062,200"
blockmason,"Mar 11, 2018",0.699086,0.817635,0.661773,0.776111,"8,188,590","31,575,000"
blockmason,"Mar 10, 2018",0.755825,0.836629,0.700363,0.700363,"17,025,700","34,137,800"
