Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
blockpool,"Jul 02, 2018",0.085742,0.093605,0.084852,0.092429,11,"1,911,530"
blockpool,"Jul 01, 2018",0.090764,0.091275,0.085202,0.085733,86,"2,023,480"
blockpool,"Jun 30, 2018",0.078678,0.091256,0.078673,0.090744,30,"1,754,040"
blockpool,"Jun 29, 2018",0.082797,0.082797,0.074062,0.078572,501,"1,845,870"
blockpool,"Jun 28, 2018",0.078043,0.078273,0.077184,0.077491,265,"1,739,880"
blockpool,"Jun 27, 2018",0.081108,0.106351,0.076969,0.078014,309,"1,808,210"
blockpool,"Jun 26, 2018",0.083683,0.083872,0.078031,0.081168,38,"1,865,620"
blockpool,"Jun 25, 2018",0.082415,0.089907,0.081905,0.083683,82,"1,837,350"
blockpool,"Jun 24, 2018",0.077084,0.087958,0.073197,0.082598,107,"1,718,490"
blockpool,"Jun 23, 2018",0.076298,0.077978,0.075570,0.077094,97,"1,700,970"
blockpool,"Jun 22, 2018",0.093064,0.093224,0.082396,0.083893,179,"2,074,770"
blockpool,"Jun 21, 2018",0.094520,0.094944,0.086043,0.093168,219,"2,107,230"
blockpool,"Jun 20, 2018",0.095955,0.112416,0.084033,0.094501,411,"2,139,210"
blockpool,"Jun 19, 2018",0.096559,0.099661,0.082216,0.095896,"4,002","2,152,680"
blockpool,"Jun 18, 2018",0.079049,0.096793,0.078407,0.096611,975,"1,762,310"
blockpool,"Jun 17, 2018",0.086425,0.087373,0.078204,0.079312,199,"1,926,740"
blockpool,"Jun 16, 2018",0.081903,0.091927,0.073879,0.086212,"1,303","1,825,940"
blockpool,"Jun 15, 2018",0.092008,0.092118,0.075772,0.082201,385,"2,051,210"
blockpool,"Jun 14, 2018",0.096662,0.100430,0.072874,0.092160,"11,811","2,154,970"
blockpool,"Jun 13, 2018",0.114149,0.117884,0.068133,0.096703,"8,201","2,544,830"
blockpool,"Jun 12, 2018",0.131668,0.131668,0.108913,0.113855,"1,749","2,935,380"
blockpool,"Jun 11, 2018",0.125466,0.132120,0.122315,0.131697,51,"2,797,130"
blockpool,"Jun 10, 2018",0.139075,0.139075,0.112800,0.125286,103,"3,100,520"
blockpool,"Jun 09, 2018",0.150357,0.151866,0.130248,0.138900,47,"3,352,030"
blockpool,"Jun 08, 2018",0.136705,0.150781,0.133513,0.150242,23,"3,047,680"
blockpool,"Jun 07, 2018",0.140198,0.147112,0.133838,0.136581,378,"3,125,560"
blockpool,"Jun 06, 2018",0.149921,0.150351,0.137271,0.140070,948,"3,342,310"
blockpool,"Jun 05, 2018",0.139090,0.150092,0.137071,0.150092,23,"3,100,860"
blockpool,"Jun 04, 2018",0.154651,0.162366,0.138741,0.139030,783,"3,447,760"
blockpool,"Jun 03, 2018",0.167062,0.169565,0.153051,0.154712,81,"3,724,470"
blockpool,"Jun 02, 2018",0.137187,0.189188,0.136698,0.167020,"1,838","3,058,440"
blockpool,"Jun 01, 2018",0.132919,0.180702,0.131407,0.137253,"1,985","2,963,280"
blockpool,"May 31, 2018",0.126025,0.146194,0.125163,0.132819,"1,100","2,809,580"
blockpool,"May 30, 2018",0.127653,0.129203,0.122853,0.126057,336,"2,845,880"
blockpool,"May 29, 2018",0.109474,0.145816,0.108874,0.127567,"2,260","2,440,590"
blockpool,"May 28, 2018",0.145021,0.146394,0.100624,0.109510,"5,121","3,233,080"
blockpool,"May 27, 2018",0.141635,0.153337,0.141382,0.144173,540,"3,157,590"
blockpool,"May 26, 2018",0.149241,0.154481,0.139564,0.141762,460,"3,327,170"
blockpool,"May 25, 2018",0.174563,0.181625,0.147474,0.149431,"3,427","3,891,690"
blockpool,"May 24, 2018",0.180145,0.184798,0.170078,0.174374,11,"4,016,140"
blockpool,"May 23, 2018",0.186415,0.189245,0.150961,0.180605,"3,746","4,155,920"
blockpool,"May 22, 2018",0.188070,0.188259,0.148725,0.186629,"2,341","4,192,800"
blockpool,"May 21, 2018",0.168416,0.200377,0.149730,0.188114,"6,037","3,754,660"
blockpool,"May 20, 2018",0.147016,0.169508,0.139952,0.168206,734,"3,277,560"
blockpool,"May 19, 2018",0.152420,0.157867,0.146388,0.146906,120,"3,398,050"
