Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bluecoin,"Jul 02, 2018",0.002489,0.003374,0.002470,0.003120,176,"1,430,580"
bluecoin,"Jul 01, 2018",0.003385,0.003404,0.001734,0.002489,456,"1,945,470"
bluecoin,"Jun 30, 2018",0.003289,0.003782,0.003260,0.003385,83,"1,889,900"
bluecoin,"Jun 29, 2018",0.003228,0.003414,0.003054,0.003284,595,"1,854,880"
bluecoin,"Jun 28, 2018",0.003317,0.003362,0.003207,0.003226,"5,794","1,906,080"
bluecoin,"Jun 27, 2018",0.003206,0.003402,0.003185,0.003316,105,"1,842,520"
bluecoin,"Jun 26, 2018",0.002864,0.003368,0.002740,0.003207,222,"1,645,680"
bluecoin,"Jun 25, 2018",0.003355,0.003449,0.002761,0.002864,42,"1,928,160"
bluecoin,"Jun 24, 2018",0.003070,0.003420,0.003045,0.003362,508,"1,764,240"
bluecoin,"Jun 23, 2018",0.003329,0.003383,0.003045,0.003070,55,"1,912,880"
bluecoin,"Jun 22, 2018",0.003894,0.003901,0.003270,0.003328,"1,706","2,238,090"
bluecoin,"Jun 21, 2018",0.003781,0.004040,0.003752,0.003899,215,"2,172,770"
bluecoin,"Jun 20, 2018",0.003783,0.003803,0.003688,0.003780,35,"2,173,910"
bluecoin,"Jun 19, 2018",0.003029,0.003986,0.002574,0.003780,898,"1,740,440"
bluecoin,"Jun 18, 2018",0.003607,0.003625,0.002322,0.003030,"2,063","2,072,760"
bluecoin,"Jun 17, 2018",0.003851,0.003880,0.003607,0.003619,66,"2,213,380"
bluecoin,"Jun 16, 2018",0.002888,0.003878,0.002883,0.003841,387,"1,659,700"
bluecoin,"Jun 15, 2018",0.003322,0.003326,0.002883,0.002899,355,"1,909,030"
bluecoin,"Jun 14, 2018",0.003749,0.003862,0.003303,0.003327,662,"2,154,600"
bluecoin,"Jun 13, 2018",0.003752,0.004194,0.003429,0.003751,473,"2,156,390"
bluecoin,"Jun 12, 2018",0.003857,0.003949,0.003656,0.003743,145,"2,216,560"
bluecoin,"Jun 11, 2018",0.004602,0.004602,0.003760,0.003859,390,"2,644,860"
bluecoin,"Jun 10, 2018",0.003491,0.004642,0.003399,0.004596,237,"2,006,440"
bluecoin,"Jun 09, 2018",0.003636,0.003880,0.003422,0.003487,590,"2,089,430"
bluecoin,"Jun 08, 2018",0.003852,0.003860,0.003476,0.003637,179,"2,213,550"
bluecoin,"Jun 07, 2018",0.004671,0.004782,0.003840,0.003849,104,"2,684,130"
bluecoin,"Jun 06, 2018",0.004723,0.005406,0.004482,0.004666,"1,428","2,714,330"
bluecoin,"Jun 05, 2018",0.004801,0.005128,0.004426,0.004724,549,"2,759,330"
bluecoin,"Jun 04, 2018",0.005319,0.005780,0.004792,0.004799,265,"3,056,820"
bluecoin,"Jun 03, 2018",0.005879,0.005889,0.005270,0.005317,"1,200","3,378,470"
bluecoin,"Jun 02, 2018",0.005262,0.006166,0.005114,0.005877,"1,182","3,023,780"
bluecoin,"Jun 01, 2018",0.004367,0.005731,0.004273,0.005264,918,"2,509,500"
bluecoin,"May 31, 2018",0.004723,0.005319,0.004337,0.004364,279,"2,714,150"
bluecoin,"May 30, 2018",0.006020,0.007348,0.004603,0.004724,"1,894","3,459,730"
bluecoin,"May 29, 2018",0.006238,0.006682,0.004514,0.006016,702,"3,584,870"
bluecoin,"May 28, 2018",0.005127,0.006813,0.004442,0.006240,"1,009","2,946,230"
bluecoin,"May 27, 2018",0.006591,0.006591,0.004030,0.005125,"3,877","3,787,660"
bluecoin,"May 26, 2018",0.004244,0.007994,0.004227,0.006588,"7,420","2,439,210"
bluecoin,"May 25, 2018",0.004589,0.005302,0.004250,0.004250,319,"2,637,180"
bluecoin,"May 24, 2018",0.004464,0.005573,0.004464,0.004580,508,"2,565,120"
