Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bluzelle,"Jul 02, 2018",0.317296,0.351019,0.304403,0.340499,"12,421,900","58,072,500"
bluzelle,"Jul 01, 2018",0.294833,0.333449,0.292516,0.316672,"14,776,500","53,950,800"
bluzelle,"Jun 30, 2018",0.234139,0.324358,0.232337,0.295354,"13,549,000","42,837,500"
bluzelle,"Jun 29, 2018",0.210728,0.239538,0.205204,0.233857,"5,947,960","38,554,300"
bluzelle,"Jun 28, 2018",0.228999,0.231037,0.209656,0.210665,"5,546,870","41,893,300"
bluzelle,"Jun 27, 2018",0.236216,0.246537,0.225418,0.228927,"6,263,850","43,213,700"
bluzelle,"Jun 26, 2018",0.232616,0.258941,0.225909,0.237924,"6,353,440","42,555,100"
bluzelle,"Jun 25, 2018",0.222247,0.249959,0.214489,0.231704,"5,999,150","40,658,100"
bluzelle,"Jun 24, 2018",0.226895,0.228580,0.197873,0.223062,"13,619,100","41,508,500"
bluzelle,"Jun 23, 2018",0.231353,0.238609,0.222711,0.226172,"24,310,800","42,323,900"
bluzelle,"Jun 22, 2018",0.280317,0.281408,0.227773,0.230978,"3,705,050","51,281,500"
bluzelle,"Jun 21, 2018",0.286808,0.289146,0.274155,0.281220,"3,885,900","52,469,000"
bluzelle,"Jun 20, 2018",0.299666,0.302299,0.277327,0.287415,"4,142,380","54,821,200"
bluzelle,"Jun 19, 2018",0.299133,0.304159,0.289649,0.299187,"3,765,070","54,723,700"
bluzelle,"Jun 18, 2018",0.287661,0.306817,0.276888,0.299342,"4,011,150","52,625,000"
bluzelle,"Jun 17, 2018",0.289553,0.295694,0.285843,0.288326,"3,579,620","52,971,200"
bluzelle,"Jun 16, 2018",0.289087,0.299786,0.280742,0.289489,"3,982,170","52,885,800"
bluzelle,"Jun 15, 2018",0.306378,0.311628,0.287866,0.290754,"4,302,260","56,049,200"
bluzelle,"Jun 14, 2018",0.278136,0.312633,0.275848,0.306923,"5,101,850","50,882,400"
