Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bnktothefuture,"Jul 02, 2018",0.096907,0.102125,0.093902,0.100930,"1,487,180","61,050,500"
bnktothefuture,"Jul 01, 2018",0.098968,0.099742,0.093032,0.096407,"1,363,290","62,349,000"
bnktothefuture,"Jun 30, 2018",0.088163,0.099281,0.088072,0.099052,"1,348,660","55,541,600"
bnktothefuture,"Jun 29, 2018",0.099343,0.100140,0.079798,0.087564,"2,000,670","62,584,900"
bnktothefuture,"Jun 28, 2018",0.111983,0.116329,0.098167,0.099066,"1,531,260","70,548,300"
bnktothefuture,"Jun 27, 2018",0.119828,0.120911,0.111564,0.112558,"1,841,900","75,490,200"
bnktothefuture,"Jun 26, 2018",0.125122,0.126252,0.120072,0.120072,"1,710,060","78,825,800"
bnktothefuture,"Jun 25, 2018",0.132999,0.135026,0.124944,0.124944,"2,047,130","83,788,300"
bnktothefuture,"Jun 24, 2018",0.128610,0.139591,0.117714,0.133567,"2,666,070","81,023,000"
bnktothefuture,"Jun 23, 2018",0.130097,0.131201,0.123821,0.127713,"1,290,650","81,959,600"
bnktothefuture,"Jun 22, 2018",0.141611,0.142211,0.126769,0.130702,"2,326,870","89,213,300"
bnktothefuture,"Jun 21, 2018",0.144691,0.149393,0.137232,0.141928,"2,005,490","91,153,800"
bnktothefuture,"Jun 20, 2018",0.149708,0.149833,0.142327,0.144596,"1,998,270","94,314,300"
bnktothefuture,"Jun 19, 2018",0.142340,0.150957,0.138297,0.149289,"1,844,960","89,672,800"
bnktothefuture,"Jun 18, 2018",0.148792,0.149373,0.134806,0.142300,"2,107,290","93,737,200"
bnktothefuture,"Jun 17, 2018",0.149493,0.153568,0.148592,0.148771,"1,405,040","94,179,000"
bnktothefuture,"Jun 16, 2018",0.140184,0.151270,0.140050,0.149400,"1,481,820","88,314,300"
bnktothefuture,"Jun 15, 2018",0.146826,0.147049,0.139606,0.140390,"1,845,750","92,499,000"
bnktothefuture,"Jun 14, 2018",0.133782,0.150899,0.131403,0.147079,"1,288,080","84,281,500"
bnktothefuture,"Jun 13, 2018",0.162490,0.165059,0.129211,0.134101,"1,601,900","102,367,000"
bnktothefuture,"Jun 12, 2018",0.171302,0.178585,0.160922,0.161742,"1,509,530","107,918,000"
bnktothefuture,"Jun 11, 2018",0.162258,0.173297,0.158432,0.171595,"1,519,880","102,221,000"
bnktothefuture,"Jun 10, 2018",0.194612,0.194612,0.161604,0.162482,"1,933,500","122,604,000"
bnktothefuture,"Jun 09, 2018",0.198246,0.202109,0.190212,0.194613,"2,024,070","124,893,000"
bnktothefuture,"Jun 08, 2018",0.203207,0.203936,0.195310,0.198256,"1,301,390","128,018,000"
bnktothefuture,"Jun 07, 2018",0.214819,0.217145,0.201385,0.202978,"952,112","135,334,000"
bnktothefuture,"Jun 06, 2018",0.221750,0.224387,0.198834,0.214721,"2,279,630","139,700,000"
bnktothefuture,"Jun 05, 2018",0.224367,0.229836,0.210548,0.221990,"1,656,250","141,349,000"
bnktothefuture,"Jun 04, 2018",0.228496,0.231812,0.209162,0.224451,"1,983,220","143,950,000"
bnktothefuture,"Jun 03, 2018",0.225926,0.242164,0.221301,0.226824,"2,983,060","142,331,000"
bnktothefuture,"Jun 02, 2018",0.213720,0.226669,0.207569,0.225812,"2,411,540","134,642,000"
bnktothefuture,"Jun 01, 2018",0.204132,0.214590,0.202545,0.213928,"3,323,570","128,601,000"
bnktothefuture,"May 31, 2018",0.197980,0.205759,0.194705,0.203160,"2,893,020","124,725,000"
bnktothefuture,"May 30, 2018",0.195528,0.216036,0.191309,0.198071,"3,608,970","123,181,000"
bnktothefuture,"May 29, 2018",0.180047,0.220665,0.171378,0.195539,"7,450,990","113,428,000"
bnktothefuture,"May 28, 2018",0.192462,0.200186,0.174247,0.180369,"4,008,420","121,249,000"
bnktothefuture,"May 27, 2018",0.190327,0.199549,0.182808,0.192450,"4,091,230","119,904,000"
bnktothefuture,"May 26, 2018",0.205497,0.227112,0.178671,0.192213,"8,613,110","129,461,000"
bnktothefuture,"May 25, 2018",0.188476,0.204514,0.168089,0.204514,"3,154,730","118,738,000"
bnktothefuture,"May 24, 2018",0.204944,0.211963,0.178568,0.187726,"3,046,250","129,113,000"
bnktothefuture,"May 23, 2018",0.211610,0.219263,0.181289,0.203162,"3,501,450","133,312,000"
bnktothefuture,"May 22, 2018",0.216479,0.226426,0.203386,0.211538,"3,013,710","136,379,000"
bnktothefuture,"May 21, 2018",0.234786,0.238801,0.213741,0.216361,"2,607,300","147,913,000"
bnktothefuture,"May 20, 2018",0.214311,0.235197,0.211661,0.233182,"3,453,950","135,014,000"
bnktothefuture,"May 19, 2018",0.218365,0.220282,0.209219,0.214121,"3,764,570","137,568,000"
bnktothefuture,"May 18, 2018",0.225529,0.225576,0.208994,0.218486,"3,362,210","142,081,000"
bnktothefuture,"May 17, 2018",0.233669,0.242353,0.225318,0.225318,"3,333,110","147,209,000"
bnktothefuture,"May 16, 2018",0.247830,0.248059,0.225769,0.234026,"3,987,820","156,130,000"
bnktothefuture,"May 15, 2018",0.259657,0.266825,0.246468,0.247986,"3,446,930","163,581,000"
bnktothefuture,"May 14, 2018",0.265962,0.280140,0.243778,0.259775,"5,089,690","167,554,000"
bnktothefuture,"May 13, 2018",0.235707,0.288967,0.234266,0.266414,"4,518,860","148,493,000"
bnktothefuture,"May 12, 2018",0.250127,0.250127,0.203892,0.235712,"4,081,430","157,577,000"
bnktothefuture,"May 11, 2018",0.283161,0.283161,0.219673,0.251163,"5,105,630","178,388,000"
bnktothefuture,"May 10, 2018",0.299952,0.323216,0.283062,0.283062,"5,648,240","188,967,000"
bnktothefuture,"May 09, 2018",0.318246,0.320921,0.294095,0.300916,"58,291,800","200,492,000"
bnktothefuture,"May 08, 2018",0.303778,0.350301,0.303766,0.318503,"107,745,000","191,377,000"
bnktothefuture,"May 07, 2018",0.320121,0.321893,0.297061,0.302592,"39,113,200","201,673,000"
bnktothefuture,"May 06, 2018",0.346843,0.348411,0.314445,0.320086,"1,313,210","218,508,000"
bnktothefuture,"May 05, 2018",0.293588,0.355688,0.291263,0.348026,"1,284,090","184,957,000"
bnktothefuture,"May 04, 2018",0.313571,0.317281,0.285149,0.292018,"1,040,230","197,547,000"
bnktothefuture,"May 03, 2018",0.346575,0.356849,0.301540,0.310314,"2,427,830",-
bnktothefuture,"May 02, 2018",0.266538,0.353292,0.264501,0.346427,"5,036,610",-
bnktothefuture,"May 01, 2018",0.276145,0.278284,0.260588,0.265089,"920,463",-
bnktothefuture,"Apr 30, 2018",0.281965,0.284647,0.257428,0.276045,"1,205,430",-
bnktothefuture,"Apr 29, 2018",0.289984,0.299406,0.274537,0.281963,"1,108,150",-
bnktothefuture,"Apr 28, 2018",0.275185,0.301314,0.269291,0.289984,"1,498,260",-
bnktothefuture,"Apr 27, 2018",0.231791,0.288371,0.228954,0.277133,"2,667,270",-
bnktothefuture,"Apr 26, 2018",0.208205,0.230372,0.196191,0.230372,"1,632,020",-
bnktothefuture,"Apr 25, 2018",0.205160,0.218872,0.186110,0.207901,"1,209,210",-
bnktothefuture,"Apr 24, 2018",0.195284,0.219877,0.194164,0.206816,"1,071,220",-
bnktothefuture,"Apr 23, 2018",0.191075,0.197055,0.190079,0.196361,"913,062",-
bnktothefuture,"Apr 22, 2018",0.187144,0.198988,0.177070,0.191166,"902,108",-
bnktothefuture,"Apr 21, 2018",0.202691,0.206332,0.180781,0.186959,"669,506",-
bnktothefuture,"Apr 20, 2018",0.205431,0.210607,0.199140,0.201492,"908,455",-
bnktothefuture,"Apr 19, 2018",0.218491,0.218491,0.197242,0.206134,"843,968",-
bnktothefuture,"Apr 18, 2018",0.187785,0.240987,0.187709,0.218599,"840,871",-
bnktothefuture,"Apr 17, 2018",0.188511,0.201507,0.182079,0.187761,"897,996",-
bnktothefuture,"Apr 16, 2018",0.202374,0.204948,0.177171,0.188512,"888,221",-
bnktothefuture,"Apr 15, 2018",0.212418,0.212418,0.195031,0.202363,"1,110,460",-
bnktothefuture,"Apr 14, 2018",0.194441,0.224054,0.192207,0.212476,"1,082,920",-
bnktothefuture,"Apr 13, 2018",0.180000,0.206694,0.174175,0.194018,"1,185,320",-
bnktothefuture,"Apr 12, 2018",0.151199,0.180643,0.142028,0.180345,"1,180,740",-
bnktothefuture,"Apr 11, 2018",0.134725,0.154513,0.133186,0.151192,"859,744",-
bnktothefuture,"Apr 10, 2018",0.113463,0.135787,0.107231,0.133859,"793,127",-
bnktothefuture,"Apr 09, 2018",0.127914,0.129421,0.105683,0.111908,"613,574",-
bnktothefuture,"Apr 08, 2018",0.089195,0.150528,0.086661,0.127861,"1,096,640",-
bnktothefuture,"Apr 07, 2018",0.069467,0.094254,0.069467,0.089211,"265,765",-
bnktothefuture,"Apr 06, 2018",0.064016,0.069487,0.063983,0.069487,"42,837",-
bnktothefuture,"Apr 05, 2018",0.066687,0.076382,0.062772,0.064264,"87,833",-
bnktothefuture,"Apr 04, 2018",0.075101,0.075852,0.062504,0.066684,"23,857",-
bnktothefuture,"Apr 03, 2018",0.071519,0.076464,0.069721,0.071871,"17,731",-
bnktothefuture,"Apr 02, 2018",0.059151,0.081605,0.058961,0.070371,"208,574",-
bnktothefuture,"Apr 01, 2018",0.060675,0.067454,0.053102,0.059035,"9,668",-
bnktothefuture,"Mar 31, 2018",0.065731,0.068230,0.056899,0.060658,"14,627",-
bnktothefuture,"Mar 30, 2018",0.064129,0.066657,0.058108,0.065781,"30,972",-
bnktothefuture,"Mar 29, 2018",0.072351,0.074426,0.063312,0.064227,"24,323",-
bnktothefuture,"Mar 28, 2018",0.071897,0.078564,0.071029,0.072248,"31,744",-
bnktothefuture,"Mar 27, 2018",0.072252,0.075901,0.066835,0.071913,"45,628",-
bnktothefuture,"Mar 26, 2018",0.075667,0.078084,0.070647,0.072287,"19,090",-
bnktothefuture,"Mar 25, 2018",0.078167,0.079456,0.074122,0.075769,"20,879",-
bnktothefuture,"Mar 24, 2018",0.082376,0.082460,0.076271,0.078818,"48,624",-
bnktothefuture,"Mar 23, 2018",0.077985,0.081767,0.070397,0.081767,"56,172",-
bnktothefuture,"Mar 22, 2018",0.073027,0.078317,0.072846,0.077986,"40,890",-
