Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bodhi,"Jul 02, 2018",0.240286,0.252407,0.231969,0.246440,"2,798,500","9,611,440"
bodhi,"Jul 01, 2018",0.239428,0.270915,0.232234,0.239619,"2,712,830","9,577,120"
bodhi,"Jun 30, 2018",0.235420,0.248622,0.233484,0.239363,"2,781,860","9,416,800"
bodhi,"Jun 29, 2018",0.231202,0.240124,0.219831,0.236454,"2,846,370","9,248,080"
bodhi,"Jun 28, 2018",0.234906,0.273053,0.223831,0.230254,"2,809,140","9,396,230"
bodhi,"Jun 27, 2018",0.262214,0.262214,0.232017,0.239514,"3,217,650","10,488,600"
bodhi,"Jun 26, 2018",0.275652,0.278928,0.238850,0.256352,"3,350,800","11,026,100"
bodhi,"Jun 25, 2018",0.234491,0.279094,0.229515,0.276861,"3,320,730","9,379,630"
bodhi,"Jun 24, 2018",0.254295,0.290242,0.212502,0.241574,"2,534,650","10,171,800"
bodhi,"Jun 23, 2018",0.256451,0.296137,0.243353,0.254296,"2,636,000","10,258,000"
bodhi,"Jun 22, 2018",0.291906,0.301678,0.234992,0.254581,"3,079,020","11,676,200"
bodhi,"Jun 21, 2018",0.327120,0.332152,0.285225,0.291467,"3,254,140","13,084,800"
bodhi,"Jun 20, 2018",0.363851,0.365937,0.318977,0.327736,"3,556,720","14,554,100"
bodhi,"Jun 19, 2018",0.447119,0.453072,0.337889,0.366011,"3,902,250","17,884,800"
bodhi,"Jun 18, 2018",0.459253,0.459401,0.432023,0.447104,"7,188,420","18,370,100"
bodhi,"Jun 17, 2018",0.466917,0.475577,0.443484,0.458456,"7,107,500","18,676,700"
bodhi,"Jun 16, 2018",0.475570,0.478694,0.450038,0.466864,"7,159,490","19,022,800"
bodhi,"Jun 15, 2018",0.499302,0.501045,0.471263,0.475011,"7,628,730","19,972,100"
bodhi,"Jun 14, 2018",0.469730,0.521931,0.448182,0.499920,"8,689,420","18,789,200"
bodhi,"Jun 13, 2018",0.486022,0.496454,0.434219,0.469083,"5,941,190","19,440,900"
bodhi,"Jun 12, 2018",0.513764,0.546080,0.473006,0.483340,"4,842,000","20,550,600"
bodhi,"Jun 11, 2018",0.578191,0.582571,0.455395,0.517435,"3,800,580","23,127,600"
bodhi,"Jun 10, 2018",0.682071,0.682071,0.570105,0.576496,"5,776,690","27,282,800"
bodhi,"Jun 09, 2018",0.704284,0.721659,0.686419,0.686419,"6,429,140","28,171,400"
bodhi,"Jun 08, 2018",0.728938,0.747305,0.660832,0.698296,"6,450,210","29,157,500"
bodhi,"Jun 07, 2018",0.768136,0.787400,0.715891,0.728296,"7,418,240","30,725,400"
bodhi,"Jun 06, 2018",0.774942,0.774942,0.738963,0.768103,"5,209,960","30,997,700"
bodhi,"Jun 05, 2018",0.772535,0.781247,0.716595,0.776289,"1,782,780","30,901,400"
bodhi,"Jun 04, 2018",0.838738,0.839221,0.750575,0.772870,"2,223,220","33,549,500"
bodhi,"Jun 03, 2018",0.797621,0.897378,0.789699,0.834341,"5,025,900","31,904,900"
bodhi,"Jun 02, 2018",0.855695,0.860279,0.772550,0.795703,"5,278,100","34,227,800"
bodhi,"Jun 01, 2018",1.01,1.01,0.818308,0.854989,"8,661,820","40,280,000"
bodhi,"May 31, 2018",1.22,1.26,0.918932,0.998355,"6,767,780","48,941,000"
bodhi,"May 30, 2018",1.24,1.28,1.16,1.23,"5,862,880","49,543,300"
bodhi,"May 29, 2018",1.20,1.26,1.15,1.24,"5,656,420","48,129,000"
bodhi,"May 28, 2018",1.28,1.36,1.17,1.20,"7,079,580","51,376,800"
bodhi,"May 27, 2018",1.28,1.29,1.23,1.29,"5,643,170","51,054,300"
bodhi,"May 26, 2018",1.15,1.35,1.15,1.27,"7,755,680","46,081,900"
bodhi,"May 25, 2018",1.15,1.18,1.12,1.15,"5,072,910","45,829,100"
bodhi,"May 24, 2018",1.03,1.17,1.03,1.15,"5,947,090","41,266,500"
bodhi,"May 23, 2018",1.11,1.15,0.965497,1.03,"5,139,360","44,296,000"
bodhi,"May 22, 2018",1.22,1.22,1.10,1.12,"4,595,490","48,798,300"
bodhi,"May 21, 2018",1.25,1.29,1.16,1.22,"5,507,250","50,057,400"
bodhi,"May 20, 2018",1.28,1.37,1.20,1.25,"8,003,560","51,074,500"
bodhi,"May 19, 2018",1.02,1.29,0.998921,1.28,"7,081,860","40,692,200"
bodhi,"May 18, 2018",0.971411,1.02,0.957190,1.02,"3,135,580","38,856,400"
bodhi,"May 17, 2018",0.990224,1.10,0.950331,0.969491,"3,511,340","39,609,000"
bodhi,"May 16, 2018",0.985348,1.01,0.946652,0.986923,"3,130,110","39,413,900"
bodhi,"May 15, 2018",1.05,1.13,0.951114,0.981468,"3,841,540","41,978,000"
bodhi,"May 14, 2018",1.05,1.15,0.982315,1.06,"4,167,220","41,870,500"
bodhi,"May 13, 2018",1.05,1.07,0.990005,1.04,"4,264,020","41,891,700"
bodhi,"May 12, 2018",0.944413,1.05,0.863802,1.05,"6,970,850","37,776,500"
bodhi,"May 11, 2018",1.12,1.15,0.889019,0.945499,"8,397,880","44,668,100"
bodhi,"May 10, 2018",1.25,1.25,1.11,1.11,"19,947,200","49,971,100"
bodhi,"May 09, 2018",1.20,1.29,1.09,1.24,"24,277,200","48,143,600"
bodhi,"May 08, 2018",1.25,1.27,1.14,1.20,"26,049,600","50,178,400"
bodhi,"May 07, 2018",1.52,1.52,1.12,1.26,"37,140,800","60,720,400"
bodhi,"May 06, 2018",0.828040,1.55,0.812101,1.53,"43,126,800","33,121,600"
bodhi,"May 05, 2018",0.712946,0.902885,0.693309,0.847550,"18,692,800","28,517,800"
bodhi,"May 04, 2018",0.657115,0.831779,0.640954,0.711722,"15,464,400","26,284,600"
bodhi,"May 03, 2018",0.644850,0.726944,0.606820,0.660112,"14,318,000","25,794,000"
bodhi,"May 02, 2018",0.573874,0.708574,0.560270,0.646989,"14,790,800","22,955,000"
bodhi,"May 01, 2018",0.583984,0.647110,0.539725,0.577058,"12,817,100","23,359,400"
bodhi,"Apr 30, 2018",0.598309,0.642875,0.566804,0.583062,"12,913,400","23,932,400"
bodhi,"Apr 29, 2018",0.600612,0.648120,0.557078,0.598988,"13,269,000","24,024,500"
bodhi,"Apr 28, 2018",0.533191,0.619318,0.528241,0.604587,"11,731,900","21,327,700"
bodhi,"Apr 27, 2018",0.598522,0.645481,0.529428,0.534312,"3,420,170","23,940,900"
bodhi,"Apr 26, 2018",0.528725,0.618548,0.508354,0.610949,"2,651,220","21,149,000"
bodhi,"Apr 25, 2018",0.697105,0.697105,0.502764,0.525041,"2,390,750","27,884,200"
bodhi,"Apr 24, 2018",0.650856,0.731780,0.648430,0.710989,"3,117,470","26,034,200"
bodhi,"Apr 23, 2018",0.636218,0.690868,0.630380,0.653666,"2,844,990","25,448,700"
bodhi,"Apr 22, 2018",0.616196,0.670502,0.600283,0.637232,"3,830,470","24,647,800"
bodhi,"Apr 21, 2018",0.646363,0.679271,0.582625,0.615554,"4,095,360","25,854,500"
bodhi,"Apr 20, 2018",0.533212,0.664297,0.527145,0.648664,"4,654,680","21,328,500"
bodhi,"Apr 19, 2018",0.411250,0.556551,0.406548,0.536702,"2,748,230","16,450,000"
bodhi,"Apr 18, 2018",0.382241,0.411273,0.378924,0.411273,"4,249,490","15,289,600"
bodhi,"Apr 17, 2018",0.377544,0.402238,0.374093,0.379437,"4,938,130","15,101,800"
bodhi,"Apr 16, 2018",0.389540,0.392155,0.367337,0.375424,"7,416,000","15,581,600"
bodhi,"Apr 15, 2018",0.351301,0.389337,0.351301,0.389337,"7,713,880","14,052,000"
bodhi,"Apr 14, 2018",0.348854,0.360499,0.346055,0.353035,"6,971,960","13,954,200"
bodhi,"Apr 13, 2018",0.354515,0.373000,0.342806,0.348518,"6,945,590","14,180,600"
bodhi,"Apr 12, 2018",0.302361,0.393869,0.299093,0.353818,"7,147,160","12,094,400"
bodhi,"Apr 11, 2018",0.288193,0.385601,0.285622,0.301951,"3,818,270","11,527,700"
bodhi,"Apr 10, 2018",0.284690,0.290685,0.275184,0.288465,"3,582,840","11,387,600"
bodhi,"Apr 09, 2018",0.289442,0.307206,0.245993,0.283625,"5,397,800","11,577,700"
bodhi,"Apr 08, 2018",0.280441,0.291232,0.280216,0.289168,"4,003,510","11,217,600"
bodhi,"Apr 07, 2018",0.271989,0.288157,0.271408,0.280409,"3,882,160","10,879,600"
bodhi,"Apr 06, 2018",0.281781,0.283851,0.268023,0.271805,"4,257,920","11,271,300"
bodhi,"Apr 05, 2018",0.281850,0.282896,0.265132,0.282560,"4,416,010","11,274,000"
bodhi,"Apr 04, 2018",0.313564,0.313564,0.270118,0.283470,"918,776","12,542,600"
bodhi,"Apr 03, 2018",0.289700,0.313697,0.287430,0.312223,"1,011,470","11,588,000"
bodhi,"Apr 02, 2018",0.272896,0.299138,0.269924,0.289504,"922,346","10,915,800"
bodhi,"Apr 01, 2018",0.267293,0.283963,0.260364,0.273647,"592,473","10,691,700"
bodhi,"Mar 31, 2018",0.283150,0.293660,0.265504,0.267719,"334,858","11,326,000"
bodhi,"Mar 30, 2018",0.268356,0.313513,0.252981,0.281353,"946,843","10,734,200"
bodhi,"Mar 29, 2018",0.295275,0.302101,0.265943,0.271342,"868,512","11,811,000"
bodhi,"Mar 28, 2018",0.291556,0.311073,0.282745,0.297857,"1,029,190","11,662,200"
bodhi,"Mar 27, 2018",0.308502,0.326864,0.274011,0.291332,"1,023,080","12,340,100"
bodhi,"Mar 26, 2018",0.332193,0.348404,0.282903,0.311501,"1,051,860","13,287,700"
bodhi,"Mar 25, 2018",0.338538,0.353302,0.328513,0.346100,"1,127,060","13,541,500"
bodhi,"Mar 24, 2018",0.358849,0.369808,0.335712,0.342869,"1,160,300","14,354,000"
bodhi,"Mar 23, 2018",0.355765,0.365403,0.325887,0.358364,"756,796","14,230,600"
bodhi,"Mar 22, 2018",0.389170,0.401479,0.332892,0.357052,"1,224,970","15,566,800"
bodhi,"Mar 21, 2018",0.337727,0.406537,0.313704,0.388247,"1,316,190","13,509,100"
bodhi,"Mar 20, 2018",0.414957,0.466876,0.242736,0.338058,"1,129,690","16,598,300"
bodhi,"Mar 19, 2018",0.268921,0.433668,0.263304,0.414454,"1,523,450","10,756,900"
bodhi,"Mar 18, 2018",0.270438,0.271236,0.220904,0.267038,"860,429","10,817,500"
