Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
boutspro,"Jul 02, 2018",0.017409,0.018991,0.015819,0.017045,"27,206","1,333,800"
boutspro,"Jul 01, 2018",0.017609,0.019547,0.016949,0.017403,"27,939","1,349,100"
boutspro,"Jun 30, 2018",0.018433,0.020691,0.014824,0.017601,"30,158","1,412,210"
boutspro,"Jun 29, 2018",0.019050,0.020423,0.014077,0.018410,"16,583","1,459,550"
boutspro,"Jun 28, 2018",0.016697,0.021366,0.015180,0.019039,"21,375","1,279,270"
boutspro,"Jun 27, 2018",0.016018,0.016823,0.014639,0.016682,"28,489","1,227,250"
boutspro,"Jun 26, 2018",0.017063,0.018109,0.016021,0.016039,"47,844","1,307,310"
boutspro,"Jun 25, 2018",0.017319,0.018137,0.015956,0.017063,"33,457","1,326,910"
boutspro,"Jun 24, 2018",0.016918,0.018742,0.014851,0.017363,"28,522","1,296,150"
boutspro,"Jun 23, 2018",0.014699,0.017844,0.014688,0.016921,"24,803","1,126,190"
boutspro,"Jun 22, 2018",0.017323,0.017330,0.014639,0.014697,"65,554","1,327,180"
boutspro,"Jun 21, 2018",0.016953,0.018021,0.015822,0.016899,"29,489","1,298,870"
boutspro,"Jun 20, 2018",0.016548,0.018214,0.015293,0.015990,"28,233","1,267,830"
boutspro,"Jun 19, 2018",0.017019,0.018055,0.015112,0.016536,"26,568","1,303,930"
boutspro,"Jun 18, 2018",0.016230,0.018504,0.015057,0.017028,"46,419","1,243,490"
boutspro,"Jun 17, 2018",0.015765,0.016990,0.014995,0.016195,"33,280","1,207,860"
boutspro,"Jun 16, 2018",0.016231,0.016699,0.015159,0.015690,"33,812","1,243,530"
boutspro,"Jun 15, 2018",0.016290,0.017047,0.013795,0.016151,"47,620","1,248,070"
boutspro,"Jun 14, 2018",0.014126,0.018331,0.012255,0.016458,"29,125","1,082,240"
boutspro,"Jun 13, 2018",0.013943,0.015021,0.012858,0.014122,"32,085","1,068,270"
boutspro,"Jun 12, 2018",0.013613,0.017983,0.013318,0.013905,"57,340","1,042,930"
boutspro,"Jun 11, 2018",0.011593,0.016184,0.011251,0.013339,"64,000","888,169"
boutspro,"Jun 10, 2018",0.012888,0.013271,0.010186,0.011575,"36,599","987,439"
boutspro,"Jun 09, 2018",0.012518,0.013447,0.010612,0.012870,"45,661","959,031"
boutspro,"Jun 08, 2018",0.014701,0.015582,0.012521,0.012521,"46,195","1,126,340"
boutspro,"Jun 07, 2018",0.016172,0.016397,0.014618,0.014682,"123,144","1,239,010"
boutspro,"Jun 06, 2018",0.016242,0.017591,0.013862,0.016170,"132,558","1,244,360"
boutspro,"Jun 05, 2018",0.016392,0.017623,0.014602,0.015775,"80,282","1,255,850"
boutspro,"Jun 04, 2018",0.014215,0.017405,0.013664,0.016385,"63,029","1,089,100"
boutspro,"Jun 03, 2018",0.015670,0.016550,0.012671,0.016241,"36,051","1,200,570"
boutspro,"Jun 02, 2018",0.017106,0.017845,0.014963,0.015830,"49,699","1,310,600"
boutspro,"Jun 01, 2018",0.017754,0.018942,0.016337,0.017113,"55,753","1,360,220"
boutspro,"May 31, 2018",0.017118,0.019548,0.015891,0.017737,"84,726","1,311,470"
boutspro,"May 30, 2018",0.017677,0.017935,0.015633,0.017126,"32,947","1,354,350"
boutspro,"May 29, 2018",0.016687,0.017816,0.016182,0.017666,"30,057","1,278,450"
boutspro,"May 28, 2018",0.018939,0.019138,0.016297,0.016706,"35,016","1,451,030"
boutspro,"May 27, 2018",0.018387,0.018936,0.015597,0.018936,"35,378","1,408,580"
boutspro,"May 26, 2018",0.019855,0.019855,0.018448,0.018824,"35,061","1,521,090"
boutspro,"May 25, 2018",0.021211,0.023099,0.018780,0.019874,"37,265","1,624,970"
boutspro,"May 24, 2018",0.022359,0.023905,0.019486,0.021179,"80,635","1,712,810"
boutspro,"May 23, 2018",0.023738,0.027137,0.018833,0.022423,"43,777","1,818,400"
boutspro,"May 22, 2018",0.022392,0.038748,0.020189,0.023309,"101,359","1,715,330"
boutspro,"May 21, 2018",0.024105,0.025401,0.021127,0.022405,"104,259","1,846,510"
boutspro,"May 20, 2018",0.022006,0.024529,0.021832,0.024074,"39,577","1,685,730"
boutspro,"May 19, 2018",0.021723,0.023885,0.021436,0.021989,"50,964",-
boutspro,"May 18, 2018",0.024697,0.026992,0.020083,0.021726,"130,474",-
boutspro,"May 17, 2018",0.023536,0.031622,0.022648,0.024681,"113,758",-
boutspro,"May 16, 2018",0.024973,0.026523,0.020295,0.024691,"110,684",-
boutspro,"May 15, 2018",0.029584,0.030360,0.023839,0.024980,"51,916",-
boutspro,"May 14, 2018",0.030458,0.031786,0.027700,0.029631,"46,080",-
boutspro,"May 13, 2018",0.026942,0.032844,0.026369,0.030464,"40,105",-
boutspro,"May 12, 2018",0.023055,0.034754,0.022930,0.026980,"96,747",-
boutspro,"May 11, 2018",0.024917,0.033897,0.021768,0.023110,"61,255",-
boutspro,"May 10, 2018",0.017420,0.034040,0.017228,0.022322,"100,240",-
