Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
breakout-stake,"Jul 02, 2018",0.394618,0.396323,0.359934,0.387344,"16,048","2,473,500"
breakout-stake,"Jul 01, 2018",0.451849,0.454390,0.328272,0.377199,"27,142","2,832,230"
breakout-stake,"Jun 30, 2018",0.419147,0.502851,0.394915,0.451745,"4,506","2,627,250"
breakout-stake,"Jun 29, 2018",0.455610,0.465533,0.361610,0.418521,"5,359","2,855,800"
breakout-stake,"Jun 28, 2018",0.502979,0.503177,0.452948,0.455402,"4,470","3,152,720"
breakout-stake,"Jun 27, 2018",0.579624,0.603238,0.490019,0.502802,"11,746","3,633,130"
breakout-stake,"Jun 26, 2018",0.614313,0.662946,0.570419,0.579850,"4,500","3,850,570"
breakout-stake,"Jun 25, 2018",0.552695,0.629320,0.512475,0.614313,"10,210","3,464,340"
breakout-stake,"Jun 24, 2018",0.474835,0.624985,0.448751,0.553763,"12,552","2,976,310"
breakout-stake,"Jun 23, 2018",0.485225,0.493183,0.474735,0.474900,"1,245","3,041,430"
breakout-stake,"Jun 22, 2018",0.535221,0.538884,0.476328,0.485052,974,"3,354,810"
breakout-stake,"Jun 21, 2018",0.531961,0.589382,0.518604,0.535814,"1,467","3,334,370"
breakout-stake,"Jun 20, 2018",0.540262,0.596139,0.507699,0.533014,"3,349","3,386,410"
breakout-stake,"Jun 19, 2018",0.568859,0.578424,0.521399,0.539868,967,"3,565,650"
breakout-stake,"Jun 18, 2018",0.501785,0.618949,0.479594,0.569151,"3,544","3,145,230"
breakout-stake,"Jun 17, 2018",0.547593,0.557249,0.492938,0.503463,"2,069","3,432,360"
breakout-stake,"Jun 16, 2018",0.515697,0.571666,0.514162,0.546690,695,"3,232,430"
breakout-stake,"Jun 15, 2018",0.552711,0.590076,0.514618,0.516994,"2,212","3,464,440"
breakout-stake,"Jun 14, 2018",0.463745,0.557848,0.436705,0.553713,"1,422","2,906,790"
breakout-stake,"Jun 13, 2018",0.565417,0.568864,0.442831,0.463925,"3,404","3,544,080"
breakout-stake,"Jun 12, 2018",0.604133,0.604133,0.559422,0.564157,538,"3,786,760"
breakout-stake,"Jun 11, 2018",0.569260,0.607718,0.540472,0.605954,"4,450","3,568,170"
breakout-stake,"Jun 10, 2018",0.652142,0.652142,0.563160,0.568389,761,"4,087,680"
breakout-stake,"Jun 09, 2018",0.663073,0.679917,0.651323,0.651323,521,"4,156,190"
breakout-stake,"Jun 08, 2018",0.663946,0.678387,0.657826,0.663327,699,"4,161,670"
breakout-stake,"Jun 07, 2018",0.703888,0.712291,0.631626,0.663430,"2,906","4,412,030"
breakout-stake,"Jun 06, 2018",0.719818,0.732217,0.703241,0.703241,"2,723","4,511,880"
breakout-stake,"Jun 05, 2018",0.707149,0.729258,0.696265,0.719791,673,"4,432,470"
breakout-stake,"Jun 04, 2018",0.726708,0.728556,0.704796,0.706838,734,"4,555,070"
breakout-stake,"Jun 03, 2018",0.740403,0.778513,0.724254,0.737419,"8,144","4,640,910"
breakout-stake,"Jun 02, 2018",0.737933,0.751011,0.727296,0.740322,854,"4,625,430"
breakout-stake,"Jun 01, 2018",0.781827,0.819394,0.719884,0.738298,"2,029","4,900,560"
breakout-stake,"May 31, 2018",0.729775,0.781258,0.700454,0.781258,"1,776","4,574,290"
breakout-stake,"May 30, 2018",0.736533,0.760461,0.720841,0.729951,"4,798","4,616,650"
breakout-stake,"May 29, 2018",0.700546,0.755418,0.697188,0.736051,"4,379","4,391,080"
breakout-stake,"May 28, 2018",0.741527,0.744617,0.699123,0.700909,"3,403","4,647,960"
breakout-stake,"May 27, 2018",0.749347,0.752717,0.735337,0.741082,"2,237","4,696,970"
breakout-stake,"May 26, 2018",0.770868,0.784816,0.745758,0.749111,"3,019","4,831,870"
breakout-stake,"May 25, 2018",0.789608,0.800699,0.754916,0.771754,"2,121","4,949,330"
breakout-stake,"May 24, 2018",0.846348,0.854295,0.756565,0.771070,"10,746","5,304,980"
breakout-stake,"May 23, 2018",0.914312,0.949516,0.841621,0.848400,"2,889","5,730,980"
breakout-stake,"May 22, 2018",0.987850,0.990544,0.914217,0.915256,"1,068","6,191,930"
breakout-stake,"May 21, 2018",1.05,1.10,0.984286,0.987782,"5,068","6,578,250"
breakout-stake,"May 20, 2018",0.970157,1.09,0.948274,1.05,"3,082","6,081,020"
breakout-stake,"May 19, 2018",0.953553,1.04,0.953553,0.969532,"4,352","5,976,950"
breakout-stake,"May 18, 2018",0.947468,1.01,0.932249,1.01,"1,407","5,938,810"
breakout-stake,"May 17, 2018",0.997869,1.02,0.941527,0.947414,"2,285","6,254,730"
breakout-stake,"May 16, 2018",1.01,1.01,0.939381,0.997288,"9,238","6,301,940"
breakout-stake,"May 15, 2018",0.993601,1.04,0.944125,1.01,"12,178","6,227,980"
breakout-stake,"May 14, 2018",1.04,1.05,0.901845,0.995766,"7,321","6,544,160"
breakout-stake,"May 13, 2018",0.954672,1.10,0.940524,1.04,"8,706","5,983,960"
breakout-stake,"May 12, 2018",0.933414,0.993366,0.915872,0.954722,"3,640","5,850,720"
breakout-stake,"May 11, 2018",1.11,1.14,0.903061,0.934774,"6,960","6,962,040"
breakout-stake,"May 10, 2018",1.12,1.24,1.10,1.11,"10,459","7,025,030"
breakout-stake,"May 09, 2018",1.18,1.18,1.08,1.12,"4,075","7,391,440"
breakout-stake,"May 08, 2018",1.24,1.28,1.10,1.18,"26,179","7,754,410"
breakout-stake,"May 07, 2018",1.43,1.43,1.13,1.23,"28,029","8,944,020"
breakout-stake,"May 06, 2018",1.40,1.43,1.34,1.43,"3,006","8,775,370"
breakout-stake,"May 05, 2018",1.39,1.45,1.38,1.40,"5,806","8,698,770"
breakout-stake,"May 04, 2018",1.45,1.45,1.38,1.39,"5,291","9,078,630"
breakout-stake,"May 03, 2018",1.30,1.46,1.25,1.45,"25,107","8,123,490"
breakout-stake,"May 02, 2018",1.30,1.33,1.27,1.30,"7,135","8,129,340"
breakout-stake,"May 01, 2018",1.25,1.32,1.21,1.30,"18,905","7,860,280"
breakout-stake,"Apr 30, 2018",1.38,1.38,1.23,1.25,"17,173","8,647,740"
breakout-stake,"Apr 29, 2018",1.23,1.43,1.18,1.38,"38,281","7,691,180"
breakout-stake,"Apr 28, 2018",1.13,1.29,1.12,1.22,"24,928","7,061,110"
breakout-stake,"Apr 27, 2018",1.20,1.31,1.13,1.13,"9,285","7,492,760"
breakout-stake,"Apr 26, 2018",1.09,1.23,1.07,1.19,"12,711","6,845,330"
breakout-stake,"Apr 25, 2018",1.34,1.36,1.06,1.08,"25,223","8,391,570"
breakout-stake,"Apr 24, 2018",1.26,1.36,1.26,1.35,"3,879","7,903,510"
breakout-stake,"Apr 23, 2018",1.22,1.30,1.20,1.26,"17,534","7,640,040"
breakout-stake,"Apr 22, 2018",1.15,1.28,1.14,1.22,"21,952","7,237,780"
breakout-stake,"Apr 21, 2018",1.28,1.28,1.12,1.15,"8,917","8,010,510"
breakout-stake,"Apr 20, 2018",1.16,1.28,1.14,1.28,"22,388","7,242,960"
breakout-stake,"Apr 19, 2018",1.20,1.24,1.12,1.15,"31,318","7,544,810"
breakout-stake,"Apr 18, 2018",1.07,1.31,1.07,1.20,"53,776","6,701,640"
breakout-stake,"Apr 17, 2018",1.09,1.15,0.972229,1.07,"75,951","6,842,650"
breakout-stake,"Apr 16, 2018",0.923837,1.13,0.852676,1.05,"107,815","5,790,690"
