Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
britcoin,"Jul 02, 2018",0.018342,0.019213,0.018151,0.019094,36,"390,091"
britcoin,"Jul 01, 2018",0.018715,0.018820,0.018164,0.018340,206,"398,030"
britcoin,"Jun 30, 2018",0.011107,0.018777,0.011106,0.018711,24,"236,218"
britcoin,"Jun 29, 2018",0.010446,0.011282,0.010327,0.011092,21,"222,164"
britcoin,"Jun 28, 2018",0.011102,0.015808,0.010380,0.010439,436,"236,126"
britcoin,"Jun 27, 2018",0.010945,0.011151,0.010873,0.011098,2,"232,772"
britcoin,"Jun 26, 2018",0.011521,0.011521,0.010939,0.010949,244,"245,031"
britcoin,"Jun 25, 2018",0.021527,0.021653,0.021438,0.021624,454,"457,842"
britcoin,"Jun 24, 2018",0.016314,0.021899,0.016314,0.021569,530,"346,959"
britcoin,"Jun 20, 2018",0.019252,0.019270,0.018771,0.018892,29,"409,447"
britcoin,"Jun 19, 2018",0.018912,0.019378,0.018814,0.019240,30,"402,220"
britcoin,"Jun 18, 2018",0.024613,0.024739,0.018063,0.018922,4,"523,477"
britcoin,"Jun 17, 2018",0.018148,0.024992,0.018113,0.024698,136,"385,966"
britcoin,"Jun 16, 2018",0.018025,0.018273,0.017690,0.018100,5,"383,367"
britcoin,"Jun 14, 2018",0.017505,0.018120,0.017469,0.018003,92,"372,291"
britcoin,"Jun 13, 2018",0.021066,0.021193,0.017183,0.017513,89,"448,026"
britcoin,"Jun 12, 2018",0.027068,0.027068,0.020885,0.021011,42,"575,685"
britcoin,"Jun 11, 2018",0.026584,0.027223,0.026515,0.027082,1,"565,397"
britcoin,"Jun 10, 2018",0.029646,0.029646,0.028425,0.028657,16,"630,519"
britcoin,"Jun 09, 2018",0.030051,0.030273,0.029609,0.029609,34,"639,124"
britcoin,"Jun 08, 2018",0.021281,0.030199,0.020941,0.030064,124,"452,597"
britcoin,"Jun 07, 2018",0.021282,0.021369,0.021193,0.021264,28,"452,622"
britcoin,"Jun 04, 2018",0.021354,0.021411,0.021265,0.021265,9,"454,152"
britcoin,"Jun 03, 2018",0.021149,0.021401,0.021055,0.021344,9,"449,789"
britcoin,"Jun 02, 2018",0.022550,0.023013,0.021061,0.021143,149,"479,593"
britcoin,"Jun 01, 2018",0.021052,0.034728,0.020401,0.022560,345,"447,725"
britcoin,"May 31, 2018",0.022148,0.022148,0.020644,0.021036,6,"471,046"
britcoin,"May 30, 2018",0.026126,0.026426,0.021916,0.022152,29,"555,652"
britcoin,"May 29, 2018",0.021411,0.026362,0.021369,0.026108,43,"455,376"
britcoin,"May 28, 2018",0.020567,0.020640,0.020556,0.020627,8,"437,423"
britcoin,"May 27, 2018",0.020382,0.020659,0.020315,0.020562,8,"433,475"
britcoin,"May 26, 2018",0.020836,0.021269,0.020621,0.021146,21,"443,133"
britcoin,"May 25, 2018",0.020949,0.021196,0.020389,0.020863,21,"445,542"
britcoin,"May 24, 2018",0.027522,0.028260,0.020779,0.020910,16,"585,330"
britcoin,"May 23, 2018",0.029293,0.029378,0.027346,0.027591,8,"622,997"
britcoin,"May 22, 2018",0.030688,0.030712,0.029158,0.029323,48,"652,675"
britcoin,"May 21, 2018",0.031125,0.031315,0.030429,0.030693,28,"661,971"
britcoin,"May 20, 2018",0.030096,0.031327,0.029900,0.031086,16,"640,080"
britcoin,"May 19, 2018",0.020762,0.030541,0.020599,0.030073,439,"441,571"
britcoin,"May 18, 2018",0.019710,0.029708,0.019418,0.020765,68,"419,203"
britcoin,"May 17, 2018",0.029386,0.030336,0.019580,0.019693,77,"624,988"
britcoin,"May 16, 2018",0.030974,0.031000,0.029069,0.029368,106,"658,769"
britcoin,"May 15, 2018",0.031926,0.031926,0.030814,0.030992,57,"679,007"
britcoin,"May 14, 2018",0.038933,0.039680,0.037305,0.039134,1,"828,020"
britcoin,"May 13, 2018",0.035480,0.039203,0.024552,0.038940,"2,346","754,587"
britcoin,"May 12, 2018",0.032523,0.039664,0.032523,0.035492,244,"691,712"
britcoin,"May 11, 2018",0.042142,0.042142,0.032404,0.032619,339,"896,290"
britcoin,"May 10, 2018",0.043841,0.044127,0.042051,0.042092,161,"932,424"
britcoin,"May 09, 2018",0.054730,0.054750,0.043479,0.043854,30,"1,164,000"
britcoin,"May 08, 2018",0.060878,0.061440,0.042469,0.054814,28,"1,294,750"
britcoin,"May 07, 2018",0.060663,0.101926,0.049245,0.060749,"50,800","1,290,180"
britcoin,"May 06, 2018",0.054106,0.125316,0.049990,0.060619,"76,583","1,150,740"
britcoin,"May 05, 2018",0.077149,0.079536,0.050440,0.054070,"1,035","1,640,820"
britcoin,"May 04, 2018",0.096821,0.096821,0.047071,0.077186,"2,548","2,059,200"
britcoin,"May 03, 2018",0.045718,0.097323,0.039397,0.096859,"29,427","972,339"
britcoin,"May 02, 2018",0.047095,0.047515,0.041579,0.045717,752,"1,001,610"
britcoin,"May 01, 2018",0.067954,0.068838,0.038006,0.047166,"2,229","1,445,260"
britcoin,"Apr 30, 2018",0.037152,0.115470,0.036961,0.067895,"15,089","790,145"
britcoin,"Apr 29, 2018",0.048895,0.049836,0.036467,0.037164,156,"1,039,910"
britcoin,"Apr 28, 2018",0.048751,0.050162,0.039953,0.048914,154,"1,036,830"
britcoin,"Apr 27, 2018",0.040421,0.183336,0.025830,0.048918,"12,255","859,680"
britcoin,"Apr 26, 2018",0.041967,0.041967,0.038212,0.040365,97,"892,555"
britcoin,"Apr 25, 2018",0.037250,0.043630,0.027906,0.041622,930,"792,244"
britcoin,"Apr 24, 2018",0.036117,0.042962,0.035862,0.037505,113,"768,129"
britcoin,"Apr 23, 2018",0.036770,0.047497,0.035725,0.036086,723,"782,021"
britcoin,"Apr 22, 2018",0.040389,0.044063,0.036430,0.036844,604,"858,986"
