Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
bytecoin-bcn,"Jul 02, 2018",0.002972,0.003906,0.002873,0.003588,"21,232,300","546,600,000"
bytecoin-bcn,"Jul 01, 2018",0.003007,0.003054,0.002850,0.002937,"6,950,550","552,946,000"
bytecoin-bcn,"Jun 30, 2018",0.002719,0.003230,0.002677,0.003003,"17,287,700","499,908,000"
bytecoin-bcn,"Jun 29, 2018",0.002414,0.002717,0.002369,0.002714,"4,746,620","443,822,000"
bytecoin-bcn,"Jun 28, 2018",0.002612,0.002635,0.002413,0.002425,"3,733,450","480,353,000"
bytecoin-bcn,"Jun 27, 2018",0.002542,0.002649,0.002513,0.002624,"3,571,520","467,409,000"
bytecoin-bcn,"Jun 26, 2018",0.002806,0.002812,0.002543,0.002543,"3,545,870","516,054,000"
bytecoin-bcn,"Jun 25, 2018",0.002629,0.002890,0.002587,0.002773,"5,751,060","483,523,000"
bytecoin-bcn,"Jun 24, 2018",0.002851,0.002888,0.002351,0.002634,"9,858,400","524,248,000"
bytecoin-bcn,"Jun 23, 2018",0.002769,0.002963,0.002765,0.002852,"5,979,480","509,146,000"
bytecoin-bcn,"Jun 22, 2018",0.003499,0.003546,0.002722,0.002808,"13,403,900","643,391,000"
bytecoin-bcn,"Jun 21, 2018",0.003731,0.003783,0.003439,0.003505,"15,299,000","686,054,000"
bytecoin-bcn,"Jun 20, 2018",0.003988,0.003994,0.003632,0.003731,"9,894,980","733,385,000"
bytecoin-bcn,"Jun 19, 2018",0.004207,0.004207,0.003865,0.003984,"11,514,400","773,606,000"
bytecoin-bcn,"Jun 18, 2018",0.004094,0.004288,0.003845,0.004174,"8,722,660","752,886,000"
bytecoin-bcn,"Jun 17, 2018",0.004203,0.004327,0.004097,0.004106,"6,486,060","772,870,000"
bytecoin-bcn,"Jun 16, 2018",0.004233,0.004302,0.004071,0.004214,"5,132,550","778,463,000"
bytecoin-bcn,"Jun 15, 2018",0.004512,0.004555,0.004211,0.004238,"4,784,470","829,678,000"
bytecoin-bcn,"Jun 14, 2018",0.004159,0.004659,0.004118,0.004516,"11,260,700","764,712,000"
bytecoin-bcn,"Jun 13, 2018",0.004378,0.004460,0.003891,0.004133,"11,326,700","804,996,000"
bytecoin-bcn,"Jun 12, 2018",0.004948,0.004959,0.004326,0.004366,"10,994,100","909,973,000"
bytecoin-bcn,"Jun 11, 2018",0.004789,0.004990,0.004666,0.004948,"9,656,620","880,673,000"
bytecoin-bcn,"Jun 10, 2018",0.005666,0.005666,0.004683,0.004745,"14,610,500","1,041,980,000"
bytecoin-bcn,"Jun 09, 2018",0.005705,0.005935,0.005610,0.005705,"11,401,000","1,049,180,000"
bytecoin-bcn,"Jun 08, 2018",0.005968,0.006006,0.005554,0.005671,"8,875,860","1,097,480,000"
bytecoin-bcn,"Jun 07, 2018",0.006040,0.006120,0.005926,0.005941,"9,407,170","1,110,610,000"
bytecoin-bcn,"Jun 06, 2018",0.006118,0.006166,0.005892,0.006036,"7,937,100","1,124,960,000"
bytecoin-bcn,"Jun 05, 2018",0.005952,0.006306,0.005729,0.006166,"11,981,600","1,094,500,000"
bytecoin-bcn,"Jun 04, 2018",0.006411,0.006459,0.005913,0.005953,"11,507,300","1,179,010,000"
bytecoin-bcn,"Jun 03, 2018",0.006359,0.006600,0.006285,0.006408,"10,458,100","1,169,450,000"
bytecoin-bcn,"Jun 02, 2018",0.006443,0.006626,0.006156,0.006358,"14,328,300","1,184,830,000"
bytecoin-bcn,"Jun 01, 2018",0.006842,0.007032,0.006103,0.006460,"22,617,900","1,258,160,000"
bytecoin-bcn,"May 31, 2018",0.006499,0.007131,0.006258,0.006838,"23,562,000","1,195,040,000"
bytecoin-bcn,"May 30, 2018",0.006939,0.007138,0.006101,0.006545,"36,200,500","1,276,020,000"
bytecoin-bcn,"May 29, 2018",0.005194,0.007329,0.005070,0.006988,"46,864,800","955,207,000"
bytecoin-bcn,"May 28, 2018",0.006062,0.006100,0.005134,0.005196,"14,327,800","1,114,750,000"
bytecoin-bcn,"May 27, 2018",0.006476,0.006476,0.005795,0.006018,"17,298,000","1,190,950,000"
bytecoin-bcn,"May 26, 2018",0.006770,0.006891,0.006378,0.006438,"11,524,300","1,244,860,000"
bytecoin-bcn,"May 25, 2018",0.007041,0.007161,0.006647,0.006782,"7,459,340","1,294,760,000"
bytecoin-bcn,"May 24, 2018",0.006862,0.007283,0.006546,0.007081,"15,254,200","1,261,890,000"
bytecoin-bcn,"May 23, 2018",0.007934,0.007988,0.006756,0.006928,"28,811,100","1,458,940,000"
bytecoin-bcn,"May 22, 2018",0.008951,0.008960,0.007906,0.007940,"22,357,700","1,646,090,000"
bytecoin-bcn,"May 21, 2018",0.009507,0.009513,0.008843,0.008947,"22,301,800","1,748,210,000"
bytecoin-bcn,"May 20, 2018",0.008849,0.009845,0.008751,0.009450,"28,301,600","1,627,250,000"
bytecoin-bcn,"May 19, 2018",0.009177,0.009247,0.008776,0.008843,"17,014,500","1,687,630,000"
bytecoin-bcn,"May 18, 2018",0.009011,0.009422,0.008774,0.009194,"21,559,000","1,657,050,000"
bytecoin-bcn,"May 17, 2018",0.010178,0.010389,0.008983,0.009059,"30,238,400","1,871,560,000"
bytecoin-bcn,"May 16, 2018",0.010516,0.010885,0.009949,0.010174,"29,607,700","1,933,880,000"
bytecoin-bcn,"May 15, 2018",0.012781,0.012903,0.010267,0.010529,"75,836,300","2,350,230,000"
bytecoin-bcn,"May 14, 2018",0.011987,0.013350,0.011044,0.012662,"98,415,700","2,204,240,000"
bytecoin-bcn,"May 13, 2018",0.009321,0.012967,0.008901,0.012075,"129,775,000","1,713,980,000"
bytecoin-bcn,"May 12, 2018",0.009876,0.010078,0.008627,0.009312,"42,980,200","1,815,980,000"
bytecoin-bcn,"May 11, 2018",0.012051,0.012197,0.009677,0.009889,"72,658,800","2,216,010,000"
bytecoin-bcn,"May 10, 2018",0.014278,0.014278,0.012041,0.012126,"133,865,000","2,625,460,000"
bytecoin-bcn,"May 08, 2018",0.006783,0.030134,0.006783,0.030134,"631,412,000","1,247,200,000"
bytecoin-bcn,"May 07, 2018",0.007188,0.007248,0.006682,0.006768,"5,249,510","1,321,620,000"
bytecoin-bcn,"May 06, 2018",0.007201,0.007339,0.006877,0.007190,"4,477,670","1,324,090,000"
bytecoin-bcn,"May 05, 2018",0.006760,0.007287,0.006679,0.007217,"7,065,280","1,243,000,000"
bytecoin-bcn,"May 04, 2018",0.006958,0.007273,0.006633,0.006733,"7,956,820","1,279,400,000"
bytecoin-bcn,"May 03, 2018",0.005498,0.007005,0.005498,0.006940,"13,080,300","1,010,930,000"
bytecoin-bcn,"May 02, 2018",0.005313,0.005516,0.005138,0.005514,"6,643,490","976,974,000"
bytecoin-bcn,"May 01, 2018",0.005513,0.005513,0.005187,0.005298,"6,658,580","1,013,620,000"
bytecoin-bcn,"Apr 30, 2018",0.005328,0.005641,0.005319,0.005501,"7,893,230","979,681,000"
bytecoin-bcn,"Apr 29, 2018",0.005676,0.005932,0.005215,0.005253,"7,443,290","1,043,540,000"
bytecoin-bcn,"Apr 28, 2018",0.005305,0.005824,0.005289,0.005677,"6,829,440","975,378,000"
bytecoin-bcn,"Apr 27, 2018",0.005568,0.005633,0.005284,0.005284,"6,184,330","1,023,760,000"
bytecoin-bcn,"Apr 26, 2018",0.005002,0.005595,0.004892,0.005583,"3,002,870","919,575,000"
bytecoin-bcn,"Apr 25, 2018",0.005439,0.005484,0.004767,0.004984,"6,781,760","1,000,050,000"
bytecoin-bcn,"Apr 24, 2018",0.005014,0.005466,0.005002,0.005466,"7,154,510","921,801,000"
bytecoin-bcn,"Apr 23, 2018",0.004824,0.005034,0.004800,0.004988,"5,214,760","886,982,000"
bytecoin-bcn,"Apr 22, 2018",0.004755,0.005051,0.004638,0.004802,"6,858,060","874,146,000"
bytecoin-bcn,"Apr 21, 2018",0.005100,0.005115,0.004564,0.004763,"5,186,970","937,706,000"
bytecoin-bcn,"Apr 20, 2018",0.004829,0.005217,0.004778,0.005102,"8,489,800","887,891,000"
bytecoin-bcn,"Apr 19, 2018",0.004469,0.004852,0.004414,0.004813,"5,614,960","821,643,000"
bytecoin-bcn,"Apr 18, 2018",0.004056,0.004489,0.004033,0.004467,"5,835,600","745,737,000"
bytecoin-bcn,"Apr 17, 2018",0.003823,0.004328,0.003794,0.004065,"4,971,410","702,822,000"
bytecoin-bcn,"Apr 16, 2018",0.004219,0.004479,0.003767,0.003828,"6,304,950","775,644,000"
bytecoin-bcn,"Apr 15, 2018",0.003319,0.004581,0.003319,0.004396,"8,187,490","610,169,000"
bytecoin-bcn,"Apr 14, 2018",0.003183,0.003362,0.003084,0.003321,"4,923,470","585,068,000"
bytecoin-bcn,"Apr 13, 2018",0.002878,0.003306,0.002791,0.003155,"5,922,770","529,062,000"
bytecoin-bcn,"Apr 12, 2018",0.002531,0.002926,0.002397,0.002869,"4,903,200","465,316,000"
bytecoin-bcn,"Apr 11, 2018",0.002327,0.002545,0.002327,0.002526,"3,812,750","427,825,000"
bytecoin-bcn,"Apr 10, 2018",0.002140,0.002351,0.002094,0.002342,"4,360,270","393,396,000"
bytecoin-bcn,"Apr 09, 2018",0.002190,0.002293,0.002066,0.002114,"1,543,110","402,666,000"
bytecoin-bcn,"Apr 08, 2018",0.002120,0.002199,0.002120,0.002172,"378,934","389,687,000"
