Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
c-bit,"Jul 02, 2018",0.000808,0.000829,0.000525,0.000724,110,"127,332"
c-bit,"Jul 01, 2018",0.000579,0.000873,0.000579,0.000808,884,"91,287"
c-bit,"Jun 30, 2018",0.000975,0.001016,0.000066,0.000579,"1,014","153,696"
c-bit,"Jun 29, 2018",0.000822,0.000990,0.000588,0.000974,"1,043","129,503"
c-bit,"Jun 28, 2018",0.000830,0.000857,0.000787,0.000821,45,"130,867"
c-bit,"Jun 27, 2018",0.000970,0.000975,0.000810,0.000830,71,"152,839"
c-bit,"Jun 26, 2018",0.000937,0.000994,0.000869,0.000970,208,"147,729"
c-bit,"Jun 25, 2018",0.000779,0.000942,0.000776,0.000937,78,"122,859"
c-bit,"Jun 24, 2018",0.000786,0.000814,0.000713,0.000781,50,"123,965"
c-bit,"Jun 23, 2018",0.000847,0.000861,0.000674,0.000787,55,"133,552"
c-bit,"Jun 22, 2018",0.001007,0.001009,0.000832,0.000847,32,"158,759"
c-bit,"Jun 21, 2018",0.000896,0.001015,0.000885,0.001008,15,"141,233"
c-bit,"Jun 20, 2018",0.001011,0.001012,0.000860,0.000896,15,"159,301"
c-bit,"Jun 19, 2018",0.000957,0.001073,0.000870,0.001004,382,"150,773"
c-bit,"Jun 18, 2018",0.000739,0.001003,0.000734,0.001003,141,"116,490"
c-bit,"Jun 17, 2018",0.000943,0.000967,0.000739,0.000742,303,"148,570"
c-bit,"Jun 16, 2018",0.000962,0.000966,0.000868,0.000940,493,"151,703"
c-bit,"Jun 15, 2018",0.001063,0.001064,0.000961,0.000966,122,"167,556"
c-bit,"Jun 14, 2018",0.001011,0.001104,0.001009,0.001065,326,"159,376"
c-bit,"Jun 13, 2018",0.000987,0.001039,0.000966,0.001012,47,"155,648"
c-bit,"Jun 12, 2018",0.001168,0.001168,0.000976,0.000985,389,"184,126"
c-bit,"Jun 11, 2018",0.000916,0.001175,0.000909,0.001169,375,"144,362"
c-bit,"Jun 10, 2018",0.001077,0.001077,0.000880,0.000915,264,"169,817"
c-bit,"Jun 09, 2018",0.001086,0.001222,0.001076,0.001076,190,"171,136"
c-bit,"Jun 08, 2018",0.001029,0.001608,0.000900,0.001086,768,"162,151"
c-bit,"Jun 07, 2018",0.000751,0.001630,0.000751,0.001028,"1,741","118,375"
c-bit,"Jun 06, 2018",0.001349,0.001374,0.000705,0.000750,"1,192","212,627"
c-bit,"Jun 05, 2018",0.001191,0.001350,0.000908,0.001349,606,"187,754"
c-bit,"Jun 04, 2018",0.001311,0.001356,0.001189,0.001191,378,"206,571"
c-bit,"Jun 03, 2018",0.001298,0.001468,0.001292,0.001310,192,"204,586"
c-bit,"Jun 02, 2018",0.001273,0.001452,0.001219,0.001298,391,"200,671"
c-bit,"Jun 01, 2018",0.001207,0.001347,0.001190,0.001274,137,"190,175"
c-bit,"May 31, 2018",0.001181,0.001355,0.001034,0.001206,"1,258","186,192"
c-bit,"May 30, 2018",0.001188,0.001460,0.001158,0.001181,"1,403","187,206"
c-bit,"May 29, 2018",0.001147,0.001355,0.001141,0.001187,246,"180,827"
c-bit,"May 28, 2018",0.001322,0.001516,0.001075,0.001148,978,"208,408"
c-bit,"May 27, 2018",0.001174,0.001325,0.001157,0.001322,382,"184,992"
c-bit,"May 26, 2018",0.001165,0.001284,0.001094,0.001173,107,"183,628"
c-bit,"May 25, 2018",0.001269,0.001338,0.001120,0.001166,44,"199,962"
c-bit,"May 24, 2018",0.001354,0.001374,0.001020,0.001266,186,"213,349"
c-bit,"May 23, 2018",0.001460,0.001464,0.001199,0.001357,152,"230,058"
c-bit,"May 22, 2018",0.001506,0.001577,0.001381,0.001461,205,"237,458"
c-bit,"May 21, 2018",0.001448,0.001589,0.001417,0.001507,327,"228,298"
c-bit,"May 20, 2018",0.001319,0.001610,0.001275,0.001447,"1,132","207,951"
c-bit,"May 19, 2018",0.001238,0.001333,0.001146,0.001318,421,"195,096"
c-bit,"May 18, 2018",0.001131,0.001302,0.001114,0.001238,226,"178,298"
c-bit,"May 17, 2018",0.001502,0.001510,0.000837,0.001130,"2,154","236,720"
c-bit,"May 16, 2018",0.001611,0.001612,0.001174,0.001501,644,"253,960"
c-bit,"May 15, 2018",0.001561,0.001625,0.001359,0.001612,199,"246,118"
