Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cabbage,"Jul 02, 2018",0.002539,0.002906,0.002512,0.002841,416,"26,656"
cabbage,"Jul 01, 2018",0.002555,0.002569,0.002514,0.002538,60,"26,827"
cabbage,"Jun 30, 2018",0.002296,0.002683,0.002296,0.002554,217,"24,106"
cabbage,"Jun 29, 2018",0.002171,0.002647,0.002147,0.002293,52,"22,799"
cabbage,"Jun 28, 2018",0.002270,0.002276,0.002158,0.002170,19,"23,830"
cabbage,"Jun 27, 2018",0.002371,0.002575,0.002205,0.002269,340,"24,899"
cabbage,"Jun 26, 2018",0.002499,0.002791,0.002370,0.002372,249,"26,242"
cabbage,"Jun 25, 2018",0.002399,0.002708,0.002389,0.002499,54,"25,187"
cabbage,"Jun 24, 2018",0.002590,0.002668,0.002253,0.002403,180,"27,195"
cabbage,"Jun 23, 2018",0.002421,0.002644,0.002332,0.002590,274,"25,418"
cabbage,"Jun 22, 2018",0.002686,0.002758,0.002382,0.002420,395,"28,201"
cabbage,"Jun 21, 2018",0.002701,0.002846,0.002678,0.002689,692,"28,356"
cabbage,"Jun 20, 2018",0.003377,0.003648,0.002642,0.002700,483,"35,464"
cabbage,"Jun 19, 2018",0.003365,0.004244,0.002550,0.003375,"2,257","35,334"
cabbage,"Jun 18, 2018",0.007773,0.008043,0.001938,0.003434,"7,356","81,612"
cabbage,"Jun 17, 2018",0.012534,0.012862,0.006554,0.007799,"5,300","131,603"
cabbage,"Jun 16, 2018",0.021321,0.023528,0.012761,0.012761,"6,488","223,873"
cabbage,"Jun 15, 2018",0.024515,0.032236,0.020258,0.021335,"5,462","257,412"
cabbage,"Jun 14, 2018",0.024646,0.027760,0.020293,0.024556,"3,620","258,779"
cabbage,"Jun 13, 2018",0.027583,0.027583,0.021698,0.024657,"5,178","289,619"
cabbage,"Jun 12, 2018",0.027068,0.030497,0.024766,0.027512,"3,902","284,214"
cabbage,"Jun 11, 2018",0.026221,0.030507,0.020582,0.025497,"9,910","275,316"
cabbage,"Jun 10, 2018",0.042706,0.045886,0.023901,0.026048,"15,471","448,409"
cabbage,"Jun 09, 2018",0.049576,0.049616,0.041879,0.043102,"24,957","520,550"
cabbage,"Jun 08, 2018",0.050167,0.054380,0.047507,0.049598,"88,151","526,752"
cabbage,"Jun 07, 2018",0.049922,0.051685,0.048035,0.050129,"14,039","524,181"
cabbage,"Jun 06, 2018",0.052910,0.055465,0.047606,0.049876,"66,766","555,553"
cabbage,"Jun 05, 2018",0.050115,0.053183,0.048187,0.051475,"134,462","526,212"
cabbage,"Jun 04, 2018",0.050879,0.054469,0.048756,0.050091,"45,237","534,227"
cabbage,"Jun 03, 2018",0.054284,0.055817,0.049679,0.053013,"82,806","569,979"
cabbage,"Jun 02, 2018",0.046002,0.056572,0.044487,0.054574,"28,931","483,018"
cabbage,"Jun 01, 2018",0.048246,0.049295,0.038572,0.046022,"12,476","506,584"
cabbage,"May 31, 2018",0.045625,0.049504,0.042508,0.048361,"12,298","479,061"
cabbage,"May 30, 2018",0.040309,0.049098,0.040164,0.045633,"18,898","423,243"
cabbage,"May 29, 2018",0.033884,0.041267,0.032638,0.040207,"10,805","355,783"
cabbage,"May 28, 2018",0.037388,0.038539,0.027211,0.033895,"4,608","392,575"
