Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cannabiscoin,"Jul 02, 2018",0.021669,0.023286,0.020830,0.022837,"8,882","1,673,520"
cannabiscoin,"Jul 01, 2018",0.020447,0.021894,0.020063,0.021870,"5,465","1,579,120"
cannabiscoin,"Jun 30, 2018",0.019971,0.020799,0.018997,0.020442,"6,869","1,542,380"
cannabiscoin,"Jun 29, 2018",0.021549,0.022731,0.018849,0.019944,"13,818","1,664,290"
cannabiscoin,"Jun 28, 2018",0.019904,0.022246,0.019795,0.021944,"12,826","1,537,240"
cannabiscoin,"Jun 27, 2018",0.022399,0.022559,0.019221,0.019897,"7,529","1,729,920"
cannabiscoin,"Jun 26, 2018",0.022624,0.023644,0.022059,0.022408,"7,723","1,747,280"
cannabiscoin,"Jun 25, 2018",0.023567,0.023659,0.021354,0.022624,"17,569","1,820,080"
cannabiscoin,"Jun 24, 2018",0.022090,0.024086,0.021020,0.023612,"15,755","1,706,030"
cannabiscoin,"Jun 23, 2018",0.023518,0.024607,0.021644,0.022093,"4,311","1,816,350"
cannabiscoin,"Jun 22, 2018",0.023344,0.025087,0.022286,0.023512,"18,742","1,802,900"
cannabiscoin,"Jun 21, 2018",0.023901,0.024219,0.022956,0.023370,"7,070","1,845,920"
cannabiscoin,"Jun 20, 2018",0.024243,0.025267,0.023110,0.023894,"13,627","1,872,330"
cannabiscoin,"Jun 19, 2018",0.026804,0.026855,0.023590,0.024216,"7,790","2,070,120"
cannabiscoin,"Jun 18, 2018",0.024215,0.027262,0.022259,0.026841,"8,015","1,870,120"
cannabiscoin,"Jun 17, 2018",0.022798,0.026573,0.022583,0.024292,"4,672","1,760,730"
cannabiscoin,"Jun 16, 2018",0.024535,0.024617,0.022066,0.022738,"2,852","1,894,830"
cannabiscoin,"Jun 15, 2018",0.026461,0.026768,0.024496,0.024624,"4,558","2,043,580"
cannabiscoin,"Jun 14, 2018",0.025216,0.027479,0.025216,0.026504,"9,381","1,947,500"
cannabiscoin,"Jun 13, 2018",0.028319,0.029145,0.024140,0.025228,"34,949","2,187,130"
cannabiscoin,"Jun 12, 2018",0.027946,0.030768,0.027727,0.028256,"16,746","2,158,320"
cannabiscoin,"Jun 11, 2018",0.026593,0.028457,0.026446,0.027960,"13,825","2,053,810"
cannabiscoin,"Jun 10, 2018",0.030889,0.031350,0.024784,0.026561,"15,892","2,385,630"
cannabiscoin,"Jun 09, 2018",0.032345,0.032704,0.030850,0.030850,"15,036","2,498,020"
cannabiscoin,"Jun 08, 2018",0.033371,0.033834,0.031533,0.032017,"24,137","2,577,270"
cannabiscoin,"Jun 07, 2018",0.031526,0.034694,0.030981,0.033150,"28,330","2,434,820"
cannabiscoin,"Jun 06, 2018",0.035093,0.035561,0.030775,0.030775,"17,961","2,710,270"
cannabiscoin,"Jun 05, 2018",0.033801,0.036387,0.032512,0.035156,"20,911","2,610,530"
cannabiscoin,"Jun 04, 2018",0.036444,0.036534,0.033768,0.033783,"15,783","2,814,640"
cannabiscoin,"Jun 03, 2018",0.037155,0.037770,0.035185,0.036743,"27,323","2,869,500"
cannabiscoin,"Jun 02, 2018",0.030208,0.037166,0.029870,0.037136,"25,078","2,332,980"
cannabiscoin,"Jun 01, 2018",0.033936,0.034071,0.027011,0.030221,"12,732","2,620,950"
cannabiscoin,"May 31, 2018",0.033202,0.035135,0.032921,0.033912,"15,808","2,564,220"
cannabiscoin,"May 30, 2018",0.034852,0.036688,0.032790,0.033209,"15,490","2,691,670"
cannabiscoin,"May 29, 2018",0.032010,0.035124,0.030964,0.034828,"24,939","2,472,190"
cannabiscoin,"May 28, 2018",0.033396,0.034991,0.031463,0.032021,"30,454","2,579,240"
cannabiscoin,"May 27, 2018",0.035929,0.036001,0.033158,0.033397,"6,400","2,774,820"
cannabiscoin,"May 26, 2018",0.035386,0.036591,0.034631,0.035907,"14,443","2,732,910"
cannabiscoin,"May 25, 2018",0.039283,0.039996,0.034625,0.035764,"11,680","3,033,870"
cannabiscoin,"May 24, 2018",0.037492,0.041265,0.036204,0.039209,"34,879","2,895,530"
cannabiscoin,"May 23, 2018",0.040879,0.041136,0.037231,0.037587,"19,679","3,157,110"
cannabiscoin,"May 22, 2018",0.042255,0.044059,0.040925,0.040925,"26,076","3,263,390"
cannabiscoin,"May 21, 2018",0.043829,0.044970,0.042074,0.042216,"20,287","3,384,940"
cannabiscoin,"May 20, 2018",0.044116,0.046501,0.042811,0.043740,"17,700","3,407,160"
cannabiscoin,"May 19, 2018",0.043984,0.045193,0.043309,0.044060,"19,402","3,396,940"
cannabiscoin,"May 18, 2018",0.045430,0.045430,0.042985,0.043921,"43,113","3,508,610"
cannabiscoin,"May 17, 2018",0.046944,0.047638,0.044282,0.044796,"33,970","3,625,530"
cannabiscoin,"May 16, 2018",0.045894,0.047118,0.042735,0.046970,"43,024","3,544,440"
cannabiscoin,"May 15, 2018",0.049115,0.049993,0.045282,0.045920,"40,565","3,793,240"
cannabiscoin,"May 14, 2018",0.046987,0.051199,0.043916,0.049200,"57,612","3,628,850"
cannabiscoin,"May 13, 2018",0.046083,0.048216,0.045157,0.047000,"29,922","3,559,080"
cannabiscoin,"May 12, 2018",0.046954,0.048700,0.044890,0.045979,"24,486","3,626,270"
cannabiscoin,"May 11, 2018",0.052125,0.052125,0.046189,0.047092,"59,539","4,025,670"
cannabiscoin,"May 10, 2018",0.056390,0.056472,0.051582,0.052061,"41,490","4,355,040"
cannabiscoin,"May 09, 2018",0.058717,0.059376,0.055598,0.055850,"58,356","4,534,750"
cannabiscoin,"May 08, 2018",0.062269,0.062779,0.056215,0.058846,"109,475","4,809,120"
cannabiscoin,"May 07, 2018",0.061786,0.064045,0.058933,0.062137,"87,123","4,771,810"
cannabiscoin,"May 06, 2018",0.066002,0.066305,0.060595,0.061742,"38,089","5,097,400"
cannabiscoin,"May 05, 2018",0.064311,0.067020,0.063317,0.065957,"109,419","4,966,770"
cannabiscoin,"May 04, 2018",0.064527,0.066436,0.062555,0.064341,"88,625","4,983,500"
cannabiscoin,"May 03, 2018",0.062844,0.064956,0.060050,0.064552,"121,142","4,853,500"
cannabiscoin,"May 02, 2018",0.060804,0.063814,0.060438,0.063022,"103,923","4,695,970"
cannabiscoin,"May 01, 2018",0.063145,0.063145,0.057647,0.060566,"157,999","4,876,800"
cannabiscoin,"Apr 30, 2018",0.063978,0.066159,0.062404,0.063090,"93,591","4,941,110"
cannabiscoin,"Apr 29, 2018",0.062280,0.064931,0.060285,0.064000,"99,074","4,809,920"
cannabiscoin,"Apr 28, 2018",0.061636,0.064537,0.061284,0.063958,"152,850","4,760,230"
cannabiscoin,"Apr 27, 2018",0.065156,0.067801,0.061843,0.062268,"114,830","5,032,060"
cannabiscoin,"Apr 26, 2018",0.058768,0.065738,0.057359,0.065066,"128,981","4,538,740"
cannabiscoin,"Apr 25, 2018",0.069020,0.070561,0.057297,0.058285,"154,196","5,330,520"
cannabiscoin,"Apr 24, 2018",0.068939,0.072098,0.067402,0.071238,"171,200","5,324,250"
cannabiscoin,"Apr 23, 2018",0.060651,0.070417,0.060601,0.068797,"321,272","4,684,130"
cannabiscoin,"Apr 22, 2018",0.063217,0.066059,0.058741,0.060634,"112,204","4,882,310"
cannabiscoin,"Apr 21, 2018",0.065099,0.065099,0.058972,0.063986,"132,181","5,027,680"
cannabiscoin,"Apr 20, 2018",0.067121,0.068960,0.061728,0.065049,"302,099","5,183,860"
cannabiscoin,"Apr 19, 2018",0.059749,0.070176,0.058567,0.067077,"318,720","4,614,470"
cannabiscoin,"Apr 18, 2018",0.054637,0.061312,0.054130,0.059704,"139,586","4,219,700"
cannabiscoin,"Apr 17, 2018",0.056251,0.058766,0.054031,0.055281,"157,886","4,344,330"
cannabiscoin,"Apr 16, 2018",0.063154,0.064483,0.054553,0.055985,"175,406","4,877,430"
cannabiscoin,"Apr 15, 2018",0.055998,0.063390,0.055998,0.062481,"86,697","4,324,780"
cannabiscoin,"Apr 14, 2018",0.052724,0.058956,0.051785,0.055938,"98,130","4,071,910"
cannabiscoin,"Apr 13, 2018",0.052635,0.057015,0.051655,0.053161,"97,711","4,065,060"
cannabiscoin,"Apr 12, 2018",0.051375,0.053244,0.046596,0.053244,"189,812","3,967,790"
cannabiscoin,"Apr 11, 2018",0.042902,0.053300,0.042359,0.051500,"271,383","3,313,340"
cannabiscoin,"Apr 10, 2018",0.035680,0.044295,0.035220,0.042514,"205,251","2,755,600"
cannabiscoin,"Apr 09, 2018",0.035640,0.038384,0.033785,0.035517,"47,754","2,752,550"
cannabiscoin,"Apr 08, 2018",0.034623,0.036587,0.034573,0.035583,"30,011","2,674,000"
cannabiscoin,"Apr 07, 2018",0.032326,0.035805,0.032115,0.034528,"25,889","2,496,590"
cannabiscoin,"Apr 06, 2018",0.033441,0.035430,0.031572,0.032162,"26,678","2,582,680"
cannabiscoin,"Apr 05, 2018",0.033111,0.035257,0.031611,0.033612,"26,855","2,557,210"
cannabiscoin,"Apr 04, 2018",0.037877,0.040086,0.032796,0.033097,"53,171","2,925,270"
cannabiscoin,"Apr 03, 2018",0.033543,0.038226,0.033093,0.037893,"81,988","2,590,540"
cannabiscoin,"Apr 02, 2018",0.032825,0.034324,0.031970,0.033519,"19,449","2,535,090"
cannabiscoin,"Apr 01, 2018",0.032740,0.033430,0.029673,0.032664,"14,049","2,528,560"
cannabiscoin,"Mar 31, 2018",0.031244,0.034237,0.031244,0.032741,"19,708","2,412,990"
cannabiscoin,"Mar 30, 2018",0.034083,0.034445,0.030228,0.031420,"25,121","2,632,240"
cannabiscoin,"Mar 29, 2018",0.038954,0.039462,0.033755,0.034234,"16,808","3,008,470"
cannabiscoin,"Mar 28, 2018",0.038261,0.040938,0.037756,0.038908,"15,596","2,954,900"
cannabiscoin,"Mar 27, 2018",0.041161,0.041821,0.038294,0.038343,"25,937","3,178,920"
cannabiscoin,"Mar 26, 2018",0.043032,0.045988,0.040137,0.041223,"48,245","3,323,440"
cannabiscoin,"Mar 25, 2018",0.042667,0.044332,0.042403,0.043037,"37,904","3,295,260"
cannabiscoin,"Mar 24, 2018",0.045751,0.045994,0.043241,0.043263,"27,623","3,533,430"
cannabiscoin,"Mar 23, 2018",0.047797,0.048229,0.044272,0.045097,"25,013","3,691,460"
cannabiscoin,"Mar 22, 2018",0.051641,0.053336,0.046565,0.047788,"31,523","3,988,290"
cannabiscoin,"Mar 21, 2018",0.046480,0.053833,0.046410,0.051735,"70,252","3,589,740"
cannabiscoin,"Mar 20, 2018",0.046039,0.048803,0.043743,0.046849,"25,058","3,555,690"
cannabiscoin,"Mar 19, 2018",0.042479,0.046045,0.041576,0.045514,"38,806","3,280,680"
cannabiscoin,"Mar 18, 2018",0.043330,0.043417,0.037785,0.042375,"29,305","3,346,430"
cannabiscoin,"Mar 17, 2018",0.048321,0.048321,0.040670,0.043436,"41,203","3,731,850"
cannabiscoin,"Mar 16, 2018",0.047998,0.050908,0.046526,0.048376,"19,225","3,706,940"
cannabiscoin,"Mar 15, 2018",0.049113,0.050402,0.045118,0.048025,"34,709","3,793,080"
cannabiscoin,"Mar 14, 2018",0.056420,0.059253,0.048111,0.049130,"53,762","4,357,370"
cannabiscoin,"Mar 13, 2018",0.056862,0.061110,0.054535,0.057692,"50,081","4,391,540"
cannabiscoin,"Mar 12, 2018",0.057253,0.063017,0.054933,0.057190,"98,882","4,421,720"
cannabiscoin,"Mar 11, 2018",0.055025,0.059268,0.051711,0.057434,"51,523","4,249,690"
cannabiscoin,"Mar 10, 2018",0.060360,0.062860,0.054625,0.054625,"101,203","4,661,700"
cannabiscoin,"Mar 09, 2018",0.071516,0.072789,0.056626,0.059549,"201,634","5,523,280"
cannabiscoin,"Mar 08, 2018",0.065233,0.086591,0.064058,0.071972,"646,976","5,038,040"
cannabiscoin,"Mar 07, 2018",0.066972,0.074286,0.061377,0.065512,"123,466","5,172,320"
cannabiscoin,"Mar 06, 2018",0.071615,0.071620,0.064697,0.067839,"58,776","5,530,950"
cannabiscoin,"Mar 05, 2018",0.071833,0.073939,0.070262,0.071810,"46,046","5,547,750"
cannabiscoin,"Mar 04, 2018",0.072374,0.073946,0.069923,0.071926,"39,132","5,589,540"
cannabiscoin,"Mar 03, 2018",0.070768,0.077115,0.070768,0.072389,"65,343","5,465,520"
cannabiscoin,"Mar 02, 2018",0.072377,0.075860,0.068654,0.072266,"96,887","5,589,740"
cannabiscoin,"Mar 01, 2018",0.062104,0.075864,0.061811,0.073154,"102,432","4,796,350"
cannabiscoin,"Feb 28, 2018",0.069744,0.071285,0.061927,0.062012,"80,217","5,386,420"
cannabiscoin,"Feb 27, 2018",0.071931,0.074344,0.069521,0.070052,"42,882","5,555,310"
cannabiscoin,"Feb 26, 2018",0.066044,0.074356,0.064730,0.071785,"55,426","5,100,690"
cannabiscoin,"Feb 25, 2018",0.066232,0.068851,0.063850,0.066045,"35,213","5,115,140"
cannabiscoin,"Feb 24, 2018",0.072044,0.073876,0.064326,0.066349,"51,882","5,564,020"
cannabiscoin,"Feb 23, 2018",0.065212,0.075557,0.063687,0.072135,"58,449","5,036,410"
cannabiscoin,"Feb 22, 2018",0.074658,0.078382,0.064597,0.065273,"63,855","5,765,940"
cannabiscoin,"Feb 21, 2018",0.084527,0.085928,0.073820,0.075840,"59,521","6,528,090"
cannabiscoin,"Feb 20, 2018",0.097356,0.099751,0.083744,0.084989,"102,897","7,518,920"
cannabiscoin,"Feb 19, 2018",0.086688,0.096340,0.086331,0.096340,"87,460","6,695,000"
cannabiscoin,"Feb 18, 2018",0.100842,0.102619,0.086730,0.087087,"62,937","7,788,160"
cannabiscoin,"Feb 17, 2018",0.095803,0.104293,0.094293,0.100542,"85,877","7,399,020"
cannabiscoin,"Feb 16, 2018",0.098225,0.101948,0.092694,0.094980,"122,671","7,586,050"
cannabiscoin,"Feb 15, 2018",0.090532,0.102264,0.086606,0.099570,"202,004","6,991,870"
cannabiscoin,"Feb 14, 2018",0.078334,0.088388,0.078334,0.087744,"96,649","6,049,800"
cannabiscoin,"Feb 13, 2018",0.085472,0.087392,0.076969,0.078493,"59,128","6,601,140"
cannabiscoin,"Feb 12, 2018",0.081296,0.088503,0.081296,0.087197,"56,362","6,278,580"
cannabiscoin,"Feb 11, 2018",0.090986,0.090986,0.079434,0.081148,"59,760","7,026,940"
cannabiscoin,"Feb 10, 2018",0.086170,0.099829,0.084757,0.091064,"275,776","6,655,040"
cannabiscoin,"Feb 09, 2018",0.084857,0.086613,0.078872,0.086108,"91,207","6,553,640"
cannabiscoin,"Feb 08, 2018",0.072573,0.087515,0.072573,0.084598,"202,258","5,604,930"
cannabiscoin,"Feb 07, 2018",0.067358,0.087631,0.063996,0.073083,"356,801","5,202,160"
cannabiscoin,"Feb 06, 2018",0.058687,0.069902,0.049706,0.068963,"102,056","4,532,460"
cannabiscoin,"Feb 05, 2018",0.075583,0.077313,0.055675,0.059135,"114,755","5,837,350"
cannabiscoin,"Feb 04, 2018",0.089617,0.093651,0.072524,0.077809,"83,935","6,921,260"
cannabiscoin,"Feb 03, 2018",0.086379,0.096600,0.076185,0.089571,"173,103","6,671,140"
cannabiscoin,"Feb 02, 2018",0.087770,0.095298,0.070692,0.085922,"297,551","6,778,610"
cannabiscoin,"Feb 01, 2018",0.107946,0.112282,0.083553,0.087867,"137,465","8,336,800"
cannabiscoin,"Jan 31, 2018",0.108015,0.117767,0.099707,0.107614,"207,386","8,342,130"
cannabiscoin,"Jan 30, 2018",0.135232,0.138298,0.108958,0.111493,"222,876","10,444,100"
