Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cannation,"Jul 02, 2018",0.007997,0.010438,0.007134,0.010373,84,"19,807"
cannation,"Jul 01, 2018",0.007218,0.010023,0.007156,0.007996,162,"17,877"
cannation,"Jun 30, 2018",0.008004,0.008341,0.007142,0.007216,7,"19,826"
cannation,"Jun 29, 2018",0.007570,0.008131,0.007484,0.007993,4,"18,751"
cannation,"Jun 28, 2018",0.006809,0.007889,0.006753,0.007566,4,"16,864"
cannation,"Jun 27, 2018",0.006749,0.006839,0.006677,0.006806,3,"16,717"
cannation,"Jun 26, 2018",0.007498,0.008101,0.006746,0.006752,97,"18,571"
cannation,"Jun 25, 2018",0.006704,0.007579,0.006676,0.007498,2,"16,606"
cannation,"Jun 24, 2018",0.006598,0.007508,0.006236,0.006717,5,"16,343"
cannation,"Jun 23, 2018",0.006415,0.007371,0.006404,0.006599,63,"15,889"
cannation,"Jun 22, 2018",0.007665,0.007673,0.006302,0.006414,7,"18,986"
cannation,"Jun 21, 2018",0.007224,0.007256,0.007208,0.007237,17,"17,893"
cannation,"Jun 20, 2018",0.007363,0.007961,0.007066,0.007223,20,"18,237"
cannation,"Jun 19, 2018",0.009134,0.009158,0.007103,0.007358,19,"22,625"
cannation,"Jun 18, 2018",0.007099,0.009433,0.007047,0.009139,11,"17,584"
cannation,"Jun 17, 2018",0.007442,0.008200,0.006590,0.007123,54,"18,433"
cannation,"Jun 16, 2018",0.007561,0.007625,0.006480,0.007422,103,"18,728"
cannation,"Jun 15, 2018",0.008746,0.008756,0.007540,0.007589,98,"21,663"
cannation,"Jun 14, 2018",0.007803,0.009141,0.007787,0.008760,32,"19,328"
cannation,"Jun 13, 2018",0.009595,0.009778,0.007740,0.007807,226,"23,766"
cannation,"Jun 12, 2018",0.010949,0.011099,0.009517,0.009570,"1,973","27,119"
cannation,"Jun 11, 2018",0.009502,0.011749,0.002861,0.010955,"2,503","23,535"
cannation,"Jun 10, 2018",0.010571,0.013204,0.009293,0.009488,"5,479","26,183"
cannation,"Jun 09, 2018",0.010210,0.013194,0.010207,0.010558,46,"25,289"
cannation,"Jun 08, 2018",0.011447,0.011480,0.010014,0.010214,34,"28,353"
cannation,"Jun 07, 2018",0.011403,0.011539,0.010920,0.011438,8,"28,245"
cannation,"Jun 06, 2018",0.012172,0.012202,0.010340,0.011393,65,"30,150"
cannation,"Jun 05, 2018",0.010518,0.013753,0.010467,0.012176,40,"26,052"
cannation,"Jun 04, 2018",0.010620,0.012768,0.010394,0.010513,281,"26,306"
cannation,"Jun 03, 2018",0.011427,0.012241,0.010429,0.010616,60,"28,303"
cannation,"Jun 02, 2018",0.010431,0.012386,0.010338,0.011424,25,"25,836"
cannation,"Jun 01, 2018",0.010591,0.011649,0.010543,0.010959,92,"26,232"
cannation,"May 31, 2018",0.011466,0.012028,0.011297,0.011361,2,"28,401"
cannation,"May 30, 2018",0.011639,0.012645,0.011354,0.011468,14,"28,829"
cannation,"May 29, 2018",0.011211,0.012780,0.010216,0.011631,30,"27,767"
cannation,"May 28, 2018",0.011938,0.012512,0.010009,0.011214,169,"29,569"
cannation,"May 27, 2018",0.012280,0.012495,0.011848,0.011935,61,"30,416"
cannation,"May 26, 2018",0.014189,0.014478,0.009976,0.012275,324,"35,145"
cannation,"May 25, 2018",0.015275,0.015393,0.014054,0.014208,32,"37,835"
cannation,"May 24, 2018",0.014859,0.017310,0.014394,0.015247,151,"36,803"
cannation,"May 23, 2018",0.018084,0.018136,0.013948,0.014896,325,"44,792"
cannation,"May 22, 2018",0.017250,0.020886,0.016907,0.018103,253,"42,726"
cannation,"May 21, 2018",0.017818,0.017885,0.016987,0.017253,356,"44,134"
cannation,"May 20, 2018",0.017413,0.018887,0.017300,0.017796,182,"43,129"
cannation,"May 19, 2018",0.020022,0.020245,0.017338,0.017400,287,"49,592"
cannation,"May 18, 2018",0.016575,0.024592,0.016330,0.020025,"1,095","41,055"
cannation,"May 17, 2018",0.018296,0.018890,0.016466,0.016561,272,"45,317"
cannation,"May 16, 2018",0.021059,0.021233,0.018075,0.018285,147,"52,161"
cannation,"May 15, 2018",0.021319,0.021615,0.020528,0.021071,180,"52,804"
cannation,"May 14, 2018",0.023226,0.024133,0.021227,0.021355,732,"57,529"
cannation,"May 13, 2018",0.021198,0.025227,0.020712,0.023231,669,"52,505"
cannation,"May 12, 2018",0.020407,0.028494,0.020403,0.021205,"1,300","50,546"
cannation,"May 11, 2018",0.021245,0.024295,0.020328,0.020467,498,"52,621"
cannation,"May 10, 2018",0.022224,0.022926,0.021199,0.021219,279,"55,046"
cannation,"May 09, 2018",0.025379,0.029997,0.019870,0.022230,572,"62,860"
cannation,"May 08, 2018",0.021654,0.029256,0.019513,0.025417,875,"53,635"
cannation,"May 07, 2018",0.034235,0.035095,0.021107,0.021608,"6,982","84,795"
cannation,"May 06, 2018",0.040091,0.057683,0.033718,0.034210,"9,993","99,300"
cannation,"May 05, 2018",0.039348,0.041495,0.037824,0.040064,974,"97,462"
cannation,"May 04, 2018",0.039108,0.041020,0.038368,0.039367,96,"96,867"
cannation,"May 03, 2018",0.036552,0.045128,0.035835,0.039124,"1,779","90,536"
cannation,"May 02, 2018",0.036192,0.039641,0.035773,0.036551,543,"89,642"
cannation,"May 01, 2018",0.036288,0.039212,0.035008,0.036246,"3,073","89,881"
cannation,"Apr 30, 2018",0.032154,0.036747,0.031241,0.036256,218,"79,643"
cannation,"Apr 29, 2018",0.034243,0.035161,0.031781,0.032165,155,"84,815"
cannation,"Apr 28, 2018",0.033934,0.039495,0.033529,0.034256,33,"84,051"
cannation,"Apr 27, 2018",0.036638,0.036638,0.029693,0.034051,"1,290","90,748"
cannation,"Apr 26, 2018",0.032487,0.036669,0.031224,0.036587,108,"80,466"
cannation,"Apr 25, 2018",0.035841,0.036015,0.031225,0.032220,176,"88,775"
cannation,"Apr 24, 2018",0.035256,0.037695,0.034818,0.036087,889,"87,325"
cannation,"Apr 23, 2018",0.035138,0.036401,0.032555,0.035226,269,"87,032"
cannation,"Apr 22, 2018",0.033351,0.050143,0.032002,0.035208,"1,257","82,607"
cannation,"Apr 21, 2018",0.032107,0.033351,0.031688,0.033351,111,"79,527"
cannation,"Apr 20, 2018",0.030826,0.034650,0.028688,0.032097,"7,496","76,352"
cannation,"Apr 19, 2018",0.028679,0.032913,0.028446,0.030805,398,"71,035"
cannation,"Apr 18, 2018",0.032157,0.033414,0.027544,0.028658,605,"79,649"
cannation,"Apr 17, 2018",0.027391,0.033561,0.027183,0.032127,121,"67,845"
