Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cappasity,"Jul 02, 2018",0.017556,0.019072,0.017347,0.018500,"378,983","8,023,850"
cappasity,"Jul 01, 2018",0.017542,0.017858,0.017237,0.017495,"336,421","8,017,080"
cappasity,"Jun 30, 2018",0.017004,0.018334,0.017004,0.017487,"255,718","7,771,570"
cappasity,"Jun 29, 2018",0.016227,0.017279,0.015546,0.016950,"198,713","7,416,310"
cappasity,"Jun 28, 2018",0.016752,0.017491,0.016084,0.016211,"268,092","7,656,330"
cappasity,"Jun 27, 2018",0.016401,0.017853,0.016153,0.016755,"247,262","7,495,900"
cappasity,"Jun 26, 2018",0.017428,0.017873,0.016850,0.016862,"274,773","7,965,280"
cappasity,"Jun 25, 2018",0.019157,0.019416,0.016361,0.017473,"378,881","8,755,220"
cappasity,"Jun 24, 2018",0.020192,0.020266,0.016029,0.016804,"339,304","9,228,170"
cappasity,"Jun 23, 2018",0.019666,0.022406,0.018778,0.019923,"347,025","8,987,940"
cappasity,"Jun 22, 2018",0.022293,0.022498,0.019321,0.019660,"369,166","10,188,600"
cappasity,"Jun 21, 2018",0.022504,0.022877,0.022200,0.022316,"277,448","10,283,800"
cappasity,"Jun 20, 2018",0.023630,0.024232,0.022217,0.022502,"344,046","10,798,600"
cappasity,"Jun 19, 2018",0.023310,0.025117,0.022903,0.023672,"441,221","10,652,200"
cappasity,"Jun 18, 2018",0.023337,0.024567,0.022949,0.023375,"507,835","10,664,800"
cappasity,"Jun 17, 2018",0.023773,0.024173,0.023358,0.023526,"479,094","10,864,000"
cappasity,"Jun 16, 2018",0.023832,0.024276,0.023287,0.023717,"475,586","10,890,700"
cappasity,"Jun 15, 2018",0.024736,0.025818,0.023735,0.023918,"517,809","11,303,700"
cappasity,"Jun 14, 2018",0.023834,0.025224,0.023465,0.024772,"617,934","10,891,700"
cappasity,"Jun 13, 2018",0.025937,0.025966,0.022530,0.023843,"450,482","11,852,700"
cappasity,"Jun 12, 2018",0.027351,0.027945,0.025391,0.025870,"465,330","12,499,000"
cappasity,"Jun 11, 2018",0.027455,0.027724,0.025397,0.027366,"503,928","12,546,300"
cappasity,"Jun 10, 2018",0.032351,0.032351,0.026788,0.027415,"540,590","14,317,100"
cappasity,"Jun 09, 2018",0.034169,0.034350,0.032384,0.032384,"627,154","14,953,100"
cappasity,"Jun 08, 2018",0.034820,0.034820,0.032893,0.034257,"589,668","15,237,800"
cappasity,"Jun 07, 2018",0.036042,0.037025,0.033564,0.034793,"662,915","15,772,500"
cappasity,"Jun 06, 2018",0.032934,0.036424,0.032731,0.035954,"600,738","14,412,400"
