Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cardano,"Jul 02, 2018",0.142591,0.161936,0.138639,0.158278,"161,860,000","3,696,970,000"
cardano,"Jul 01, 2018",0.138264,0.145731,0.133866,0.142208,"108,733,000","3,584,780,000"
cardano,"Jun 30, 2018",0.126036,0.138372,0.126036,0.137671,"104,599,000","3,267,740,000"
cardano,"Jun 29, 2018",0.119397,0.127436,0.114674,0.125720,"65,802,200","3,095,610,000"
cardano,"Jun 28, 2018",0.127393,0.128503,0.118498,0.119320,"42,250,100","3,302,930,000"
cardano,"Jun 27, 2018",0.126551,0.128000,0.123925,0.127444,"37,072,400","3,281,100,000"
cardano,"Jun 26, 2018",0.135623,0.136055,0.126099,0.126099,"32,927,500","3,516,300,000"
cardano,"Jun 25, 2018",0.132321,0.138254,0.128556,0.135269,"57,752,100","3,430,700,000"
cardano,"Jun 24, 2018",0.138355,0.138592,0.121962,0.132703,"73,037,500","3,587,150,000"
cardano,"Jun 23, 2018",0.140334,0.143279,0.134852,0.137868,"38,721,800","3,638,460,000"
cardano,"Jun 22, 2018",0.158460,0.159019,0.137429,0.139839,"79,062,000","4,108,400,000"
cardano,"Jun 21, 2018",0.162051,0.163757,0.157551,0.158556,"41,237,700","4,201,520,000"
cardano,"Jun 20, 2018",0.166781,0.167331,0.156797,0.161985,"83,625,600","4,324,140,000"
cardano,"Jun 19, 2018",0.164702,0.169903,0.162117,0.167185,"69,854,400","4,270,250,000"
cardano,"Jun 18, 2018",0.161122,0.167511,0.156708,0.164117,"55,507,800","4,177,410,000"
cardano,"Jun 17, 2018",0.163137,0.164477,0.161027,0.161380,"35,748,800","4,229,670,000"
cardano,"Jun 16, 2018",0.162741,0.164628,0.159856,0.162962,"42,213,400","4,219,390,000"
cardano,"Jun 15, 2018",0.172218,0.172218,0.161929,0.162747,"73,950,500","4,465,100,000"
cardano,"Jun 14, 2018",0.160250,0.176521,0.155369,0.172375,"199,562,000","4,154,810,000"
cardano,"Jun 13, 2018",0.166136,0.166818,0.151204,0.160408,"99,731,600","4,307,430,000"
cardano,"Jun 12, 2018",0.181348,0.182888,0.162788,0.166585,"82,885,900","4,701,810,000"
cardano,"Jun 11, 2018",0.176262,0.181937,0.167893,0.181280,"89,350,700","4,569,960,000"
cardano,"Jun 10, 2018",0.201517,0.201517,0.171129,0.176868,"137,836,000","5,224,740,000"
cardano,"Jun 09, 2018",0.205260,0.209668,0.202091,0.202091,"51,481,400","5,321,790,000"
cardano,"Jun 08, 2018",0.210831,0.210841,0.202634,0.205358,"68,728,600","5,466,230,000"
cardano,"Jun 07, 2018",0.216105,0.219351,0.209573,0.211119,"76,949,400","5,602,970,000"
cardano,"Jun 06, 2018",0.220565,0.220862,0.210708,0.215721,"84,766,300","5,718,610,000"
cardano,"Jun 05, 2018",0.214247,0.221728,0.204815,0.220467,"119,846,000","5,554,790,000"
cardano,"Jun 04, 2018",0.228155,0.231228,0.212290,0.214012,"115,605,000","5,915,400,000"
cardano,"Jun 03, 2018",0.227700,0.236761,0.225118,0.228154,"117,208,000","5,903,600,000"
cardano,"Jun 02, 2018",0.222701,0.229531,0.219242,0.227742,"116,435,000","5,773,980,000"
cardano,"Jun 01, 2018",0.224533,0.229184,0.216955,0.222507,"130,538,000","5,821,490,000"
cardano,"May 31, 2018",0.210393,0.230057,0.206205,0.225214,"202,076,000","5,454,880,000"
cardano,"May 30, 2018",0.203685,0.218023,0.201184,0.211143,"222,612,000","5,280,970,000"
cardano,"May 29, 2018",0.175475,0.208739,0.174153,0.203190,"185,184,000","4,549,560,000"
cardano,"May 28, 2018",0.193696,0.194977,0.174002,0.174783,"95,106,200","5,021,960,000"
cardano,"May 27, 2018",0.196354,0.196436,0.192322,0.193557,"58,991,000","5,090,880,000"
cardano,"May 26, 2018",0.199761,0.205492,0.195895,0.196567,"60,616,400","5,179,210,000"
cardano,"May 25, 2018",0.209060,0.210636,0.197320,0.200655,"83,368,000","5,420,310,000"
cardano,"May 24, 2018",0.203324,0.213302,0.193109,0.208989,"127,678,000","5,271,600,000"
cardano,"May 23, 2018",0.224393,0.226150,0.198798,0.202873,"124,268,000","5,817,850,000"
cardano,"May 22, 2018",0.249397,0.250076,0.223408,0.224408,"78,363,300","6,466,140,000"
cardano,"May 21, 2018",0.256130,0.261169,0.247134,0.248840,"85,090,300","6,640,710,000"
cardano,"May 20, 2018",0.243143,0.260785,0.240974,0.256136,"101,310,000","6,303,990,000"
cardano,"May 19, 2018",0.246199,0.248354,0.238934,0.243271,"57,778,000","6,383,220,000"
cardano,"May 18, 2018",0.242816,0.246809,0.234781,0.245544,"79,212,200","6,295,510,000"
cardano,"May 17, 2018",0.257352,0.263111,0.242194,0.243664,"83,683,800","6,672,380,000"
cardano,"May 16, 2018",0.259082,0.260186,0.243720,0.256375,"108,749,000","6,717,230,000"
cardano,"May 15, 2018",0.274269,0.278760,0.257697,0.260155,"97,408,800","7,110,990,000"
cardano,"May 14, 2018",0.285852,0.286088,0.261086,0.273434,"161,643,000","7,411,300,000"
cardano,"May 13, 2018",0.271640,0.290151,0.264361,0.285890,"179,522,000","7,042,820,000"
cardano,"May 12, 2018",0.262649,0.283410,0.241278,0.270932,"255,481,000","6,809,730,000"
cardano,"May 11, 2018",0.296797,0.299462,0.248137,0.260127,"348,752,000","7,695,080,000"
cardano,"May 10, 2018",0.323879,0.327908,0.296317,0.297089,"122,958,000","8,397,220,000"
cardano,"May 09, 2018",0.328426,0.328426,0.304458,0.323593,"178,122,000","8,515,120,000"
cardano,"May 08, 2018",0.335595,0.348219,0.323071,0.328352,"142,455,000","8,700,990,000"
cardano,"May 07, 2018",0.349948,0.349948,0.323506,0.335176,"171,385,000","9,073,140,000"
cardano,"May 06, 2018",0.365933,0.365933,0.341467,0.350021,"148,186,000","9,487,570,000"
cardano,"May 05, 2018",0.361318,0.373605,0.360962,0.366338,"139,447,000","9,367,930,000"
cardano,"May 04, 2018",0.370777,0.370777,0.350842,0.360182,"171,266,000","9,613,160,000"
cardano,"May 03, 2018",0.371926,0.389749,0.368789,0.369709,"300,814,000","9,642,940,000"
cardano,"May 02, 2018",0.357602,0.376704,0.349324,0.372420,"272,855,000","9,271,580,000"
cardano,"May 01, 2018",0.342953,0.363261,0.323701,0.358693,"365,522,000","8,891,770,000"
cardano,"Apr 30, 2018",0.364297,0.364297,0.336625,0.343318,"298,712,000","9,445,160,000"
cardano,"Apr 29, 2018",0.360670,0.387901,0.347508,0.365057,"671,887,000","9,351,120,000"
cardano,"Apr 28, 2018",0.287130,0.364954,0.287130,0.357874,"636,742,000","7,444,430,000"
cardano,"Apr 27, 2018",0.294589,0.307469,0.287786,0.288489,"197,183,000","7,637,830,000"
cardano,"Apr 26, 2018",0.270795,0.294972,0.259865,0.294295,"220,715,000","7,020,930,000"
cardano,"Apr 25, 2018",0.312805,0.312805,0.265164,0.271654,"351,596,000","8,110,120,000"
cardano,"Apr 24, 2018",0.288539,0.318699,0.287331,0.312875,"369,017,000","7,480,970,000"
cardano,"Apr 23, 2018",0.285558,0.289623,0.283558,0.288473,"127,213,000","7,403,680,000"
cardano,"Apr 22, 2018",0.287488,0.296879,0.280765,0.285535,"160,968,000","7,453,720,000"
cardano,"Apr 21, 2018",0.302292,0.307552,0.272684,0.290580,"294,633,000","7,837,560,000"
cardano,"Apr 20, 2018",0.270986,0.301641,0.269697,0.301247,"349,349,000","7,025,860,000"
cardano,"Apr 19, 2018",0.267493,0.273836,0.260818,0.272358,"240,910,000","6,935,310,000"
cardano,"Apr 18, 2018",0.242734,0.262368,0.242734,0.260341,"181,118,000","6,293,390,000"
cardano,"Apr 17, 2018",0.255090,0.272641,0.242771,0.243724,"520,975,000","6,613,730,000"
cardano,"Apr 16, 2018",0.221889,0.256646,0.211808,0.256646,"678,781,000","5,752,930,000"
cardano,"Apr 15, 2018",0.201389,0.223444,0.199940,0.221390,"169,798,000","5,221,430,000"
cardano,"Apr 14, 2018",0.198675,0.206495,0.194708,0.200853,"113,212,000","5,151,050,000"
cardano,"Apr 13, 2018",0.211632,0.218382,0.196567,0.200532,"230,413,000","5,487,000,000"
cardano,"Apr 12, 2018",0.166757,0.214525,0.164530,0.212233,"488,007,000","4,323,520,000"
cardano,"Apr 11, 2018",0.156761,0.166431,0.154079,0.166029,"91,793,300","4,064,350,000"
cardano,"Apr 10, 2018",0.153240,0.157820,0.149316,0.156347,"55,981,300","3,973,070,000"
cardano,"Apr 09, 2018",0.157094,0.165656,0.147478,0.153106,"93,021,900","4,072,980,000"
cardano,"Apr 08, 2018",0.148825,0.158452,0.148825,0.156599,"51,093,100","3,858,610,000"
cardano,"Apr 07, 2018",0.144885,0.151469,0.143829,0.148794,"48,205,400","3,756,440,000"
cardano,"Apr 06, 2018",0.148394,0.150481,0.141830,0.144451,"51,827,500","3,847,430,000"
cardano,"Apr 05, 2018",0.155592,0.156204,0.143742,0.148758,"113,407,000","4,034,050,000"
cardano,"Apr 04, 2018",0.171158,0.179172,0.153626,0.155356,"154,801,000","4,437,630,000"
cardano,"Apr 03, 2018",0.157864,0.173438,0.155254,0.172447,"155,987,000","4,092,940,000"
cardano,"Apr 02, 2018",0.151691,0.158797,0.148590,0.156385,"102,697,000","3,932,900,000"
cardano,"Apr 01, 2018",0.156597,0.160825,0.141343,0.150768,"100,833,000","4,060,110,000"
cardano,"Mar 31, 2018",0.147115,0.160559,0.144857,0.155919,"113,124,000","3,814,260,000"
cardano,"Mar 30, 2018",0.146654,0.151782,0.136317,0.147209,"119,874,000","3,802,310,000"
cardano,"Mar 29, 2018",0.160143,0.160614,0.145712,0.146882,"103,465,000","4,152,040,000"
cardano,"Mar 28, 2018",0.155196,0.165599,0.154465,0.160058,"60,260,800","4,023,780,000"
cardano,"Mar 27, 2018",0.168215,0.169225,0.150164,0.154926,"107,510,000","4,361,310,000"
cardano,"Mar 26, 2018",0.183960,0.185421,0.161128,0.167806,"117,497,000","4,769,560,000"
cardano,"Mar 25, 2018",0.188396,0.189128,0.181700,0.184605,"59,349,400","4,884,550,000"
cardano,"Mar 24, 2018",0.188844,0.201190,0.183017,0.189201,"132,660,000","4,896,170,000"
cardano,"Mar 23, 2018",0.202298,0.202812,0.181424,0.189259,"148,850,000","5,245,000,000"
cardano,"Mar 22, 2018",0.215403,0.221969,0.192132,0.203481,"201,540,000","5,584,770,000"
cardano,"Mar 21, 2018",0.205315,0.227502,0.201448,0.213189,"257,686,000","5,323,220,000"
cardano,"Mar 20, 2018",0.193447,0.212004,0.180294,0.204947,"249,683,000","5,015,520,000"
cardano,"Mar 19, 2018",0.160749,0.197648,0.156935,0.197648,"321,964,000","4,167,750,000"
cardano,"Mar 18, 2018",0.153931,0.161959,0.127046,0.156155,"189,689,000","3,990,970,000"
cardano,"Mar 17, 2018",0.178770,0.179160,0.153132,0.154763,"81,096,600","4,634,990,000"
cardano,"Mar 16, 2018",0.186788,0.186788,0.175057,0.178878,"97,455,300","4,842,870,000"
cardano,"Mar 15, 2018",0.198755,0.201611,0.172485,0.185709,"204,233,000","5,153,130,000"
cardano,"Mar 14, 2018",0.223430,0.233147,0.196005,0.199562,"144,156,000","5,792,890,000"
cardano,"Mar 13, 2018",0.223110,0.229146,0.215402,0.223026,"98,868,700","5,784,580,000"
cardano,"Mar 12, 2018",0.224104,0.237342,0.219654,0.223722,"184,250,000","5,810,350,000"
cardano,"Mar 11, 2018",0.209721,0.227322,0.198153,0.223498,"161,362,000","5,437,450,000"
cardano,"Mar 10, 2018",0.225216,0.226558,0.208859,0.209873,"129,138,000","5,839,200,000"
cardano,"Mar 09, 2018",0.221286,0.225115,0.191804,0.222207,"246,849,000","5,737,300,000"
cardano,"Mar 08, 2018",0.248160,0.254354,0.221131,0.221743,"167,809,000","6,434,060,000"
cardano,"Mar 07, 2018",0.284674,0.287598,0.236256,0.247281,"190,793,000","7,380,750,000"
cardano,"Mar 06, 2018",0.295947,0.303019,0.283993,0.285357,"110,305,000","7,673,040,000"
