Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
catcoin,"Jul 02, 2018",0.015613,0.018544,0.015373,0.016319,138,"102,156"
catcoin,"Jul 01, 2018",0.015457,0.015755,0.015262,0.015611,237,"101,127"
catcoin,"Jun 30, 2018",0.015698,0.016359,0.015224,0.015454,37,"102,685"
catcoin,"Jun 29, 2018",0.013674,0.015946,0.013655,0.015677,763,"89,421"
catcoin,"Jun 28, 2018",0.013924,0.014767,0.013588,0.013665,71,"91,037"
catcoin,"Jun 27, 2018",0.014228,0.014541,0.013874,0.013919,93,"93,021"
catcoin,"Jun 26, 2018",0.015495,0.015556,0.014220,0.014234,217,"101,275"
catcoin,"Jun 25, 2018",0.014700,0.015517,0.013718,0.015495,108,"96,077"
catcoin,"Jun 24, 2018",0.016465,0.016492,0.011786,0.014728,709,"107,613"
catcoin,"Jun 23, 2018",0.016582,0.019579,0.013965,0.016467,524,"108,367"
catcoin,"Jun 22, 2018",0.016585,0.019893,0.016358,0.016822,541,"108,345"
catcoin,"Jun 21, 2018",0.019377,0.019464,0.016364,0.016604,61,"126,526"
catcoin,"Jun 20, 2018",0.015604,0.019381,0.015215,0.019373,311,"101,859"
catcoin,"Jun 19, 2018",0.015076,0.015594,0.014814,0.015594,84,"98,381"
catcoin,"Jun 18, 2018",0.014379,0.015172,0.014238,0.015084,71,"93,810"
catcoin,"Jun 17, 2018",0.015928,0.016048,0.014381,0.014429,31,"103,895"
catcoin,"Jun 16, 2018",0.015927,0.016275,0.015781,0.015886,47,"103,863"
catcoin,"Jun 15, 2018",0.016477,0.016496,0.015897,0.015985,12,"107,429"
catcoin,"Jun 14, 2018",0.015672,0.017498,0.015640,0.016504,69,"102,010"
catcoin,"Jun 13, 2018",0.019815,0.020629,0.015654,0.015679,432,"128,976"
catcoin,"Jun 12, 2018",0.015428,0.020281,0.014531,0.019764,389,"100,422"
catcoin,"Jun 11, 2018",0.013686,0.015516,0.013579,0.015436,103,"89,084"
catcoin,"Jun 10, 2018",0.022366,0.022366,0.013521,0.013667,340,"145,582"
catcoin,"Jun 09, 2018",0.020136,0.022270,0.015142,0.015142,446,"131,025"
catcoin,"Jun 08, 2018",0.015058,0.020235,0.014186,0.020144,809,"97,911"
catcoin,"Jun 07, 2018",0.016003,0.016658,0.015013,0.015046,235,"103,993"
catcoin,"Jun 06, 2018",0.016696,0.016804,0.015302,0.015988,34,"108,452"
catcoin,"Jun 05, 2018",0.016580,0.017005,0.014690,0.016701,98,"107,450"
catcoin,"Jun 04, 2018",0.018501,0.019229,0.016536,0.016647,89,"119,901"
catcoin,"Jun 03, 2018",0.021301,0.021348,0.017587,0.017722,238,"138,046"
catcoin,"Jun 02, 2018",0.017664,0.021464,0.017565,0.021295,356,"114,475"
catcoin,"Jun 01, 2018",0.017680,0.021103,0.017364,0.017672,120,"114,551"
catcoin,"May 31, 2018",0.017349,0.017842,0.017265,0.017667,105,"112,406"
catcoin,"May 30, 2018",0.017542,0.017743,0.017167,0.017352,51,"113,618"
catcoin,"May 29, 2018",0.017725,0.017963,0.013946,0.017530,113,"114,723"
catcoin,"May 28, 2018",0.020714,0.021776,0.014364,0.017731,"1,909","134,033"
catcoin,"May 27, 2018",0.018925,0.022044,0.018287,0.020709,202,"122,394"
catcoin,"May 26, 2018",0.021209,0.021525,0.016406,0.018916,"1,414","137,135"
catcoin,"May 25, 2018",0.021932,0.022521,0.020228,0.021237,128,"141,686"
catcoin,"May 24, 2018",0.021355,0.021977,0.020810,0.021891,56,"137,873"
catcoin,"May 23, 2018",0.022970,0.023763,0.021235,0.021410,86,"148,296"
catcoin,"May 22, 2018",0.027745,0.027767,0.022864,0.022994,129,"179,074"
catcoin,"May 21, 2018",0.024559,0.027848,0.023939,0.027750,125,"158,473"
catcoin,"May 20, 2018",0.025066,0.028181,0.024459,0.024528,45,"161,705"
catcoin,"May 19, 2018",0.025541,0.027947,0.024804,0.025047,99,"164,734"
catcoin,"May 18, 2018",0.026496,0.026978,0.024764,0.025545,97,"170,832"
catcoin,"May 17, 2018",0.026715,0.027018,0.024083,0.026473,475,"172,198"
catcoin,"May 16, 2018",0.024440,0.026698,0.023417,0.026698,585,"157,484"
catcoin,"May 15, 2018",0.027064,0.027516,0.024313,0.024454,486,"174,344"
catcoin,"May 14, 2018",0.032849,0.032849,0.026948,0.027111,267,"211,444"
catcoin,"May 13, 2018",0.030568,0.033098,0.029094,0.032855,445,"196,694"
catcoin,"May 12, 2018",0.030474,0.032550,0.029814,0.030579,395,"196,021"
catcoin,"May 11, 2018",0.033531,0.033531,0.030362,0.030563,503,"215,616"
catcoin,"May 10, 2018",0.034368,0.036698,0.033458,0.033491,278,"220,911"
catcoin,"May 09, 2018",0.035140,0.035153,0.033363,0.034378,332,"225,712"
catcoin,"May 08, 2018",0.044493,0.044800,0.034747,0.035194,548,"285,554"
catcoin,"May 07, 2018",0.036724,0.044825,0.035317,0.044399,897,"235,577"
catcoin,"May 06, 2018",0.036563,0.037435,0.036078,0.036698,30,"234,538"
catcoin,"May 05, 2018",0.035669,0.037414,0.035669,0.036538,111,"228,778"
catcoin,"May 04, 2018",0.035774,0.039091,0.035097,0.035686,428,"229,430"
catcoin,"May 03, 2018",0.031253,0.037700,0.030847,0.035788,"1,081","200,415"
catcoin,"May 02, 2018",0.029157,0.031252,0.028099,0.031252,370,"186,928"
catcoin,"May 01, 2018",0.029663,0.029663,0.027852,0.029201,450,"190,093"
catcoin,"Apr 30, 2018",0.030085,0.030205,0.029278,0.029637,41,"192,764"
catcoin,"Apr 29, 2018",0.029812,0.030291,0.028676,0.030095,112,"190,979"
catcoin,"Apr 28, 2018",0.027193,0.030100,0.027123,0.029824,61,"173,451"
catcoin,"Apr 27, 2018",0.028449,0.029988,0.027286,0.027286,119,"181,466"
catcoin,"Apr 26, 2018",0.027564,0.029081,0.026800,0.028410,128,"175,819"
catcoin,"Apr 25, 2018",0.030064,0.030209,0.026916,0.027337,137,"191,766"
catcoin,"Apr 24, 2018",0.026864,0.032007,0.026852,0.030367,160,"171,355"
catcoin,"Apr 23, 2018",0.026343,0.029027,0.026322,0.026841,227,"168,035"
catcoin,"Apr 22, 2018",0.027053,0.028021,0.026261,0.026397,131,"172,558"
catcoin,"Apr 21, 2018",0.028471,0.028471,0.026589,0.027053,99,"181,605"
catcoin,"Apr 20, 2018",0.029933,0.030188,0.026472,0.028461,62,"190,931"
catcoin,"Apr 19, 2018",0.027432,0.031140,0.024372,0.029913,503,"174,979"
catcoin,"Apr 18, 2018",0.022978,0.027584,0.022954,0.027412,82,"146,565"
catcoin,"Apr 17, 2018",0.022941,0.026608,0.022766,0.022956,48,"146,332"
catcoin,"Apr 16, 2018",0.027539,0.027694,0.022566,0.022929,43,"175,663"
catcoin,"Apr 15, 2018",0.026404,0.027623,0.026404,0.027551,196,"168,385"
catcoin,"Apr 14, 2018",0.021949,0.026985,0.021599,0.026376,122,"139,954"
catcoin,"Apr 13, 2018",0.023755,0.026676,0.021949,0.021949,241,"151,435"
catcoin,"Apr 12, 2018",0.019867,0.023837,0.019273,0.023725,137,"126,605"
catcoin,"Apr 11, 2018",0.019537,0.021469,0.019437,0.019915,177,"124,452"
catcoin,"Apr 10, 2018",0.019876,0.021146,0.018962,0.019518,98,"126,528"
catcoin,"Apr 09, 2018",0.021778,0.022268,0.019524,0.019859,89,"138,639"
catcoin,"Apr 08, 2018",0.024096,0.024578,0.021709,0.021743,171,"153,374"
catcoin,"Apr 07, 2018",0.022579,0.024347,0.022545,0.024074,42,"143,662"
catcoin,"Apr 06, 2018",0.022972,0.023319,0.022249,0.022552,104,"146,028"
catcoin,"Apr 05, 2018",0.023432,0.025349,0.021023,0.023089,302,"148,950"
catcoin,"Apr 04, 2018",0.036192,0.040408,0.020366,0.023422,"1,396","229,960"
catcoin,"Apr 03, 2018",0.024531,0.033397,0.019620,0.033397,"7,603","155,700"
catcoin,"Apr 02, 2018",0.018633,0.044715,0.018439,0.024514,"7,736","118,263"
catcoin,"Apr 01, 2018",0.018988,0.019780,0.017604,0.018541,86,"120,515"
catcoin,"Mar 31, 2018",0.019623,0.022026,0.018929,0.018988,112,"124,546"
catcoin,"Mar 30, 2018",0.020472,0.021454,0.018652,0.019620,43,"129,905"
catcoin,"Mar 29, 2018",0.025253,0.025295,0.019926,0.020523,161,"160,201"
catcoin,"Mar 28, 2018",0.024139,0.026661,0.023597,0.025224,224,"153,082"
catcoin,"Mar 27, 2018",0.026468,0.028025,0.024052,0.024145,294,"167,729"
catcoin,"Mar 26, 2018",0.027514,0.027665,0.025441,0.026508,176,"174,359"
catcoin,"Mar 25, 2018",0.029080,0.029386,0.027411,0.027535,15,"184,282"
catcoin,"Mar 24, 2018",0.028964,0.033545,0.028735,0.029486,452,"183,504"
catcoin,"Mar 23, 2018",0.032543,0.032543,0.028006,0.028548,131,"206,142"
catcoin,"Mar 22, 2018",0.028821,0.032696,0.027696,0.032544,395,"182,528"
catcoin,"Mar 21, 2018",0.027960,0.033828,0.027919,0.028874,578,"176,987"
catcoin,"Mar 20, 2018",0.027077,0.028293,0.026208,0.027909,688,"171,400"
catcoin,"Mar 19, 2018",0.025718,0.027167,0.025478,0.026778,131,"162,751"
catcoin,"Mar 18, 2018",0.025395,0.026351,0.023361,0.025826,766,"160,672"
catcoin,"Mar 17, 2018",0.027893,0.027893,0.025024,0.025457,294,"176,476"
catcoin,"Mar 16, 2018",0.029738,0.035662,0.027240,0.027847,"4,607","188,052"
catcoin,"Mar 15, 2018",0.029545,0.029926,0.027254,0.029755,"1,811","186,834"
catcoin,"Mar 14, 2018",0.032206,0.037053,0.028785,0.029559,353,"203,656"
catcoin,"Mar 13, 2018",0.032992,0.034612,0.032201,0.032201,276,"208,560"
catcoin,"Mar 12, 2018",0.037032,0.037479,0.031988,0.033183,291,"233,970"
catcoin,"Mar 11, 2018",0.033697,0.037149,0.031210,0.037149,392,"212,899"
catcoin,"Mar 10, 2018",0.033335,0.037134,0.032792,0.033814,370,"210,583"
catcoin,"Mar 09, 2018",0.037638,0.038082,0.026591,0.033321,"2,760","237,761"
catcoin,"Mar 08, 2018",0.033133,0.076666,0.029800,0.033576,"2,352","209,282"
catcoin,"Mar 07, 2018",0.032907,0.082409,0.031159,0.033181,"4,369","207,825"
catcoin,"Mar 06, 2018",0.040384,0.077858,0.029234,0.032950,"4,640","255,000"
catcoin,"Mar 05, 2018",0.045760,0.049096,0.040480,0.040495,166,"288,895"
catcoin,"Mar 04, 2018",0.055941,0.060297,0.043424,0.045794,655,"353,072"
catcoin,"Mar 03, 2018",0.049918,0.056263,0.049918,0.056037,134,"314,961"
catcoin,"Mar 02, 2018",0.049502,0.050621,0.048946,0.049979,224,"312,341"
catcoin,"Mar 01, 2018",0.046875,0.050117,0.046510,0.049630,131,"295,699"
catcoin,"Feb 28, 2018",0.052789,0.054270,0.046765,0.046807,140,"332,953"
catcoin,"Feb 27, 2018",0.046712,0.053440,0.046071,0.052851,274,"294,546"
catcoin,"Feb 26, 2018",0.043427,0.047178,0.042625,0.046577,684,"273,829"
catcoin,"Feb 25, 2018",0.044602,0.046398,0.042366,0.043371,117,"281,174"
catcoin,"Feb 24, 2018",0.045964,0.052401,0.042566,0.044669,"1,885","289,679"
catcoin,"Feb 23, 2018",0.044597,0.051000,0.043497,0.046023,"1,193","281,035"
catcoin,"Feb 22, 2018",0.052437,0.054755,0.044563,0.044639,"1,507","330,347"
catcoin,"Feb 21, 2018",0.052605,0.068101,0.047256,0.052490,"4,771","331,319"
catcoin,"Feb 20, 2018",0.057980,0.060339,0.052108,0.052671,418,"365,065"
catcoin,"Feb 19, 2018",0.055366,0.061127,0.054641,0.057927,364,"348,556"
catcoin,"Feb 18, 2018",0.063788,0.064877,0.053208,0.055622,"1,168","401,454"
catcoin,"Feb 17, 2018",0.060244,0.064211,0.059468,0.063593,556,"379,068"
catcoin,"Feb 16, 2018",0.059735,0.060819,0.057931,0.060257,45,"375,867"
catcoin,"Feb 15, 2018",0.057797,0.061215,0.055933,0.059992,"1,066","363,672"
catcoin,"Feb 14, 2018",0.055484,0.060812,0.055484,0.057766,306,"349,117"
catcoin,"Feb 13, 2018",0.058991,0.059259,0.047549,0.055650,272,"371,181"
catcoin,"Feb 12, 2018",0.047503,0.070027,0.047503,0.058884,825,"298,900"
catcoin,"Feb 11, 2018",0.047793,0.055385,0.046629,0.047202,340,"300,723"
catcoin,"Feb 10, 2018",0.050830,0.058396,0.045727,0.047834,758,"319,832"
catcoin,"Feb 09, 2018",0.051841,0.051841,0.043690,0.050359,254,"326,191"
catcoin,"Feb 08, 2018",0.042723,0.065841,0.042723,0.051682,869,"268,821"
catcoin,"Feb 07, 2018",0.042627,0.050555,0.040210,0.042895,181,"268,211"
catcoin,"Feb 06, 2018",0.040393,0.046236,0.035151,0.043057,435,"254,155"
catcoin,"Feb 05, 2018",0.045662,0.054470,0.038193,0.040342,48,"287,310"
catcoin,"Feb 04, 2018",0.050474,0.058129,0.044068,0.046109,226,"317,587"
catcoin,"Feb 03, 2018",0.054949,0.060773,0.040925,0.050448,"2,034","345,743"
catcoin,"Feb 02, 2018",0.052218,0.055131,0.038944,0.054762,"1,603","328,560"
catcoin,"Feb 01, 2018",0.070176,0.070479,0.045976,0.052326,556,"441,445"
catcoin,"Jan 31, 2018",0.069717,0.073456,0.053212,0.070013,"1,705","438,425"
catcoin,"Jan 30, 2018",0.078398,0.083173,0.067032,0.069608,836,"492,952"
catcoin,"Jan 29, 2018",0.088391,0.089793,0.077425,0.078484,"2,330","555,780"
catcoin,"Jan 28, 2018",0.085286,0.094829,0.080044,0.088475,"1,298","536,144"
catcoin,"Jan 27, 2018",0.083443,0.094045,0.077179,0.084852,"1,338","524,528"
catcoin,"Jan 26, 2018",0.088055,0.091782,0.074736,0.083498,"5,145","553,444"
catcoin,"Jan 25, 2018",0.089355,0.091717,0.082529,0.088290,"3,283","561,410"
catcoin,"Jan 24, 2018",0.082599,0.089644,0.073169,0.087909,"2,245","518,901"
