Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ccore,"Jul 02, 2018",0.129584,0.148201,0.112451,0.129266,213,"187,897"
ccore,"Jul 01, 2018",0.131693,0.132651,0.109612,0.129549,98,"190,955"
ccore,"Jun 30, 2018",0.109269,0.146543,0.109269,0.131596,"1,008","158,440"
ccore,"Jun 29, 2018",0.061130,0.110324,0.059203,0.109158,23,"88,638"
ccore,"Jun 28, 2018",0.090419,0.090721,0.060718,0.061108,8,"131,107"
ccore,"Jun 27, 2018",0.103762,0.107237,0.061516,0.090251,34,"150,454"
ccore,"Jun 26, 2018",0.062968,0.114777,0.062398,0.103861,47,"91,303"
ccore,"Jun 25, 2018",0.081719,0.104338,0.051569,0.062968,30,"118,493"
ccore,"Jun 24, 2018",0.051636,0.098185,0.048722,0.082054,23,"74,873"
ccore,"Jun 23, 2018",0.059801,0.081968,0.051135,0.051651,20,"86,712"
ccore,"Jun 22, 2018",0.076282,0.121491,0.052003,0.059762,89,"110,608"
ccore,"Jun 21, 2018",0.072985,0.131143,0.056446,0.076301,25,"105,828"
ccore,"Jun 20, 2018",0.089337,0.089337,0.068395,0.072981,223,"129,538"
ccore,"Jun 19, 2018",0.083906,0.170018,0.083540,0.089280,86,"121,663"
ccore,"Jun 18, 2018",0.140670,0.158009,0.083592,0.083956,36,"203,972"
ccore,"Jun 17, 2018",0.078153,0.155925,0.078056,0.140694,56,"113,321"
ccore,"Jun 16, 2018",0.058003,0.118001,0.044249,0.078014,324,"84,105"
ccore,"Jun 15, 2018",0.103350,0.117267,0.057606,0.058162,15,"149,858"
ccore,"Jun 14, 2018",0.117867,0.135408,0.065595,0.103405,14,"170,906"
ccore,"Jun 13, 2018",0.071613,0.134394,0.070862,0.117905,89,"103,838"
ccore,"Jun 12, 2018",0.089457,0.172408,0.070414,0.071329,25,"129,713"
ccore,"Jun 11, 2018",0.105021,0.144980,0.086963,0.089479,70,"152,281"
ccore,"Jun 10, 2018",0.141708,0.174215,0.100761,0.104846,31,"205,476"
ccore,"Jun 09, 2018",0.073898,0.195040,0.073879,0.141430,33,"107,153"
ccore,"Jun 08, 2018",0.169153,0.171211,0.073499,0.073879,14,"245,271"
ccore,"Jun 07, 2018",0.078174,0.199853,0.057456,0.168864,27,"113,353"
ccore,"Jun 06, 2018",0.196549,0.197525,0.074831,0.078198,400,"284,996"
ccore,"Jun 05, 2018",0.177847,0.198359,0.076479,0.196945,812,"257,878"
ccore,"Jun 04, 2018",0.195511,0.196477,0.119335,0.177860,215,"283,490"
ccore,"Jun 03, 2018",0.083089,0.198948,0.083072,0.195752,559,"120,479"
ccore,"Jun 02, 2018",0.093837,0.111808,0.083196,0.083196,18,"136,063"
ccore,"Jun 01, 2018",0.101763,0.115865,0.089854,0.093866,25,"147,557"
ccore,"May 31, 2018",0.080752,0.132143,0.079775,0.101603,131,"117,090"
ccore,"May 30, 2018",0.080440,0.087267,0.068391,0.080830,10,"116,638"
ccore,"May 29, 2018",0.067062,0.080396,0.066793,0.080391,356,"97,240"
ccore,"May 28, 2018",0.108774,0.119025,0.108630,0.114196,23,"157,722"
ccore,"May 27, 2018",0.121029,0.121029,0.100678,0.108751,671,"175,492"
ccore,"May 26, 2018",0.123021,0.125783,0.120324,0.120975,19,"178,380"
ccore,"May 25, 2018",0.139679,0.142165,0.113103,0.113103,57,"202,534"
ccore,"May 24, 2018",0.087211,0.177094,0.033332,0.139481,128,"126,456"
ccore,"May 23, 2018",0.160926,0.161952,0.082088,0.087428,174,"233,342"
ccore,"May 22, 2018",0.233310,0.233899,0.044170,0.161188,632,"338,300"
ccore,"May 21, 2018",0.199496,0.239619,0.198287,0.233677,"1,439","289,269"
ccore,"May 20, 2018",0.103655,0.201549,0.097384,0.199238,210,"150,300"
ccore,"May 19, 2018",0.185810,0.224867,0.102141,0.103570,31,"269,425"
ccore,"May 18, 2018",0.278779,0.278894,0.185814,0.185814,317,"404,229"
ccore,"May 17, 2018",0.115517,0.279055,0.093048,0.279055,97,"167,500"
ccore,"May 16, 2018",0.204176,0.205216,0.037927,0.115451,5,"296,055"
ccore,"May 15, 2018",0.210122,0.213088,0.201190,0.204079,135,"304,676"
ccore,"May 14, 2018",0.239102,0.239951,0.123355,0.210414,139,"346,698"
ccore,"May 13, 2018",0.270195,0.288328,0.238942,0.239200,130,"391,782"
ccore,"May 12, 2018",0.094660,0.273318,0.089548,0.270737,305,"137,257"
ccore,"May 11, 2018",0.106564,0.106564,0.094829,0.094829,153,"154,517"
ccore,"May 10, 2018",0.106519,0.107638,0.101636,0.106486,157,"154,453"
ccore,"May 09, 2018",0.216327,0.251831,0.105425,0.106419,77,"313,674"
ccore,"May 08, 2018",0.229421,0.230088,0.112044,0.216657,119,"332,661"
ccore,"May 07, 2018",0.261046,0.266198,0.225650,0.228939,154,"378,517"
ccore,"May 06, 2018",0.283710,0.286540,0.255807,0.260900,12,"411,379"
ccore,"May 05, 2018",0.251911,0.284267,0.251516,0.283548,"1,910","365,271"
ccore,"May 04, 2018",0.268644,0.270534,0.243023,0.252031,813,"389,534"
ccore,"May 03, 2018",0.100397,0.270135,0.058384,0.268917,233,"145,576"
ccore,"May 02, 2018",0.099346,0.100782,0.098926,0.100393,1,"144,051"
ccore,"May 01, 2018",0.093517,0.093517,0.090219,0.090783,2,"135,600"
ccore,"Apr 30, 2018",0.096229,0.099294,0.092960,0.093435,2,"139,532"
ccore,"Apr 29, 2018",0.123305,0.195823,0.094912,0.096255,48,"178,792"
ccore,"Apr 28, 2018",0.118777,0.126153,0.118777,0.123295,136,"172,226"
ccore,"Apr 27, 2018",0.219999,0.227260,0.119549,0.119806,44,"318,998"
ccore,"Apr 26, 2018",0.174751,0.220341,0.133283,0.219618,84,"253,389"
ccore,"Apr 25, 2018",0.141113,0.183122,0.113709,0.173054,562,"204,614"
ccore,"Apr 24, 2018",0.186168,0.200125,0.137649,0.141162,0,"269,943"
ccore,"Apr 23, 2018",0.140642,0.186163,0.138612,0.186163,79,"203,931"
ccore,"Apr 22, 2018",0.206555,0.218101,0.140301,0.141003,"1,152","299,505"
ccore,"Apr 21, 2018",0.123191,0.211577,0.120231,0.206555,"1,892","178,628"
ccore,"Apr 20, 2018",0.144541,0.212731,0.090595,0.123272,188,"209,584"
ccore,"Apr 19, 2018",0.117498,0.144714,0.114830,0.144714,256,"170,372"
ccore,"Apr 18, 2018",0.251744,0.257801,0.117187,0.117434,666,"365,029"
