Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ceek-vr,"Jul 02, 2018",0.032809,0.032888,0.028024,0.032162,"47,808","8,879,390"
ceek-vr,"Jul 01, 2018",0.035020,0.039548,0.031538,0.032816,"85,164","9,477,520"
ceek-vr,"Jun 30, 2018",0.032817,0.036469,0.032817,0.034989,"6,454","8,881,370"
ceek-vr,"Jun 29, 2018",0.031812,0.033158,0.029649,0.032832,"35,473","8,609,540"
ceek-vr,"Jun 28, 2018",0.032324,0.038030,0.029965,0.031856,"67,933","8,747,950"
ceek-vr,"Jun 27, 2018",0.033011,0.034300,0.030468,0.032279,"52,234","8,934,010"
ceek-vr,"Jun 26, 2018",0.035664,0.035859,0.033021,0.033021,"15,894","9,651,960"
ceek-vr,"Jun 25, 2018",0.040544,0.040630,0.035592,0.035650,"14,715","10,972,800"
ceek-vr,"Jun 24, 2018",0.038268,0.041078,0.035002,0.040609,"25,478","10,356,600"
ceek-vr,"Jun 23, 2018",0.035531,0.042537,0.034429,0.038291,"27,928","9,615,860"
ceek-vr,"Jun 22, 2018",0.046912,0.059379,0.035515,0.035515,"69,015","12,696,100"
ceek-vr,"Jun 21, 2018",0.045104,0.048295,0.043807,0.043834,"13,706","12,206,800"
ceek-vr,"Jun 20, 2018",0.049002,0.055443,0.043099,0.045107,"37,617","13,261,700"
ceek-vr,"Jun 19, 2018",0.044530,0.054340,0.044361,0.048960,"53,610","12,051,400"
ceek-vr,"Jun 18, 2018",0.035325,0.049266,0.035302,0.044571,"66,840",-
ceek-vr,"Jun 17, 2018",0.043316,0.048193,0.035334,0.035342,"52,120",-
ceek-vr,"Jun 16, 2018",0.047889,0.056955,0.039477,0.043329,"119,164",-
ceek-vr,"Jun 15, 2018",0.054960,0.055054,0.046797,0.047970,"39,353",-
ceek-vr,"Jun 14, 2018",0.045517,0.060916,0.043722,0.054918,"54,332",-
ceek-vr,"Jun 13, 2018",0.049773,0.059749,0.042569,0.045388,"103,735",-
ceek-vr,"Jun 12, 2018",0.055064,0.062312,0.049121,0.049576,"101,033",-
ceek-vr,"Jun 11, 2018",0.052200,0.055093,0.052200,0.054922,"118,622",-
