Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
chatcoin,"Jul 02, 2018",0.047870,0.052016,0.046050,0.051900,"1,699,640",-
chatcoin,"Jul 01, 2018",0.047696,0.048782,0.044908,0.047847,"875,834",-
chatcoin,"Jun 30, 2018",0.043631,0.048540,0.043089,0.047669,"947,344",-
chatcoin,"Jun 29, 2018",0.041324,0.044016,0.040373,0.043224,"423,707",-
chatcoin,"Jun 28, 2018",0.044351,0.044598,0.041000,0.041025,"532,032",-
chatcoin,"Jun 27, 2018",0.042394,0.044543,0.041318,0.044358,"391,294",-
chatcoin,"Jun 26, 2018",0.045341,0.045412,0.042141,0.042141,"303,886",-
chatcoin,"Jun 25, 2018",0.043694,0.046186,0.042911,0.045597,"502,283",-
chatcoin,"Jun 24, 2018",0.048396,0.048511,0.039826,0.043713,"832,821",-
chatcoin,"Jun 23, 2018",0.048430,0.052088,0.047520,0.048331,"854,571",-
chatcoin,"Jun 22, 2018",0.056511,0.064077,0.047792,0.048404,"3,295,410",-
chatcoin,"Jun 21, 2018",0.048938,0.061380,0.048650,0.056799,"4,585,990",-
chatcoin,"Jun 20, 2018",0.048933,0.049077,0.046620,0.048758,"550,786",-
chatcoin,"Jun 19, 2018",0.049332,0.049824,0.048031,0.048914,"669,759",-
chatcoin,"Jun 18, 2018",0.047422,0.049782,0.045924,0.049182,"844,398",-
chatcoin,"Jun 17, 2018",0.049730,0.050288,0.047569,0.047569,"484,159",-
chatcoin,"Jun 16, 2018",0.046619,0.050949,0.046063,0.049637,"1,462,740",-
chatcoin,"Jun 15, 2018",0.050034,0.050119,0.046102,0.046596,"627,175",-
chatcoin,"Jun 14, 2018",0.046099,0.050549,0.045494,0.049943,"1,002,840",-
chatcoin,"Jun 13, 2018",0.047880,0.049061,0.043277,0.046159,"854,689",-
chatcoin,"Jun 12, 2018",0.056272,0.056279,0.047751,0.048032,"1,449,490",-
chatcoin,"Jun 11, 2018",0.054828,0.056700,0.051510,0.055989,"2,225,010",-
chatcoin,"Jun 10, 2018",0.067544,0.075767,0.053470,0.054510,"5,916,180",-
chatcoin,"Jun 09, 2018",0.071470,0.072083,0.067360,0.067360,"1,264,580",-
chatcoin,"Jun 08, 2018",0.074615,0.074968,0.070022,0.071401,"1,264,710",-
chatcoin,"Jun 07, 2018",0.076620,0.078007,0.074014,0.074508,"1,035,260",-
chatcoin,"Jun 06, 2018",0.079000,0.079565,0.075053,0.076623,"887,106",-
chatcoin,"Jun 05, 2018",0.077699,0.078485,0.072918,0.078350,"1,489,050",-
chatcoin,"Jun 04, 2018",0.084908,0.085357,0.076127,0.077584,"1,426,330",-
chatcoin,"Jun 03, 2018",0.082408,0.085444,0.081930,0.084774,"1,782,000",-
chatcoin,"Jun 02, 2018",0.080872,0.084599,0.079394,0.082433,"1,609,150",-
chatcoin,"Jun 01, 2018",0.080455,0.081409,0.078020,0.081050,"1,658,180",-
chatcoin,"May 31, 2018",0.078404,0.082498,0.077374,0.080560,"1,631,880",-
chatcoin,"May 30, 2018",0.082181,0.084782,0.077024,0.078305,"1,830,470",-
chatcoin,"May 29, 2018",0.076678,0.082983,0.075645,0.082247,"1,842,690",-
chatcoin,"May 28, 2018",0.088129,0.088129,0.076854,0.076863,"1,922,060",-
chatcoin,"May 27, 2018",0.086273,0.090955,0.083306,0.087840,"2,401,910",-
chatcoin,"May 26, 2018",0.078235,0.090371,0.077301,0.086007,"5,278,620",-
chatcoin,"May 25, 2018",0.079625,0.080542,0.076349,0.078049,"1,011,980",-
chatcoin,"May 24, 2018",0.075250,0.080393,0.072603,0.079874,"1,367,070",-
chatcoin,"May 23, 2018",0.087913,0.089136,0.074190,0.075613,"1,646,910",-
chatcoin,"May 22, 2018",0.098400,0.098741,0.088148,0.088216,"1,360,500",-
chatcoin,"May 21, 2018",0.103253,0.103305,0.096944,0.098868,"1,751,480",-
chatcoin,"May 20, 2018",0.101018,0.104030,0.097448,0.103121,"2,309,510",-
chatcoin,"May 19, 2018",0.104113,0.104517,0.100509,0.101033,"1,668,600",-
chatcoin,"May 18, 2018",0.100513,0.104949,0.096387,0.104432,"2,224,850",-
chatcoin,"May 17, 2018",0.100345,0.111104,0.098759,0.100231,"3,608,240",-
chatcoin,"May 16, 2018",0.105097,0.105097,0.096489,0.100271,"1,827,110",-
chatcoin,"May 15, 2018",0.105909,0.113547,0.104169,0.104841,"3,119,190",-
chatcoin,"May 14, 2018",0.109204,0.109611,0.099295,0.106172,"3,588,300",-
chatcoin,"May 13, 2018",0.102874,0.111152,0.099976,0.109290,"2,161,080",-
chatcoin,"May 12, 2018",0.102268,0.104274,0.089139,0.103006,"3,267,070",-
chatcoin,"May 11, 2018",0.118730,0.119548,0.099238,0.102886,"3,426,190",-
chatcoin,"May 10, 2018",0.128449,0.133026,0.119632,0.119632,"3,329,110",-
chatcoin,"May 09, 2018",0.135776,0.136451,0.124108,0.128669,"3,947,970",-
