Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cindicator,"Jul 02, 2018",0.035043,0.037501,0.032256,0.035713,"1,448,490","50,671,200"
cindicator,"Jul 01, 2018",0.031861,0.035879,0.030684,0.035879,"972,378","46,070,800"
cindicator,"Jun 30, 2018",0.029892,0.032821,0.029892,0.031781,"403,481","43,223,400"
cindicator,"Jun 29, 2018",0.029059,0.030117,0.027375,0.029755,"361,591","42,018,900"
cindicator,"Jun 28, 2018",0.031597,0.032151,0.028625,0.029035,"601,426","45,688,400"
cindicator,"Jun 27, 2018",0.031748,0.031992,0.030392,0.031598,"216,256","45,907,400"
cindicator,"Jun 26, 2018",0.032654,0.033268,0.031482,0.031809,"171,446","47,216,500"
cindicator,"Jun 25, 2018",0.032012,0.033661,0.031066,0.032906,"297,716","46,288,300"
cindicator,"Jun 24, 2018",0.033969,0.034017,0.029720,0.032092,"357,014","49,118,500"
cindicator,"Jun 23, 2018",0.033999,0.035658,0.033206,0.033766,"348,129","49,161,300"
cindicator,"Jun 22, 2018",0.037793,0.037999,0.033226,0.033907,"1,064,900","54,647,500"
cindicator,"Jun 21, 2018",0.039461,0.039804,0.036805,0.037683,"610,411","57,059,700"
cindicator,"Jun 20, 2018",0.041014,0.041318,0.037988,0.039485,"439,270","59,305,100"
cindicator,"Jun 19, 2018",0.041051,0.041570,0.039994,0.040966,"277,236","59,359,300"
cindicator,"Jun 18, 2018",0.040924,0.041263,0.038498,0.040994,"454,994","59,175,500"
cindicator,"Jun 17, 2018",0.040716,0.042204,0.039780,0.040820,"259,927","58,875,000"
cindicator,"Jun 16, 2018",0.041219,0.042082,0.038673,0.040729,"326,833","59,602,400"
cindicator,"Jun 15, 2018",0.043172,0.046440,0.040784,0.041447,"852,755","62,425,900"
cindicator,"Jun 14, 2018",0.038513,0.043391,0.038248,0.043391,"1,410,760","55,688,600"
cindicator,"Jun 13, 2018",0.040933,0.041158,0.036668,0.038497,"660,835","59,187,600"
cindicator,"Jun 12, 2018",0.049135,0.049135,0.039703,0.040800,"1,250,930","71,047,900"
cindicator,"Jun 11, 2018",0.046794,0.049323,0.045953,0.048821,"835,391","67,662,300"
cindicator,"Jun 10, 2018",0.052726,0.053615,0.046608,0.046711,"1,458,760","76,241,200"
cindicator,"Jun 09, 2018",0.057031,0.058687,0.052727,0.052727,"646,866","82,465,500"
cindicator,"Jun 08, 2018",0.058536,0.059229,0.056572,0.057165,"648,604","84,642,300"
cindicator,"Jun 07, 2018",0.059871,0.061347,0.058586,0.058586,"659,863","86,571,600"
cindicator,"Jun 06, 2018",0.061141,0.064363,0.058803,0.059688,"823,961","88,408,000"
cindicator,"Jun 05, 2018",0.061051,0.062066,0.059013,0.061166,"847,113","88,278,900"
cindicator,"Jun 04, 2018",0.065366,0.065761,0.059927,0.061073,"731,997","94,517,000"
cindicator,"Jun 03, 2018",0.065892,0.066711,0.065194,0.065457,"688,656","95,278,100"
cindicator,"Jun 02, 2018",0.062385,0.066113,0.061951,0.065833,"872,364","90,207,100"
cindicator,"Jun 01, 2018",0.063926,0.064420,0.061305,0.062580,"511,734","92,436,300"
cindicator,"May 31, 2018",0.060644,0.065628,0.060143,0.063895,"996,501","87,689,200"
cindicator,"May 30, 2018",0.060847,0.063602,0.059718,0.060642,"635,716","87,983,400"
cindicator,"May 29, 2018",0.056348,0.062253,0.055525,0.060596,"995,344","81,477,700"
cindicator,"May 28, 2018",0.060669,0.061358,0.055970,0.056270,"705,598","87,725,700"
cindicator,"May 27, 2018",0.061990,0.062160,0.059596,0.060419,"440,244","89,636,100"
cindicator,"May 26, 2018",0.063867,0.064852,0.061916,0.061916,"278,972","92,349,600"
cindicator,"May 25, 2018",0.064606,0.067198,0.062530,0.063679,"575,984","93,419,000"
cindicator,"May 24, 2018",0.060379,0.065003,0.059177,0.064523,"806,428","87,306,400"
cindicator,"May 23, 2018",0.066750,0.067305,0.059870,0.060821,"1,187,140","96,518,800"
cindicator,"May 22, 2018",0.074286,0.074573,0.066016,0.066806,"891,132","107,415,000"
cindicator,"May 21, 2018",0.077957,0.080602,0.073053,0.074368,"934,858","112,724,000"
cindicator,"May 20, 2018",0.075730,0.080418,0.074389,0.077416,"1,182,210","109,503,000"
