Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
circuits-of-value,"Jul 02, 2018",0.003491,0.003989,0.003474,0.003898,"3,831","3,490,620"
circuits-of-value,"Jul 01, 2018",0.003769,0.003790,0.003363,0.003490,"5,119","3,768,530"
circuits-of-value,"Jun 30, 2018",0.003475,0.004027,0.003475,0.003768,"12,462","3,474,730"
circuits-of-value,"Jun 29, 2018",0.003404,0.003496,0.002999,0.003470,"18,560","3,403,720"
circuits-of-value,"Jun 28, 2018",0.003496,0.003612,0.003361,0.003402,"2,342","3,496,320"
circuits-of-value,"Jun 27, 2018",0.003831,0.003831,0.003355,0.003495,"10,353","3,830,630"
circuits-of-value,"Jun 26, 2018",0.003686,0.003832,0.003323,0.003832,"20,481","3,686,380"
circuits-of-value,"Jun 25, 2018",0.003321,0.003771,0.003084,0.003686,"21,923","3,321,330"
circuits-of-value,"Jun 24, 2018",0.003762,0.003768,0.003022,0.003328,"27,251","3,761,680"
circuits-of-value,"Jun 23, 2018",0.003813,0.003932,0.003741,0.003762,"9,452","3,812,730"
circuits-of-value,"Jun 22, 2018",0.004499,0.004507,0.003745,0.003812,"10,369","4,498,790"
circuits-of-value,"Jun 21, 2018",0.004591,0.004729,0.004486,0.004504,"7,368","4,590,990"
circuits-of-value,"Jun 20, 2018",0.004661,0.004685,0.004359,0.004590,"7,597","4,660,930"
circuits-of-value,"Jun 19, 2018",0.004846,0.004855,0.004432,0.004658,"16,094","4,845,750"
circuits-of-value,"Jun 18, 2018",0.004469,0.004990,0.004373,0.004848,"12,234","4,469,250"
circuits-of-value,"Jun 17, 2018",0.004635,0.004735,0.004470,0.004485,"2,538","4,634,830"
circuits-of-value,"Jun 16, 2018",0.004817,0.004937,0.004491,0.004557,"4,623","4,816,540"
circuits-of-value,"Jun 15, 2018",0.005116,0.005166,0.004789,0.004834,"9,147","5,115,690"
circuits-of-value,"Jun 14, 2018",0.004171,0.005144,0.004162,0.005124,"17,611","4,170,790"
circuits-of-value,"Jun 13, 2018",0.004740,0.004885,0.003949,0.004173,"20,769","4,739,770"
circuits-of-value,"Jun 12, 2018",0.005235,0.005299,0.004589,0.004728,"18,225","5,234,520"
circuits-of-value,"Jun 11, 2018",0.005217,0.005500,0.005076,0.005237,"16,407","5,217,020"
circuits-of-value,"Jun 10, 2018",0.005854,0.005859,0.005133,0.005210,"9,080","5,854,200"
circuits-of-value,"Jun 09, 2018",0.005949,0.006144,0.005812,0.005847,"14,188","5,949,150"
circuits-of-value,"Jun 08, 2018",0.006069,0.006299,0.005879,0.005952,"16,523","6,069,190"
circuits-of-value,"Jun 07, 2018",0.006279,0.006338,0.005995,0.006065,"6,560","6,278,540"
circuits-of-value,"Jun 06, 2018",0.006252,0.006369,0.006075,0.006273,"11,167","6,251,600"
circuits-of-value,"Jun 05, 2018",0.006302,0.006458,0.006006,0.006253,"11,129","6,301,940"
circuits-of-value,"Jun 04, 2018",0.006321,0.006627,0.005977,0.006299,"28,740","6,321,300"
circuits-of-value,"Jun 03, 2018",0.005802,0.006324,0.005777,0.006318,"13,554","5,802,480"
circuits-of-value,"Jun 02, 2018",0.005938,0.006118,0.005755,0.005801,"8,581","5,938,130"
circuits-of-value,"Jun 01, 2018",0.006218,0.006452,0.005487,0.005941,"44,188","6,218,060"
