Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
clams,"Jul 02, 2018",2.59,2.85,2.55,2.82,"20,654","8,051,340"
clams,"Jul 01, 2018",2.62,2.64,2.50,2.60,"7,105","8,133,940"
clams,"Jun 30, 2018",2.52,2.63,2.52,2.61,"6,988","7,823,170"
clams,"Jun 29, 2018",2.32,2.56,2.29,2.52,"39,143","7,205,420"
clams,"Jun 28, 2018",2.49,2.52,2.30,2.32,"49,861","7,740,540"
clams,"Jun 27, 2018",2.25,2.54,2.22,2.49,"129,460","6,966,200"
clams,"Jun 26, 2018",2.31,2.36,2.24,2.25,"24,067","7,162,070"
clams,"Jun 25, 2018",2.25,2.35,2.24,2.31,"12,806","6,987,080"
clams,"Jun 24, 2018",2.35,2.36,1.92,2.28,"165,610","7,289,480"
clams,"Jun 23, 2018",2.33,2.41,2.33,2.36,"4,098","7,224,560"
clams,"Jun 22, 2018",2.67,2.68,2.33,2.37,"15,434","8,263,480"
clams,"Jun 21, 2018",2.77,2.80,2.63,2.67,"14,123","8,555,580"
clams,"Jun 20, 2018",2.67,2.90,2.57,2.77,"31,370","8,265,710"
clams,"Jun 19, 2018",2.65,2.69,2.59,2.66,"11,061","8,181,360"
clams,"Jun 18, 2018",2.36,2.71,2.30,2.65,"62,216","7,275,950"
clams,"Jun 17, 2018",2.45,2.50,2.35,2.36,"47,263","7,551,180"
clams,"Jun 16, 2018",2.42,2.47,2.39,2.43,"16,052","7,461,970"
clams,"Jun 15, 2018",2.51,2.53,2.40,2.42,"10,888","7,731,010"
clams,"Jun 14, 2018",2.34,2.55,2.32,2.51,"43,909","7,202,620"
clams,"Jun 13, 2018",2.60,2.62,2.26,2.32,"95,981","8,018,540"
clams,"Jun 12, 2018",2.88,2.92,2.56,2.60,"61,040","8,868,430"
clams,"Jun 11, 2018",2.84,2.90,2.73,2.89,"21,968","8,737,610"
clams,"Jun 10, 2018",3.19,3.22,2.80,2.83,"32,722","9,826,510"
clams,"Jun 09, 2018",3.11,3.27,3.06,3.19,"70,120","9,557,150"
clams,"Jun 08, 2018",3.07,3.16,3.04,3.11,"19,901","9,442,700"
clams,"Jun 07, 2018",3.17,3.23,3.06,3.07,"29,574","9,740,540"
clams,"Jun 06, 2018",3.23,3.26,3.07,3.17,"34,853","9,912,330"
clams,"Jun 05, 2018",3.21,3.26,3.06,3.23,"25,534","9,868,630"
clams,"Jun 04, 2018",3.26,3.28,3.12,3.21,"27,800","10,017,200"
clams,"Jun 03, 2018",3.13,3.28,3.13,3.24,"25,233","9,600,720"
clams,"Jun 02, 2018",3.10,3.20,3.02,3.16,"23,992","9,491,300"
