Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
coimatic-3,"Jul 02, 2018",0.002208,0.002357,0.001755,0.002334,539,"4,990"
coimatic-3,"Jul 01, 2018",0.002330,0.002427,0.002191,0.002208,"1,567","5,264"
coimatic-3,"Jun 30, 2018",0.002335,0.002552,0.002030,0.002329,405,"5,276"
coimatic-3,"Jun 29, 2018",0.002170,0.002388,0.001920,0.002332,357,"4,902"
coimatic-3,"Jun 28, 2018",0.002330,0.002498,0.002156,0.002168,80,"5,265"
coimatic-3,"Jun 27, 2018",0.002230,0.002340,0.002002,0.002329,"1,003","5,038"
coimatic-3,"Jun 26, 2018",0.002241,0.002253,0.002188,0.002230,124,"5,063"
coimatic-3,"Jun 25, 2018",0.002153,0.002310,0.002071,0.002241,610,"4,864"
coimatic-3,"Jun 24, 2018",0.002158,0.002315,0.002040,0.002157,163,"4,877"
coimatic-3,"Jun 23, 2018",0.001997,0.002183,0.001935,0.002159,36,"4,511"
coimatic-3,"Jun 22, 2018",0.002467,0.002472,0.001824,0.001996,321,"5,575"
coimatic-3,"Jun 21, 2018",0.002432,0.002505,0.002353,0.002470,38,"5,496"
coimatic-3,"Jun 20, 2018",0.002364,0.002493,0.002245,0.002432,236,"5,342"
coimatic-3,"Jun 19, 2018",0.002019,0.002365,0.002009,0.002363,147,"4,562"
coimatic-3,"Jun 18, 2018",0.002008,0.002169,0.001928,0.002020,293,"4,537"
coimatic-3,"Jun 17, 2018",0.001978,0.002098,0.001974,0.002015,56,"4,470"
coimatic-3,"Jun 16, 2018",0.001991,0.002209,0.001936,0.001973,194,"4,498"
coimatic-3,"Jun 15, 2018",0.002126,0.002261,0.001987,0.001998,11,"4,804"
coimatic-3,"Jun 14, 2018",0.002054,0.002340,0.001970,0.002130,738,"4,642"
coimatic-3,"Jun 13, 2018",0.002466,0.002527,0.002032,0.002055,834,"5,572"
coimatic-3,"Jun 12, 2018",0.002647,0.002768,0.002422,0.002460,418,"5,982"
coimatic-3,"Jun 11, 2018",0.002401,0.002906,0.002275,0.002465,584,"5,424"
