Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
comsa-eth,"Jul 02, 2018",0.239496,0.282158,0.230103,0.267777,"191,743",-
comsa-eth,"Jul 01, 2018",0.234797,0.239726,0.230431,0.239404,"12,204",-
comsa-eth,"Jun 30, 2018",0.233799,0.243732,0.226342,0.234797,"19,574",-
comsa-eth,"Jun 29, 2018",0.222320,0.233721,0.212503,0.233719,"45,426",-
comsa-eth,"Jun 28, 2018",0.239315,0.243753,0.218567,0.222623,"33,596",-
comsa-eth,"Jun 27, 2018",0.235029,0.240854,0.220824,0.238976,"42,026",-
comsa-eth,"Jun 26, 2018",0.240929,0.262983,0.232801,0.235162,"61,151",-
comsa-eth,"Jun 25, 2018",0.227416,0.245953,0.213650,0.236717,"72,867",-
comsa-eth,"Jun 24, 2018",0.252997,0.254036,0.183183,0.227345,"166,780",-
comsa-eth,"Jun 23, 2018",0.247735,0.263983,0.246116,0.252999,"39,488",-
comsa-eth,"Jun 22, 2018",0.325892,0.325901,0.230003,0.247764,"241,010",-
comsa-eth,"Jun 21, 2018",0.333777,0.333791,0.313236,0.325766,"38,775",-
comsa-eth,"Jun 20, 2018",0.346973,0.347061,0.326324,0.334305,"38,087",-
comsa-eth,"Jun 19, 2018",0.337628,0.349137,0.330006,0.341446,"46,045",-
comsa-eth,"Jun 18, 2018",0.330801,0.340872,0.326201,0.337868,"30,164",-
comsa-eth,"Jun 17, 2018",0.331190,0.340742,0.327995,0.330636,"25,331",-
comsa-eth,"Jun 16, 2018",0.338844,0.346353,0.331171,0.331188,"52,044",-
comsa-eth,"Jun 15, 2018",0.357040,0.357040,0.332813,0.339117,"53,305",-
comsa-eth,"Jun 14, 2018",0.318661,0.361580,0.318479,0.357483,"126,154",-
comsa-eth,"Jun 13, 2018",0.367041,0.367043,0.317862,0.317898,"270,406",-
comsa-eth,"Jun 12, 2018",0.407919,0.407932,0.367647,0.373584,"75,889",-
