Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
content-and-ad-network,"Jul 02, 2018",0.012753,0.015882,0.012154,0.014118,"3,972,080",-
content-and-ad-network,"Jul 01, 2018",0.012863,0.012954,0.012426,0.012762,"2,059,230",-
content-and-ad-network,"Jun 30, 2018",0.012434,0.013001,0.012319,0.012861,"2,277,430",-
content-and-ad-network,"Jun 29, 2018",0.011941,0.012548,0.011780,0.012428,"1,831,240",-
content-and-ad-network,"Jun 28, 2018",0.012478,0.013213,0.011792,0.011891,"2,170,450",-
content-and-ad-network,"Jun 27, 2018",0.012738,0.012818,0.011595,0.012508,"2,173,130",-
content-and-ad-network,"Jun 26, 2018",0.013499,0.013733,0.012536,0.012747,"2,401,760",-
content-and-ad-network,"Jun 25, 2018",0.012681,0.013903,0.012681,0.013473,"3,155,240",-
content-and-ad-network,"Jun 24, 2018",0.013513,0.013530,0.011449,0.012629,"4,215,860",-
content-and-ad-network,"Jun 23, 2018",0.013411,0.013745,0.012961,0.013568,"3,080,660",-
content-and-ad-network,"Jun 22, 2018",0.014708,0.015565,0.012803,0.013406,"5,136,760",-
content-and-ad-network,"Jun 21, 2018",0.017805,0.018139,0.014401,0.014639,"6,239,530",-
content-and-ad-network,"Jun 20, 2018",0.019928,0.020435,0.016431,0.017792,"10,040,800",-
content-and-ad-network,"Jun 19, 2018",0.020375,0.023828,0.017901,0.020072,"16,248,400",-
content-and-ad-network,"Jun 18, 2018",0.012932,0.021312,0.012804,0.020758,"12,349,000",-
content-and-ad-network,"Jun 17, 2018",0.012233,0.013484,0.012233,0.012973,"4,201,410",-
content-and-ad-network,"Jun 16, 2018",0.012054,0.012744,0.011935,0.012269,"4,016,640",-
content-and-ad-network,"Jun 15, 2018",0.012218,0.012911,0.011843,0.012024,"4,906,130",-
content-and-ad-network,"Jun 14, 2018",0.012353,0.012818,0.012012,0.012219,"5,059,460",-
content-and-ad-network,"Jun 13, 2018",0.013130,0.013441,0.011871,0.012315,"5,485,350",-
content-and-ad-network,"Jun 12, 2018",0.014422,0.014920,0.012750,0.013114,"4,633,170",-
content-and-ad-network,"Jun 11, 2018",0.012525,0.014439,0.012483,0.014412,"6,772,120",-
content-and-ad-network,"Jun 10, 2018",0.015211,0.015379,0.012320,0.012479,"4,781,590",-
content-and-ad-network,"Jun 09, 2018",0.016450,0.016450,0.014966,0.015261,"5,603,710",-
content-and-ad-network,"Jun 08, 2018",0.017467,0.017483,0.016223,0.016420,"5,879,300",-
content-and-ad-network,"Jun 07, 2018",0.017877,0.017902,0.017166,0.017408,"7,603,880",-
content-and-ad-network,"Jun 06, 2018",0.018983,0.019440,0.016935,0.017872,"8,163,590",-
content-and-ad-network,"Jun 05, 2018",0.019137,0.019611,0.018318,0.019017,"6,108,740",-
content-and-ad-network,"Jun 04, 2018",0.020893,0.020917,0.019103,0.019113,"4,389,870",-
content-and-ad-network,"Jun 03, 2018",0.020452,0.021005,0.020268,0.020881,"5,493,320",-
content-and-ad-network,"Jun 02, 2018",0.020008,0.021035,0.019782,0.020434,"6,198,830",-
content-and-ad-network,"Jun 01, 2018",0.020245,0.020502,0.019772,0.020107,"9,173,070",-
content-and-ad-network,"May 31, 2018",0.020550,0.020925,0.019623,0.020241,"9,596,350",-
content-and-ad-network,"May 30, 2018",0.021083,0.021666,0.020025,0.020493,"7,198,070",-
content-and-ad-network,"May 29, 2018",0.020816,0.021326,0.019360,0.021074,"8,498,290",-
content-and-ad-network,"May 28, 2018",0.021833,0.021833,0.020636,0.020817,"8,843,800",-
content-and-ad-network,"May 27, 2018",0.021599,0.022297,0.020716,0.021809,"11,100,900",-
content-and-ad-network,"May 26, 2018",0.020495,0.023498,0.020297,0.021589,"11,684,900",-
content-and-ad-network,"May 25, 2018",0.021141,0.021258,0.019498,0.020543,"11,170,200",-
content-and-ad-network,"May 24, 2018",0.019493,0.021220,0.018639,0.021220,"12,615,500",-
content-and-ad-network,"May 23, 2018",0.025065,0.025326,0.018567,0.019579,"12,352,300",-
content-and-ad-network,"May 22, 2018",0.026329,0.027176,0.025271,0.025271,"13,616,800",-
content-and-ad-network,"May 21, 2018",0.027880,0.029466,0.025930,0.026366,"15,920,900",-
content-and-ad-network,"May 20, 2018",0.025759,0.029182,0.025253,0.027858,"14,427,300",-
content-and-ad-network,"May 19, 2018",0.026883,0.026985,0.025305,0.026029,"14,820,800",-
content-and-ad-network,"May 18, 2018",0.027039,0.027679,0.025212,0.026773,"15,594,900",-
content-and-ad-network,"May 17, 2018",0.026861,0.029850,0.026222,0.027301,"16,368,700",-
content-and-ad-network,"May 16, 2018",0.027600,0.027817,0.026179,0.026921,"13,904,500",-
content-and-ad-network,"May 15, 2018",0.029312,0.029738,0.027390,0.027669,"15,701,400",-
content-and-ad-network,"May 14, 2018",0.030194,0.031502,0.027348,0.029335,"19,835,300",-
content-and-ad-network,"May 13, 2018",0.026327,0.031624,0.026261,0.030925,"18,751,800",-
content-and-ad-network,"May 12, 2018",0.026920,0.027640,0.023775,0.026278,"19,080,400",-
content-and-ad-network,"May 11, 2018",0.032008,0.032008,0.025105,0.027085,"21,700,300",-
content-and-ad-network,"May 10, 2018",0.040314,0.040314,0.031345,0.031875,"24,633,800",-
content-and-ad-network,"May 09, 2018",0.043438,0.043654,0.039154,0.040254,"29,102,800",-
content-and-ad-network,"May 08, 2018",0.038031,0.044760,0.038031,0.043199,"39,364,200",-
content-and-ad-network,"May 07, 2018",0.037361,0.039192,0.031791,0.037966,"32,143,100",-
content-and-ad-network,"May 06, 2018",0.042431,0.043944,0.030310,0.037234,"35,290,600",-
content-and-ad-network,"May 05, 2018",0.028327,0.044992,0.028125,0.042961,"53,585,100",-
content-and-ad-network,"May 04, 2018",0.021769,0.029472,0.021629,0.028210,"21,071,300",-
content-and-ad-network,"May 03, 2018",0.020519,0.024261,0.019339,0.021967,"12,294,400",-
content-and-ad-network,"May 02, 2018",0.015852,0.021740,0.015135,0.020586,"11,534,700",-
content-and-ad-network,"May 01, 2018",0.015357,0.015782,0.014337,0.015782,"5,107,760",-
content-and-ad-network,"Apr 30, 2018",0.016234,0.016234,0.014920,0.015379,"6,437,530",-
content-and-ad-network,"Apr 29, 2018",0.017364,0.017475,0.015253,0.016112,"7,482,460",-
content-and-ad-network,"Apr 28, 2018",0.016297,0.017993,0.016008,0.017342,"8,866,280",-
