Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
corion,"Jul 02, 2018",0.069178,0.072464,0.060607,0.072014,492,-
corion,"Jul 01, 2018",0.065151,0.069679,0.060023,0.069170,"1,374",-
corion,"Jun 30, 2018",0.067695,0.070544,0.064470,0.065136,3,-
corion,"Jun 29, 2018",0.063966,0.068765,0.063239,0.067604,684,-
corion,"Jun 28, 2018",0.058885,0.066723,0.058558,0.063926,215,-
corion,"Jun 27, 2018",0.059648,0.066326,0.058356,0.058865,474,-
corion,"Jun 26, 2018",0.062356,0.067727,0.059077,0.059672,453,-
corion,"Jun 25, 2018",0.069564,0.069792,0.057807,0.062356,327,-
corion,"Jun 24, 2018",0.057967,0.070183,0.055307,0.069698,211,-
corion,"Jun 23, 2018",0.059914,0.067884,0.056207,0.057975,"2,306",-
corion,"Jun 22, 2018",0.068623,0.068741,0.055194,0.059906,"2,618",-
corion,"Jun 21, 2018",0.068190,0.074099,0.063891,0.068699,"2,041",-
corion,"Jun 20, 2018",0.068968,0.069035,0.066702,0.068176,104,-
corion,"Jun 19, 2018",0.067302,0.077985,0.066952,0.068926,"1,891",-
corion,"Jun 18, 2018",0.077143,0.080502,0.067171,0.067338,594,-
corion,"Jun 17, 2018",0.071807,0.078030,0.059029,0.077407,"3,313",-
corion,"Jun 16, 2018",0.069358,0.077944,0.069239,0.071617,836,-
corion,"Jun 15, 2018",0.068431,0.073735,0.064973,0.069612,"1,704",-
corion,"Jun 14, 2018",0.070082,0.072247,0.065384,0.068544,283,-
corion,"Jun 13, 2018",0.069122,0.072718,0.063306,0.070113,"1,040",-
corion,"Jun 12, 2018",0.076383,0.076383,0.067658,0.068943,492,-
corion,"Jun 11, 2018",0.068905,0.076993,0.066794,0.076424,"2,694",-
corion,"Jun 10, 2018",0.075129,0.090688,0.066934,0.068807,"6,726",-
corion,"Jun 09, 2018",0.107466,0.112566,0.075034,0.075034,"10,333",-
corion,"Jun 08, 2018",0.115929,0.116168,0.107512,0.107512,571,-
corion,"Jun 07, 2018",0.117072,0.118469,0.113561,0.115841,425,-
corion,"Jun 06, 2018",0.116646,0.117992,0.110269,0.116964,"2,080",-
corion,"Jun 05, 2018",0.115536,0.117881,0.109621,0.116677,"1,893",-
corion,"Jun 04, 2018",0.122649,0.122977,0.108658,0.115480,"1,406",-
corion,"Jun 03, 2018",0.122463,0.123796,0.115849,0.122592,"1,719",-
corion,"Jun 02, 2018",0.120416,0.122888,0.119741,0.122430,"1,130",-
corion,"Jun 01, 2018",0.128107,0.129816,0.116354,0.120468,"3,930",-
