Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
coupecoin,"Jul 02, 2018",0.000056,0.000066,0.000051,0.000055,394,"12,181"
coupecoin,"Jul 01, 2018",0.000033,0.000060,0.000033,0.000056,"3,234","7,269"
coupecoin,"Jun 30, 2018",0.000029,0.000041,0.000029,0.000033,726,"6,424"
coupecoin,"Jun 29, 2018",0.000051,0.000053,0.000021,0.000029,"2,270","11,141"
coupecoin,"Jun 28, 2018",0.000057,0.000058,0.000045,0.000054,145,"12,442"
coupecoin,"Jun 27, 2018",0.000051,0.000057,0.000038,0.000057,"2,513","11,074"
coupecoin,"Jun 26, 2018",0.000057,0.000061,0.000051,0.000051,612,"12,337"
coupecoin,"Jun 25, 2018",0.000054,0.000062,0.000051,0.000057,"1,185","11,870"
coupecoin,"Jun 24, 2018",0.000060,0.000067,0.000050,0.000055,"1,099","13,058"
coupecoin,"Jun 23, 2018",0.000061,0.000103,0.000059,0.000060,"3,364","13,258"
coupecoin,"Jun 22, 2018",0.000070,0.000115,0.000056,0.000059,"10,043","15,273"
coupecoin,"Jun 21, 2018",0.000125,0.000134,0.000070,0.000070,"33,735","27,284"
coupecoin,"Jun 20, 2018",0.000116,0.000129,0.000077,0.000124,"9,884","25,409"
coupecoin,"Jun 19, 2018",0.000072,0.000117,0.000071,0.000116,"8,302","15,713"
coupecoin,"Jun 18, 2018",0.000065,0.000126,0.000064,0.000075,"3,770","14,142"
coupecoin,"Jun 17, 2018",0.000066,0.000122,0.000064,0.000065,"11,766","14,426"
coupecoin,"Jun 16, 2018",0.000065,0.000126,0.000065,0.000066,"24,751","14,225"
coupecoin,"Jun 15, 2018",0.000069,0.000133,0.000065,0.000065,"146,794","14,980"
coupecoin,"Jun 14, 2018",0.000068,0.000111,0.000064,0.000069,"12,033","14,945"
coupecoin,"Jun 13, 2018",0.000068,0.000070,0.000062,0.000069,"5,299","14,854"
coupecoin,"Jun 12, 2018",0.000067,0.000072,0.000062,0.000068,"5,832","14,691"
coupecoin,"Jun 11, 2018",0.000067,0.000068,0.000066,0.000067,"2,042","14,673"
coupecoin,"Jun 10, 2018",0.000075,0.000137,0.000066,0.000067,"14,240","16,365"
coupecoin,"Jun 09, 2018",0.000139,0.000142,0.000066,0.000075,"29,051","30,384"
coupecoin,"Jun 08, 2018",0.000073,0.000144,0.000072,0.000142,"28,998","15,965"
coupecoin,"Jun 07, 2018",0.000051,0.000075,0.000051,0.000075,"4,152","11,080"
coupecoin,"Jun 06, 2018",0.000049,0.000055,0.000046,0.000051,"1,019","10,743"
coupecoin,"Jun 05, 2018",0.000046,0.000055,0.000044,0.000049,157,"9,979"
coupecoin,"Jun 04, 2018",0.000071,0.000072,0.000045,0.000046,949,"15,516"
coupecoin,"Jun 03, 2018",0.000060,0.000072,0.000058,0.000071,431,"13,113"
coupecoin,"Jun 02, 2018",0.000068,0.000069,0.000054,0.000060,257,"14,927"
coupecoin,"Jun 01, 2018",0.000046,0.000069,0.000046,0.000069,447,"10,045"
coupecoin,"May 31, 2018",0.000062,0.000068,0.000046,0.000046,"1,202","13,433"
coupecoin,"May 30, 2018",0.000064,0.000067,0.000060,0.000062,843,"13,997"
coupecoin,"May 29, 2018",0.000067,0.000073,0.000063,0.000064,762,"14,558"
coupecoin,"May 28, 2018",0.000060,0.000071,0.000059,0.000067,"2,825","13,025"
coupecoin,"May 27, 2018",0.000068,0.000079,0.000058,0.000059,"1,230","14,742"
coupecoin,"May 26, 2018",0.000074,0.000074,0.000068,0.000068,686,"16,063"
coupecoin,"May 25, 2018",0.000075,0.000131,0.000072,0.000073,"3,793","16,338"
coupecoin,"May 24, 2018",0.000074,0.000082,0.000074,0.000075,"3,240","16,222"
coupecoin,"May 23, 2018",0.000080,0.000080,0.000074,0.000075,"3,390","17,484"
coupecoin,"May 22, 2018",0.000079,0.000154,0.000077,0.000080,"12,898","17,289"
coupecoin,"May 21, 2018",0.000084,0.000085,0.000075,0.000079,"9,937","18,366"
coupecoin,"May 20, 2018",0.000085,0.000165,0.000082,0.000084,"40,272","18,538"
coupecoin,"May 19, 2018",0.000053,0.000164,0.000040,0.000085,"88,998","11,608"
coupecoin,"May 18, 2018",0.000056,0.000067,0.000043,0.000053,"1,183","12,182"
coupecoin,"May 17, 2018",0.000029,0.000076,0.000028,0.000056,"8,965","6,410"
coupecoin,"May 16, 2018",0.000073,0.000075,0.000030,0.000030,"1,438","15,963"
coupecoin,"May 15, 2018",0.000025,0.000073,0.000025,0.000073,432,"5,544"
coupecoin,"May 14, 2018",0.000027,0.000030,0.000021,0.000025,912,"5,788"
coupecoin,"May 13, 2018",0.000030,0.000031,0.000027,0.000027,381,"6,459"
coupecoin,"May 12, 2018",0.000038,0.000045,0.000025,0.000030,807,"8,385"
coupecoin,"May 11, 2018",0.000057,0.000060,0.000029,0.000039,118,"12,520"
coupecoin,"May 10, 2018",0.000056,0.000063,0.000050,0.000057,"1,582","12,222"
coupecoin,"May 09, 2018",0.000036,0.000072,0.000036,0.000056,"1,416","7,873"
coupecoin,"May 08, 2018",0.000034,0.000039,0.000028,0.000036,731,"7,400"
coupecoin,"May 07, 2018",0.000036,0.000036,0.000030,0.000033,234,"7,861"
coupecoin,"May 06, 2018",0.000038,0.000043,0.000032,0.000039,284,"8,366"
coupecoin,"May 05, 2018",0.000074,0.000076,0.000038,0.000038,758,"16,246"
coupecoin,"May 04, 2018",0.000040,0.000084,0.000038,0.000074,"1,971","8,748"
coupecoin,"May 03, 2018",0.000059,0.000064,0.000032,0.000040,292,"12,834"
coupecoin,"May 02, 2018",0.000065,0.000065,0.000047,0.000059,355,"14,131"
coupecoin,"May 01, 2018",0.000037,0.000076,0.000036,0.000065,"1,082","7,993"
coupecoin,"Apr 30, 2018",0.000030,0.000045,0.000028,0.000036,798,"6,561"
coupecoin,"Apr 29, 2018",0.000032,0.000039,0.000027,0.000030,501,"6,992"
coupecoin,"Apr 28, 2018",0.000034,0.000038,0.000031,0.000032,668,"7,520"
coupecoin,"Apr 27, 2018",0.000036,0.000040,0.000027,0.000038,"1,071","7,950"
coupecoin,"Apr 26, 2018",0.000029,0.000040,0.000026,0.000036,580,"6,226"
coupecoin,"Apr 25, 2018",0.000046,0.000052,0.000028,0.000029,299,"9,962"
coupecoin,"Apr 24, 2018",0.000043,0.000055,0.000035,0.000046,"1,057","9,340"
coupecoin,"Apr 23, 2018",0.000062,0.000067,0.000043,0.000043,564,"13,611"
coupecoin,"Apr 22, 2018",0.000031,0.000062,0.000030,0.000062,757,"6,756"
coupecoin,"Apr 21, 2018",0.000033,0.000039,0.000031,0.000031,160,"7,234"
coupecoin,"Apr 20, 2018",0.000036,0.000042,0.000031,0.000033,763,"7,782"
coupecoin,"Apr 19, 2018",0.000036,0.000044,0.000033,0.000036,817,"7,791"
coupecoin,"Apr 18, 2018",0.000043,0.000047,0.000036,0.000036,"1,102","9,362"
coupecoin,"Apr 17, 2018",0.000047,0.000048,0.000040,0.000043,"1,811","10,334"
coupecoin,"Apr 16, 2018",0.000054,0.000055,0.000031,0.000047,455,"11,850"
coupecoin,"Apr 15, 2018",0.000033,0.000054,0.000033,0.000054,652,"7,271"
coupecoin,"Apr 14, 2018",0.000047,0.000053,0.000033,0.000033,"2,009","10,228"
coupecoin,"Apr 13, 2018",0.000061,0.000066,0.000047,0.000047,"1,090","13,219"
coupecoin,"Apr 12, 2018",0.000041,0.000061,0.000038,0.000061,752,"8,977"
coupecoin,"Apr 11, 2018",0.000057,0.000063,0.000039,0.000041,305,"12,384"
coupecoin,"Apr 10, 2018",0.000058,0.000062,0.000051,0.000057,"1,293","12,645"
coupecoin,"Apr 09, 2018",0.000028,0.000059,0.000028,0.000058,550,"6,030"
coupecoin,"Apr 08, 2018",0.000060,0.000062,0.000027,0.000027,"3,272","13,189"
coupecoin,"Apr 07, 2018",0.000059,0.000068,0.000059,0.000060,"6,320","12,963"
coupecoin,"Apr 06, 2018",0.000026,0.000060,0.000025,0.000060,375,"5,569"
coupecoin,"Apr 05, 2018",0.000051,0.000051,0.000023,0.000026,382,"11,164"
coupecoin,"Apr 04, 2018",0.000019,0.000063,0.000018,0.000051,508,"4,170"
coupecoin,"Apr 03, 2018",0.000031,0.000032,0.000017,0.000019,"1,633","6,811"
coupecoin,"Apr 02, 2018",0.000024,0.000035,0.000022,0.000031,958,"5,259"
coupecoin,"Apr 01, 2018",0.000031,0.000031,0.000023,0.000024,213,"6,704"
coupecoin,"Mar 31, 2018",0.000032,0.000036,0.000030,0.000031,110,"7,045"
coupecoin,"Mar 30, 2018",0.000060,0.000061,0.000031,0.000032,168,"13,198"
coupecoin,"Mar 29, 2018",0.000060,0.000064,0.000028,0.000061,"2,180","13,055"
coupecoin,"Mar 28, 2018",0.000058,0.000072,0.000053,0.000060,324,"12,630"
coupecoin,"Mar 27, 2018",0.000028,0.000059,0.000028,0.000058,617,"6,147"
coupecoin,"Mar 26, 2018",0.000036,0.000040,0.000025,0.000028,378,"7,836"
coupecoin,"Mar 25, 2018",0.000055,0.000057,0.000036,0.000036,764,"12,108"
coupecoin,"Mar 24, 2018",0.000061,0.000071,0.000034,0.000056,207,"13,330"
coupecoin,"Mar 23, 2018",0.000043,0.000060,0.000032,0.000060,124,"9,492"
coupecoin,"Mar 22, 2018",0.000069,0.000071,0.000041,0.000044,604,"15,161"
coupecoin,"Mar 21, 2018",0.000043,0.000078,0.000043,0.000070,856,"9,392"
coupecoin,"Mar 20, 2018",0.000058,0.000067,0.000038,0.000043,"1,102","12,572"
coupecoin,"Mar 19, 2018",0.000047,0.000057,0.000041,0.000057,155,"10,328"
coupecoin,"Mar 18, 2018",0.000063,0.000072,0.000047,0.000047,484,"13,842"
coupecoin,"Mar 17, 2018",0.000044,0.000064,0.000034,0.000064,"1,333","9,518"
coupecoin,"Mar 16, 2018",0.000048,0.000076,0.000044,0.000044,142,"10,490"
coupecoin,"Mar 15, 2018",0.000034,0.000048,0.000031,0.000048,400,"7,381"
coupecoin,"Mar 14, 2018",0.000044,0.000047,0.000032,0.000034,808,"9,551"
coupecoin,"Mar 13, 2018",0.000046,0.000047,0.000036,0.000044,446,"9,973"
coupecoin,"Mar 12, 2018",0.000051,0.000058,0.000041,0.000046,266,"11,235"
coupecoin,"Mar 11, 2018",0.000050,0.000057,0.000032,0.000051,"1,235","10,866"
coupecoin,"Mar 10, 2018",0.000076,0.000079,0.000050,0.000050,574,"16,689"
coupecoin,"Mar 09, 2018",0.000051,0.000078,0.000048,0.000076,"1,298","11,177"
coupecoin,"Mar 08, 2018",0.000071,0.000077,0.000051,0.000052,777,"15,529"
coupecoin,"Mar 07, 2018",0.000069,0.000085,0.000063,0.000071,"1,490","15,049"
coupecoin,"Mar 06, 2018",0.000097,0.000097,0.000068,0.000069,"1,740","21,087"
coupecoin,"Mar 05, 2018",0.000085,0.000098,0.000059,0.000097,"1,763","18,565"
coupecoin,"Mar 04, 2018",0.000077,0.000118,0.000060,0.000085,922,"16,775"
coupecoin,"Mar 03, 2018",0.000082,0.000105,0.000077,0.000077,"2,105","17,828"
coupecoin,"Mar 02, 2018",0.000094,0.000098,0.000073,0.000082,"1,332","20,418"
coupecoin,"Mar 01, 2018",0.000097,0.000104,0.000089,0.000094,"1,741","21,240"
coupecoin,"Feb 28, 2018",0.000103,0.000108,0.000097,0.000097,"2,201","22,496"
coupecoin,"Feb 27, 2018",0.000067,0.000106,0.000067,0.000103,"4,119","14,723"
coupecoin,"Feb 26, 2018",0.000077,0.000087,0.000035,0.000067,"2,137","16,838"
coupecoin,"Feb 25, 2018",0.000087,0.000091,0.000069,0.000076,419,"18,896"
coupecoin,"Feb 24, 2018",0.000089,0.000094,0.000078,0.000087,"1,423","19,362"
coupecoin,"Feb 23, 2018",0.000096,0.000104,0.000084,0.000089,"2,268","20,967"
coupecoin,"Feb 22, 2018",0.000102,0.000106,0.000087,0.000096,"2,982","22,222"
coupecoin,"Feb 21, 2018",0.000111,0.000195,0.000100,0.000102,"1,958","24,317"
coupecoin,"Feb 20, 2018",0.000211,0.000220,0.000107,0.000111,"9,712","46,055"
coupecoin,"Feb 19, 2018",0.000186,0.000198,0.000103,0.000112,"5,130","40,619"
coupecoin,"Feb 18, 2018",0.000216,0.000216,0.000102,0.000187,"6,262","47,078"
coupecoin,"Feb 17, 2018",0.000103,0.000215,0.000101,0.000215,"8,208","22,434"
