Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
crevacoin,"Jul 02, 2018",0.000127,0.000190,0.000120,0.000189,955,"4,619"
crevacoin,"Jul 01, 2018",0.000128,0.000128,0.000067,0.000127,212,"4,649"
crevacoin,"Jun 30, 2018",0.000089,0.000182,0.000071,0.000128,"1,006","3,250"
crevacoin,"Jun 29, 2018",0.000117,0.000118,0.000089,0.000089,115,"4,271"
crevacoin,"Jun 28, 2018",0.000123,0.000123,0.000117,0.000117,31,"4,464"
crevacoin,"Jun 27, 2018",0.000174,0.000175,0.000091,0.000123,23,"6,327"
crevacoin,"Jun 26, 2018",0.000125,0.000178,0.000062,0.000174,"1,044","4,547"
crevacoin,"Jun 25, 2018",0.000123,0.000126,0.000061,0.000125,"8,251","4,477"
crevacoin,"Jun 24, 2018",0.000123,0.000125,0.000063,0.000123,357,"4,488"
crevacoin,"Jun 23, 2018",0.000111,0.000125,0.000087,0.000123,103,"4,033"
crevacoin,"Jun 22, 2018",0.000199,0.000200,0.000109,0.000111,296,"7,254"
crevacoin,"Jun 21, 2018",0.000135,0.000200,0.000069,0.000200,501,"4,914"
crevacoin,"Jun 20, 2018",0.000147,0.000176,0.000098,0.000135,"2,850","5,341"
crevacoin,"Jun 19, 2018",0.000135,0.000149,0.000134,0.000147,563,"4,898"
crevacoin,"Jun 18, 2018",0.000130,0.000194,0.000065,0.000135,"12,111","4,714"
crevacoin,"Jun 17, 2018",0.000140,0.000141,0.000130,0.000130,279,"5,091"
crevacoin,"Jun 16, 2018",0.000152,0.000197,0.000129,0.000140,137,"5,533"
crevacoin,"Jun 15, 2018",0.000190,0.000200,0.000130,0.000153,102,"6,901"
crevacoin,"Jun 14, 2018",0.000126,0.000190,0.000120,0.000190,402,"4,599"
crevacoin,"Jun 13, 2018",0.000132,0.000132,0.000124,0.000126,9,"4,791"
crevacoin,"Jun 12, 2018",0.000164,0.000164,0.000130,0.000131,130,"5,975"
crevacoin,"Jun 11, 2018",0.000137,0.000204,0.000134,0.000164,373,"4,969"
crevacoin,"Jun 10, 2018",0.000225,0.000225,0.000136,0.000136,234,"8,194"
crevacoin,"Jun 09, 2018",0.000214,0.000230,0.000214,0.000225,226,"7,787"
crevacoin,"Jun 08, 2018",0.000230,0.000231,0.000157,0.000214,326,"8,387"
crevacoin,"Jun 07, 2018",0.000153,0.000231,0.000153,0.000230,35,"5,573"
crevacoin,"Jun 06, 2018",0.000229,0.000229,0.000079,0.000153,"4,647","8,323"
crevacoin,"Jun 05, 2018",0.000267,0.000305,0.000228,0.000229,342,"9,729"
crevacoin,"Jun 04, 2018",0.000231,0.000269,0.000168,0.000267,219,"8,416"
crevacoin,"Jun 03, 2018",0.000153,0.000232,0.000153,0.000231,52,"5,585"
crevacoin,"Jun 02, 2018",0.000225,0.000226,0.000152,0.000153,229,"8,206"
crevacoin,"Jun 01, 2018",0.000300,0.000302,0.000209,0.000226,184,"10,902"
crevacoin,"May 31, 2018",0.000221,0.000303,0.000153,0.000299,692,"8,060"
crevacoin,"May 30, 2018",0.000149,0.000222,0.000149,0.000222,21,"5,433"
crevacoin,"May 29, 2018",0.000202,0.000226,0.000149,0.000149,883,"7,358"
crevacoin,"May 28, 2018",0.000147,0.000295,0.000144,0.000202,134,"5,346"
crevacoin,"May 27, 2018",0.000155,0.000289,0.000146,0.000147,383,"5,627"
